Type,Dichroic
Maker,"Semrock"
ProductName,"Di01-R488/561-25x36"
Comment,""
Public,1
wavedataset
466,1.149
466.2,0.805
466.4,0.585
466.6,0.454
466.8,0.372
467,0.3
467.2,0.262
467.4,0.228
467.6,0.204
467.8,0.18
468,0.202
468.2,0.234
468.4,0.221
468.6,0.213
468.8,0.208
469,0.208
469.2,0.205
469.4,0.208
469.6,0.206
469.8,0.204
470,0.21
470.2,0.22
470.4,0.223
470.6,0.241
470.8,0.24
471,0.265
471.2,0.277
471.4,0.285
471.6,0.316
471.8,0.348
472,0.385
472.2,0.419
472.4,0.464
472.6,0.525
472.8,0.581
473,0.646
473.2,0.716
473.4,0.796
473.6,0.859
473.8,0.92
474,0.973
474.2,1.035
474.4,1.079
474.6,1.107
474.8,1.136
475,1.154
475.2,1.155
475.4,1.144
475.6,1.126
475.8,1.112
476,1.091
476.2,1.067
476.4,1.056
476.6,1.032
476.8,1.022
477,1.021
477.2,1.019
477.4,1.023
477.6,1.027
477.8,1.036
478,1.049
478.2,1.065
478.4,1.078
478.6,1.083
478.8,1.091
479,1.1
479.2,1.098
479.4,1.097
479.6,1.086
479.8,1.073
480,1.049
480.2,1.033
480.4,1.012
480.6,0.976
480.8,0.958
481,0.924
481.2,0.905
481.4,0.885
481.6,0.867
481.8,0.847
482,0.839
482.2,0.83
482.4,0.825
482.6,0.822
482.8,0.829
483,0.838
483.2,0.847
483.4,0.865
483.6,0.883
483.8,0.904
484,0.929
484.2,0.951
484.4,0.974
484.6,0.998
484.8,1.033
485,1.045
485.2,1.065
485.4,1.068
485.6,1.09
485.8,1.092
486,1.089
486.2,1.071
486.4,1.065
486.6,1.052
486.8,1.027
487,1.001
487.2,0.978
487.4,0.964
487.6,0.929
487.8,0.914
488,0.88
488.2,0.863
488.4,0.848
488.6,0.827
488.8,0.815
489,0.805
489.2,0.8
489.4,0.799
489.6,0.8
489.8,0.811
490,0.821
490.2,0.831
490.4,0.854
490.6,0.892
490.8,0.918
491,0.96
491.2,1.012
491.4,1.079
491.6,1.148
491.8,1.243
492,1.351
492.2,1.484
492.4,1.634
492.6,1.81
492.8,2.048
493,2.333
493.2,2.655
493.4,3.061
493.6,3.552
