Type,Dichroic
Maker,"Semrock"
ProductName,"FF395/495/615-Di01-25x36"
Comment,""
Public,1
wavedataset
300,0.395
300.2,0.37
300.4,0.351
300.6,0.356
300.8,0.36
301,0.343
301.2,0.328
301.4,0.303
301.6,0.279
301.8,0.265
302,0.253
302.2,0.251
302.4,0.254
302.6,0.259
302.8,0.265
303,0.277
303.2,0.297
303.4,0.336
303.6,0.43
303.8,0.571
304,0.93
304.2,1.509
304.4,2.261
304.6,3.389
304.8,5.076
305,7.603
305.2,9.936
305.4,10.926
305.6,10.998
305.8,10.019
306,8.197
306.2,6.12
306.4,4.3
306.6,2.88
306.8,1.955
307,1.475
307.2,1.365
307.4,1.504
307.6,1.745
307.8,1.963
308,2.027
308.2,1.928
308.4,1.681
308.6,1.27
308.8,0.943
309,0.764
309.2,0.787
309.4,0.938
309.6,1.179
309.8,1.343
310,1.366
310.2,1.301
310.4,1.104
310.6,0.858
310.8,0.626
311,0.522
311.2,0.469
311.4,0.448
311.6,0.462
311.8,0.48
312,0.501
312.2,0.543
312.4,0.597
312.6,0.639
312.8,0.667
313,0.68
313.2,0.671
313.4,0.629
313.6,0.589
313.8,0.537
314,0.5
314.2,0.466
314.4,0.46
314.6,0.48
314.8,0.515
315,0.565
315.2,0.67
315.4,0.86
315.6,1.28
315.8,2.066
316,3.615
316.2,6.366
316.4,10.39
316.6,15.253
316.8,19.205
317,21.74
317.2,22.762
317.4,22.029
317.6,20.028
317.8,17.604
318,16.24
318.2,16.515
318.4,18.038
318.6,20.075
318.8,22.047
319,23.247
319.2,23.35
319.4,22.285
319.6,20.33
319.8,17.803
320,14.769
320.2,11.384
320.4,8.193
320.6,5.574
320.8,3.631
321,2.347
321.2,1.646
321.4,1.348
321.6,1.299
321.8,1.48
322,2.108
322.2,3.459
322.4,5.226
322.6,6.828
322.8,7.802
323,8.161
323.2,7.917
323.4,6.971
323.6,5.214
323.8,3.404
324,2.145
324.2,1.472
324.4,1.166
324.6,1.046
324.8,1.053
325,1.186
325.2,1.496
325.4,2.083
325.6,2.922
325.8,3.725
326,4.209
326.2,4.376
326.4,4.242
326.6,3.8
326.8,3.117
327,2.145
327.2,1.304
327.4,0.785
327.6,0.536
327.8,0.429
328,0.394
328.2,0.405
328.4,0.482
328.6,0.709
328.8,1.159
329,1.675
329.2,2.037
329.4,2.215
329.6,2.258
329.8,2.149
330,1.876
330.2,1.387
330.4,0.845
330.6,0.503
330.8,0.344
331,0.292
331.2,0.298
331.4,0.369
331.6,0.505
331.8,0.642
332,0.735
332.2,0.791
332.4,0.8
332.6,0.749
332.8,0.658
333,0.508
333.2,0.364
333.4,0.267
333.6,0.214
333.8,0.197
334,0.203
334.2,0.23
334.4,0.322
334.6,0.538
334.8,0.915
335,1.311
335.2,1.622
335.4,1.833
335.6,2.003
335.8,2.14
336,2.242
336.2,2.178
336.4,1.975
336.6,1.758
336.8,1.587
337,1.427
337.2,1.21
337.4,0.913
337.6,0.603
337.8,0.363
338,0.229
338.2,0.173
338.4,0.16
338.6,0.159
338.8,0.187
339,0.285
339.2,0.518
339.4,0.848
339.6,1.122
339.8,1.288
340,1.359
340.2,1.373
340.4,1.306
340.6,1.114
340.8,0.82
341,0.579
341.2,0.493
341.4,0.556
341.6,0.684
341.8,0.809
342,0.898
342.2,0.973
342.4,1.023
342.6,1.053
342.8,1.147
343,1.212
343.2,1.211
343.4,1.149
343.6,1.078
343.8,0.991
344,0.85
344.2,0.655
344.4,0.427
344.6,0.243
344.8,0.134
345,0.08102
345.2,0.059771
345.4,0.051838
345.6,0.048771
345.8,0.044902
346,0.042888
346.2,0.045886
346.4,0.047885
346.6,0.050756
346.8,0.06033
347,0.077817
347.2,0.114
347.4,0.184
347.6,0.287
347.8,0.403
348,0.518
348.2,0.648
348.4,0.788
348.6,1.04
348.8,1.506
349,2.174
349.2,2.751
349.4,3.089
349.6,3.205
349.8,3.175
350,2.974
350.2,2.589
350.4,1.986
350.6,1.273
350.8,0.746
351,0.471
351.2,0.365
351.4,0.358
351.6,0.398
351.8,0.472
352,0.565
352.2,0.66
352.4,0.756
352.6,0.864
352.8,0.968
353,1.075
353.2,1.166
353.4,1.229
353.6,1.24
353.8,1.22
354,1.175
354.2,1.107
354.4,1.036
354.6,0.96
354.8,0.897
355,0.845
355.2,0.786
355.4,0.731
355.6,0.677
355.8,0.603
356,0.519
356.2,0.413
356.4,0.294
356.6,0.184
356.8,0.101
357,0.059871
357.2,0.036327
357.4,0.02765
357.6,0.023735
357.8,0.021363
358,0.018941
358.2,0.018777
358.4,0.020529
358.6,0.019151
358.8,0.018031
359,0.018839
359.2,0.016574
359.4,0.016035
359.6,0.015809
359.8,0.017593
360,0.020011
360.2,0.022016
360.4,0.025063
360.6,0.026871
360.8,0.028199
361,0.029654
361.2,0.030263
361.4,0.02846
361.6,0.027985
361.8,0.024976
362,0.023133
362.2,0.022616
362.4,0.020432
362.6,0.019144
362.8,0.020621
363,0.023098
363.2,0.02671
363.4,0.031621
363.6,0.043099
363.8,0.061675
364,0.101
364.2,0.165
364.4,0.253
364.6,0.372
364.8,0.49
365,0.851
365.2,1.184
365.4,1.248
365.6,1.25
365.8,1.235
366,1.177
366.2,1.108
366.4,1.008
366.6,0.915
366.8,0.826
367,0.756
367.2,0.728
367.4,0.69
367.6,0.647
367.8,0.646
368,0.649
368.2,0.671
368.4,0.695
368.6,0.73
368.8,0.752
369,0.789
369.2,0.811
369.4,0.84
369.6,0.809
369.8,0.807
370,0.792
370.2,0.772
370.4,0.736
370.6,0.692
370.8,0.68
371,0.67
371.2,0.674
371.4,0.685
371.6,0.714
371.8,0.76
372,0.834
372.2,0.926
372.4,0.998
372.6,1.094
372.8,1.128
373,1.169
373.2,1.157
373.4,1.124
373.6,1.068
373.8,1.008
374,0.935
374.2,0.852
374.4,0.796
374.6,0.744
374.8,0.698
375,0.69
375.2,0.701
375.4,0.715
375.6,0.747
375.8,0.831
376,0.967
376.2,1.157
376.4,1.348
376.6,1.528
376.8,1.647
377,1.697
377.2,1.739
377.4,1.734
377.6,1.677
377.8,1.605
378,1.541
378.2,1.483
378.4,1.4
378.6,1.357
378.8,1.284
379,1.256
379.2,1.216
379.4,1.14
379.6,1.062
379.8,0.972
380,0.147
380.2,0.138
380.4,0.13
380.6,0.066436
380.8,0.034026
381,0.018648
381.2,0.011084
381.4,0.0065885
381.6,0.0055189
381.8,0.0046228
382,0.0043175
382.2,0.0040345
382.4,0.0035739
382.6,0.0029657
382.8,0.002461
383,0.0027013
383.2,0.0029594
383.4,0.0030088
383.6,0.0030591
383.8,0.0032922
384,0.0037637
384.2,0.0043028
384.4,0.0057633
384.6,0.0077824
384.8,0.017899
385,0.041166
385.2,0.078681
385.4,0.123
385.6,0.191
385.8,0.0024229
386,3.2119E-05
386.2,3.1825E-05
386.4,3.1533E-05
386.6,0.00015421
386.8,0.0045638
387,0.135
387.2,0.219
387.4,0.356
387.6,0.186
387.8,0.096914
388,0.051133
388.2,0.027332
388.4,0.01461
388.6,0.013852
388.8,0.013133
389,0.011809
389.2,0.010613
389.4,0.0096644
389.6,0.0089444
389.8,0.008278
390,0.01009
390.2,0.012295
390.4,0.014838
390.6,0.017905
390.8,0.022093
391,0.027912
391.2,0.035263
391.4,0.050744
391.6,0.073047
391.8,0.109
392,0.162
392.2,0.24
392.4,0.358
392.6,0.534
392.8,0.752
393,1.081
393.2,1.499
393.4,1.976
393.6,2.543
393.8,3.166
394,3.914
394.2,4.992
394.4,6.058
394.6,7.278
394.8,8.725
395,10.42
395.2,12.314
395.4,14.807
395.6,17.306
395.8,19.784
396,22.293
396.2,24.841
396.4,27.349
396.6,29.696
396.8,29.702
397,29.875
397.2,31.779
397.4,33.815
397.6,35.71
397.8,37.582
398,39.398
398.2,39.385
398.4,42.509
398.6,43.733
398.8,44.916
399,45.893
399.2,46.664
399.4,47.258
399.6,47.28
399.8,48.866
400,50.209
400.2,51.924
400.4,54.493
400.6,57.574
400.8,61.524
401,63.708
401.2,70.455
401.4,75.13
401.6,79.794
401.8,83.995
402,87.639
402.2,90.848
402.4,91.069
402.6,94.267
402.8,95.236
403,95.586
403.2,96.07
403.4,96.367
403.6,95.183
403.8,96.375
404,96.329
404.2,96.238
404.4,96.265
404.6,96.101
404.8,95.958
405,95.939
405.2,95.69
405.4,95.69
405.6,96.036
405.8,96.002
406,96.158
406.2,96.277
406.4,96.665
406.6,96.738
406.8,96.785
407,97.116
407.2,97.033
407.4,97.115
407.6,97.057
407.8,96.876
408,96.831
408.2,96.953
408.4,97.213
408.6,96.947
408.8,97.164
409,97.067
409.2,97.064
409.4,96.962
409.6,96.872
409.8,96.993
410,97.082
410.2,97.036
410.4,97.038
410.6,97.009
410.8,97.061
411,96.959
411.2,97
411.4,96.959
411.6,96.982
411.8,97.015
412,97.113
412.2,97.125
412.4,97.22
412.6,97.116
412.8,97.143
413,97.347
413.2,97.247
413.4,97.165
413.6,97.252
413.8,97.1
414,96.941
414.2,96.841
414.4,96.704
414.6,96.794
414.8,96.679
415,96.505
415.2,96.528
415.4,96.522
415.6,96.555
415.8,96.6
416,96.721
416.2,96.932
416.4,96.882
416.6,97.035
416.8,97.088
417,97.091
417.2,97.025
417.4,97.105
417.6,97.026
417.8,96.766
418,96.553
418.2,96.614
418.4,96.53
418.6,96.518
418.8,96.622
419,96.412
419.2,96.599
419.4,96.451
419.6,96.665
419.8,96.899
420,97.035
420.2,97.282
420.4,97.426
420.6,97.371
420.8,97.756
421,98.081
421.2,98.199
421.4,98.411
421.6,98.525
421.8,98.51
422,98.615
422.2,98.602
422.4,98.734
422.6,98.783
422.8,98.763
423,98.744
423.2,98.706
423.4,98.541
423.6,98.437
423.8,98.452
424,98.171
424.2,98.215
424.4,98.019
424.6,98.092
424.8,98.036
425,97.919
425.2,98.044
425.4,97.97
425.6,97.905
425.8,97.803
426,97.699
426.2,97.842
426.4,97.73
426.6,97.486
426.8,97.265
427,97.246
427.2,97.216
427.4,97.037
427.6,97.125
427.8,97.181
428,97.085
428.2,97.079
428.4,97.271
428.6,97.493
428.8,97.524
429,97.722
429.2,97.827
429.4,97.673
429.6,97.874
429.8,98.044
430,98.043
430.2,98.034
430.4,97.79
430.6,97.773
430.8,97.739
431,97.639
431.2,97.353
431.4,96.993
431.6,96.794
431.8,96.551
432,96.242
432.2,96.474
432.4,96.603
432.6,96.635
432.8,96.689
433,96.847
433.2,96.971
433.4,97.141
433.6,97.416
433.8,97.845
434,98.022
434.2,98.059
434.4,98.096
434.6,97.969
434.8,98.097
435,98
435.2,97.579
435.4,97.292
435.6,97.157
435.8,97.169
436,97.009
436.2,96.707
436.4,96.541
436.6,96.369
436.8,96.362
437,96.222
437.2,96.389
437.4,96.36
437.6,96.432
437.8,96.383
438,96.313
438.2,96.476
438.4,96.436
438.6,96.509
438.8,96.62
439,96.749
439.2,96.97
439.4,96.833
439.6,96.981
439.8,97.035
440,97.129
440.2,97.26
440.4,97.111
440.6,97.079
440.8,97.178
441,97.381
441.2,97.463
441.4,97.36
441.6,97.471
441.8,97.454
442,97.448
442.2,97.224
442.4,97.111
442.6,96.934
442.8,96.916
443,96.806
443.2,96.669
443.4,96.596
443.6,96.588
443.8,96.478
444,96.304
444.2,96.345
444.4,96.304
444.6,96.162
444.8,96.006
445,96.191
445.2,96.121
445.4,95.981
445.6,95.812
445.8,95.903
446,95.879
446.2,95.699
446.4,95.664
446.6,95.522
446.8,95.5
447,95.335
447.2,95.312
447.4,95.424
447.6,95.185
447.8,95.257
448,95.377
448.2,95.578
448.4,95.735
448.6,95.646
448.8,95.841
449,95.874
449.2,96.043
449.4,95.908
449.6,95.639
449.8,95.386
450,94.879
450.2,94.403
450.4,93.819
450.6,92.904
450.8,91.771
451,90.358
451.2,88.551
451.4,86.758
451.6,84.572
451.8,82.13
452,79.264
452.2,76.189
452.4,73.034
452.6,69.873
452.8,66.71
453,63.52
453.2,60.552
453.4,57.799
453.6,55.158
453.8,52.569
454,50.249
454.2,48.016
454.4,45.867
454.6,43.658
454.8,41.499
455,39.659
455.2,37.412
455.4,34.58
455.6,31.597
455.8,28.425
456,25.27
456.2,22.019
456.4,18.96
456.6,16.12
456.8,13.468
457,11.166
457.2,9.205
457.4,7.563
457.6,6.228
457.8,5.116
458,4.24
458.2,3.561
458.4,3.021
458.6,2.57
458.8,2.215
459,1.941
459.2,1.715
459.4,1.522
459.6,1.378
459.8,1.255
460,1.155
460.2,1.08
460.4,1.03
460.6,0.985
460.8,0.964
461,0.964
461.2,0.98
461.4,1.026
461.6,1.088
461.8,1.154
462,1.227
462.2,1.287
462.4,1.348
462.6,1.401
462.8,1.452
463,1.499
463.2,1.557
463.4,1.604
463.6,1.645
463.8,1.701
464,1.784
464.2,1.86
464.4,1.963
464.6,2.073
464.8,2.216
465,2.421
465.2,2.614
465.4,2.727
465.6,2.81
465.8,2.852
466,2.849
466.2,2.811
466.4,2.726
466.6,2.605
466.8,2.463
467,2.297
467.2,2.126
467.4,1.963
467.6,1.785
467.8,1.642
468,1.494
468.2,1.368
468.4,1.255
468.6,1.155
468.8,1.071
469,0.995
469.2,0.921
469.4,0.852
469.6,0.794
469.8,0.74
470,0.695
470.2,0.636
470.4,0.591
470.6,0.542
470.8,0.508
471,0.462
471.2,0.423
471.4,0.384
471.6,0.35
471.8,0.327
472,0.296
472.2,0.269
472.4,0.25
472.6,0.227
472.8,0.213
473,0.194
473.2,0.179
473.4,0.168
473.6,0.156
473.8,0.149
474,0.14
474.2,0.134
474.4,0.125
474.6,0.12
474.8,0.118
475,0.112
475.2,0.113
475.4,0.11
475.6,0.108
475.8,0.106
476,0.104
476.2,0.104
476.4,0.103
476.6,0.103
476.8,0.103
477,0.103
477.2,0.104
477.4,0.104
477.6,0.105
477.8,0.106
478,0.107
478.2,0.109
478.4,0.11
478.6,0.112
478.8,0.113
479,0.115
479.2,0.117
479.4,0.119
479.6,0.121
479.8,0.123
480,0.12
480.2,0.123
480.4,0.126
480.6,0.128
480.8,0.131
481,0.135
481.2,0.138
481.4,0.143
481.6,0.148
481.8,0.153
482,0.159
482.2,0.167
482.4,0.175
482.6,0.185
482.8,0.193
483,0.201
483.2,0.216
483.4,0.233
483.6,0.253
483.8,0.278
484,0.308
484.2,0.342
484.4,0.39
484.6,0.442
484.8,0.504
485,0.578
485.2,0.669
485.4,0.779
485.6,0.898
485.8,1.093
486,1.247
486.2,1.411
486.4,1.568
486.6,1.71
486.8,1.853
487,1.975
487.2,2.064
487.4,2.146
487.6,2.189
487.8,2.215
488,2.205
488.2,2.169
488.4,2.119
488.6,2.04
488.8,1.95
489,1.858
489.2,1.763
489.4,1.672
489.6,1.601
489.8,1.539
490,1.498
490.2,1.486
490.4,1.503
490.6,1.558
490.8,1.644
491,1.746
491.2,1.866
491.4,2.18
491.6,2.335
491.8,2.482
492,2.636
492.2,2.809
492.4,2.984
492.6,3.178
492.8,3.181
493,3.357
493.2,3.606
493.4,3.916
493.6,4.313
493.8,4.819
494,5.453
494.2,6.112
494.4,6.858
494.6,7.995
494.8,9.357
495,10.965
495.2,12.825
495.4,14.968
495.6,17.244
495.8,19.532
496,22.205
496.2,24.974
496.4,27.88
496.6,30.761
496.8,33.59
497,36.249
497.2,38.639
497.4,41.04
497.6,43.36
497.8,45.305
498,47.067
498.2,48.922
498.4,50.696
498.6,52.77
498.8,54.738
499,56.984
499.2,59.4
499.4,61.843
499.6,64.532
499.8,67.492
500,70.552
500.2,73.875
500.4,76.957
500.6,79.737
500.8,82.494
501,85.353
501.2,87.803
501.4,89.673
501.6,91.397
501.8,93.023
502,94.086
502.2,95.02
502.4,95.476
502.6,95.961
502.8,96.222
503,96.517
503.2,96.749
503.4,96.651
503.6,96.431
503.8,96.503
504,96.436
504.2,96.47
504.4,96.658
504.6,96.742
504.8,96.788
505,96.941
505.2,97.096
505.4,97.264
505.6,97.325
505.8,97.287
506,97.639
506.2,97.799
506.4,97.816
506.6,97.919
506.8,97.844
507,97.72
507.2,97.806
507.4,98.007
507.6,97.857
507.8,97.943
508,97.693
508.2,97.894
508.4,98.178
508.6,98.178
508.8,98.174
509,98.076
509.2,98.12
509.4,98.09
509.6,98.185
509.8,98.213
510,98.38
510.2,98.289
510.4,98.226
510.6,98.336
510.8,98.346
511,98.354
511.2,98.235
511.4,98.047
511.6,98.052
511.8,98.055
512,97.831
512.2,97.917
512.4,97.618
512.6,97.557
512.8,97.242
513,97.284
513.2,97.184
513.4,97.133
513.6,97.029
513.8,96.919
514,96.601
514.2,96.744
514.4,96.881
514.6,96.597
514.8,96.626
515,96.887
515.2,96.885
515.4,97.012
515.6,97.121
515.8,97.212
516,97.136
516.2,97.058
516.4,97.08
516.6,97.013
516.8,97.02
517,97.249
517.2,97.185
517.4,97.254
517.6,97.284
517.8,97.398
518,97.253
518.2,97.367
518.4,97.456
518.6,97.593
518.8,97.564
519,97.8
519.2,97.685
519.4,97.68
519.6,97.718
519.8,97.758
520,97.833
520.2,97.535
520.4,97.518
520.6,97.582
520.8,97.643
521,97.792
521.2,97.784
521.4,97.81
521.6,97.54
521.8,97.574
522,97.561
522.2,97.641
522.4,97.598
522.6,97.51
522.8,97.458
523,97.294
523.2,97.315
523.4,97.43
523.6,97.432
523.8,97.682
524,97.676
524.2,97.704
524.4,97.633
524.6,97.599
524.8,97.881
525,97.839
525.2,97.819
525.4,97.831
525.6,98.061
525.8,97.967
526,97.989
526.2,98.195
526.4,98.189
526.6,98.093
526.8,98.24
527,98.07
527.2,98.198
527.4,98.312
527.6,98.218
527.8,98.248
528,98.17
528.2,97.994
528.4,98.028
528.6,98.036
528.8,98.293
529,98.164
529.2,97.955
529.4,97.913
529.6,97.797
529.8,97.581
530,97.276
530.2,97.207
530.4,97.072
530.6,97.266
530.8,97.358
531,97.455
531.2,97.43
531.4,97.413
531.6,97.377
531.8,97.449
532,97.358
532.2,97.149
532.4,97.335
532.6,97.519
532.8,97.415
533,97.309
533.2,97.136
533.4,97.1
533.6,97.157
533.8,97.341
534,97.369
534.2,97.325
