Type,Dichroic
Maker,"Semrock"
ProductName,"FF408/504/581/667/762-Di01-25x36"
Comment,""
Public,1
wavedataset
371,0.030682
371.2,0.029804
371.4,0.024622
371.6,0.0215
371.8,0.023783
372,0.025149
372.2,0.027732
372.4,0.033507
372.6,0.041376
372.8,0.040511
373,0.039549
373.2,0.04017
373.4,0.040921
373.6,0.039573
373.8,0.033732
374,0.033001
374.2,0.026353
374.4,0.026894
374.6,0.023237
374.8,0.022931
375,0.028821
375.2,0.032504
375.4,0.042579
375.6,0.053208
375.8,0.074052
376,0.104
376.2,0.14
376.4,0.159
376.6,0.188
376.8,0.192
377,0.185
377.2,0.184
377.4,0.17
377.6,0.14
377.8,0.103
378,0.075803
378.2,0.046096
378.4,0.035576
378.6,0.026055
378.8,0.023691
379,0.016575
379.2,0.019113
379.4,0.025459
379.6,0.021112
379.8,0.028488
380,0.035564
380.2,0.049096
380.4,0.088727
380.6,0.169
380.8,0.369
381,0.728
381.2,1.199
381.4,1.655
381.6,2.046
381.8,2.326
382,2.444
382.2,2.455
382.4,2.373
382.6,2.173
382.8,1.887
383,1.563
383.2,1.262
383.4,1.04
383.6,0.893
383.8,0.811
384,0.796
384.2,0.775
384.4,0.786
384.6,0.793
384.8,0.765
385,0.751
385.2,0.703
385.4,0.641
385.6,0.578
385.8,0.49
386,0.426
386.2,0.369
386.4,0.362
386.6,0.395
386.8,0.468
387,0.603
387.2,0.817
387.4,1.148
387.6,1.601
387.8,2.164
388,2.792
388.2,3.48
388.4,4.107
388.6,4.661
388.8,5.214
389,5.589
389.2,5.912
389.4,6.112
389.6,6.158
389.8,6.164
390,5.997
390.2,5.848
390.4,5.668
390.6,5.41
390.8,5.097
391,4.791
391.2,4.471
391.4,4.111
391.6,3.75
391.8,3.432
392,3.337
392.2,3.181
392.4,3.018
392.6,2.977
392.8,2.997
393,3.112
393.2,3.323
393.4,3.632
393.6,3.985
393.8,4.312
394,4.584
394.2,4.796
394.4,4.902
394.6,4.925
394.8,4.784
395,4.483
395.2,4.137
395.4,3.74
395.6,3.339
395.8,2.878
396,2.53
396.2,2.199
396.4,1.963
396.6,1.825
396.8,1.742
397,1.711
397.2,1.772
397.4,1.884
397.6,2.001
397.8,2.1
398,2.224
398.2,2.26
398.4,2.265
398.6,2.237
398.8,2.155
399,2.009
399.2,1.844
399.4,1.675
399.6,1.454
399.8,1.287
400,1.144
400.2,1.039
400.4,0.929
400.6,0.891
400.8,0.864
401,0.837
401.2,0.819
401.4,0.817
401.6,0.784
401.8,0.753
402,0.755
402.2,0.735
402.4,0.712
402.6,0.701
402.8,0.703
403,0.695
403.2,0.688
403.4,0.734
403.6,0.753
403.8,0.773
404,0.84
404.2,0.941
404.4,1.05
404.6,1.246
404.8,1.489
405,1.785
405.2,2.184
405.4,2.719
405.6,3.347
405.8,4.124
406,5.046
406.2,6.133
406.4,7.459
406.6,9.02
406.8,10.926
407,13.17
407.2,15.794
407.4,18.793
407.6,22.063
407.8,25.553
408,29.047
408.2,32.578
408.4,35.801
408.6,38.636
408.8,41.587
409,43.942
409.2,46.18
409.4,48.244
409.6,50.443
409.8,52.979
410,55.933
410.2,59.446
410.4,63.426
410.6,67.76
410.8,72.239
411,76.585
411.2,80.682
411.4,84.504
411.6,87.682
411.8,90.064
412,91.676
412.2,92.707
412.4,93.176
412.6,93.551
412.8,93.421
413,93.248
413.2,92.895
413.4,92.608
413.6,92.763
413.8,92.52
414,92.464
414.2,92.349
414.4,92.366
414.6,92.4
414.8,92.449
415,92.446
415.2,92.593
415.4,92.885
415.6,92.878
415.8,93.016
416,93.22
416.2,93.285
416.4,93.086
416.6,93.234
416.8,93.211
417,93.298
417.2,93.503
417.4,93.398
417.6,93.299
417.8,93.319
418,93.443
418.2,93.44
418.4,93.236
418.6,93.377
418.8,93.228
419,93.188
419.2,93.139
419.4,93.071
419.6,93.024
419.8,93
420,93.046
420.2,93.063
420.4,93.129
420.6,93.387
420.8,93.462
421,93.721
421.2,93.526
421.4,93.397
421.6,93.387
421.8,93.347
422,93.421
422.2,93.334
422.4,93.234
422.6,92.881
422.8,92.817
423,92.692
423.2,92.579
423.4,92.515
423.6,92.383
423.8,92.341
424,92.278
424.2,92.465
424.4,92.265
424.6,92.06
424.8,92.221
425,92.278
425.2,92.34
425.4,92.186
425.6,92.001
425.8,91.989
426,92.103
426.2,92.049
426.4,91.9
426.6,91.873
426.8,91.974
427,92.049
427.2,92.067
427.4,92.255
427.6,92.291
427.8,92.283
428,92.262
428.2,92.261
428.4,92.148
428.6,92.174
428.8,92.211
429,92.244
429.2,92.425
429.4,92.578
429.6,92.527
429.8,92.493
430,92.616
430.2,92.582
430.4,92.497
430.6,92.523
430.8,92.497
431,92.566
431.2,92.747
431.4,92.704
431.6,92.855
431.8,92.965
432,92.94
432.2,93.157
432.4,93.372
432.6,93.548
432.8,93.693
433,93.65
433.2,93.576
433.4,93.761
433.6,93.776
433.8,93.748
434,93.756
434.2,93.542
434.4,93.551
434.6,93.454
434.8,93.406
435,93.658
435.2,93.422
435.4,93.498
435.6,93.634
435.8,93.717
436,93.87
436.2,93.769
436.4,93.771
436.6,93.748
436.8,93.707
437,93.647
437.2,93.552
437.4,93.374
437.6,93.372
437.8,93.257
438,93.013
438.2,93.157
438.4,93.014
438.6,92.952
438.8,92.675
439,92.722
439.2,92.767
439.4,92.667
439.6,92.807
439.8,92.757
440,92.781
440.2,92.751
440.4,92.821
440.6,92.744
440.8,92.626
441,92.699
441.2,92.701
441.4,92.862
441.6,92.948
441.8,92.86
442,92.964
442.2,92.959
442.4,93.038
442.6,93.02
442.8,93.201
443,93.308
443.2,93.473
443.4,93.507
443.6,93.331
443.8,93.552
444,93.597
444.2,93.746
444.4,93.83
444.6,93.899
444.8,93.895
445,93.958
445.2,93.73
445.4,93.531
445.6,93.473
445.8,93.394
446,93.418
446.2,93.418
446.4,93.148
446.6,93.125
446.8,93.149
447,92.93
447.2,92.961
447.4,92.85
447.6,92.715
447.8,92.52
448,92.398
448.2,92.202
448.4,92.233
448.6,91.945
448.8,92.129
449,91.98
449.2,91.83
449.4,91.89
449.6,91.817
449.8,91.707
450,91.689
450.2,91.616
450.4,91.696
450.6,91.781
450.8,91.749
451,91.703
451.2,91.969
451.4,91.911
451.6,91.928
451.8,91.878
452,91.872
452.2,91.688
452.4,91.697
452.6,91.831
452.8,92.037
453,92.127
453.2,92.06
453.4,92.055
453.6,92.341
453.8,92.218
454,92.364
454.2,92.639
454.4,92.911
454.6,93.093
454.8,93.282
455,93.507
455.2,93.878
455.4,94.004
455.6,94.212
455.8,94.336
456,94.341
456.2,94.447
456.4,94.359
456.6,94.163
456.8,94.158
457,93.746
457.2,93.558
457.4,93.525
457.6,93.346
457.8,92.897
458,92.624
458.2,92.671
458.4,92.798
458.6,92.619
458.8,92.594
459,92.613
459.2,92.474
459.4,92.446
459.6,92.383
459.8,92.234
460,92.275
460.2,92.26
460.4,92.258
460.6,92.442
460.8,92.485
461,92.724
461.2,92.734
461.4,92.937
461.6,92.988
461.8,93.016
462,93.013
462.2,92.694
462.4,92.353
462.6,91.535
462.8,90.27
463,88.473
463.2,86.447
463.4,84.021
463.6,81.218
463.8,78.043
464,74.672
464.2,71.22
464.4,67.742
464.6,64.295
464.8,60.731
465,57.003
465.2,53.533
465.4,50.093
465.6,46.711
465.8,43.482
466,40.233
466.2,37.045
466.4,33.701
466.6,30.532
466.8,27.369
467,24.377
467.2,21.48
467.4,18.935
467.6,16.588
467.8,14.613
468,12.971
468.2,11.614
468.4,10.553
468.6,9.675
468.8,8.938
469,8.379
469.2,7.887
469.4,7.477
469.6,7.105
469.8,6.713
470,6.347
470.2,5.964
470.4,5.577
470.6,5.193
470.8,4.77
471,4.34
471.2,3.936
471.4,3.52
471.6,3.128
471.8,2.759
472,2.432
472.2,2.132
472.4,1.858
472.6,1.618
472.8,1.438
473,1.265
473.2,1.121
473.4,1.01
473.6,0.905
473.8,0.818
474,0.746
474.2,0.681
474.4,0.629
474.6,0.586
474.8,0.544
475,0.51
475.2,0.474
475.4,0.444
475.6,0.418
475.8,0.402
476,0.385
476.2,0.368
476.4,0.351
476.6,0.33
476.8,0.324
477,0.318
477.2,0.31
477.4,0.303
477.6,0.306
477.8,0.307
478,0.31
478.2,0.311
478.4,0.324
478.6,0.346
478.8,0.361
479,0.388
479.2,0.424
479.4,0.469
479.6,0.54
479.8,0.655
480,0.819
480.2,1.016
480.4,1.248
480.6,1.483
480.8,1.688
481,1.871
481.2,2.015
481.4,2.12
481.6,2.188
481.8,2.23
482,2.217
482.2,2.175
482.4,2.07
482.6,1.932
482.8,1.741
483,1.522
483.2,1.286
483.4,1.065
483.6,0.873
483.8,0.725
484,0.621
484.2,0.554
484.4,0.506
484.6,0.485
484.8,0.472
485,0.465
485.2,0.461
485.4,0.468
485.6,0.476
485.8,0.482
486,0.496
486.2,0.507
486.4,0.518
486.6,0.535
486.8,0.547
487,0.56
487.2,0.567
487.4,0.579
487.6,0.581
487.8,0.594
488,0.6
488.2,0.613
488.4,0.619
488.6,0.628
488.8,0.651
489,0.679
489.2,0.707
489.4,0.755
489.6,0.82
489.8,0.903
490,1.024
490.2,1.176
490.4,1.375
490.6,1.613
490.8,1.889
491,2.188
491.2,2.491
491.4,2.779
491.6,3.041
491.8,3.271
492,3.47
492.2,3.641
492.4,3.775
492.6,3.85
492.8,3.861
493,3.811
493.2,3.695
493.4,3.521
493.6,3.306
493.8,3.102
494,2.885
494.2,2.696
494.4,2.543
494.6,2.421
494.8,2.329
495,2.261
495.2,2.233
495.4,2.253
495.6,2.324
495.8,2.434
496,2.584
496.2,2.753
496.4,2.939
496.6,3.112
496.8,3.278
497,3.43
497.2,3.553
497.4,3.627
497.6,3.685
497.8,3.692
498,3.673
498.2,3.616
498.4,3.522
498.6,3.415
498.8,3.285
499,3.159
499.2,3.037
499.4,2.929
499.6,2.844
499.8,2.782
500,2.906
500.2,2.999
