Type,Dichroic
Maker,"Semrock"
ProductName,"FF493/574-Di01-25x36"
Comment,""
Public,1
wavedataset
300,0.00011167
300.2,0.00011683
300.4,0.00012223
300.6,0.00012788
300.8,0.00013379
301,0.00013998
301.2,0.00014645
301.4,0.00015322
301.6,0.0001603
301.8,0.00016771
302,0.00017547
302.2,0.00018358
302.4,0.00019207
302.6,0.00020094
302.8,0.00021023
303,0.00021995
303.2,0.00023012
303.4,0.00024076
303.6,0.00025189
303.8,0.00026354
304,0.00026873
304.2,0.00027365
304.4,0.00027867
304.6,0.00028377
304.8,0.00028897
305,0.00029427
305.2,0.00021176
305.4,0.00015239
305.6,0.00010967
305.8,7.8918E-05
306,5.6792E-05
306.2,6.0802E-05
306.4,7.3052E-05
306.6,8.777E-05
306.8,0.00010545
307,0.0001267
307.2,0.00015223
307.4,0.0001829
307.6,0.00021975
307.8,0.00026402
308,0.00030165
308.2,0.0003201
308.4,0.00033967
308.6,0.00036044
308.8,0.00038248
309,0.00040587
309.2,0.00043068
309.4,0.00045702
309.6,0.00048496
309.8,0.00051181
310,0.00047374
310.2,0.00043851
310.4,0.00040589
310.6,0.0003757
310.8,0.00034776
311,0.00032189
311.2,0.00029795
311.4,0.00027579
311.6,0.00025527
311.8,0.00021985
312,0.00018289
312.2,0.00015214
312.4,0.00012656
312.6,0.00010528
312.8,8.7576E-05
313,7.2851E-05
313.2,6.0602E-05
313.4,5.0412E-05
313.6,4.7884E-05
313.8,6.11E-05
314,7.7964E-05
314.2,9.9482E-05
314.4,0.00012694
314.6,0.00016198
314.8,0.00020668
315,0.00026373
315.2,0.00033652
315.4,0.0004294
315.6,0.00034251
315.8,0.00026653
316,0.0002074
316.2,0.00016139
316.4,0.00012559
316.6,9.7725E-05
316.8,7.6045E-05
317,5.9175E-05
317.2,4.6048E-05
317.4,4.8647E-05
317.6,6.3558E-05
317.8,8.304E-05
318,0.00010849
318.2,0.00014175
318.4,0.0001852
318.6,0.00024197
318.8,0.00031613
319,0.00041304
319.2,0.0005073
319.4,0.00050955
319.6,0.00051181
319.8,0.00051408
320,0.00051636
320.2,0.00051865
320.4,0.00052095
320.6,0.00052326
320.8,0.00052557
321,0.0005279
321.2,0.00055966
321.4,0.00059791
321.6,0.00063878
321.8,0.00068244
322,0.00072909
322.2,0.00077893
322.4,0.00083217
322.6,0.00088905
322.8,0.00094982
323,0.00096814
323.2,0.0009457
323.4,0.00092379
323.6,0.00090238
323.8,0.00088147
324,0.00086105
324.2,0.0008411
324.4,0.00082161
324.6,0.00080257
324.8,0.00079463
325,0.00083849
325.2,0.00088478
325.4,0.00093361
325.6,0.00098514
325.8,0.0010395
326,0.0010969
326.2,0.0011574
326.4,0.0012213
326.6,0.0012887
326.8,0.0013122
327,0.0013259
327.2,0.0013399
327.4,0.0013539
327.6,0.0013681
327.8,0.0013825
328,0.001397
328.2,0.0014117
328.4,0.0014265
328.6,0.0014262
328.8,0.0014091
329,0.0013922
329.2,0.0013755
329.4,0.001359
329.6,0.0013427
329.8,0.0013266
330,0.0013108
330.2,0.001295
330.4,0.0012863
330.6,0.0013239
330.8,0.0013625
331,0.0014023
331.2,0.0014432
331.4,0.0014853
331.6,0.0015286
331.8,0.0015733
332,0.0016192
332.2,0.0016664
332.4,0.0016983
332.6,0.0017261
332.8,0.0017544
333,0.0017831
333.2,0.0018123
333.4,0.001842
333.6,0.0018721
333.8,0.0019028
334,0.001934
334.2,0.001956
334.4,0.001966
334.6,0.0019762
334.8,0.0019864
335,0.0019966
335.2,0.0020069
335.4,0.0020172
335.6,0.0020276
335.8,0.0020381
336,0.0020533
336.2,0.0021092
336.4,0.0021667
336.6,0.0022258
336.8,0.0022864
337,0.0023487
337.2,0.0024127
337.4,0.0024785
337.6,0.002546
337.8,0.0026154
338,0.0026884
338.2,0.002764
338.4,0.0028417
338.6,0.0029216
338.8,0.0030037
339,0.0030882
339.2,0.003175
339.4,0.0032642
339.6,0.003356
339.8,0.0034092
340,0.0034096
340.2,0.0034101
340.4,0.0034105
340.6,0.003411
340.8,0.0034114
341,0.0034119
341.2,0.0034123
341.4,0.0034128
341.6,0.0034309
341.8,0.0036125
342,0.0038037
342.2,0.0040051
342.4,0.0042171
342.6,0.0044404
342.8,0.0046754
343,0.0049229
343.2,0.0051836
343.4,0.005458
343.6,0.0056002
343.8,0.0057018
344,0.0058053
344.2,0.0059107
344.4,0.006018
344.6,0.0061273
344.8,0.0062385
345,0.0063517
345.2,0.0064671
345.4,0.0065374
345.6,0.0065486
345.8,0.0065598
346,0.006571
346.2,0.0065822
346.4,0.0065934
346.6,0.0066047
346.8,0.0066159
347,0.0066272
347.2,0.0066168
347.4,0.0064328
347.6,0.006254
347.8,0.0060801
348,0.0059111
348.2,0.0057468
348.4,0.005587
348.6,0.0054317
348.8,0.0052807
349,0.0051339
349.2,0.0052301
349.4,0.0053968
349.6,0.0055687
349.8,0.0057462
350,0.0059293
350.2,0.0061182
350.4,0.0063131
350.6,0.0065143
350.8,0.0067219
351,0.007276
351.2,0.0083308
351.4,0.0095385
351.6,0.010921
351.8,0.012505
352,0.014318
352.2,0.016393
352.4,0.01877
352.6,0.021491
352.8,0.024995
353,0.032013
353.2,0.041
353.4,0.05251
353.6,0.067251
353.8,0.086131
354,0.11
354.2,0.141
354.4,0.181
354.6,0.232
354.8,0.244
355,0.245
355.2,0.247
355.4,0.248
355.6,0.25
355.8,0.251
356,0.253
356.2,0.254
356.4,0.256
356.6,0.255
356.8,0.253
357,0.25
357.2,0.247
357.4,0.245
357.6,0.242
357.8,0.239
358,0.237
358.2,0.234
358.4,0.232
358.6,0.233
358.8,0.234
359,0.235
359.2,0.236
359.4,0.237
359.6,0.238
359.8,0.239
360,0.24
360.2,0.241
360.4,0.24
360.6,0.24
360.8,0.239
361,0.238
361.2,0.237
361.4,0.237
361.6,0.236
361.8,0.235
362,0.234
362.2,0.226
362.4,0.213
362.6,0.2
362.8,0.188
363,0.177
363.2,0.166
363.4,0.157
363.6,0.147
363.8,0.138
364,0.127
364.2,0.107
364.4,0.091027
364.6,0.077107
364.8,0.065315
365,0.055327
365.2,0.046162
365.4,0.040602
365.6,0.04812
365.8,0.044084
366,0.046377
366.2,0.045002
366.4,0.043407
