Type,Dichroic
Maker,"Chroma"
ProductName,"Q430LP"
Comment,""
Public,1
wavedataset
300,0.00095
301,0.00095
302,0.00095
303,0.00095
304,0.00095
305,0.00095
306,0.00095
307,0.00095
308,0.00095
309,0.00095
310,0.00095
311,0.00095
312,0.00095
313,0.00095
314,0.00095
315,0.00095
316,0.00139191
317,0.00210571
318,0.0031738
319,0.00477467
320,0.00718358
321,0.00920871
322,0.0118424
323,0.0152886
324,0.0198244
325,0.025825
326,0.0337994
327,0.0444371
328,0.058672
329,0.0777675
330,0.103432
331,0.126645
332,0.155297
333,0.190622
334,0.234082
335,0.287392
336,0.352525
337,0.431735
338,0.5276
339,0.643135
340,0.781996
341,0.869844
342,0.966578
343,1.0735
344,1.19183
345,1.32247
346,1.46581
347,1.62171
348,1.78978
349,1.96991
350,2.16279
351,2.37166
352,2.59854
353,2.84717
354,3.12037
355,3.41828
356,3.73689
357,4.06783
358,4.40051
359,4.72653
360,5.04474
361,5.5467
362,6.1196
363,6.85528
364,7.84517
365,9.11266
366,10.5027
367,11.7252
368,12.5335
369,12.9273
370,13.1372
371,13.1285
372,13.7649
373,15.4637
374,18.5255
375,22.0849
376,23.4099
377,23.6537
378,23.0287
379,20.9329
380,18.461
381,16.8948
382,17.8299
383,18.3687
384,14.7765
385,15.314
386,19.0598
387,21.0269
388,14.4885
389,7.3436
390,3.73273
391,2.09234
392,1.28637
393,0.8549
394,0.606061
395,0.453645
396,0.356821
397,0.291975
398,0.247488
399,0.216592
400,0.1952
401,0.180192
402,0.170554
403,0.165302
404,0.163877
405,0.166043
406,0.171597
407,0.180936
408,0.194588
409,0.2134
410,0.238629
411,0.271306
412,0.314416
413,0.371516
414,0.447763
415,0.550741
416,0.689317
417,0.881291
418,1.15195
419,1.5409
420,2.1113
421,2.95371
422,4.23342
423,6.20577
424,9.25713
425,13.8912
426,20.4374
427,28.6887
428,37.1956
429,44.0279
430,48.6639
431,52.3482
432,56.9929
433,63.5811
434,71.3854
435,78.2228
436,82.4233
437,84.2204
438,84.6644
439,84.6296
440,84.5606
441,84.6111
442,84.7987
443,85.0951
444,85.4625
445,85.866
446,86.2749
447,86.6677
448,87.0273
449,87.3437
450,87.614
451,87.8419
452,88.0386
453,88.2171
454,88.391
455,88.5716
456,88.7645
457,88.9713
458,89.187
459,89.4009
460,89.5987
461,89.7644
462,89.8836
463,89.9449
464,89.9425
465,89.8766
466,89.7559
467,89.5917
468,89.3999
469,89.1985
470,89.0051
471,88.8249
472,88.6817
473,88.5849
474,88.5402
475,88.5496
476,88.6063
477,88.7115
478,88.8593
479,89.0422
480,89.2521
481,89.4572
482,89.6724
483,89.8897
484,90.102
485,90.3029
486,90.4803
487,90.6351
488,90.762
489,90.8564
490,90.9138
491,90.9249
492,90.8923
493,90.814
494,90.6897
495,90.5209
496,90.3122
497,90.0689
498,89.7991
499,89.5127
500,89.2211
501,88.9385
502,88.676
503,88.446
504,88.2602
505,88.1287
506,88.0599
507,88.0596
508,88.131
509,88.2741
510,88.4856
511,88.7546
512,89.0739
513,89.43
514,89.8065
515,90.1847
516,90.5446
517,90.8663
518,91.1308
519,91.3218
520,91.427
521,91.4391
522,91.3573
523,91.185
524,90.9313
525,90.609
526,90.2344
527,89.8256
528,89.4015
529,88.9808
530,88.581
531,88.2202
532,87.9094
533,87.6596
534,87.4793
535,87.3746
536,87.3487
537,87.4021
538,87.5329
539,87.7363
540,88.0051
541,88.3271
542,88.692
543,89.086
544,89.4939
545,89.8998
546,90.2876
547,90.6421
548,90.9494
549,91.1982
550,91.3803
551,91.4896
552,91.528
553,91.4974
554,91.4029
555,91.2519
556,91.0541
557,90.8201
558,90.5614
559,90.2895
560,90.0152
561,89.7504
562,89.5028
563,89.2804
564,89.0896
565,88.9355
566,88.8219
567,88.751
568,88.724
569,88.7405
570,88.799
571,88.8987
572,89.034
573,89.2
574,89.3915
575,89.6025
576,89.8263
577,90.0565
578,90.2864
579,90.5095
580,90.7202
581,90.9128
582,91.0833
583,91.2284
584,91.3459
585,91.4347
586,91.495
587,91.5278
588,91.5351
589,91.5195
590,91.4843
591,91.4327
592,91.3689
593,91.2965
594,91.2196
595,91.1415
596,91.0655
597,90.9945
598,90.9307
599,90.8762
600,90.8323
601,90.8
602,90.7794
603,90.7707
604,90.7734
605,90.7868
606,90.8099
607,90.8415
608,90.8799
609,90.9237
610,90.9711
611,91.0204
612,91.0699
613,91.1181
614,91.1636
615,91.2051
616,91.2417
617,91.2725
618,91.2971
619,91.3152
620,91.3269
621,91.3326
622,91.3326
623,91.3275
624,91.3181
625,91.3052
626,91.2898
627,91.2729
628,91.2554
629,91.2383
630,91.2226
631,91.209
632,91.1981
633,91.1907
634,91.1871
635,91.1876
636,91.1924
