Type,Dichroic
Maker,"Chroma"
ProductName,"T585LP"
Comment,""
Public,1
wavedataset
300,1E-06
301,1E-06
302,1E-06
303,1E-06
304,1E-06
305,1E-06
306,1E-06
307,0.007506
308,1E-06
309,1E-06
310,1E-06
311,1E-06
312,1E-06
313,1E-06
314,1E-06
315,1E-06
316,1E-06
317,1E-06
318,1E-06
319,1E-06
320,1E-06
321,1E-06
322,1E-06
323,1E-06
324,1E-06
325,1E-06
326,0.003079
327,1E-06
328,1E-06
329,1E-06
330,1E-06
331,1E-06
332,1E-06
333,1E-06
334,1E-06
335,1E-06
336,1E-06
337,1E-06
338,1E-06
339,1E-06
340,1E-06
341,0.0008109
342,1E-06
343,1E-06
344,1E-06
345,1E-06
346,1E-06
347,1E-06
348,1E-06
349,1E-06
350,1E-06
351,1E-06
352,1E-06
353,1E-06
354,0.008154
355,1E-06
356,0.00134
357,0.00836
358,1E-06
359,0.02658
360,0.1332
361,0.2825
362,0.3855
363,0.5253
364,0.7422
365,0.9529
366,1.23
367,1.474
368,1.725
369,2.286
370,2.835
371,3.479
372,4.666
373,6.052
374,7.539
375,8.423
376,9.399
377,11.34
378,12.82
379,13.53
380,12.16
381,9.726
382,8.705
383,8.68
384,8.755
385,8.339
386,8.071
387,9.111
388,10.19
389,10.83
390,10.41
391,10.06
392,10.1
393,8.694
394,5.641
395,3.009
396,1.745
397,1.103
398,0.6478
399,0.3508
400,0.1927
401,0.09736
402,0.06489
403,0.05879
404,0.09094
405,0.09093
406,0.1642
407,0.7989
408,3.546
409,8.137
410,12.39
411,13.18
412,11.51
413,9.888
414,9.363
415,9.427
416,12.09
417,17.04
418,24.02
419,24.71
420,21.74
421,16.99
422,12.97
423,8.634
424,4.553
425,2.096
426,1.096
427,0.6892
428,0.5867
429,0.6536
430,0.6788
431,0.5985
432,0.434
433,0.2628
434,0.1201
435,0.05546
436,0.05897
437,0.07164
438,0.09534
439,0.1047
440,0.08119
441,0.06195
442,0.04506
443,0.01601
444,0.002597
445,1E-06
446,1E-06
447,0.004606
448,0.02792
449,0.03352
450,0.009303
451,1E-06
452,1E-06
453,1E-06
454,1E-06
455,1E-06
456,1E-06
457,1E-06
458,1E-06
459,1E-06
460,0.01086
461,1E-06
462,1E-06
463,1E-06
464,1E-06
465,1E-06
466,1E-06
467,1E-06
468,1E-06
469,1E-06
470,0.008942
471,1E-06
472,0.004118
473,0.001049
474,1E-06
475,1E-06
476,1E-06
477,0.002924
478,1E-06
479,1E-06
480,1E-06
481,1E-06
482,0.009675
483,0.02157
484,0.008333
485,1E-06
486,1E-06
487,0.004542
488,1E-06
489,1E-06
490,1E-06
491,1E-06
492,0.008633
493,0.0279
494,0.02105
495,0.07316
496,0.0716
497,0.06128
498,0.006277
499,0.001991
500,1E-06
501,1E-06
502,1E-06
503,1E-06
504,0.0007099
505,0.04035
506,0.07652
507,0.1335
508,0.1502
509,0.158
510,0.1307
511,0.1066
512,0.05741
513,0.01685
514,0.005424
515,0.001583
516,0.02115
517,0.01919
518,0.0213
519,0.03808
520,0.122
521,0.2984
522,0.4591
523,0.5248
524,0.426
525,0.3271
526,0.214
527,0.1498
528,0.07082
529,0.0419
530,0.04274
531,0.03875
532,0.04187
533,0.09094
534,0.1601
535,0.4356
536,0.8543
537,1.103
538,1.137
539,0.9989
540,0.653
541,0.3382
542,0.1567
543,0.02728
544,1E-06
545,0.003785
546,0.006055
547,1E-06
548,1E-06
549,1E-06
550,1E-06
551,1E-06
552,1E-06
553,1E-06
554,0.0003319
555,1E-06
556,1E-06
557,0.008859
558,0.02633
559,0.04194
560,0.06238
561,0.113
562,0.0847
563,0.2266
564,0.3232
565,0.4989
566,0.6036
567,0.7895
568,0.9627
569,1.163
570,1.435
571,1.743
572,1.905
573,2.176
574,2.474
575,2.955
576,3.49
577,4.254
578,5.36
579,6.848
580,8.848
581,11.74
582,15.12
583,20.1
584,26.19
585,31.34
586,36.6
587,42.44
588,50.17
589,61.13
590,73.7
591,83.89
592,90.14
593,94.99
594,96.33
595,96.58
596,96.41
597,96.83
598,97.03
599,97.6
600,97.75
601,98.03
602,98.28
603,98.35
604,98.48
605,98.65
606,98.42
607,98.57
608,98.53
609,98.34
610,98.49
611,98.42
612,98.46
613,98.44
614,98.59
615,98.52
616,98.47
617,98.4
618,98.5
619,98.66
620,98.57
621,98.67
622,98.67
623,98.84
624,98.87
625,98.7
626,98.72
627,98.71
628,98.81
629,98.71
630,98.73
631,98.82
632,98.76
633,98.79
634,98.7
635,98.66
636,98.74
637,98.62
638,98.54
639,98.58
640,98.69
641,98.55
642,98.59
643,98.4
644,98.3
645,98.45
646,98.24
647,98.05
648,98.21
649,98.12
650,98
651,98.03
652,97.82
653,97.81
654,97.74
655,97.32
656,97.44
657,97.16
658,97.22
659,97.04
660,97
661,96.8
662,96.96
663,96.97
664,97.01
665,97.08
666,97.14
667,97.42
668,97.29
669,97.27
670,97.42
671,97.35
672,97.1
673,96.95
674,96.87
675,96.67
676,96.5
677,96.09
678,96.15
679,96.03
680,95.94
681,95.91
682,95.98
683,96.13
684,96.23
685,96.73
686,96.75
687,97.29
688,97.56
689,97.65
690,97.88
691,98.25
692,98.33
693,98.39
694,98.48
695,98.51
696,98.57
697,98.65
698,98.61
699,98.46
700,98.41
701,98.36
702,98.37
703,98.18
704,97.99
705,97.98
706,97.89
707,97.51
708,97.35
709,97.13
710,96.85
711,96.63
712,96.17
713,95.87
714,95.61
715,95.39
716,95.06
717,94.97
718,94.88
719,94.83
720,94.92
721,95.05
722,95.3
723,95.58
724,96.05
725,96.18
726,96.62
727,97.05
728,97.42
729,97.76
730,98.13
731,97.77
732,97.84
733,97.5
734,97.26
735,96.61
736,96.13
737,95.12
738,94.38
739,93.49
740,92.49
741,91.63
742,90.79
743,90.11
744,89.45
745,88.89
746,88.18
747,87.73
748,87.61
749,87.48
750,87.83
751,88
752,88.36
753,88.94
754,89.36
755,90.17
756,91.22
757,91.96
758,92.79
759,93.41
760,94.11
761,94.64
762,95.02
763,95.59
764,95.4
765,95.54
766,95.32
767,95.1
768,94.96
769,94.68
770,94.42
771,93.69
772,93.25
773,92.68
774,92
775,91.56
776,91.15
777,90.68
778,90.05
779,89.35
780,89.22
781,88.74
782,88.49
783,88.21
784,87.7
785,87.46
786,87.29
787,86.98
788,87.02
789,87.09
790,87.01
791,87.12
792,87
793,87.48
794,88.02
795,88.33
796,88.68
797,89.43
798,89.9
799,90.88
800,91.22
801,92.2
802,92.95
803,93.75
804,94.38
805,94.64
806,95.05
807,95.38
808,94.79
809,94.52
810,94.08
811,92.97
812,91.48
813,89.99
814,87.89
815,86.59
816,84.52
817,82.91
818,81.31
819,79.42
820,77.44
821,75.87
822,74.32
823,72.75
824,71.73
825,70.84
826,70.02
827,69.76
828,69.35
829,69.48
830,69.75
831,70.1
832,71.09
833,72.31
834,73.98
835,75.57
836,77.08
837,79.39
838,81.07
839,82.85
840,84.43
841,85.26
842,86.28
843,86.53
844,86.28
845,85.45
846,84.44
847,82.7
848,80.76
849,79.2
850,77.16
851,74.93
852,73.23
853,72.09
854,70.5
855,68.94
856,68.09
857,66.98
858,65.92
859,64.86
860,63.95
861,63.18
862,62.34
863,61.55
864,61.23
865,60.61
866,60.38
867,59.92
868,60.35
869,60.3
870,60.61
871,61.51
872,62.74
873,63.82
874,65.66
875,67.54
876,69.17
877,70.85
878,71.9
879,72.71
880,72.56
881,71.93
882,70.92
883,69.53
884,67.32
885,64.72
886,61.96
887,59.29
888,56.25
889,53.63
890,51.67
891,49.91
892,48.73
893,47.64
894,46.85
895,46.61
896,46.58
897,46.86
898,47.31
899,48.22
900,49.19
901,50.09
902,51.22
903,52.54
904,53.97
905,55.27
906,56.3
907,57.48
908,58.59
909,59.66
910,60.74
911,61.33
912,61.68
913,62.01
914,61.13
915,59.64
916,57.53
917,54.89
918,52.06
919,47.81
920,43.79
921,39.61
922,35.26
923,31.44
924,27.72
925,24.76
926,22.05
927,19.78
928,17.99
929,16.87
930,15.72
931,14.93
932,14.28
933,13.93
934,13.7
935,13.7
936,13.8
937,13.94
938,14.18
939,14.69
940,15.46
941,16.22
942,17.48
943,18.93
944,21.03
945,23.26
946,25.92
947,28.96
948,32.18
949,35.43
950,37.53
951,38.63
952,38.4
953,36.52
954,33.39
955,29.21
956,24.53
957,20.41
958,16.26
959,12.68
960,9.854
961,7.8
962,6.134
963,4.747
964,3.846
965,3.068
966,2.502
967,2.246
968,1.676
969,1.762
970,1.333
971,1.214
972,0.8913
973,0.7577
974,0.5657
975,0.5856
976,0.605
977,0.551
978,0.478
979,0.2976
980,0.2075
981,0.2703
982,0.2391
983,0.3404
984,0.111
985,0.1754
986,0.04291
987,0.08417
988,1E-06
989,1E-06
990,0.05712
991,0.1271
992,0.07738
993,0.06246
994,0.03246
995,0.1218
996,0.0262
997,0.2646
998,0.008217
999,1E-06
1000,0.002069
1001,1E-06
1002,0.03904
1003,1E-06
1004,1E-06
1005,1E-06
1006,1E-06
1007,0.007449
1008,1E-06
1009,0.05887
1010,1E-06
1011,1E-06
1012,0.04718
1013,0.03799
1014,1E-06
1015,0.001979
1016,1E-06
1017,0.09938
1018,1E-06
1019,1E-06
1020,1E-06
1021,1E-06
1022,1E-06
1023,1E-06
1024,1E-06
1025,0.08191
1026,1E-06
1027,1E-06
1028,0.0537
1029,0.07412
1030,1E-06
1031,1E-06
1032,0.0008916
1033,1E-06
1034,1E-06
1035,0.1158
1036,0.2782
1037,0.08484
1038,1E-06
1039,1E-06
1040,0.02974
1041,1E-06
1042,1E-06
1043,0.09651
1044,1E-06
1045,0.02564
1046,1E-06
1047,1E-06
1048,1E-06
1049,1E-06
1050,1E-06
1051,1E-06
1052,1E-06
1053,1E-06
1054,1E-06
1055,1E-06
1056,1E-06
1057,0.09127
1058,1E-06
1059,1E-06
1060,1E-06
1061,1E-06
1062,1E-06
1063,0.3506
1064,1E-06
1065,0.1264
1066,1E-06
1067,1E-06
1068,0.01483
1069,1E-06
1070,0.2429
1071,1E-06
1072,1E-06
1073,1.021
1074,1E-06
1075,1E-06
1076,0.2788
1077,1E-06
1078,1E-06
1079,1E-06
1080,1E-06
1081,1E-06
1082,1E-06
1083,0.06557
1084,1E-06
1085,0.1075
1086,1E-06
1087,1E-06
1088,1E-06
1089,1E-06
1090,1E-06
1091,1E-06
1092,1E-06
1093,1E-06
1094,1E-06
1095,1E-06
1096,1E-06
1097,1E-06
1098,1E-06
1099,0.2492
1100,1.382
