Type,Dichroic
Maker,"Chroma"
ProductName,"T89100bs"
Comment,""
Public,1
wavedataset
300,0.00095
300.5,1.15252
301,2.60192
301.5,1.46753
302,2.54907
302.5,1.66042
303,0.10184
303.5,0.00095
304,0.108244
304.5,0.369054
305,0.313737
305.5,0.00095
306,0.0465846
306.5,0.259816
307,0.504149
307.5,0.410123
308,0.136909
308.5,0.00095
309,0.0409087
309.5,0.206304
310,0.338134
310.5,0.201528
311,0.0615577
311.5,0.0847359
312,0.106508
312.5,0.0983768
313,0.169387
313.5,0.0868653
314,0.0678385
314.5,0.191956
315,0.144278
315.5,0.108023
316,0.12805
316.5,0.0202071
317,0.0588386
317.5,0.150347
318,0.0858191
318.5,0.0627427
319,0.141716
319.5,0.103266
320,0.00095
320.5,0.010676
321,0.043246
321.5,0.0661308
322,0.0602191
322.5,0.0459752
323,0.0303506
323.5,0.0240383
324,0.0286292
324.5,0.0371837
325,0.023071
325.5,0.0271763
326,0.0686725
326.5,0.0395745
327,0.013029
327.5,0.0482724
328,0.0705875
328.5,0.0497311
329,0.0675299
329.5,0.053398
330,0.0257489
330.5,0.058204
331,0.0883286
331.5,0.0453199
332,0.0462999
332.5,0.0467064
333,0.0473637
333.5,0.051279
334,0.0320909
334.5,0.0421573
335,0.0357075
335.5,0.0300682
336,0.0362513
336.5,0.0409821
337,0.0366756
337.5,0.0544779
338,0.0603592
338.5,0.0363368
339,0.0353711
339.5,0.0504024
340,0.0442067
340.5,0.0478705
341,0.0541134
341.5,0.0580919
342,0.0464591
342.5,0.0383687
343,0.0524583
343.5,0.0571199
344,0.0418632
344.5,0.0531843
345,0.0587933
345.5,0.0651378
346,0.0702799
346.5,0.0751171
347,0.0606043
347.5,0.0414879
348,0.0573046
348.5,0.0703645
349,0.0671838
349.5,0.0701632
350,0.0593238
350.5,0.0568537
351,0.0680026
351.5,0.0683115
352,0.073048
352.5,0.0696061
353,0.0583013
353.5,0.0581715
354,0.0546126
354.5,0.0574521
355,0.0596489
355.5,0.0544569
356,0.055295
356.5,0.045882
357,0.0484451
357.5,0.0523059
358,0.0512072
358.5,0.051347
359,0.0558001
359.5,0.0524972
360,0.0540786
360.5,0.0526484
361,0.0520672
361.5,0.0512022
362,0.0458162
362.5,0.0406076
363,0.0395205
363.5,0.046936
364,0.0466595
364.5,0.0457965
365,0.0411889
365.5,0.0395818
366,0.0431202
366.5,0.0417975
367,0.0335461
367.5,0.0297587
368,0.0336565
368.5,0.0291376
369,0.0255329
369.5,0.0305751
370,0.0334316
370.5,0.0362435
371,0.0349272
371.5,0.029997
372,0.0342975
372.5,0.0317739
373,0.0273967
373.5,0.0279517
374,0.0324775
374.5,0.0272469
375,0.0281081
375.5,0.0293841
376,0.029636
376.5,0.0350234
377,0.0302529
377.5,0.025837
378,0.0259655
378.5,0.0168528
379,0.0119947
379.5,0.0150485
380,0.0134182
380.5,0.0224467
381,0.0291412
381.5,0.0326342
382,0.0412238
382.5,0.0431698
383,0.041787
383.5,0.0269209
384,0.0315327
384.5,0.0425303
385,0.379702
385.5,0.317868
386,0.265367
386.5,0.220563
387,0.257735
387.5,0.298016
388,0.270446
388.5,0.282565
389,0.303899
389.5,0.315347
390,0.319925
390.5,0.367843
391,0.393931
391.5,0.378787
392,0.336772
392.5,0.270804
393,0.292356
393.5,0.260582
394,0.238168
394.5,0.21222
395,0.163232
395.5,0.164714
396,0.15312
396.5,0.169581
397,0.185956
397.5,0.309317
398,0.660879
398.5,1.21659
399,1.78788
399.5,1.94632
400,1.55008
400.5,0.955529
401,0.548976
401.5,0.500158
402,0.730396
402.5,0.999004
403,1.12593
403.5,0.991567
404,0.704745
404.5,0.470317
405,0.330543
405.5,0.261552
406,0.244644
406.5,0.236862
407,0.252145
407.5,0.250453
