Type,Dichroic
Maker,"Omega"
ProductName,"XF2002(415DCLP)"
Comment,""
Public,1
wavedataset
1200,78.61647797
1199.5,78.61012268
1199,78.61444855
1198.5,78.61451721
1198,78.61875916
1197.5,78.6036911
1197,78.59724426
1196.5,78.58205414
1196,78.57889557
1195.5,78.58397675
1195,78.57784271
1194.5,78.58208466
1194,78.58680725
1193.5,78.57066345
1193,78.56212616
1192.5,78.5681839
1192,78.57299805
1191.5,78.56021118
1191,78.55718231
1190.5,78.55318451
1190,78.55509949
1189.5,78.54089355
1189,78.52993011
1188.5,78.54351044
1188,78.5409317
1187.5,78.5409317
1187,78.53806305
1186.5,78.52008057
1186,78.52545166
1185.5,78.53358459
1185,78.5214386
1184.5,78.51823425
1184,78.51501465
1183.5,78.52100372
1183,78.52322388
1182.5,78.51454163
1182,78.50565338
1181.5,78.5065918
1181,78.50006866
1180.5,78.50801086
1180,78.50473785
1179.5,78.51075745
1179,78.50406647
1178.5,78.49687958
1178,78.509758
1177.5,78.50545502
1177,78.49546814
1176.5,78.49974823
1176,78.4884491
1175.5,78.49447632
1175,78.49684143
1174.5,78.51603699
1174,78.50738525
1173.5,78.4973526
1173,78.49331665
1172.5,78.48860168
1172,78.5072403
1171.5,78.51457977
1171,78.50813293
1170.5,78.50493622
1170,78.49893188
1169.5,78.49740601
1169,78.51275635
1168.5,78.51464081
1168,78.51087189
1167.5,78.51525879
1167,78.50502014
1166.5,78.51676178
1166,78.51502228
1165.5,78.51773071
1165,78.5178833
1164.5,78.50696564
1164,78.51346588
1163.5,78.51911926
1163,78.53523254
1162.5,78.53708649
1162,78.52677917
1161.5,78.53621674
1161,78.53313446
1160.5,78.52453613
1160,78.5345459
1159.5,78.51754761
1159,78.542099
1158.5,78.54692078
1158,78.5254364
1157.5,78.55033875
1157,78.55149078
1156.5,78.55538177
1156,78.56367493
1155.5,78.55677032
1155,78.58049011
1154.5,78.58061218
1154,78.58125305
1153.5,78.57801056
1153,78.59293365
1152.5,78.57740784
1152,78.59953308
1151.5,78.60005188
1151,78.60455322
1150.5,78.5901413
1150,78.61470795
1149.5,78.60707092
1149,78.61290741
1148.5,78.61719513
1148,78.63087463
1147.5,78.64056396
1147,78.64522552
1146.5,78.627388
1146,78.63903809
1145.5,78.65002441
1145,78.67074585
1144.5,78.66670227
1144,78.67881012
1143.5,78.68656158
1143,78.69358063
1142.5,78.69026947
1142,78.70581818
1141.5,78.6991272
1141,78.71263885
1140.5,78.7329483
1140,78.73000336
1139.5,78.71595001
1139,78.75048065
1138.5,78.72622681
1138,78.74866486
1137.5,78.75449371
1137,78.76156616
1136.5,78.76367188
1136,78.78629303
1135.5,78.7624054
1135,78.78868866
1134.5,78.79541779
1134,78.80097961
1133.5,78.8369751
1133,78.8161087
1132.5,78.84124756
1132,78.83346558
1131.5,78.86217499
1131,78.86382294
1130.5,78.87745667
1130,78.87138367
1129.5,78.88053894
1129,78.89272308
1128.5,78.90116882
1128,78.9082489
1127.5,78.91516113
1127,78.93106079
1126.5,78.95614624
1126,78.93917847
1125.5,78.95936584
1125,78.9708786
1124.5,78.9745636
1124,78.97870636
1123.5,78.9766922
1123,78.99685669
1122.5,79.01955414
1122,79.03649139
1121.5,79.03302002
1121,79.05596161
1120.5,79.04666138
1120,79.07964325
1119.5,79.08249664
1119,79.09082794
1118.5,79.09900665
1118,79.11644745
1117.5,79.13568878
1117,79.1390152
1116.5,79.1761322
1116,79.15021515
1115.5,79.15933228
1115,79.18527222
1114.5,79.20123291
1114,79.21435547
1113.5,79.2170105
1113,79.2240448
1112.5,79.24808502
1112,79.25486755
1111.5,79.2712326
1111,79.27614594
1110.5,79.28632355
1110,79.30367279
1109.5,79.32466125
1109,79.33415985
1108.5,79.33078766
1108,79.35244751
1107.5,79.36309814
1107,79.40396118
1106.5,79.40794373
1106,79.41120148
1105.5,79.42970276
1105,79.43972778
1104.5,79.45220947
1104,79.46185303
1103.5,79.48036194
1103,79.49810028
1102.5,79.5014801
1102,79.5275116
1101.5,79.54501343
1101,79.55926514
1100.5,79.55760956
1100,79.5767746
1099.5,79.60536957
1099,79.60571289
1098.5,79.62664032
1098,79.63135529
1097.5,79.66283417
1097,79.6630249
1096.5,79.69284821
1096,79.70348358
1095.5,79.7166748
1095,79.73484802
1094.5,79.74491119
1094,79.77846527
1093.5,79.80216217
1093,79.81679535
1092.5,79.81330872
1092,79.82914734
1091.5,79.84657288
1091,79.87277222
1090.5,79.8931427
1090,79.89748383
1089.5,79.92672729
1089,79.95314789
1088.5,79.963974
1088,79.95544434
1087.5,79.99277496
1087,80.01647949
1086.5,79.9955368
1086,80.0317688
1085.5,80.06512451
1085,80.08481598
1084.5,80.0918045
1084,80.08057404
1083.5,80.16753387
1083,80.16757202
1082.5,80.14000702
1082,80.20689392
1081.5,80.20540619
1081,80.21437073
1080.5,80.25749969
1080,80.26548004
1079.5,80.2914505
1079,80.3423233
1078.5,80.35173035
1078,80.387146
1077.5,80.3735733
1077,80.39550018
1076.5,80.42378235
1076,80.47549438
1075.5,80.48257446
1075,80.49339294
1074.5,80.53391266
1074,80.5694046
1073.5,80.58813477
1073,80.59928131
1072.5,80.62998962
1072,80.63737488
1071.5,80.67579651
1071,80.69454193
1070.5,80.74525452
1070,80.77617645
1069.5,80.78469849
1069,80.80542755
1068.5,80.85198975
1068,80.86872864
1067.5,80.88998413
1067,80.94009399
1066.5,80.98490143
1066,81.00797272
1065.5,81.03595734
1065,81.0549469
1064.5,81.07460022
1064,81.1219635
1063.5,81.15486145
1063,81.14824677
1062.5,81.1966629
1062,81.22451782
1061.5,81.28475189
1061,81.31130981
1060.5,81.30781555
1060,81.36257172
1059.5,81.37952423
1059,81.3932724
1058.5,81.41722107
1058,81.459198
1057.5,81.49829865
1057,81.52236938
1056.5,81.53273773
1056,81.57217407
1055.5,81.58085632
1055,81.60605621
1054.5,81.64363098
1054,81.64701843
1053.5,81.69078064
1053,81.70543671
1052.5,81.73219299
1052,81.74546051
1051.5,81.780159
1051,81.79533386
1050.5,81.82596588
1050,81.85014343
1049.5,81.86012268
1049,81.87031555
1048.5,81.87751007
1048,81.90750122
1047.5,81.92806244
1047,81.94791412
1046.5,81.94902039
1046,81.96123505
1045.5,82.00979614
1045,82.01654053
1044.5,82.0302124
1044,82.04482269
1043.5,82.06204987
1043,82.06479645
1042.5,82.07801819
1042,82.09979248
1041.5,82.1182785
1041,82.10124969
1040.5,82.13441467
1040,82.15039063
1039.5,82.14782715
1039,82.18328857
1038.5,82.17731476
1038,82.20172119
1037.5,82.2032547
1037,82.22707367
1036.5,82.22703552
1036,82.25167847
1035.5,82.23981476
1035,82.26181793
1034.5,82.27030182
1034,82.29690552
1033.5,82.30467224
1033,82.31121063
1032.5,82.30979156
1032,82.34529114
1031.5,82.36535645
1031,82.35629272
1030.5,82.38509369
1030,82.38175964
1029.5,82.40653229
1029,82.42770386
1028.5,82.45420074
1028,82.43746185
1027.5,82.45922852
1027,82.46291351
1026.5,82.48455811
1026,82.50946045
1025.5,82.514534
1025,82.5177002
1024.5,82.53447723
1024,82.54012299
1023.5,82.5686264
1023,82.58808899
1022.5,82.58425903
1022,82.60496521
1021.5,82.62479401
1021,82.63624573
1020.5,82.64027405
1020,82.66125488
1019.5,82.68450165
1019,82.68984985
1018.5,82.7016449
1018,82.72045135
1017.5,82.73258972
1017,82.75710297
1016.5,82.77035522
1016,82.76504517
1015.5,82.79434204
1015,82.78973389
1014.5,82.81967163
1014,82.83355713
1013.5,82.84093475
1013,82.85730743
1012.5,82.84557343
1012,82.86049652
1011.5,82.88626099
1011,82.91227722
1010.5,82.92194366
1010,82.90598297
1009.5,82.92501068
1009,82.92865753
1008.5,82.92398834
1008,82.94875336
1007.5,83.01119232
1007,83.00226593
1006.5,82.99633026
1006,82.98880768
1005.5,82.98670959
1005,83.01541138
1004.5,83.03775024
1004,83.04217529
1003.5,83.03240967
1003,83.05947876
1002.5,83.05305481
1002,83.07955933
1001.5,83.08301544
1001,83.10375214
1000.5,83.09466553
1000,83.11325836
999.5,83.11392975
999,83.12225342
998.5,83.12210083
998,83.12992096
997.5,83.12760162
997,83.14633942
996.5,83.13175201
996,83.13493347
995.5,83.15679169
995,83.17373657
994.5,83.14968872
994,83.17079926
993.5,83.1909256
993,83.19512177
992.5,83.18631744
992,83.18968201
991.5,83.19686127
991,83.19902802
990.5,83.19908142
990,83.22180176
989.5,83.22271729
989,83.22421265
988.5,83.22550964
988,83.24355316
987.5,83.23390198
987,83.27323151
986.5,83.26473236
986,83.27716064
985.5,83.29359436
985,83.30400848
984.5,83.31887054
984,83.35532379
983.5,83.36979675
983,83.36786652
982.5,83.36804199
982,83.39732361
981.5,83.43065643
981,83.44809723
980.5,83.46801758
980,83.47319031
979.5,83.51296997
979,83.54038239
978.5,83.58506012
978,83.58371735
977.5,83.59489441
977,83.65490723
976.5,83.66764069
976,83.67884827
975.5,83.72790527
975,83.75649261
974.5,83.76855469
974,83.81633759
973.5,83.84034729
973,83.8770752
972.5,83.89877319
972,83.96144104
971.5,83.97454071
971,83.98801422
970.5,84.0178299
970,84.0020752
969.5,84.01130676
969,83.9835434
968.5,84.03820801
968,84.00299072
967.5,84.01063538
967,84.008255
966.5,83.99597931
966,84.01074982
965.5,84.0153656
965,84.02819824
964.5,84.02103424
964,84.01464081
963.5,84.00621033
963,84.01628876
962.5,84.03852081
962,84.01431274
961.5,84.01719666
961,83.9901886
960.5,84.0178833
960,84.01074219
959.5,84.00688934
959,84.00006866
958.5,84.00167847
958,84.01409149
957.5,84.00828552
957,84.02047729
956.5,84.00087738
956,84.0050354
955.5,84.00384521
955,83.99547577
954.5,83.97438049
954,83.99082184
953.5,83.97683716
953,83.96980286
952.5,83.97296143
952,83.9682312
951.5,83.94754791
951,83.96060181
950.5,83.96643829
950,83.93332672
949.5,83.93499756
949,83.91824341
948.5,83.93228912
948,83.91954803
947.5,83.92441559
947,83.89928436
946.5,83.91067505
946,83.91139984
945.5,83.90472412
945,83.88420105
944.5,83.85417175
944,83.85356903
943.5,83.85630035
943,83.85133362
942.5,83.84985352
942,83.84886169
941.5,83.84496307
941,83.79476166
940.5,83.81961823
940,83.83178711
939.5,83.81591034
939,83.82177734
938.5,83.79434967
938,83.79450989
937.5,83.78694153
937,83.79164124
936.5,83.79515839
936,83.76591492
935.5,83.77863312
935,83.78566742
934.5,83.79376221
934,83.76158142
933.5,83.72516632
933,83.72177124
932.5,83.74542999
932,83.71382141
931.5,83.68330383
931,83.66005707
930.5,83.61054993
930,83.6018219
929.5,83.59259033
929,83.56147003
928.5,83.53575134
928,83.51818085
927.5,83.5961853
927,83.64423676
926.5,83.63564606
926,83.71612244
925.5,83.777388
925,83.75427094
924.5,83.7408432
924,83.8115921
923.5,83.8746582
923,83.95804901
922.5,83.94874878
922,83.99989777
921.5,84.18074036
921,84.16821289
920.5,84.14993286
920,84.18587646
919.5,84.16620026
919,84.16036377
918.5,84.21745605
918,84.28535156
917.5,84.29526978
917,84.75287323
916.5,84.91077423
916,84.85507202
915.5,84.84444427
915,84.84996033
914.5,84.82431793
914,84.98235626
913.5,84.94887848
913,84.99948578
912.5,85.06403961
912,85.34559937
911.5,85.61009979
911,85.60255432
910.5,85.77117462
910,85.72684784
909.5,85.80105286
909,85.8748764
908.5,85.94268036
908,86.00042877
907.5,86.0859024
907,86.14970093
906.5,86.32226563
906,86.2776947
905.5,86.27557373
905,86.43298645
904.5,86.50462036
904,86.65515137
903.5,86.72371826
903,86.80373688
902.5,86.89354401
902,86.85736542
901.5,86.87360992
901,86.97731018
900.5,86.98365784
900,86.91941833
899.5,87.0772583
899,87.1624649
898.5,87.42654572
898,87.58573608
897.5,87.76069641
897,87.7279129
896.5,87.69880676
896,87.67819977
895.5,87.81385345
895,87.90546875
894.5,88.07232666
894,88.23607178
893.5,88.30521088
893,88.37363281
892.5,88.44129181
892,88.41422272
891.5,88.38996124
891,88.3589325
890.5,88.42881927
890,88.49852295
889.5,88.54588013
889,88.62457123
888.5,88.71535492
888,88.77443085
887.5,88.86670227
887,88.91755371
886.5,88.98198547
886,89.04920197
885.5,89.01618195
885,89.18444366
884.5,89.25671082
884,89.42230225
883.5,89.40707397
883,89.5755722
882.5,89.63783722
882,89.69069519
881.5,89.76759338
881,89.74286652
880.5,89.82429657
880,89.99599915
879.5,89.9774826
879,90.05992126
878.5,90.77955627
878,89.67459869
877.5,89.71516418
877,89.77262115
876.5,89.4489975
876,89.44245148
875.5,89.39460754
875,89.03554535
