Type,Dichroic
Maker,"Omega"
ProductName,"XF2044(490-575DBDR)"
Comment,""
Public,1
wavedataset
300.065,-0.099
301.003,-0.1
301.941,-0.14
303.036,-0.1
303.973,-0.087
305.067,-0.08
306.005,-0.14
306.942,-0.15
308.035,-0.068
308.972,-0.095
310.066,-0.13
311.003,-0.13
311.939,-0.068
313.032,-0.064
313.969,-0.065
315.061,-0.044
315.998,-0.068
316.934,-0.064
318.026,-0.12
318.962,-0.1
320.054,-0.093
320.989,-0.085
321.925,-0.054
323.016,-0.12
323.952,-0.052
325.043,-0.088
325.978,-0.089
327.069,-0.072
328.004,-0.13
328.939,-0.091
330.029,-0.07
330.964,-0.064
332.054,-0.079
332.988,-0.061
333.922,-0.083
335.012,-0.11
335.946,-0.053
337.035,-0.058
337.969,-0.039
339.058,-0.033
339.991,-0.061
340.925,-0.036
342.013,0.13
342.946,0.17
344.035,0.41
344.968,0.49
346.056,0.93
346.988,1.24
348.076,1.55
349.008,1.65
349.94,1.68
351.028,1.18
351.96,0.64
353.047,0.33
353.978,0.13
355.065,0.048
355.996,0.041
356.928,0.019
358.014,0.039
358.945,0.065
360.031,0.13
360.961,0.24
362.047,0.66
362.977,1.37
364.063,3.36
364.993,5.98
365.923,9.35
367.008,17.2
367.937,24.6
369.022,29.9
369.951,28
371.036,30.3
371.965,38.2
373.049,40.3
373.978,31.4
375.061,27.4
375.99,34.8
377.073,43.1
378.001,34.3
378.93,17.3
380.012,8.1
380.94,5.55
382.023,4.46
382.95,4.54
384.032,5.85
384.96,9.44
386.041,16.8
386.968,21.5
388.05,19.2
388.977,13.9
390.058,9.45
390.984,8.3
392.065,8.52
392.991,9.7
394.071,13
394.997,18.7
395.923,27.5
397.003,43.9
397.928,60.2
399.008,78.6
399.933,87.3
401.012,91.1
401.937,91.4
403.016,90.2
403.94,88.1
405.019,86.6
405.943,87.6
407.021,90.7
407.945,91
409.023,83.2
409.946,71.7
411.024,56.3
411.947,46.3
413.024,40.9
413.947,40.8
415.024,47.9
415.946,56.8
417.023,57.3
417.945,47.9
419.021,32.5
419.943,20
421.019,10.6
421.94,5.97
423.016,3.83
423.937,2.85
425.012,2.18
425.933,1.9
427.007,1.68
427.928,1.61
429.002,1.71
430.076,1.89
430.996,2.3
432.07,2.91
432.99,3.97
434.063,5.71
434.983,7.75
436.055,11.2
436.975,14.3
438.047,18.2
438.966,20.8
440.038,22.9
440.957,24.4
442.028,27.2
442.947,31.9
444.018,40.7
444.936,51.5
446.007,68.2
446.924,78.3
447.995,83.6
449.065,78.2
449.982,72.3
451.052,67.2
451.969,66.9
453.038,70
453.955,74.7
455.024,79.5
455.94,80
457.008,77.8
457.924,73.1
458.992,66.8
460.06,62.5
460.976,60.6
462.043,59.7
462.958,59.4
464.025,58.2
464.94,56
466.007,51.8
467.073,48.1
467.987,45.5
469.053,43.5
469.967,42.7
471.033,43.1
471.946,43.3
473.011,41.8
473.924,38
474.989,31.9
476.054,24.8
476.966,18.3
478.031,13.3
478.943,10.3
480.007,7.41
481.07,5.51
481.982,4.4
483.045,3.41
483.956,2.89
485.019,2.54
485.93,2.27
486.992,2.09
488.054,1.99
488.964,1.93
490.026,1.96
490.936,2.04
491.997,2.18
493.058,2.4
493.967,2.71
495.028,3.29
495.937,3.78
496.997,4.71
498.057,5.98
498.965,7.77
500.025,11
500.933,14.6
501.992,19.9
503.051,28.2
503.958,37.4
505.016,49.3
506.075,65.1
506.981,75.3
508.039,84.4
508.945,89.2
510.003,91.5
511.06,91.2
511.966,90.9
513.022,91.3
513.928,92.3
514.984,93.7
516.039,95.4
516.944,96.3
518,96.7
519.055,96.6
519.959,96.4
521.014,96.5
522.068,96.5
522.972,96.5
524.026,97.2
524.929,97.4
525.983,97.6
