Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA420IF"
Comment,""
Public,1
wavedataset
300,0.943003
301,0.895694
302,2.03427
303,4.67132
304,2.61153
305,1.02002
306,0.975413
307,2.65682
308,6.41756
309,2.4641
310,0.783596
311,0.78264
312,3.15617
313,5.05108
314,0.899733
315,0.341859
316,0.817946
317,2.55222
318,0.445725
319,0.0762168
320,0.22859
321,0.147952
322,0.00295892
323,0.000274897
324,1.68E-05
325,0.000530775
326,-3.68E-05
327,-0.000162111
328,-0.000135336
329,0.000632358
330,-0.000204817
331,0.000334459
332,-5.81E-05
333,-0.000129812
334,0.000537783
335,5.09E-05
336,0.000464201
337,0.000451448
338,-0.000304949
339,7.68E-05
340,-7.54E-05
341,9.5E-05
342,0.000579939
343,0.000499068
344,0.000452878
345,0.000237532
346,0.000190678
347,-0.000130496
348,-0.00012088
349,0.000157888
350,0.000365705
351,0.000722458
352,-0.000190171
353,7.55E-05
354,-0.000163543
355,0.000203814
356,0.000192435
357,-0.000172951
358,-0.000436308
359,-0.000152311
360,2.31E-05
361,0.000130293
362,-0.000176739
363,0.000424961
364,-0.000229521
365,8.41E-05
366,3.71E-05
367,0.000154131
368,0.000195573
369,6.27E-05
370,0.000242203
371,0.000134891
372,0.000241481
373,-5.79E-05
374,0.000162586
375,6.38E-05
376,0.00011081
377,0.000205558
378,-7.42E-05
379,0.000144241
380,0.000234874
381,-0.000142381
382,6.55E-05
383,-0.000250196
384,0.000237598
385,-9.21E-05
386,9.87E-05
387,5.71E-05
388,0.000172452
389,-2.93E-05
390,0.000305964
391,0.000130135
392,-0.000175516
393,1.33E-05
394,0.000193079
395,9.54E-05
396,-0.000132981
397,3.99E-05
398,3.66E-05
399,0.000133087
400,3.52E-06
401,7.56E-05
402,0.000341326
403,0.000583052
404,0.000848017
405,0.00154641
406,0.00286021
407,0.00548448
408,0.0125451
409,0.0268055
410,0.0637973
411,0.155581
412,0.415617
413,1.2329
414,3.95727
415,13.5646
416,41.1129
417,79.0767
418,95.8974
419,96.9862
420,97.4762
421,97.9343
422,98.3027
423,98.1556
424,98.0389
425,97.8516
426,97.7262
427,98.328
428,98.5209
429,98.2076
430,98.5
431,98.9291
432,98.4453
433,98.5364
434,98.3339
435,98.4945
436,98.2863
437,98.3015
438,98.4599
439,98.3184
440,98.2905
441,98.4493
442,98.673
443,98.8215
444,98.5557
445,98.6868
446,98.2279
447,98.5676
448,98.2999
449,98.3151
450,98.1919
451,98.3515
452,98.2832
453,98.4713
454,98.468
455,98.4488
456,98.492
457,98.8018
458,98.6346
459,98.7146
460,98.1692
461,98.4817
462,98.5322
463,98.499
464,98.4133
465,98.567
466,98.4201
467,98.6564
468,98.7379
469,98.8802
470,99.0403
471,98.9883
472,98.7488
473,98.6776
474,98.5341
475,98.7723
476,98.6806
477,98.7335
478,98.3811
479,98.6365
480,98.5337
481,98.6302
482,98.6674
483,98.9691
484,98.9799
485,98.7945
486,98.9006
487,99.0649
488,98.8286
489,99.0927
490,98.6555
491,98.8292
492,98.8471
493,98.4646
494,98.5006
495,98.699
496,98.6355
497,98.7295
498,98.6912
499,98.6396
500,99.0113
501,98.9624
502,99.0212
503,98.9486
504,99.1547
505,99.3302
506,99.1972
507,99.0498
508,98.9697
509,98.9108
510,99.0491
511,98.8193
512,98.8349
513,98.8986
514,98.8792
515,98.6148
516,98.7585
517,98.6001
518,98.7993
519,98.6622
520,99.0173
521,98.8772
522,99.0058
523,99.0869
524,99.2016
525,98.9988
526,99.0226
527,99.219
528,99.264
529,99.5099
530,99.1475
531,98.9695
532,99.0873
533,98.7924
534,98.8669
535,98.7857
536,99.0494
537,98.9968
538,98.9813
539,98.7266
540,99.0375
541,98.9092
542,98.9911
543,99.1167
544,98.9281
545,99.0266
546,99.2001
547,99.0456
548,99.2017
549,99.1778
550,99.2218
551,98.9356
552,99.2564
553,99.1873
554,98.95
555,99.1485
556,99.0381
557,98.9229
558,98.9995
559,99.0156
560,99.0446
561,98.8791
562,99.0585
563,99.0594
564,99.0502
565,99.0451
566,99.1785
567,98.9991
568,99.1277
569,98.9032
570,98.9808
571,99.1466
572,99.085
573,99.116
574,99.306
575,99.1019
576,98.993
577,99.0583
578,99.0091
579,99.1415
580,98.836
581,99.0399
582,98.9165
583,98.5543
584,98.7857
585,98.9242
586,98.739
587,98.7351
588,98.7019
589,98.8857
590,98.7054
591,98.6711
592,98.7509
593,98.8056
594,98.9121
595,99.0672
596,99.0582
597,99.0733
598,99.1415
599,99.1061
600,99.2627
601,99.165
602,99.2215
603,99.412
604,99.1507
605,98.9884
606,98.94
607,98.9571
608,99.0718
609,99.006
610,98.826
611,98.7568
612,98.6873
613,98.6277
614,98.7915
615,98.6269
616,98.7075
617,98.7384
618,98.8127
619,98.7146
620,98.8697
621,98.6922
622,98.8108
623,98.7232
624,98.8405
625,99.0125
626,98.8365
627,98.9832
628,98.9635
629,99.0141
630,98.8587
631,98.9099
632,98.9656
633,99.1164
634,98.9083
635,98.76
636,98.8852
637,98.8743
638,98.7219
639,98.5854
640,98.5372
641,98.2228
642,98.2412
643,98.1718
644,97.8954
645,98.0388
646,97.977
647,97.73
648,97.6325
649,97.6924
650,97.5218
651,97.5036
652,97.388
653,97.4017
654,97.4517
655,97.5212
656,97.4512
657,97.5625
658,97.6274
659,97.7684
660,97.9614
661,98.1089
662,98.1682
663,98.2372
664,98.3059
665,98.547
666,98.3658
667,98.3391
668,98.6027
669,98.6462
670,98.789
671,98.8401
672,98.7446
673,98.6165
674,98.5375
675,98.602
676,98.4337
677,98.1868
678,97.9761
679,97.9257
680,97.8299
681,97.5779
682,97.4128
683,97.1676
684,96.9506
685,96.5469
686,96.5229
687,96.292
688,95.9248
689,95.7032
690,95.623
691,95.3698
692,95.2287
693,95.394
694,95.1739
695,94.8286
696,94.9603
697,94.7773
698,95.0888
699,94.6756
700,94.7219
701,94.9668
702,94.573
703,94.8011
704,94.5994
705,94.8658
706,95.1101
707,95.3297
708,94.9197
709,94.952
710,95.261
711,95.3624
712,94.9965
713,95.2163
714,95.3958
715,95.3634
716,95.5698
717,95.5697
718,95.2786
719,95.1782
720,95.0794
721,94.9367
722,95.1239
723,94.8255
724,95.0443
725,94.636
726,94.3811
727,94.3932
728,94.0856
729,94.4389
730,93.858
731,93.6473
732,93.8237
733,93.661
734,93.4542
735,93.22
736,93.1862
737,92.9884
738,92.9455
739,93.2135
740,92.8232
741,92.8041
742,92.9685
743,93.0232
744,93.0237
745,92.917
746,93.1282
747,93.1723
748,93.2941
749,93.4572
750,93.3012
751,93.8326
752,94.1252
753,93.7088
754,94.3359
755,94.1064
756,94.482
757,94.5389
758,94.7441
759,94.9203
760,95.1003
761,95.2086
762,95.3034
763,95.6022
764,95.3027
765,95.5303
766,95.7422
767,95.6702
768,95.7302
769,95.4367
770,95.4202
771,95.7858
772,96.0664
773,95.6766
774,95.7683
775,95.3024
776,94.9386
777,94.9134
778,94.5024
779,94.5792
780,94.0961
781,93.9698
782,93.7742
783,93.648
784,93.8721
785,92.7229
786,92.7949
787,93.0128
788,92.8032
789,92.5233
790,91.8276
791,92.2172
792,91.7302
793,91.2384
794,91.5476
795,91.0135
796,90.7438
797,91.2359
798,90.5173
799,90.8082
800,90.7128
801,90.7551
802,90.7149
803,90.8495
804,90.9506
805,90.1955
806,90.9047
807,90.8882
808,90.9819
809,90.9347
810,91.5243
811,90.8394
812,90.8984
813,91.482
814,91.5833
815,91.7675
816,91.5857
817,91.9248
818,92.0632
819,92.4374
820,92.9949
821,92.6546
822,92.7173
823,92.9952
824,93.7107
825,93.2005
826,93.4851
827,92.9236
828,92.9653
829,92.8818
830,93.1321
831,93.9676
832,93.464
833,93.3427
834,93.0014
835,92.8593
836,93.0125
837,94.0226
838,92.5438
839,92.7961
840,93.2495
841,92.3436
842,91.5296
843,92.2079
844,91.7861
845,91.6967
846,91.33
847,91.0884
848,91.4265
849,91.3556
850,90.7214
851,90.6946
852,90.373
853,90.2092
854,89.9976
855,89.8475
856,89.7727
857,89.362
858,89.0928
859,89.0438
860,88.7395
861,88.7431
862,88.6888
863,88.5838
864,88.1754
865,88.2833
866,88.0546
867,88.0138
868,87.9208
869,88.0734
870,87.9577
871,87.8199
872,87.8756
873,87.9433
874,87.9589
875,87.9815
876,87.9773
877,88.0293
878,88.0428
879,88.1308
880,88.1793
881,88.3064
882,88.3641
883,88.5075
884,88.6365
885,88.7254
886,88.84
887,88.9087
888,89.0319
889,89.1804
890,89.2821
891,89.4212
892,89.4391
893,89.6379
894,89.762
895,89.8569
896,89.8773
897,89.9751
898,90.0548
899,90.1787
900,90.1387
901,90.2124
902,90.2223
903,90.2563
904,90.2917
905,90.2442
906,90.2098
907,90.241
908,90.1744
909,90.1487
910,90.0474
911,89.9809
912,89.8819
913,89.8022
914,89.6972
915,89.5903
916,89.4553
917,89.29
918,89.1314
919,88.9745
920,88.86
921,88.7207
922,88.5244
923,88.3166
924,88.1968
925,88.0283
926,87.8185
927,87.6736
928,87.4181
929,87.2664
930,87.0779
931,86.9231
932,86.7522
933,86.5491
934,86.4169
935,86.1822
936,86.0941
937,85.9286
938,85.7518
939,85.6178
940,85.5246
941,85.3735
942,85.2839
943,85.16
944,85.0416
945,84.9782
946,84.8915
947,84.8166
948,84.7633
949,84.7451
950,84.6556
951,84.6729
952,84.6337
953,84.6144
954,84.6206
955,84.6107
956,84.6552
957,84.655
958,84.7071
959,84.7298
960,84.7839
961,84.8506
962,84.9132
963,84.9686
964,85.0509
965,85.1095
966,85.1848
967,85.2626
968,85.3646
969,85.4935
970,85.5739
971,85.6525
972,85.7716
973,85.8436
974,85.9554
975,86.0418
976,86.1456
977,86.2324
978,86.3331
979,86.3966
980,86.4926
981,86.574
982,86.6805
983,86.72
984,86.8163
985,86.8559
986,86.9211
987,86.963
988,87.0165
989,87.0441
990,87.0508
991,87.0727
992,87.0918
993,87.0722
994,87.0797
995,87.0662
996,87.0393
997,87.0306
998,86.9974
999,86.9167
1000,86.9073
1001,86.8336
1002,86.7667
1003,86.6974
1004,86.5977
1005,86.5351
1006,86.4292
1007,86.3155
1008,86.1971
1009,86.0992
1010,86.0006
1011,85.8314
1012,85.7244
1013,85.6069
1014,85.5046
1015,85.3396
1016,85.1945
1017,85.0476
1018,84.9311
1019,84.7669
1020,84.6388
1021,84.4854
1022,84.3257
1023,84.195
1024,84.0889
1025,83.923
1026,83.7856
1027,83.6602
1028,83.5341
1029,83.4025
1030,83.2778
1031,83.157
1032,83.0399
1033,82.9232
1034,82.7935
1035,82.701
1036,82.6288
1037,82.5073
1038,82.4496
1039,82.3753
1040,82.3004
1041,82.2233
1042,82.1437
