Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA475"
Comment,""
Public,1
wavedataset
300,3.4E-05
301,3.8E-05
302,4E-05
303,5.8E-05
304,4.8E-05
305,3.2E-05
306,5.5E-05
307,3.9E-05
308,4.8E-05
309,5E-05
310,4.6E-05
311,1.5E-05
312,2.6E-05
313,6.1E-05
314,2.3E-05
315,-1E-06
316,5.1E-05
317,3.1E-05
318,3.7E-05
319,2.4E-05
320,2.6E-05
321,6E-05
322,6.5E-05
323,5.7E-05
324,7.4E-05
325,6E-05
326,4.9E-05
327,5.3E-05
328,3.9E-05
329,3.3E-05
330,2.1E-05
331,6.1E-05
332,5.2E-05
333,4.8E-05
334,5E-05
335,6.2E-05
336,4.6E-05
337,5.2E-05
338,2.3E-05
339,6E-05
340,0.000113
341,0.000101
342,7.1E-05
343,6.8E-05
344,5.3E-05
345,5.5E-05
346,5E-05
347,4.2E-05
348,5.3E-05
349,4.1E-05
350,6.1E-05
351,4.8E-05
352,7.8E-05
353,6.7E-05
354,6.7E-05
355,0.000103
356,5.7E-05
357,5E-05
358,1.4E-05
359,1.3E-05
360,5.7E-05
361,3.9E-05
362,4E-06
363,2.8E-05
364,7.8E-05
365,8.2E-05
366,4.1E-05
367,5.2E-05
368,6.1E-05
369,9.8E-05
370,5.2E-05
371,2.3E-05
372,3.5E-05
373,2.2E-05
374,2.9E-05
375,7.4E-05
376,5.9E-05
377,3.3E-05
378,5.7E-05
379,2.7E-05
380,1.4E-05
381,5.9E-05
382,5.5E-05
383,1.4E-05
384,1.7E-05
385,9.5E-05
386,8.8E-05
387,4.9E-05
388,5.8E-05
389,3.9E-05
390,2.7E-05
391,5.4E-05
392,7.3E-05
393,6.7E-05
394,5.1E-05
395,4.5E-05
396,4E-05
397,8.3E-05
398,4.6E-05
399,5.2E-05
400,5.3E-05
401,5.5E-05
402,8.4E-05
403,6.6E-05
404,3.9E-05
405,4.2E-05
406,6.1E-05
407,4.6E-05
408,8E-06
409,2.2E-05
410,1.1E-05
411,6.1E-05
412,8.9E-05
413,9.2E-05
414,3.2E-05
415,6.6E-05
416,3.9E-05
417,7.7E-05
418,2E-05
419,4.8E-05
420,7E-06
421,4.3E-05
422,3.7E-05
423,-1E-06
424,3.3E-05
425,2.4E-05
426,1.8E-05
427,6.1E-05
428,2.4E-05
429,2.1E-05
430,1.6E-05
431,6.2E-05
432,9.8E-05
433,7.2E-05
434,7.4E-05
435,8.5E-05
436,7.3E-05
437,7.9E-05
438,6.7E-05
439,4.8E-05
440,8.7E-05
441,0.000111
442,0.000106
443,9.3E-05
444,9.6E-05
445,0.000175
446,0.00016
447,0.000223
448,0.000299
449,0.000377
450,0.000395
451,0.000498
452,0.000706
453,0.000981
454,0.001557
455,0.002861
456,0.005764
457,0.012581
458,0.027796
459,0.059669
460,0.122141
461,0.235977
462,0.431677
463,0.752877
464,1.239977
465,1.94726
466,2.942129
467,4.277827
468,6.015379
469,8.202036
470,10.843105
471,13.997238
472,17.692267
473,21.848105
474,26.348219
475,31.175698
476,36.188402
477,41.3015
478,46.406518
479,51.328597
480,56.036634
481,60.4879
482,64.659719
483,68.49554
484,71.965992
485,75.063497
486,77.739101
487,80.107677
488,82.119578
489,83.908644
490,85.431433
491,86.698269
492,87.733018
493,88.691445
494,89.426648
495,90.071775
496,90.621208
497,91.07686
498,91.520409
499,91.798682
500,92.187161
501,92.48164
502,92.757537
503,93.044076
504,93.261913
505,93.502905
506,93.878685
507,94.136011
508,94.418732
509,94.701644
510,94.929099
511,95.110146
512,95.265599
513,95.472778
514,95.784687
515,96.03122
516,96.175189
517,96.414764
518,96.641764
519,96.815046
520,96.903205
521,96.987781
522,97.082654
523,97.247614
524,97.393689
525,97.460337
526,97.52918
527,97.547255
528,97.597278
529,97.609252
530,97.625241
531,97.618291
532,97.613028
533,97.653965
534,97.616033
535,97.59252
536,97.561524
537,97.51385
538,97.481756
539,97.507599
540,97.524803
541,97.492613
542,97.458523
543,97.441835
544,97.465841
545,97.457844
546,97.422771
547,97.38764
548,97.420518
549,97.407392
550,97.458989
551,97.550448
552,97.537341
553,97.571891
554,97.583997
555,97.611397
556,97.614632
557,97.6403
558,97.742474
559,97.794308
560,97.765306
561,97.844833
562,97.904041
563,97.880647
564,97.92433
565,97.996126
566,98.017558
567,98.001466
568,98.114711
569,98.173923
570,98.200879
571,98.154139
572,98.173629
573,98.257421
574,98.241208
575,98.239207
576,98.297971
577,98.306849
578,98.303186
579,98.340572
580,98.291624
581,98.288436
582,98.219923
583,98.173136
584,98.223794
585,98.245666
586,98.225132
587,98.200195
588,98.09391
589,98.098092
590,98.036987
591,97.962523
592,98.00677
593,97.950149
594,97.90939
595,97.828259
596,97.78294
597,97.77999
598,97.744468
599,97.806207
600,97.785359
601,97.707688
602,97.648477
603,97.596574
604,97.57671
605,97.563098
606,97.545231
607,97.555104
608,97.472094
609,97.441934
610,97.448939
611,97.52117
612,97.469236
613,97.557818
614,97.460991
615,97.45472
616,97.547177
617,97.525088
618,97.473073
619,97.474418
620,97.487353
621,97.591174
622,97.630859
623,97.623743
624,97.556246
625,97.679528
626,97.750212
627,97.684727
628,97.725798
629,97.79965
630,97.792459
631,97.741962
632,97.769595
633,97.823796
634,97.883925
635,97.84886
636,97.67114
637,97.911431
638,97.840612
639,97.899997
640,97.769104
641,98.030831
642,98.019203
643,97.89094
644,98.073819
645,97.993111
646,98.023259
647,97.787864
648,98.02836
649,97.970176
650,97.847957
651,97.846807
652,97.676789
653,97.892861
654,97.942485
655,97.990961
656,97.756951
657,97.734483
658,97.933113
659,97.822019
660,97.690781
661,97.234002
662,97.887388
663,97.701841
664,97.357921
665,97.462599
666,97.545793
667,97.39818
668,97.051256
669,97.46876
670,97.010734
671,97.160651
672,97.137539
673,97.285092
674,97.357204
675,97.169285
676,97.222528
677,96.69552
678,97.171686
679,97.005661
680,96.674741
681,96.346637
682,96.690403
683,96.476409
684,96.063964
685,96.363378
686,95.874308
687,96.410141
688,95.756139
689,96.162222
690,95.837352
691,96.062995
692,95.730598
693,96.130011
694,95.685167
695,95.527517
696,95.729069
697,95.761682
698,95.767932
699,95.636113
700,95.428171
701,95.266801
702,95.637264
703,95.397195
704,95.6052
705,95.088363
706,94.928616
707,95.140156
708,95.238507
709,95.284331
710,95.282601
711,95.296294
712,95.01665
713,94.894436
714,95.16371
715,95.050529
716,95.132975
717,95.097093
718,95.019743
719,94.972213
720,95.140672
721,94.829755
722,95.027474
723,94.898423
724,94.896904
725,94.770891
726,94.920492
727,94.903674
728,94.763542
729,94.951883
730,94.958483
731,95.123292
732,95.351383
733,94.688316
734,94.679046
735,94.839524
736,94.974042
737,95.002609
738,94.522255
739,94.780693
740,95.130263
741,94.891457
742,94.919602
743,94.858203
744,94.841431
745,95.006539
746,94.988852
747,95.239829
748,94.990192
749,94.941187
750,94.915198
751,94.973359
752,95.027965
753,94.948145
754,95.122351
755,95.292482
756,95.013086
757,94.778357
758,94.934684
759,94.975809
760,95.09194
761,95.261672
762,95.094561
763,94.965087
764,95.125673
765,94.939044
766,94.886382
767,95.054204
768,95.121009
769,94.984629
770,94.854417
771,94.685986
772,94.800221
773,95.073812
774,95.014213
775,94.842158
776,94.67546
777,94.613828
778,94.593665
779,94.819854
780,94.972644
781,94.668658
782,94.392294
783,94.323699
784,94.223236
785,94.056926
786,94.189405
787,94.10962
788,93.822065
789,93.707151
790,93.775582
791,93.761162
792,93.699495
793,93.835005
794,93.910469
795,93.865047
796,93.763451
797,93.543656
798,93.411041
799,93.265057
800,93.207523
801,93.178206
802,93.262045
803,93.191745
804,93.050217
805,92.726916
806,92.830876
807,92.842839
808,92.733272
809,92.568577
810,92.56382
811,92.797656
812,92.974507
813,92.470058
814,92.222842
815,92.215911
816,91.994876
817,91.915788
818,91.916813
819,91.704204
820,91.742331
821,91.789845
822,91.71817
823,91.665528
824,91.571599
825,91.550381
826,91.290705
827,90.972827
828,91.225808
829,91.128684
830,91.013686
831,90.950688
832,90.923275
833,90.792354
834,90.82423
835,90.821997
836,90.632523
837,90.613265
838,90.61544
839,90.675288
840,90.634602
841,90.349056
842,90.418887
843,90.129982
844,90.315107
845,90.272889
846,90.121989
847,89.884074
848,89.77919
849,89.865703
850,89.914549
851,89.894649
852,89.613821
853,89.437126
854,89.450236
855,89.447703
856,89.719584
857,89.753461
858,89.144314
859,89.018754
860,89.243414
861,89.06418
862,88.821327
863,89.158314
864,88.592502
865,89.065098
866,88.968433
867,88.460382
868,88.855332
869,88.595446
870,88.769452
871,88.630565
872,88.394115
873,88.431482
874,88.259156
875,88.215872
876,87.973952
877,88.370025
878,88.912183
879,88.012375
880,87.699454
881,88.594461
882,88.595698
883,88.139459
884,88.905089
885,88.408395
886,87.21954
887,87.307511
888,87.651684
889,88.726131
890,88.125141
891,88.309838
892,88.956302
893,88.135962
894,87.329626
895,87.819839
896,87.897669
897,89.350227
898,87.780763
899,87.771663
