Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA575-625(U-MWIGA3,U-MNIGA3)"
Comment,""
Public,1
wavedataset
300,0.271820899
301,0.231438
302,0.218056
303,0.451299
304,0.432443
305,0.243418
306,0.305145
307,0.277545
308,0.100777
309,0.033822
310,0.009973
311,0.002419
312,0.000715
313,0.001105
314,0.000644
315,0.000127
316,0.000226
317,0.000601
318,0.000451
319,0.000148
320,0.000109
321,0.000343
322,0.000604
323,0.000365
324,0.000143
325,0.000148
326,0.002098
327,0.003773
328,0.001806
329,0.000617
330,0.002962
331,0.032385
332,1.07743
333,1.358493
334,0.476874
335,0.063683
336,0.06023
337,0.108877
338,1.057091
339,4.043389
340,2.210201
341,0.277659
342,0.119091
343,0.130759
344,0.238277
345,1.500335
346,2.433752
347,7.248185
348,1.246309
349,0.549323
350,0.582228
351,1.101216
352,5.086958
353,3.900687
354,24.723481
355,10.119933
356,2.85099
357,4.242309
358,7.883452
359,13.271494
360,16.156747
361,17.152938
362,20.802793
363,26.620753
364,27.114779
365,21.877273
366,17.799768
367,18.012487
368,23.539563
369,32.424139
370,33.069246
371,24.480655
372,17.633231
373,16.083625
374,20.525096
375,34.592241
376,52.364877
377,48.124287
378,31.633733
379,21.740737
380,19.706789
381,24.580374
382,40.083234
383,60.023462
384,54.576521
385,36.326292
386,25.876674
387,23.247589
388,26.276904
389,36.3274
390,54.424582
391,68.654548
392,60.100222
393,43.557065
394,34.551499
395,33.689907
396,40.216891
397,53.853341
398,69.77259
399,76.185727
400,69.637047
401,59.188272
402,50.579097
403,46.870376
404,49.247018
405,58.979888
406,75.410686
407,88.333065
408,85.98338
409,75.832691
410,68.31667
411,66.010836
412,65.864618
413,64.653999
414,63.113673
415,63.266001
416,66.795538
417,72.23993
418,75.871281
419,74.390862
420,67.438559
421,58.851826
422,51.98377
423,48.186936
424,49.129678
425,55.739055
426,66.957271
427,73.007328
428,64.924379
429,51.204943
430,43.958946
431,46.645897
432,60.349268
433,74.764433
434,63.599246
435,42.159853
436,34.530914
437,44.480712
438,59.321862
439,33.007032
440,9.905087
