Type,Emitter
Maker,"Chroma"
ProductName,"E420LPv2"
Comment,""
Public,1
wavedataset
300,0.00095
301,0.00095
302,0.00095
303,0.00095
304,0.00095
305,0.00095
306,0.00095
307,0.00095
308,0.00095
309,0.00095
310,0.00095
311,0.00095
312,0.00095
313,0.00095
314,0.00095
315,0.00095
316,0.00095
317,0.00095
318,0.00095
319,0.00095
320,0.00095
321,0.00095
322,0.00095
323,0.00095
324,0.00095
325,0.00095
326,0.00095
327,0.0012578
328,0.00095
329,0.00095
330,0.00095
331,0.00095
332,0.00095
333,0.00095
334,0.00095
335,0.00095
336,0.00095
337,0.00095
338,0.00095
339,0.00095
340,0.00095
341,0.00095
342,0.00095
343,0.00095
344,0.00095
345,0.00095
346,0.00095
347,0.00095
348,0.00095
349,0.00095
350,0.00095
351,0.00095
352,0.00095
353,0.00095
354,0.00095
355,0.00095
356,0.00095
357,0.00095
358,0.00095
359,0.00095
360,0.00095
361,0.00095
362,0.00095
363,0.00095
364,0.00095
365,0.00095
366,0.00095
367,0.00095
368,0.00095
369,0.00095
370,0.00095
371,0.00095
372,0.00095
373,0.00095
374,0.00095
375,0.00095
376,0.00095
377,0.00095
378,0.00095
379,0.00095
380,0.00095
381,0.00095
382,0.00095
383,0.00095
384,0.00095
385,0.00095
386,0.00095
387,0.00095
388,0.00095
389,0.00095
390,0.00095
391,0.00095
392,0.00095
393,0.00095
394,0.00095
395,0.00095
396,0.00095
397,0.00095
398,0.00095
399,0.00095
400,0.00095
401,0.00095
402,0.00095
403,0.00095
404,0.00095
405,0.00095
406,0.00095
407,0.00095
408,0.00095
409,0.00183159
410,0.00529387
411,0.014553
412,0.0394293
413,0.101176
414,0.23251
415,0.505232
416,1.44597
417,2.78366
418,5.09233
419,8.94027
420,14.8358
421,23.0919
422,33.3647
423,44.2169
424,54.0986
425,61.8469
426,67.2411
427,70.6249
428,72.7108
429,74.0939
430,75.2383
431,76.1523
432,76.7803
433,77.7971
434,78.3795
435,79.0092
436,79.5904
437,80.1365
438,80.7237
439,81.2487
440,81.5298
441,81.9372
442,82.2725
443,82.6623
444,82.9234
445,83.1963
446,83.6728
447,83.9045
448,84.0014
449,84.1821
450,84.3418
451,84.5584
452,84.5895
453,84.7978
454,84.8499
455,84.9725
456,85.0791
457,85.118
458,85.255
459,85.2646
460,85.4828
461,85.6405
462,85.8662
463,85.973
464,86.1451
465,86.3747
466,86.5405
467,86.979
468,87.2381
469,87.4643
470,87.8805
471,87.9983
472,88.3259
473,88.4237
474,88.5543
475,88.8714
476,89.0271
477,89.1763
478,89.2466
479,89.3919
480,89.461
481,89.498
482,89.5308
483,89.6895
484,89.6163
485,89.858
486,89.79
487,89.8857
488,89.813
489,89.9554
490,90.1578
491,90.2557
492,90.2497
493,90.3561
494,90.4079
495,90.4636
496,90.4661
497,90.603
498,90.7004
499,90.7782
500,90.9423
501,90.9922
502,91.0935
503,91.1846
504,91.3232
505,91.4035
506,91.5263
507,91.5395
508,91.6485
509,91.5257
510,91.6555
511,91.6947
512,91.6995
513,91.9143
514,91.8644
515,91.947
516,91.9771
517,91.9307
518,91.8147
519,91.8943
520,91.936
521,92.1299
522,92.0696
523,92.1419
524,92.4112
525,92.2273
526,92.4176
527,92.3752
528,92.4329
529,92.6123
530,92.6345
531,92.5815
532,92.8317
533,92.8173
534,92.871
535,92.9799
536,93.2462
537,93.4056
538,93.3635
539,93.4986
540,93.4486
541,93.2726
542,93.4804
543,93.4288
544,93.5675
545,93.6198
546,93.5947
547,93.7969
548,93.6657
549,93.5376
550,93.831
551,93.7556
552,93.6901
553,93.7747
554,93.6119
555,93.6993
556,93.3718
557,93.2208
558,93.46
559,93.257
560,93.4256
561,93.2112
562,93.0094
563,93.075
564,92.8329
565,92.7067
566,92.6999
567,92.5429
568,92.5656
569,92.3805
570,92.4163
571,92.6262
572,92.4561
573,92.4755
574,92.4556
575,92.4354
576,92.3292
577,92.4821
578,92.2509
579,92.4145
580,92.49
581,92.4008
582,92.5104
583,92.3265
584,92.6964
585,92.6882
586,92.5784
587,92.7952
588,92.8835
589,93.1362
590,93.1665
591,93.2259
592,93.4798
593,93.5054
594,93.6961
595,93.7148
596,93.8632
597,94.0508
598,93.8989
599,94.0809
600,94.0527
601,94.0034
602,94.1665
603,94.2795
604,94.3279
605,94.5395
606,94.3837
607,94.492
608,94.4848
609,94.4454
610,94.5535
611,94.6528
612,94.6413
613,94.7798
614,94.6004
615,94.5526
616,94.6582
617,94.5242
618,94.3788
619,94.3721
620,94.1793
621,94.1224
622,93.9373
623,93.8306
624,93.6782
625,93.6548
626,93.6255
627,93.5609
628,93.5261
629,93.4058
630,93.3318
631,93.2025
632,93.251
633,93.1503
634,93.2016
635,93.0416
636,92.931
637,92.7184
638,92.4909
639,92.4912
640,92.3772
641,92.2773
642,92.3046
643,92.2362
644,92.0819
645,92.0665
646,91.9823
647,92.0338
648,92.003
649,92.0517
650,92.15
651,92.1489
652,92.0208
653,92.0629
654,91.9963
655,91.9652
656,92.0545
657,91.9652
658,92.0679
659,91.988
660,91.9174
661,92.0696
662,92.1265
663,92.2175
664,92.3871
665,92.336
