Type,Emitter
Maker,"Chroma"
ProductName,"E580LP"
Comment,""
Public,1
wavedataset
300,0.005
300.5,0.004844
301,0.001
301.5,0.002365
302,0.002627
302.5,0.001
303,0.004953
303.5,0.002025
304,0.001
304.5,0.001836
305,0.002249
305.5,0.006437
306,0.008616
306.5,0.01882
307,0.01181
307.5,0.01466
308,0.00924
308.5,0.008913
309,0.00752
309.5,0.006572
310,0.002661
310.5,0.007664
311,0.003782
311.5,0.01135
312,0.001
312.5,0.007466
313,0.005122
313.5,0.001
314,0.009664
314.5,0.007277
315,0.001
315.5,0.001
316,0.01475
316.5,0.002827
317,0.001
317.5,0.001
318,0.006715
318.5,0.005023
319,0.007228
319.5,0.01134
320,0.01157
320.5,0.02231
321,0.001
321.5,0.01454
322,0.01093
322.5,0.01134
323,0.009233
323.5,0.001445
324,0.01519
324.5,0.009645
325,0.01287
325.5,0.02098
326,0.009689
326.5,0.001
327,0.008245
327.5,0.001
328,0.004372
328.5,0.01886
329,0.001
329.5,0.001
330,0.001
330.5,0.00421
331,0.02274
331.5,0.01545
332,0.01276
332.5,0.01225
333,0.01443
333.5,0.009663
334,0.00693
334.5,0.004351
335,0.02743
335.5,0.001722
336,0.01144
336.5,0.01876
337,0.007736
337.5,0.007582
338,0.017
338.5,0.001
339,0.00768
339.5,0.02237
340,0.01755
340.5,0.0152
341,0.001
341.5,0.01968
342,0.001
342.5,0.01488
343,0.001
343.5,0.001
344,0.01886
344.5,0.008918
345,0.003119
345.5,0.00716
346,0.001
346.5,0.01461
347,0.01317
347.5,0.01377
348,0.008047
348.5,0.006567
349,0.007534
349.5,0.00274
350,0.001
350.5,0.01785
351,0.01146
351.5,0.006628
352,0.00663
352.5,0.001
353,0.001
353.5,0.01368
354,0.006088
354.5,0.01333
355,0.01404
355.5,0.01278
356,0.01091
356.5,0.001505
357,0.001
357.5,0.008318
358,0.006369
358.5,0.001688
359,0.004638
359.5,0.006947
360,0.001
360.5,0.001
361,0.0025
361.5,0.008836
362,0.00107
362.5,0.01377
363,0.009815
363.5,0.0108
364,0.00977
364.5,0.002755
365,0.01542
365.5,0.001
366,0.006052
366.5,0.002441
367,0.001092
367.5,0.01068
368,0.001
368.5,0.009829
369,0.008087
369.5,0.001
370,0.01145
370.5,0.01509
371,0.001
371.5,0.001
372,0.001
372.5,0.005309
373,0.001
373.5,0.01066
374,0.001
374.5,0.001943
375,0.002253
375.5,0.01362
376,0.007495
376.5,0.007466
377,0.001
377.5,0.004201
378,0.001
378.5,0.01383
379,0.001
379.5,0.004409
380,0.01275
380.5,0.001
381,0.001
381.5,0.01226
382,0.009338
382.5,0.002602
383,0.02043
383.5,0.006463
384,0.009131
384.5,0.007479
385,0.009449
385.5,0.001
386,0.01207
386.5,0.007586
387,0.01353
387.5,0.01286
388,0.004794
388.5,0.003055
389,0.001
389.5,0.002654
390,0.01994
390.5,0.009266
391,0.007612
391.5,0.005018
392,0.006539
392.5,0.001
393,0.004417
393.5,0.01658
394,0.007167
394.5,0.01156
395,0.01586
395.5,0.001
396,0.001
396.5,0.00272
397,0.002635
397.5,0.009783
398,0.007405
398.5,0.009657
399,0.009468
399.5,0.007482
400,0.005067
400.5,0.008218
401,0.01975
401.5,0.00447
402,0.01494
402.5,0.001
403,0.001
403.5,0.003853
404,0.001
404.5,0.001
405,0.001
405.5,0.005801
406,0.01103
406.5,0.001
407,0.001205
407.5,0.015
408,0.00808
408.5,0.007367
409,0.009374
409.5,0.005
410,0.005
410.5,0.001
411,0.002704
411.5,0.01217
412,0.01826
412.5,0.01456
413,0.001
413.5,0.001
414,0.002428
414.5,0.002656
415,0.001
415.5,0.001
416,0.01042
416.5,0.005582
417,0.001
417.5,0.001
418,0.00586
418.5,0.01154
419,0.006784
419.5,0.001
420,0.003782
420.5,0.006242
421,0.007776
421.5,0.003485
422,0.001668
422.5,0.005996
423,0.003461
423.5,0.003694
424,0.005427
424.5,0.008673
425,0.001
425.5,0.01146
426,0.00236
426.5,0.004751
427,0.00644
427.5,0.005906
428,0.001
428.5,0.001
429,0.009758
429.5,0.01977
430,0.01002
430.5,0.00875
431,0.01395
431.5,0.0161
432,0.01382
432.5,0.002355
433,0.001
433.5,0.00856
434,0.007855
434.5,0.01549
435,0.003623
435.5,0.001
436,0.009805
436.5,0.005435
437,0.01809
437.5,0.0154
438,0.008355
438.5,0.006892
439,0.006986
439.5,0.0122
440,0.016
440.5,0.01164
441,0.002016
441.5,0.00667
