Type,Emitter
Maker,"Semrock"
ProductName,"FF01-425/527/685-25"
Comment,""
Public,1
wavedataset
300,0.0001773
300.2,0.00017784
300.4,0.0001784
300.6,0.00017895
300.8,0.00017951
301,0.00018006
301.2,0.00018062
301.4,0.00018117
301.6,0.00018173
301.8,0.0001823
302,0.00018171
302.2,0.00018107
302.4,0.00018044
302.6,0.00017979
302.8,0.00017916
303,0.00017853
303.2,0.00017789
303.4,0.00017726
303.6,0.00017664
303.8,0.00017601
304,0.0001771
304.2,0.00017877
304.4,0.00018046
304.6,0.00018216
304.8,0.00018388
305,0.00018563
305.2,0.00018738
305.4,0.00018914
305.6,0.00019093
305.8,0.00019273
306,0.00016974
306.2,0.00013428
306.4,0.00010624
306.6,8.4049E-05
306.8,6.6494E-05
307,5.2606E-05
307.2,4.1619E-05
307.4,3.2925E-05
307.6,2.6049E-05
307.8,2.0608E-05
308,2E-05
308.2,2.7694E-05
308.4,3.8351E-05
308.6,5.3106E-05
308.8,7.3537E-05
309,0.00010183
309.2,0.00014101
309.4,0.00019526
309.6,0.00027039
309.8,0.00037442
310,0.00051102
310.2,0.00060254
310.4,0.00071045
310.6,0.0008377
310.8,0.00098773
311,0.0011646
311.2,0.0013732
311.4,0.0016191
311.6,0.0019091
311.8,0.0022511
312,0.002363
312.2,0.0024638
312.4,0.0025689
312.6,0.0026784
312.8,0.0027927
313,0.0029118
313.2,0.003036
313.4,0.0031655
313.6,0.0033006
313.8,0.0034413
314,0.0031796
314.2,0.0028248
314.4,0.0025096
314.6,0.0022295
314.8,0.0019807
315,0.0017597
315.2,0.0015633
315.4,0.0013889
315.6,0.0012339
315.8,0.0010962
316,0.00099297
316.2,0.0009131
316.4,0.00083962
316.6,0.00077204
316.8,0.00070992
317,0.00065279
317.2,0.00060025
317.4,0.00055194
317.6,0.00050752
317.8,0.00046669
318,0.00048081
318.2,0.0005964
318.4,0.00073975
318.6,0.00091756
318.8,0.0011381
319,0.0014117
319.2,0.001751
319.4,0.002172
319.6,0.002694
319.8,0.0033415
320,0.0040809
320.2,0.0042976
320.4,0.0045258
320.6,0.0047662
320.8,0.0050193
321,0.0052858
321.2,0.0055666
321.4,0.0058622
321.6,0.0061735
321.8,0.0065014
322,0.005729
322.2,0.0049963
322.4,0.0043573
322.6,0.0038
322.8,0.003314
323,0.0028902
323.2,0.0025205
323.4,0.0021982
323.6,0.001917
323.8,0.0016719
324,0.0014372
324.2,0.0012296
324.4,0.001052
324.6,0.00090008
324.8,0.00077009
325,0.00065887
325.2,0.00056372
325.4,0.00048231
325.6,0.00041265
325.8,0.00035305
326,0.00031223
326.2,0.00028308
326.4,0.00025667
326.6,0.00023272
326.8,0.000211
327,0.00019131
327.2,0.00017346
327.4,0.00015727
327.6,0.00014259
327.8,0.00012928
328,0.00011907
328.2,0.00011237
328.4,0.00010605
328.6,0.00010009
328.8,9.4458E-05
329,8.9146E-05
329.2,8.4131E-05
329.4,7.94E-05
329.6,7.4934E-05
329.8,7.072E-05
330,6.7925E-05
330.2,7.5771E-05
330.4,8.4522E-05
330.6,9.4286E-05
330.8,0.00010518
331,0.00011732
331.2,0.00013088
331.4,0.000146
331.6,0.00016286
331.8,0.00018167
332,0.00019459
332.2,0.0002078
332.4,0.0002219
332.6,0.00023696
332.8,0.00025304
333,0.00027022
333.2,0.00028856
333.4,0.00030814
333.6,0.00032906
333.8,0.00035139
334,0.00033565
334.2,0.00030892
334.4,0.00028432
334.6,0.00026168
334.8,0.00024085
335,0.00022166
335.2,0.00020401
335.4,0.00018776
335.6,0.00017281
335.8,0.00015905
336,0.00013797
336.2,0.00011444
336.4,9.4932E-05
336.6,7.8747E-05
336.8,6.5321E-05
337,5.4185E-05
337.2,4.4947E-05
337.4,3.7283E-05
337.6,3.0927E-05
337.8,2.5654E-05
