Type,Emitter
Maker,"Semrock"
ProductName,"FF02-520/28-25"
Comment,""
Public,1
wavedataset
265,0.00012769
265.2,0.00012625
265.4,0.00012482
265.6,0.00012341
265.8,0.00012201
266,0.00012063
266.2,0.00011927
266.4,0.00011792
266.6,0.00011658
266.8,0.00011527
267,0.00011822
267.2,0.00014253
267.4,0.00017183
267.6,0.00020716
267.8,0.00024975
268,0.00030109
268.2,0.00036299
268.4,0.00043762
268.6,0.00052759
268.8,0.00063606
269,0.00076683
269.2,0.00092448
269.4,0.0011146
269.6,0.0013437
269.8,0.0016199
270,0.001953
270.2,0.0023545
270.4,0.0028386
270.6,0.0034222
270.8,0.0036343
271,0.0034645
271.2,0.0033025
271.4,0.0031481
271.6,0.0030009
271.8,0.0028607
272,0.0027269
272.2,0.0025995
272.4,0.0024779
272.6,0.0023621
272.8,0.0022517
273,0.0021464
273.2,0.0020461
273.4,0.0019504
273.6,0.0018593
273.8,0.0017723
274,0.0016895
274.2,0.0016105
274.4,0.0015352
274.6,0.00091631
274.8,0.00052068
275,0.00029586
275.2,0.00016361
275.4,9.0479E-05
275.6,8.2207E-05
275.8,9.1486E-05
276,0.00010181
276.2,0.0001133
276.4,0.00012609
276.6,0.00014032
276.8,0.00015616
277,0.00017378
277.2,0.0001934
277.4,0.00021523
277.6,0.00023952
277.8,0.00026655
278,0.00029664
278.2,0.00033012
278.4,0.00036738
278.6,0.00040884
278.8,0.00045498
279,0.00050634
279.2,0.00055992
279.4,0.00057263
279.6,0.00058562
279.8,0.00059891
280,0.0006125
280.2,0.00062639
280.4,0.0006406
280.6,0.00065514
280.8,0.00067
281,0.0006852
281.2,0.00070075
281.4,0.00071665
281.6,0.00073291
281.8,0.00074954
282,0.00076654
282.2,0.00078394
282.4,0.00080172
282.6,0.00081991
282.8,0.00083851
283,0.00079109
283.2,0.00067628
283.4,0.00057813
283.6,0.00049423
283.8,0.0004225
284,0.00036119
284.2,0.00030877
284.4,0.00026396
284.6,0.00022565
284.8,0.0001929
285,0.00016491
285.2,8.4686E-05
285.4,4.349E-05
285.6,3.9139E-05
285.8,4.1454E-05
286,4.3905E-05
286.2,4.6502E-05
286.4,4.9253E-05
286.6,5.2166E-05
286.8,5.5252E-05
287,5.852E-05
287.2,6.1981E-05
287.4,6.5647E-05
287.6,6.953E-05
287.8,7.3642E-05
288,7.7998E-05
288.2,8.2612E-05
288.4,8.7498E-05
288.6,9.2673E-05
288.8,9.8154E-05
289,0.00010396
289.2,0.00010772
289.4,9.8595E-05
289.6,9.024E-05
289.8,8.2592E-05
290,7.5593E-05
290.2,6.9187E-05
290.4,6.3324E-05
290.6,5.7958E-05
290.8,5.3046E-05
291,4.8551E-05
291.2,4.4437E-05
291.4,4.0671E-05
291.6,3.7224E-05
291.8,3.407E-05
292,3.1183E-05
292.2,2.854E-05
292.4,2.6121E-05
292.6,2.3908E-05
292.8,2.1882E-05
293,2.1916E-05
293.2,2.3776E-05
293.4,2.5795E-05
293.6,2.7985E-05
293.8,3.036E-05
294,3.2937E-05
294.2,3.5733E-05
294.4,3.8767E-05
294.6,4.2057E-05
294.8,4.5628E-05
295,4.9501E-05
295.2,4.7323E-05
295.4,4.5241E-05
295.6,4.325E-05
295.8,4.1347E-05
296,3.9528E-05
296.2,3.7788E-05
296.4,3.6126E-05
296.6,3.4536E-05
296.8,3.3016E-05
297,3.1564E-05
297.2,3.0175E-05
297.4,2.8847E-05
297.6,2.7578E-05
297.8,2.6364E-05
298,2.622E-05
298.2,2.7931E-05
298.4,2.9753E-05
298.6,3.1695E-05
298.8,3.3763E-05
299,3.5967E-05
299.2,3.8314E-05
299.4,4.0814E-05
299.6,4.3477E-05
299.8,4.6315E-05
300,4.9337E-05
300.2,5.2556E-05
300.4,5.5986E-05
300.6,5.964E-05
300.8,6.3532E-05
301,6.7678E-05
301.2,7.2094E-05
301.4,7.6799E-05
301.6,8.181E-05
301.8,8.1014E-05
302,7.8298E-05
302.2,7.5672E-05
302.4,7.3134E-05
302.6,7.0682E-05
302.8,6.8312E-05
303,6.6021E-05
303.2,6.3807E-05
303.4,6.1667E-05
303.6,5.9599E-05
303.8,5.7601E-05
304,5.5669E-05
304.2,5.3802E-05
304.4,5.1998E-05
304.6,5.0254E-05
304.8,4.8569E-05
305,4.694E-05
305.2,5.2433E-05
305.4,5.8569E-05
305.6,6.2108E-05
305.8,5.7421E-05
306,5.3088E-05
306.2,4.9082E-05
306.4,4.5378E-05
306.6,4.1953E-05
306.8,3.8788E-05
307,3.5861E-05
307.2,3.3154E-05
307.4,3.0653E-05
307.6,2.8339E-05
307.8,2.6201E-05
308,2.4224E-05
308.2,2.2396E-05
308.4,2.0706E-05
308.6,1.9143E-05
308.8,1.7699E-05
309,1.6363E-05
309.2,1.5128E-05
309.4,1.466E-05
309.6,1.4588E-05
309.8,1.4516E-05
310,1.4445E-05
310.2,1.4373E-05
310.4,1.4303E-05
310.6,1.4232E-05
310.8,1.4162E-05
311,1.4092E-05
311.2,1.4022E-05
311.4,1.3953E-05
311.6,1.3885E-05
311.8,1.3816E-05
312,1.3748E-05
312.2,1.368E-05
312.4,1.3613E-05
312.6,1.3546E-05
312.8,1.3479E-05
313,1.3435E-05
313.2,1.5814E-05
313.4,1.8615E-05
313.6,2.1911E-05
313.8,2.5792E-05
314,3.036E-05
314.2,3.5736E-05
314.4,4.2065E-05
314.6,4.9515E-05
314.8,5.8284E-05
315,6.8605E-05
315.2,8.0755E-05
315.4,9.5057E-05
315.6,0.00011189
315.8,0.00013171
316,0.00015503
316.2,0.00018249
316.4,0.00021481
316.6,0.00025285
316.8,0.0002616
317,0.00022026
317.2,0.00018545
317.4,0.00015614
317.6,0.00013146
317.8,0.00011068
318,9.3188E-05
318.2,7.8459E-05
318.4,6.6059E-05
318.6,5.5618E-05
318.8,4.6827E-05
319,3.9426E-05
319.2,3.3195E-05
319.4,2.7948E-05
319.6,2.3531E-05
319.8,1.9812E-05
320,1.6681E-05
320.2,1.4044E-05
320.4,1.1825E-05
320.6,1.1341E-05
320.8,1.1309E-05
321,1.1277E-05
321.2,1.1246E-05
321.4,1.1214E-05
321.6,1.1182E-05
321.8,1.1151E-05
322,1.1119E-05
322.2,1.1088E-05
322.4,1.1057E-05
322.6,1.1026E-05
322.8,1.0995E-05
323,1.0964E-05
323.2,1.0933E-05
323.4,1.0902E-05
323.6,1.0871E-05
323.8,1.084E-05
324,1.081E-05
324.2,1.0764E-05
324.4,1.0639E-05
324.6,1.0516E-05
324.8,1.0394E-05
325,1.0273E-05
325.2,1.0154E-05
325.4,1.0036E-05
325.6,9.9198E-06
325.8,9.8048E-06
326,9.6911E-06
326.2,9.5787E-06
326.4,9.4676E-06
326.6,9.3578E-06
326.8,9.2493E-06
327,9.142E-06
327.2,9.036E-06
327.4,8.9312E-06
327.6,8.8277E-06
327.8,8.7253E-06
328,9.3889E-06
328.2,1.0786E-05
328.4,1.2391E-05
328.6,1.4235E-05
328.8,1.6353E-05
329,1.8786E-05
329.2,2.1581E-05
329.4,2.4793E-05
329.6,2.8482E-05
329.8,3.272E-05
330,3.7589E-05
330.2,4.3182E-05
330.4,4.9607E-05
330.6,5.6989E-05
330.8,6.5468E-05
331,7.521E-05
331.2,8.6401E-05
331.4,9.9258E-05
331.6,0.00011403
331.8,9.9754E-05
332,8.6661E-05
332.2,7.5286E-05
332.4,6.5404E-05
332.6,5.6819E-05
332.8,4.9361E-05
333,4.2882E-05
333.2,3.7253E-05
333.4,3.2363E-05
333.6,2.8115E-05
333.8,2.4425E-05
334,2.1219E-05
334.2,1.8434E-05
334.4,1.6014E-05
334.6,1.3912E-05
334.8,1.2086E-05
335,1.05E-05
335.2,8.6334E-06
335.4,7.0989E-06
335.6,6.4449E-06
335.8,7.3329E-06
336,8.3432E-06
336.2,9.4927E-06
336.4,1.0801E-05
336.6,1.2289E-05
336.8,1.3982E-05
337,1.5908E-05
337.2,1.81E-05
337.4,2.0594E-05
337.6,2.3431E-05
337.8,2.6659E-05
338,3.0333E-05
338.2,3.4512E-05
338.4,3.9267E-05
338.6,4.4677E-05
338.8,5.0832E-05
339,5.7836E-05
339.2,6.5805E-05
339.4,6.1915E-05
339.6,5.3594E-05
339.8,4.6392E-05
340,4.0157E-05
340.2,3.4761E-05
