Type,Emitter
Maker,"Chroma"
ProductName,"HQ665/65m"
Comment,""
Public,1
wavedataset
200,0.00095
201,0.00095
202,0.00095
203,0.00095
204,0.00095
205,0.00095
206,0.00095
207,0.00095
208,0.00095
209,0.00095
210,0.00110738
211,0.000994855
212,0.00123055
213,0.0012749
214,0.00129605
215,0.00147322
216,0.00145369
217,0.00159217
218,0.00183202
219,0.00193097
220,0.00187798
221,0.00199826
222,0.00197128
223,0.00198046
224,0.00210574
225,0.00201193
226,0.00217875
227,0.00207723
228,0.00230344
229,0.00238633
230,0.00223362
231,0.00243731
232,0.00238311
233,0.00237254
234,0.00227156
235,0.00245554
236,0.00225573
237,0.00221371
238,0.00233414
239,0.00212346
240,0.00221818
241,0.00227875
242,0.00216599
243,0.00214083
244,0.00187776
245,0.00197833
246,0.00197047
247,0.00193609
248,0.00185133
249,0.00184806
250,0.0017764
251,0.0017458
252,0.00166703
253,0.00162546
254,0.00148088
255,0.00141698
256,0.00154947
257,0.00149699
258,0.00148239
259,0.00139411
260,0.00141909
261,0.00128867
262,0.00128123
263,0.00124259
264,0.00137567
265,0.00127541
266,0.00114597
267,0.00126841
268,0.0012714
269,0.00119396
270,0.00118952
271,0.001209
272,0.00107432
273,0.00118601
274,0.00115233
275,0.00118878
276,0.00120992
277,0.00122718
278,0.00111635
279,0.0012169
280,0.00127549
281,0.00116434
282,0.00116451
283,0.0011517
284,0.00123385
285,0.0012983
286,0.00118781
287,0.00114052
288,0.00123106
289,0.00117011
290,0.00126681
291,0.00123789
292,0.00113843
293,0.00103956
294,0.000981724
295,0.00105426
296,0.00115354
297,0.00113193
298,0.00116837
299,0.00105091
300,0.00108982
301,0.000960298
302,0.00095
303,0.00095
304,0.00095
305,0.00102358
306,0.000975636
307,0.00095
308,0.00095
309,0.00095
310,0.00095
311,0.00095
312,0.00095
313,0.00095
314,0.00095
315,0.00095
316,0.00095
317,0.00095
318,0.00095
319,0.00095
320,0.00095
321,0.00095
322,0.00095
323,0.00095
324,0.00095
325,0.00095
326,0.00095
327,0.00095
328,0.00095
329,0.00095
330,0.00095
331,0.00095
332,0.00095
333,0.00095
334,0.00095
335,0.00095
336,0.00095
337,0.00095
338,0.00095
339,0.00095
340,0.00095
341,0.00095
342,0.00095
343,0.00095
344,0.00095
345,0.00095
346,0.00095
347,0.00095
348,0.00095
349,0.00095
350,0.00095
351,0.00095
352,0.00095
353,0.00095
354,0.00095
355,0.00095
356,0.00095
357,0.00095
358,0.00095
359,0.00095
360,0.00095
361,0.00095
362,0.00095
363,0.00095
364,0.00095
365,0.00095
366,0.00095
367,0.00095
368,0.00095
369,0.00207041
370,0.00529682
371,0.013058
372,0.0279603
373,0.0559481
374,0.103171
375,0.17681
376,0.295113
377,0.462607
378,0.705955
379,1.01276
380,1.42719
381,1.94947
382,2.61609
383,3.35275
384,4.05187
385,4.76129
386,5.71483
387,6.40191
388,6.40579
389,7.15555
390,9.27366
391,10.3472
392,10.8101
393,13.2612
394,15.956
395,17.1271
396,19.0037
397,20.5479
398,21.5134
399,21.5507
400,14.1901
401,7.8718
402,6.39453
403,8.35702
404,15.4313
405,28.0566
406,37.56
407,39.345
408,40.1117
409,45.6944
410,46.3238
411,35.9015
412,31.1109
413,39.7897
414,48.4005
415,34.9519
416,25.5265
417,30.8701
418,47.3129
419,49.5169
420,36.6088
421,33.2648
422,43.1956
423,60.2137
424,63.9531
425,57.5291
426,55.5244
427,60.5509
428,69.2744
429,71.4457
430,66.0418
431,61.438
432,55.4835
433,45.1576
434,38.7384
435,45.3359
436,60.9209
437,45.7476
438,21.9519
439,15.031
440,19.5295
441,43.1855
442,48.1421
443,18.7512
444,9.64983
445,10.5064
446,25.8138
447,47.9622
448,21.4036
449,8.43004
450,7.15773
451,12.2952
452,35.4188
453,37.4616
454,13.4185
455,7.54608
456,7.81132
457,10.9829
458,12.9606
459,10.3297
460,7.68945
461,6.49578
462,5.31114
463,3.60169
464,2.24652
465,1.54004
466,1.27882
467,1.30914
468,1.6619
469,2.61503
470,5.14789
471,12.7658
472,33.0185
473,56.4297
474,54.179
475,43.1505
476,37.3885
477,36.6417
478,41.8645
479,56.3198
480,73.9235
481,67.3939
482,44.1126
483,31.4753
484,31.3335
485,45.7086
486,70.4074
487,59.1359
488,31.434
489,20.8768
490,21.5614
491,35.5926
492,64.6633
493,51.7872
494,22.4056
495,13.1007
496,11.8411
497,15.8961
498,29.6757
499,55.3154
500,69.2088
501,68.7302
502,76.0385
503,78.408
504,59.8978
505,43.4706
506,42.3536
507,56.8423
508,72.7953
509,65.5378
510,58.6728
511,69.9737
512,75.2973
513,59.0246
514,58.6364
515,68.255
516,41.8621
517,32.571
518,40.2337
519,8.9173
520,3.81894
521,3.63844
522,0.0882303
523,0.00460664
524,0.00095
525,0.00095
526,0.00095
527,0.00095
528,0.00095
529,0.00095
530,0.00095
531,0.00095
532,0.00095
533,0.00095
534,0.00095
535,0.00095
536,0.00095
537,0.00095
538,0.00095
539,0.00095
540,0.00095
541,0.00095
542,0.00095
543,0.00095
544,0.00095
545,0.00095
546,0.00095
547,0.00095
548,0.00095
549,0.00095
550,0.00095
551,0.00095
552,0.00095
553,0.00095
554,0.00095
555,0.00095
556,0.00095
557,0.00095
558,0.00095
559,0.00095
560,0.00095
561,0.00095
562,0.00095
563,0.00095
564,0.00095
565,0.00095
566,0.00095
567,0.00095
568,0.00095
569,0.00095
570,0.00095
571,0.00095
572,0.00095
573,0.00095
574,0.00095
575,0.00095
576,0.00095
577,0.00095
578,0.00095
579,0.00095
580,0.00095
581,0.00095
582,0.00095
583,0.00095
584,0.00095
585,0.00095
586,0.00095
587,0.00095
588,0.00095
589,0.00095
590,0.00095
591,0.00095
592,0.00095
593,0.00095
594,0.00095
595,0.00095
596,0.00095
597,0.00095
598,0.00095
599,0.00095
600,0.00095
601,0.00095
602,0.00095
603,0.00095
604,0.00095
605,0.00095
606,0.00095
607,0.00095
608,0.00095
609,0.00095
610,0.00095
611,0.00095
612,0.00095
613,0.00095
614,0.00095
615,0.00095
616,0.00095
617,0.00095
618,0.00095
619,0.00095
620,0.00095
621,0.00095
622,0.00095
623,0.00095
624,0.00095
625,0.00095
626,0.00095
627,0.00095
628,0.00274964
629,0.0127167
630,0.0792568
631,0.720384
632,10.8943
633,59.9182
634,74.6146
635,80.075
636,86.9253
637,88.5045
638,88.1341
639,86.3224
640,85.203
641,86.4661
642,88.5961
643,88.8723
644,86.6008
645,83.9954
646,83.1332
647,84.6125
648,87.2694
649,88.9273
650,88.2151
651,85.6758
652,83.1331
653,82.3548
654,83.6118
655,86.1927
656,88.6327
657,89.4705
658,88.3929
659,86.2186
660,84.0339
661,82.8162
662,82.689
663,83.44
664,84.7195
665,86.1217
666,87.352
667,88.1588
668,88.5242
669,88.6132
670,88.4854
671,88.4258
672,88.4793
673,88.6699
674,88.9016
675,89.1242
676,89.1094
677,88.9774
678,88.7935
679,88.5436
680,88.552
681,88.7279
682,88.778
683,88.8427
684,88.6729
685,88.4682
686,88.3931
687,88.6141
688,88.7082
689,88.2104
690,86.7252
691,84.8852
692,84.8231
693,86.6562
694,83.4188
