Type,Emitter
Maker,"Omega"
ProductName,"XF3017(530DF30)"
Comment,""
Public,1
wavedataset
400,0.027
401,0.027
402,0.027
403,0.027
404,0.027
405,0.027
406,0.027
407,0.027
408,0.027
409,0.028
410,0.028
411,0.028
412,0.028
413,0.027
414,0.028
415,0.028
416,0.028
417,0.028
418,0.028
419,0.029
420,0.031
421,0.032
422,0.033
423,0.034
424,0.034
425,0.034
426,0.035
427,0.035
428,0.035
429,0.036
430,0.035
431,0.036
432,0.035
433,0.035
434,0.036
435,0.035
436,0.036
437,0.036
438,0.036
439,0.036
440,0.035
441,0.035
442,0.034
443,0.034
444,0.034
445,0.034
446,0.034
447,0.034
448,0.033
449,0.033
450,0.032
451,0.033
452,0.033
453,0.033
454,0.033
455,0.033
456,0.032
457,0.032
458,0.033
459,0.033
460,0.033
461,0.033
462,0.034
463,0.034
464,0.035
465,0.035
466,0.035
467,0.035
468,0.035
469,0.035
470,0.035
471,0.036
472,0.037
473,0.037
474,0.037
475,0.037
476,0.038
477,0.038
478,0.039
479,0.039
480,0.039
481,0.039
482,0.039
483,0.04
484,0.041
485,0.041
486,0.042
487,0.043
488,0.044
489,0.044
490,0.045
491,0.045
492,0.046
493,0.047
494,0.048
495,0.05
496,0.052
497,0.054
498,0.056
499,0.058
500,0.06
501,0.063
502,0.066
503,0.071
504,0.077
505,0.084
506,0.094
507,0.11
508,0.13
509,0.17
510,0.23
511,0.38
512,0.72
513,1.6
514,3.93
515,9.34
516,19.1
517,33
518,49.3
519,64.4
520,75.6
521,82.2
522,85
523,85.6
524,85.6
525,85.5
526,85.3
527,85.2
528,85.3
529,85.7
530,86.2
531,86.8
532,87.3
533,87.6
534,87.8
535,87.7
536,87.7
537,87.6
538,87.6
539,87.4
540,86.7
541,84.8
542,80.4
543,72.7
544,61.3
545,47.3
546,32.7
547,20.2
548,11
549,5.43
550,2.54
551,1.22
552,0.64
553,0.37
554,0.24
555,0.17
556,0.13
557,0.1
558,0.088
559,0.078
560,0.071
561,0.066
562,0.062
563,0.058
564,0.056
565,0.054
566,0.052
567,0.051
568,0.05
569,0.049
570,0.048
571,0.047
572,0.046
573,0.046
574,0.045
575,0.044
576,0.044
577,0.043
578,0.043
579,0.042
580,0.042
581,0.042
582,0.041
583,0.041
584,0.04
585,0.04
586,0.04
587,0.04
588,0.039
589,0.039
590,0.039
591,0.039
592,0.039
593,0.038
594,0.038
595,0.038
596,0.038
597,0.037
598,0.037
599,0.037
600,0.037
601,0.037
602,0.037
603,0.037
604,0.037
605,0.037
606,0.037
607,0.036
608,0.036
609,0.036
610,0.036
611,0.036
612,0.036
613,0.036
614,0.036
615,0.036
616,0.035
617,0.035
618,0.035
619,0.035
620,0.035
621,0.034
622,0.035
623,0.034
624,0.034
625,0.034
626,0.034
627,0.034
628,0.033
629,0.034
630,0.034
631,0.034
632,0.034
633,0.034
634,0.034
635,0.034
636,0.033
637,0.033
638,0.033
639,0.033
640,0.032
641,0.032
642,0.032
643,0.032
644,0.032
645,0.032
646,0.032
647,0.032
648,0.031
649,0.031
650,0.031
651,0.031
652,0.031
653,0.031
654,0.031
655,0.031
656,0.031
657,0.031
658,0.031
659,0.031
660,0.031
661,0.031
662,0.031
663,0.03
664,0.03
665,0.03
666,0.03
667,0.03
668,0.031
669,0.031
670,0.031
671,0.031
672,0.031
673,0.031
674,0.031
675,0.031
676,0.031
677,0.031
678,0.031
679,0.031
680,0.03
681,0.029
682,0.027
683,0.026
684,0.026
685,0.025
686,0.025
687,0.025
688,0.025
689,0.024
690,0.025
691,0.025
692,0.026
693,0.027
694,0.028
695,0.029
696,0.03
697,0.031
698,0.032
699,0.032
700,0.032
701,0.033
702,0.033
703,0.033
704,0.033
705,0.033
706,0.033
707,0.033
708,0.033
709,0.033
710,0.033
711,0.033
712,0.033
713,0.034
714,0.034
715,0.034
716,0.034
717,0.034
718,0.033
719,0.033
720,0.033
721,0.034
722,0.034
723,0.034
724,0.034
725,0.034
726,0.034
727,0.034
728,0.035
729,0.035
730,0.035
731,0.035
732,0.035
733,0.035
734,0.035
735,0.035
736,0.035
737,0.035
738,0.034
739,0.033
740,0.032
741,0.031
742,0.03
743,0.029
744,0.029
745,0.029
746,0.029
747,0.03
748,0.03
749,0.031
750,0.032
751,0.034
752,0.036
753,0.041
754,0.049
755,0.067
756,0.13
757,0.58
758,1.72
759,3.01
760,4.26
761,4.74
762,3.84
763,2.63
764,1.38
765,0.5
766,0.3
767,0.26
768,0.25
769,0.25
770,0.27
771,0.3
772,0.35
773,0.43
774,0.55
775,0.77
776,1.2
777,2.24
778,4.97
779,9.73
780,15.1
781,19.7
782,20.9
783,17.9
784,13
785,7.94
786,4.29
787,2.64
788,1.95
789,1.59
790,1.39
791,1.27
792,1.21
793,1.19
794,1.2
795,1.24
796,1.31
797,1.42
798,1.52
799,1.62
800,1.71
