Type,Emitter
Maker,"Omega"
ProductName,"XF3097(400ALP)"
Comment,""
Public,1
wavedataset
300,6.6E-05
300.5,-0.00022
301,-0.00099
301.5,-0.0013
302,-0.00072
302.5,0.00012
303,0.0015
303.5,0.002
304,0.0021
304.5,0.0014
305,0.00071
305.5,0.00089
306,0.0022
306.5,0.0036
307,0.0047
307.5,0.0065
308,0.0061
308.5,0.0082
309,0.015
309.5,0.02
310,0.025
310.5,0.027
311,0.019
311.5,0.012
312,0.012
312.5,0.019
313,0.031
313.5,0.041
314,0.04
314.5,0.025
315,0.0057
315.5,-0.012
316,-0.021
316.5,-0.019
317,-0.0097
317.5,0.0045
318,0.0085
318.5,0.016
319,0.021
319.5,0.018
320,0.024
320.5,0.02
321,0.013
321.5,0.0097
322,0.0037
322.5,0.0082
323,0.014
323.5,0.027
324,0.043
324.5,0.051
325,0.059
325.5,0.058
326,0.045
326.5,0.031
327,0.02
327.5,0.0027
328,-0.0019
328.5,-0.0016
329,-0.0022
329.5,0.007
330,0.014
330.5,0.021
331,0.025
331.5,0.031
332,0.037
332.5,0.039
333,0.051
333.5,0.052
334,0.047
334.5,0.041
335,0.026
335.5,0.014
336,0.0084
336.5,0.016
337,0.024
337.5,0.033
338,0.04
338.5,0.022
339,0.013
339.5,0.012
340,0.011
340.5,0.034
341,0.046
341.5,0.053
342,0.059
342.5,0.049
343,0.036
343.5,0.018
344,-0.0022
344.5,-0.011
345,-0.008
345.5,0.0024
346,0.019
346.5,0.034
347,0.041
347.5,0.044
348,0.042
348.5,0.034
349,0.024
349.5,0.014
350,0.0057
350.5,0.00037
351,-0.00058
351.5,-0.00057
352,-0.00057
352.5,-0.00067
353,-0.00088
353.5,-0.0012
354,-0.0017
354.5,-0.0019
355,-0.0018
355.5,-0.0014
356,-0.0011
356.5,-0.0007
357,-0.00049
357.5,-0.00049
358,-0.0004
358.5,-0.00043
359,-0.00066
359.5,-0.0007
360,-0.00092
360.5,-0.0012
361,-0.0012
361.5,-0.0013
362,-0.0013
362.5,-0.0012
363,-0.0012
363.5,-0.0013
364,-0.0012
364.5,-0.001
365,-0.0011
365.5,-0.00088
366,-0.00085
366.5,-0.00081
367,-0.00053
367.5,-0.00029
368,-3.8E-05
368.5,0.00015
369,0.00012
369.5,-0.00012
370,-0.00039
370.5,-0.00065
371,-0.00085
371.5,-0.00092
372,-0.00089
372.5,-0.00087
373,-0.00084
373.5,-0.00084
374,-0.00091
374.5,-0.00096
375,-0.001
375.5,-0.001
376,-0.001
376.5,-0.001
377,-0.001
377.5,-0.0011
378,-0.0011
378.5,-0.001
379,-0.00094
379.5,-0.00082
380,-0.00075
380.5,-0.00075
381,-0.00082
381.5,-0.00088
382,-0.00091
382.5,-0.00087
383,-0.00077
383.5,-0.00075
384,-0.00075
384.5,-0.00076
385,-0.00081
385.5,-0.0008
386,-0.00077
386.5,-0.00077
387,-0.00082
387.5,-0.00083
388,-0.00082
388.5,-0.00079
389,-0.0007
389.5,-0.00068
390,-0.00067
390.5,-0.00062
391,-0.00058
391.5,-0.00046
392,-0.00038
392.5,-0.00033
393,-0.00028
393.5,-0.00024
394,-0.00013
394.5,8E-06
395,0.00013
395.5,0.00033
396,0.0006
396.5,0.00096
397,0.0014
397.5,0.0019
398,0.0025
398.5,0.0033
399,0.0044
399.5,0.0058
400,0.0077
400.5,0.0099
401,0.013
401.5,0.016
402,0.02
402.5,0.025
403,0.031
403.5,0.039
404,0.049
404.5,0.064
405,0.083
405.5,0.11
406,0.16
406.5,0.23
407,0.35
407.5,0.57
408,0.95
408.5,1.61
409,2.72
409.5,4.49
410,7.16
410.5,10.9
411,15.8
411.5,21.6
412,28.3
412.5,35.2
413,42.1
413.5,48.5
414,54.2
414.5,59
415,62.9
415.5,66.1
416,68.7
416.5,70.8
417,72.5
417.5,74
418,75.3
418.5,76.3
419,77.3
419.5,78.1
420,78.8
420.5,79.4
421,79.9
421.5,80.3
422,80.8
422.5,81.2
423,81.6
423.5,82
424,82.4
424.5,82.9
425,83.3
425.5,83.8
426,84.2
426.5,84.7
427,85.1
427.5,85.5
428,85.9
428.5,86.1
429,86.4
429.5,86.5
430,86.7
430.5,86.8
431,86.9
431.5,87
432,87.1
432.5,87.2
433,87.3
433.5,87.4
434,87.5
434.5,87.6
435,87.7
435.5,87.9
436,88
436.5,88.2
437,88.3
437.5,88.5
438,88.7
438.5,88.8
439,89
439.5,89.1
440,89.3
440.5,89.4
441,89.6
441.5,89.8
442,90
442.5,90.2
443,90.3
443.5,90.4
444,90.5
444.5,90.6
445,90.7
445.5,90.8
446,90.9
446.5,90.9
447,91
447.5,91
448,91
448.5,91
449,91
449.5,91
450,91
450.5,91
451,90.9
451.5,90.9
452,90.9
452.5,90.9
453,90.9
453.5,91
454,91.1
454.5,91.1
455,91.3
455.5,91.4
456,91.5
456.5,91.7
457,91.8
457.5,91.9
458,92
458.5,92.1
459,92.2
459.5,92.2
460,92.3
460.5,92.4
461,92.4
461.5,92.4
462,92.4
462.5,92.4
463,92.4
463.5,92.3
464,92.2
464.5,92.1
465,92
465.5,91.9
466,91.8
466.5,91.8
467,91.7
467.5,91.7
468,91.7
468.5,91.7
469,91.7
469.5,91.7
470,91.8
470.5,91.8
471,91.9
471.5,92
472,92.1
472.5,92.1
473,92.3
473.5,92.4
474,92.5
474.5,92.6
475,92.7
475.5,92.8
476,92.9
476.5,92.9
477,93
477.5,93
478,93.1
478.5,93.1
479,93.1
479.5,93.2
480,93.2
480.5,93.1
481,93.1
481.5,93.1
482,93.1
482.5,93
483,93
483.5,93
484,93
484.5,92.9
485,92.9
485.5,93
486,93
486.5,93.1
487,93.1
487.5,93.2
488,93.3
488.5,93.3
489,93.4
489.5,93.4
490,93.4
490.5,93.4
491,93.4
491.5,93.5
492,93.5
492.5,93.5
493,93.5
493.5,93.4
494,93.4
494.5,93.4
495,93.3
495.5,93.2
496,93.1
496.5,93
497,92.9
497.5,92.8
498,92.7
498.5,92.6
499,92.4
499.5,92.3
500,92.2
500.5,92.2
501,92.1
501.5,92
502,92
502.5,91.9
503,91.9
503.5,91.9
504,91.8
504.5,91.8
505,91.9
505.5,91.9
506,92
506.5,92
507,92.1
507.5,92.2
508,92.3
508.5,92.5
509,92.6
509.5,92.7
510,92.8
510.5,92.9
511,93
511.5,93
512,93.1
512.5,93.2
513,93.2
513.5,93.3
514,93.3
514.5,93.3
515,93.3
515.5,93.3
516,93.2
516.5,93.1
517,93
517.5,92.9
518,92.8
518.5,92.7
519,92.5
519.5,92.4
520,92.2
520.5,92.1
521,91.9
521.5,91.7
522,91.6
522.5,91.4
523,91.2
523.5,91.1
524,90.9
524.5,90.8
525,90.7
525.5,90.6
526,90.5
526.5,90.5
527,90.4
527.5,90.4
528,90.4
528.5,90.4
529,90.4
529.5,90.5
530,90.5
530.5,90.6
531,90.7
531.5,90.8
532,90.9
532.5,91
533,91.1
533.5,91.3
534,91.4
534.5,91.6
535,91.7
535.5,91.9
536,92
536.5,92.2
537,92.3
537.5,92.4
538,92.6
538.5,92.7
539,92.8
539.5,92.9
540,92.9
540.5,93
541,93
541.5,93
542,93
542.5,93
543,93
543.5,92.9
544,92.9
544.5,92.8
545,92.8
545.5,92.7
546,92.7
546.5,92.6
547,92.4
547.5,92.3
548,92.2
548.5,92.1
549,92
549.5,91.9
550,91.8
550.5,91.7
551,91.7
551.5,91.6
552,91.5
552.5,91.5
553,91.4
553.5,91.4
554,91.3
554.5,91.3
555,91.3
555.5,91.3
556,91.3
556.5,91.3
557,91.3
557.5,91.4
558,91.4
558.5,91.5
559,91.6
559.5,91.6
560,91.7
560.5,91.8
561,91.9
561.5,92
562,92
562.5,92.1
563,92.2
563.5,92.3
564,92.4
564.5,92.5
565,92.5
565.5,92.6
566,92.7
566.5,92.8
567,92.8
567.5,92.8
568,92.9
568.5,92.9
569,92.9
569.5,92.9
570,92.9
570.5,92.9
571,92.9
571.5,93
572,93
572.5,92.9
573,92.9
573.5,92.9
574,92.8
574.5,92.8
575,92.8
575.5,92.7
576,92.6
576.5,92.6
577,92.6
577.5,92.5
578,92.5
578.5,92.4
579,92.4
579.5,92.3
580,92.3
580.5,92.3
581,92.3
581.5,92.3
582,92.3
582.5,92.2
583,92.2
583.5,92.2
584,92.2
584.5,92.1
585,92.1
585.5,92.1
586,92.2
586.5,92.2
587,92.2
587.5,92.2
588,92.2
588.5,92.3
589,92.3
589.5,92.4
590,92.4
590.5,92.5
591,92.5
591.5,92.6
592,92.6
592.5,92.7
593,92.7
593.5,92.8
594,92.8
594.5,92.8
595,92.9
595.5,92.9
596,92.9
596.5,92.9
597,93
597.5,93
598,93
598.5,93
599,93
599.5,93
600,92.9
600.5,92.9
601,92.9
601.5,92.8
602,92.8
602.5,92.8
603,92.7
603.5,92.6
604,92.6
604.5,92.5
605,92.5
605.5,92.4
606,92.3
606.5,92.3
607,92.2
607.5,92.1
608,92.1
608.5,92
609,91.9
609.5,91.9
610,91.8
610.5,91.7
611,91.6
611.5,91.6
612,91.5
612.5,91.5
613,91.4
613.5,91.4
614,91.3
614.5,91.3
615,91.3
615.5,91.3
616,91.2
616.5,91.2
617,91.2
617.5,91.1
618,91.1
618.5,91.2
619,91.2
619.5,91.2
620,91.2
620.5,91.2
621,91.2
621.5,91.2
622,91.3
622.5,91.3
623,91.4
623.5,91.4
624,91.4
624.5,91.5
625,91.5
625.5,91.5
626,91.6
626.5,91.6
627,91.7
627.5,91.7
628,91.8
628.5,91.8
629,91.9
629.5,91.9
630,92
630.5,92
631,92
631.5,92.1
632,92.1
632.5,92.1
633,92.1
633.5,92.2
634,92.2
634.5,92.2
635,92.2
635.5,92.2
636,92.2
636.5,92.2
637,92.2
637.5,92.2
638,92.1
638.5,92.1
639,92.1
639.5,92
640,92
640.5,92
641,91.9
641.5,91.9
642,91.8
642.5,91.8
643,91.8
643.5,91.7
644,91.7
644.5,91.7
645,91.6
645.5,91.6
646,91.5
646.5,91.5
647,91.4
647.5,91.4
648,91.3
648.5,91.2
649,91.2
649.5,91.2
650,91.1
650.5,91.1
651,91.1
651.5,91
652,91
652.5,91
653,90.9
653.5,90.9
654,90.9
654.5,90.8
655,90.8
655.5,90.8
656,90.8
656.5,90.7
657,90.7
657.5,90.7
658,90.7
658.5,90.7
659,90.7
659.5,90.7
660,90.7
660.5,90.7
661,90.7
661.5,90.8
662,90.8
662.5,90.8
663,90.8
663.5,90.8
664,90.8
664.5,90.8
665,90.9
665.5,90.9
666,90.9
666.5,90.9
667,91
667.5,91
668,91
668.5,91
669,91
669.5,91
670,91.1
670.5,91.1
671,91.1
671.5,91.1
672,91.1
672.5,91.1
673,91.1
673.5,91.1
674,91.1
674.5,91.1
675,91.1
675.5,91.1
676,91.1
676.5,91.1
677,91.1
677.5,91.1
678,91.1
678.5,91
679,91
679.5,91
680,91
680.5,90.9
681,90.9
681.5,90.9
682,90.8
682.5,90.8
683,90.7
683.5,90.7
684,90.6
684.5,90.6
685,90.5
685.5,90.5
686,90.5
686.5,90.4
687,90.4
687.5,90.4
688,90.3
688.5,90.3
689,90.3
689.5,90.3
690,90.2
690.5,90.2
691,90.1
691.5,90.1
692,90
692.5,90
693,89.9
693.5,89.9
694,89.8
694.5,89.8
695,89.8
695.5,89.8
696,89.8
696.5,89.7
