Type,Emitter
Maker,"Omega"
ProductName,"XF3105(545AF75)"
Comment,""
Public,1
wavedataset
1200,57.27
1199,60.15
1198,61.42
1197,58.06
1196,61.69
1195,56.11
1194,60.17
1193,57.37
1192,55.7
1191,51.33
1190,56.01
1189,55.3
1188,57.39
1187,50.36
1186,53.86
1185,54.84
1184,51.73
1183,44.92
1182,52.95
1181,48.98
1180,48.17
1179,46.59
1178,41.52
1177,42.12
1176,44.87
1175,43.8
1174,43.32
1173,46.64
1172,47.83
1171,43.76
1170,45.14
1169,37.23
1168,46.84
1167,43.49
1166,45.76
1165,43.18
1164,49.28
1163,43.48
1162,45.72
1161,48.03
1160,46.9
1159,46.58
1158,52.17
1157,45.3
1156,54.93
1155,54.07
1154,57.25
1153,49.11
1152,55.55
1151,50.61
1150,53.99
1149,49.87
1148,54.79
1147,62.46
1146,68.57
1145,55.91
1144,60.73
1143,63.85
1142,60.19
1141,66.97
1140,63.62
1139,68.65
1138,66.44
1137,67.49
1136,68.32
1135,67.38
1134,70.95
1133,71.51
1132,67.55
1131,68
1130,70.38
1129,73.11
1128,66.04
1127,68.59
1126,65.51
1125,64.14
1124,62.5
1123,58.75
1122,63.29
1121,64.73
1120,52.51
1119,58.69
1118,51.01
1117,51.54
1116,54.78
1115,47.2
1114,45.75
1113,45.39
1112,50.43
1111,47.04
1110,42.09
1109,42.04
1108,43.11
1107,40.11
1106,39.06
1105,35.57
1104,37.98
1103,36.56
1102,41.57
1101,39.01
1100,37.38
1099,35.27
1098,37.31
1097,37.66
1096,39.25
1095,37.01
1094,34.96
1093,37.68
1092,37.19
1091,39.36
1090,40.87
1089,38.97
1088,42.39
1087,43.84
1086,43.44
1085,45.04
1084,42.98
1083,43.47
1082,47.55
1081,44.6
1080,51.49
1079,49.58
1078,53.48
1077,53.42
1076,53.29
1075,59.35
1074,62.02
1073,62.48
1072,62.39
1071,66
1070,60.35
1069,64.78
1068,67.8
1067,70.4
1066,65.74
1065,71.08
1064,73.18
1063,69.85
1062,61.83
1061,66.05
1060,61.16
1059,53.26
1058,65.25
1057,56.9
1056,52.31
1055,48.83
1054,47.92
1053,47.6
1052,44.35
1051,43.33
1050,42.03
1049,38.55
1048,40.16
1047,36.83
1046,32.51
1045,35.8
1044,31.66
1043,33.43
1042,30.5
1041,27.5
1040,29.56
1039,25.37
1038,29.94
1037,31.36
1036,31.14
1035,27.98
1034,26.08
1033,29.47
1032,25.73
1031,26.66
1030,27.57
1029,30.54
1028,30.48
1027,27.76
1026,31.74
1025,31.13
1024,29.43
1023,33.17
1022,34.27
1021,35.58
1020,39.18
1019,43.04
1018,41.63
1017,41.3
1016,47.22
1015,45.91
1014,50.68
1013,57.56
1012,61.47
1011,65.39
1010,62.88
1009,60.79
1008,66.51
1007,66.66
1006,70.89
1005,74.73
1004,61.06
1003,61.86
1002,59.41
1001,57.54
1000,48.99
999,44.12
998,47.38
997,46.72
996,37.74
995,36.81
994,35.66
993,33.87
992,29.89
991,31.62
990,26.51
989,25.45
988,24.99
987,23.67
986,22.88
985,20.49
984,20.57
983,21.53
982,19.59
981,18.58
980,18.54
979,19.51
978,19.68
977,19.01
976,18.57
975,19.51
974,20.63
973,20.01
972,22.03
971,21.82
970,22.98
969,25.3
968,26.72
967,26.87
966,31.29
965,30.98
964,38.44
963,37.96
962,42.42
961,47.1
960,51.45
959,47.18
958,63.52
957,59.47
956,66.18
955,67.54
954,66.09
953,61.55
952,64.64
951,51.76
950,51.13
949,40.49
948,39.96
947,35.37
946,33.31
945,29.36
944,24.1
943,23.33
942,20.8
941,19.18
940,17.08
939,16.95
938,15.31
937,14.87
936,14.19
935,12.28
934,13.28
933,12.35
932,12.2
931,11.85
930,11.34
929,12.48
928,12.79
927,13.65
926,13.93
925,13.74
924,14.36
923,16.95
922,19.18
921,19.44
920,21.41
919,22.5
918,29.09
917,32.12
916,38.31
915,42.49
914,47.35
913,54.02
912,59.94
911,63.07
910,65.35
909,62.25
908,57.17
907,49.37
906,39.93
905,38.4
904,31.01
903,25.79
902,24.62
901,20.97
900,18.17
899,14.02
898,15.9
897,13.61
896,12.43
895,12.32
894,11.57
893,10.64
892,10.5
891,10.52
890,10.16
889,11.94
888,9.65
887,10.05
886,11.44
885,12.63
884,14.85
883,15.35
882,18.69
881,22.41
880,26.9
879,34.02
878,48.69
877,66.86
876,61.76
875,56.39
874,67.43
873,45.9
872,37.72
871,25.08
870,21.36
869,17.15
868,12.77
867,10.92
866,9.33
865,8.35
864,6.87
863,7.53
862,6.21
861,6.16
860,6.79
859,6.67
858,7.16
857,7.47
856,8.27
855,10.14
854,12.74
853,17.59
852,22.88
851,34.46
850,50.92
849,55.17
848,41.62
847,31.4
846,20.32
845,13.54
844,10.43
843,8.16
842,6.85
841,6.4
840,8.19
839,10.07
838,17.17
837,31.78
836,37.67
835,12.59
834,4.18
833,1.29
832,0.59
831,0.32
830,0.17
829,0.09
828,0.06
827,0.04
826,0.03
825,0.02
824,0.01
823,0.01
822,0.01
821,0
820,0
819,0
818,0
817,0
816,0
815,0
814,0
813,0
812,0
811,0
810,0
809,0
808,0
807,0
806,0
805,0
804,0
803,0
802,0
801,0
800,0
799,0
798,0
797,0
796,0
795,0
794,0
793,0
792,0
791,0
790,0
789,0
788,0
787,0
786,0
785,0
784,0
783,0
782,0
781,0
780,0
779,0
778,0
777,0
776,0
775,0
774,0
773,0
772,0
771,0
770,0
769,0
768,0
767,0
766,0
765,0
764,0
763,0
762,0
761,0
760,0
759,0
758,0
757,0
756,0
755,0
754,0
753,0
752,0
751,0
750,0
749,0
748,0
747,0
746,0
745,0
744,0
743,0
742,0
741,0
740,0
739,0
738,0
737,0
736,0
735,0
734,0
733,0
732,0
731,0
730,0
729,0
728,0
727,0
726,0
725,0
724,0
723,0
722,0
721,0
720,0
719,0
718,0
717,0
716,0
715,0
714,0
713,0
712,0
711,0
710,0
709,0
708,0
707,0
706,0
705,0
704,0
703,0
702,0
701,0
700,0
699,0
698,0
697,0
696,0
695,0
694,0
693,0
692,0
691,0
690,0
689,0
688,0
687,0
686,0
685,0
684,0
683,0
682,0
681,0
680,0
679,0
678,0
677,0
676,0
675,0
674,0
673,0
672,0
671,0
670,0
669,0
668,0
667,0
666,0
665,0
664,0
663,0
662,0
661,0
660,0
659,0
658,0
657,0
656,0
655,0
654,0
653,0
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,0
644,0
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,0
633,0
632,0
631,0
630,0
629,0
628,0
627,0
626,0
625,0
624,0
623,0
622,0
621,0
620,0
619,0
618,0
617,0
616,0
615,0
614,0
613,0
612,0
611,0
610,0
609,0
608,0
607,0
606,0
605,0
604,0
603,0
602,0
601,0
600,0
599,0
598,0.01
597,0.01
596,0.02
595,0.03
594,0.05
593,0.08
592,0.15
591,0.28
590,0.51
589,1.14
588,1.93
587,5.78
586,1.97
585,30.43
584,56.9
583,73.35
582,82.14
581,83.87
580,86.5
579,87.94
578,89.14
577,87.79
576,87.01
575,85.79
574,83.56
573,82.13
572,81.87
571,81.93
570,81.9
569,82.83
568,83.09
567,84.67
566,84.45
565,86.95
564,86.18
563,87.46
562,88.63
561,89.4
560,90.57
559,90.59
558,90.37
557,90.26
556,90.51
555,89.19
554,88.48
553,87.59
552,87.07
551,85.97
550,87.48
549,88.95
548,89.88
547,90.69
546,91.81
545,92.63
544,91.96
543,91.64
542,91.02
541,89.9
540,89.41
539,89.73
538,89.62
537,90.97
536,90.58
535,92.1
534,91.33
533,90.62
532,88.65
531,87.29
530,87.02
529,85.87
528,87.29
527,88.22
526,88.25
525,89.05
524,88.41
523,88.41
522,87.02
521,86.49
520,86.84
519,86.79
518,88.29
517,88.32
516,87.46
515,86.99
514,85.8
513,85.43
512,86.68
511,88.48
510,88.36
509,88.11
508,88.3
507,88.52
506,88.88
505,87.96
504,87.02
503,81.97
502,44.72
501,8.32
500,0.81
499,0.09
498,0.01
497,0
496,0
495,0
494,0
493,0
492,0
491,0
490,0
489,0
488,0
487,0
486,0
485,0
484,0
483,0
482,0
481,0
480,0
479,0
478,0
477,0
476,0
475,0
474,0
473,0
472,0
471,0
470,0
469,0
468,0
467,0
466,0
465,0
464,0
463,0
462,0
461,0
460,0
459,0
458,0
457,0
456,0
455,0
454,0
453,0
452,0
451,0
450,0
449,0
448,0
447,0
446,0
445,0
444,0
443,0
442,0
441,0
440,0
439,0
438,0
437,0
436,0
435,0
434,0
433,0
432,0
431,0
430,0
429,0
428,0
427,0
426,0
425,0
424,0
423,0
422,0
421,0
420,0
419,0
418,0
417,0
416,0
415,0
414,0
413,0
412,0
411,0
410,0
409,0
408,0
407,0
406,0
405,0
404,0
403,0
402,0
401,0
400,0
399,0
398,0
397,0
396,0
395,0
394,0
393,0
392,0
391,0
390,0
389,0
388,0
387,0
386,0
385,0
384,0
383,0
382,0
381,0
380,0
379,0
378,0
377,0
376,0
375,0
374,0
373,0
372,0
371,0
370,0
369,0
368,0
367,0
366,0
365,0
364,0
363,0
362,0
361,0
360,0
359,0
358,0
357,0
356,0
355,0
354,0
353,0
352,0
351,0
350,0
349,0
348,0
347,0
346,0
345,0
344,0
343,0
342,0
341,0
340,0
339,0
338,0
337,0
336,0
335,0
334,0
333,0
332,0
331,0
330,0
329,0
328,0
327,0
326,0
325,0
324,0
323,0
322,0
321,0
320,0
319,0
318,0
317,0
316,0
315,0
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,0
303,0
302,0
301,0
300,0
299,0
298,0
297,0
296,0
295,0
294,0
293,0
292,0
291,0
290,0
289,0
288,0
287,0
286,0
285,0
284,0
283,0
282,0
281,0
280,0
279,0
278,0
277,0
276,0
275,0
274,0
273,0
272,0
271,0
270,0
269,0
268,0
267,0
266,0
265,0
264,0
263,0
262,0
261,0
260,0
259,0
258,0
257,0
256,0
255,0
254,0
253,0
252,0
251,0
250,0
249,0
248,0
247,0
246,0
245,0
244,0
243,0
242,0
241,0
240,0
239,0
238,0
237,0
236,0
235,0
234,0
233,0
232,0
231,0
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,0
222,0
221,0
220,0
219,0
218,0
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,0
209,0
208,0
207,0
206,0
205,0
204,0
203,0
202,0
201,0
200,0
