Type,Emitter
Maker,"Omega"
ProductName,"XF3118(465-535-640TBEM)"
Comment,""
Public,1
wavedataset
350,0.012
350.5,0.0098
351,0.0064
351.5,0.0038
352,0.0012
352.5,-0.00042
353,0.0017
353.5,0.0036
354,0.0042
354.5,0.0049
355,0.0022
355.5,0.0024
356,0.0023
356.5,0.0022
357,0.0033
357.5,0.0022
358,0.0013
358.5,0.0005
359,-0.00045
359.5,-0.00067
360,0.00019
360.5,-4.4E-05
361,-0.0001
361.5,-0.0015
362,-0.0028
362.5,-0.0032
363,-0.004
363.5,-0.0031
364,-0.0029
364.5,-0.0025
365,-0.0021
365.5,-0.0026
366,-0.0012
366.5,-0.00054
367,0.0013
367.5,0.0037
368,0.0033
368.5,0.0039
369,0.0032
369.5,0.0015
370,0.00092
370.5,-0.00028
371,-0.0011
371.5,-0.0014
372,-0.0017
372.5,-0.0018
373,-0.002
373.5,-0.002
374,-0.0019
374.5,-0.0016
375,-0.0013
375.5,-0.001
376,-0.00083
376.5,-0.00088
377,-0.0011
377.5,-0.0012
378,-0.0013
378.5,-0.0013
379,-0.0012
379.5,-0.0011
380,-0.001
380.5,-0.00095
381,-0.00095
381.5,-0.001
382,-0.0011
382.5,-0.0013
383,-0.0014
383.5,-0.0014
384,-0.0014
384.5,-0.0013
385,-0.0012
385.5,-0.0012
386,-0.0012
386.5,-0.0014
387,-0.0015
387.5,-0.0015
388,-0.0015
388.5,-0.0013
389,-0.0012
389.5,-0.0012
390,-0.0013
390.5,-0.0013
391,-0.0014
391.5,-0.0014
392,-0.0013
392.5,-0.0012
393,-0.0012
393.5,-0.0011
394,-0.0012
394.5,-0.0013
395,-0.0012
395.5,-0.0012
396,-0.0012
396.5,-0.0011
397,-0.001
397.5,-0.0011
398,-0.0011
398.5,-0.0013
399,-0.0013
399.5,-0.0014
400,-0.0014
400.5,-0.0014
401,-0.0014
401.5,-0.0013
402,-0.0014
402.5,-0.0015
403,-0.0016
403.5,-0.0016
404,-0.0015
404.5,-0.0013
405,-0.0013
405.5,-0.0013
406,-0.0013
406.5,-0.0014
407,-0.0014
407.5,-0.0013
408,-0.0013
408.5,-0.0012
409,-0.0013
409.5,-0.0013
410,-0.0013
410.5,-0.0012
411,-0.0012
411.5,-0.0012
412,-0.0012
412.5,-0.0012
413,-0.0012
413.5,-0.0012
414,-0.0012
414.5,-0.0012
415,-0.0011
415.5,-0.0011
416,-0.0011
416.5,-0.001
417,-0.001
417.5,-0.00093
418,-0.00088
418.5,-0.00084
419,-0.00079
419.5,-0.00081
420,-0.00084
420.5,-0.00088
421,-0.00092
421.5,-0.00092
422,-0.00087
422.5,-0.00085
423,-0.00082
423.5,-0.00083
424,-0.00089
424.5,-0.00089
425,-0.00089
425.5,-0.00087
426,-0.00084
426.5,-0.00083
427,-0.00087
427.5,-0.00093
428,-0.00096
428.5,-0.00098
429,-0.00097
429.5,-0.00091
430,-0.00086
430.5,-0.00082
431,-0.00077
431.5,-0.00073
432,-0.00069
432.5,-0.00063
433,-0.00057
433.5,-0.00053
434,-0.00049
434.5,-0.00044
435,-0.00036
435.5,-0.00028
436,-0.00015
436.5,5.7E-05
437,0.00031
437.5,0.00073
438,0.0013
438.5,0.002
439,0.0029
439.5,0.004
440,0.0053
440.5,0.0069
441,0.0087
441.5,0.011
442,0.014
442.5,0.017
443,0.022
443.5,0.027
444,0.034
444.5,0.042
445,0.053
445.5,0.068
446,0.089
446.5,0.13
447,0.27
447.5,1.01
448,3.43
448.5,8.38
449,16
449.5,25.7
450,35.6
450.5,43.8
451,49.5
451.5,52.5
452,53.4
452.5,53.8
453,54.6
453.5,56.7
454,59.7
454.5,62.7
455,64.4
455.5,64.2
456,62.5
456.5,60.1
457,58
457.5,57
458,57.4
458.5,59.1
459,61.7
