Type,Emitter
Maker,"Omega"
ProductName,"XF3405(518QM32)"
Comment,""
Public,1
wavedataset
300,4E-05
301,5E-05
302,4E-05
303,3E-05
304,3E-05
305,3E-05
306,2E-05
307,0
308,0
309,0
310,0
311,1E-05
312,1E-05
313,0
314,0
315,0
316,1E-05
317,0
318,0
319,0
320,0
321,1E-05
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,1E-05
331,0
332,1E-05
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0.00012
368,0
369,0
370,1E-05
371,0
372,0
373,0
374,0
375,4E-05
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1E-05
498,7E-05
499,0.00054
500,0.0021
501,0.00812
502,0.0486
503,0.5298
504,13.50512
505,96.59343
506,97.49336
507,98.14495
508,98.02956
509,97.93238
510,98.29371
511,98.32002
512,98.44292
513,98.41822
514,98.09427
515,98.21912
516,98.55875
517,98.49423
518,98.38038
519,98.4509
520,98.30665
521,98.12927
522,98.46966
523,98.93645
524,98.78163
525,98.3421
526,98.27445
527,98.2635
528,98.05133
529,98.3654
530,98.99479
531,97.90688
532,93.87273
533,82.32285
534,53.66801
535,25.19187
536,11.2468
537,5.50996
538,2.89342
539,1.51227
540,0.7622
541,0.38558
542,0.20653
543,0.12047
544,0.07632
545,0.05114
546,0.03475
547,0.02305
548,0.01478
549,0.0094
550,0.00612
551,0.00419
552,0.00303
553,0.0023
554,0.00179
555,0.00139
556,0.00106
557,0.00078
558,0.00057
559,0.00042
560,0.00031
561,0.00025
562,0.0002
563,0.00017
564,0.00014
565,0.00012
566,0.0001
567,8E-05
568,7E-05
569,5E-05
570,4E-05
571,4E-05
572,3E-05
573,3E-05
574,2E-05
575,2E-05
576,2E-05
577,2E-05
578,2E-05
579,1E-05
580,1E-05
581,1E-05
582,1E-05
583,1E-05
584,1E-05
585,1E-05
586,1E-05
587,1E-05
588,1E-05
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,1E-05
647,1E-05
648,1E-05
649,1E-05
650,1E-05
651,1E-05
652,1E-05
653,1E-05
654,1E-05
655,1E-05
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,1E-05
708,1E-05
709,2E-05
710,3E-05
711,5E-05
712,5E-05
713,3E-05
714,1E-05
715,1E-05
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,1E-05
737,1E-05
738,1E-05
739,1E-05
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,1E-05
786,1E-05
787,1E-05
788,1E-05
789,1E-05
790,1E-05
791,1E-05
792,1E-05
793,1E-05
794,1E-05
795,1E-05
796,1E-05
797,1E-05
798,1E-05
799,1E-05
800,1E-05
801,1E-05
802,1E-05
803,1E-05
804,1E-05
805,1E-05
806,1E-05
807,1E-05
808,2E-05
809,2E-05
810,2E-05
811,3E-05
812,3E-05
813,4E-05
814,6E-05
815,7E-05
816,8E-05
817,8E-05
818,8E-05
819,6E-05
820,5E-05
821,5E-05
822,4E-05
823,4E-05
824,4E-05
825,3E-05
826,3E-05
827,4E-05
828,4E-05
829,5E-05
830,6E-05
831,7E-05
832,8E-05
833,8E-05
834,7E-05
835,6E-05
836,4E-05
837,3E-05
838,2E-05
839,1E-05
840,1E-05
841,1E-05
842,1E-05
843,1E-05
844,1E-05
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,1E-05
857,1E-05
858,1E-05
859,1E-05
860,1E-05
