Type,Exciter
Maker,"Chroma"
ProductName,"61004x"
Comment,""
Public,1
wavedataset
300,0.009164
300.5,1E-06
301,0.002281
301.5,1E-06
302,0.0086
302.5,1E-06
303,0.009882
303.5,0.003456
304,0.00112
304.5,0.003317
305,0.01291
305.5,0.001832
306,0.002316
306.5,0.00284
307,1E-06
307.5,0.01238
308,1E-06
308.5,0.01133
309,0.002136
309.5,1E-06
310,0.001947
310.5,0.009124
311,1E-06
311.5,0.005
312,0.005
312.5,0.005
313,0.006538
313.5,0.01336
314,0.008069
314.5,0.007677
315,0.005251
315.5,0.006566
316,1E-06
316.5,0.004476
317,1E-06
317.5,1E-06
318,0.002632
318.5,0.01881
319,0.001625
319.5,0.008527
320,0.007177
320.5,0.003075
321,0.01912
321.5,0.02019
322,0.002536
322.5,0.0009505
323,0.006637
323.5,0.003201
324,0.004387
324.5,1E-06
325,0.01175
325.5,0.009468
326,1E-06
326.5,1E-06
327,0.01085
327.5,0.009699
328,0.001005
328.5,0.007351
329,0.01274
329.5,0.004743
330,0.002682
330.5,0.0001391
331,0.002417
331.5,0.002415
332,0.001585
332.5,0.004626
333,0.01133
333.5,1E-06
334,0.009746
334.5,0.004079
335,0.006077
335.5,0.009901
336,0.008862
336.5,0.00621
337,0.003332
337.5,0.001269
338,0.006021
338.5,0.01006
339,0.007714
339.5,1E-06
340,1E-06
340.5,0.02139
341,0.00879
341.5,1E-06
342,0.002251
342.5,1E-06
343,0.005968
343.5,1E-06
344,0.009977
344.5,0.01308
345,0.007873
345.5,0.002768
346,0.015
346.5,1E-06
347,1E-06
347.5,1E-06
348,0.01048
348.5,0.01357
349,0.00141
349.5,0.00895
350,0.006788
350.5,0.0008335
351,0.007693
351.5,1E-06
352,0.003219
352.5,1E-06
353,0.02178
353.5,0.007004
354,0.01224
354.5,1E-06
355,0.01583
355.5,0.009791
356,0.004818
356.5,0.003045
357,1E-06
357.5,0.01379
358,0.004556
358.5,1E-06
359,1E-06
359.5,0.0004496
360,0.005
360.5,0.004427
361,1E-06
361.5,0.003062
362,0.006743
362.5,0.01057
363,1E-06
363.5,1E-06
364,0.006314
364.5,0.009804
365,0.008451
365.5,0.001942
366,0.01074
366.5,1E-06
367,0.003608
367.5,0.003666
368,0.003875
368.5,1E-06
369,0.001856
369.5,1E-06
370,1E-06
370.5,0.01141
371,0.01004
371.5,0.001968
372,0.005859
372.5,1E-06
373,0.01687
373.5,0.0158
374,0.02284
374.5,1E-06
375,0.01889
375.5,0.01129
376,0.02248
376.5,1E-06
377,1E-06
377.5,0.0005054
378,0.01515
378.5,0.0007927
379,0.0106
379.5,0.01738
380,0.04178
380.5,0.03897
381,0.07799
381.5,0.1316
382,0.1658
382.5,0.2339
383,0.2135
383.5,0.2478
384,0.2502
384.5,0.232
385,0.1812
385.5,0.1508
386,0.1054
386.5,0.07177
387,0.06138
387.5,0.06054
388,0.02287
388.5,0.03312
389,0.04705
389.5,0.04597
390,0.04878
390.5,0.02999
391,0.02203
391.5,0.03385
392,0.05122
392.5,0.08515
393,0.104
393.5,0.1943
394,0.3877
394.5,0.8816
395,1.913
395.5,3.326
396,5.32
396.5,7.844
397,10.28
397.5,12.99
398,15.15
398.5,18.05
399,19.19
399.5,20.12
400,21.25
400.5,22
401,24.23
401.5,24.83
402,25.07
402.5,24.9
403,25.32
403.5,27.22
404,28.6
404.5,31.07
405,32.4
405.5,33.2
406,34.2
406.5,35.27
407,38.1
407.5,40.59
408,42.08
408.5,43.41
409,43.02
409.5,41.49
410,41.34
410.5,41.64
411,42.29
411.5,41.03
412,36.18
412.5,32.85
413,31.18
413.5,31.98
414,31.27
414.5,24.83
415,16.47
415.5,8.703
416,4.176
416.5,1.733
417,0.876
417.5,0.508
418,0.4021
418.5,0.2381
419,0.1795
419.5,0.1337
420,0.1336
420.5,0.1052
421,0.08916
421.5,0.05964
422,0.07269
422.5,0.05395
423,0.07617
423.5,0.07255
424,0.0792
424.5,0.1007
425,0.1045
425.5,0.1327
426,0.141
426.5,0.1369
427,0.1113
427.5,0.09182
428,0.08225
428.5,0.0703
429,0.06134
429.5,0.03121
430,0.04305
430.5,0.037
431,0.02827
431.5,0.0224
432,0.01472
