Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP360-370(U-FUN,U-FUNA)"
Comment,""
Public,1
wavedataset
300,0.00122834
301,0.00125418
302,0.00166346
303,0.00169484
304,0.000748834
305,0.00144935
306,0.000809001
307,0.000442272
308,0.0011626
309,0.000758747
310,0.000877256
311,0.0010095
312,0.000813369
313,0.00124335
314,0.000319555
315,0.000502901
316,0.000176104
317,0.000308911
318,5.64E-05
319,-3.5551E-05
320,0.00015889
321,8.58E-05
322,0.000331376
323,0.000110946
324,0.000364015
325,-0.000101108
326,9.16E-05
327,8.1962E-05
328,0.000715613
329,0.000229262
330,-0.000214362
331,0.000270917
332,0.000278322
333,8.28E-05
334,0.000134144
335,0.000148253
336,0.000135981
337,0.000536498
338,0.000327901
339,0.000127019
340,0.000336243
341,-0.000388079
342,0.000198889
343,0.00078352
344,0.000544088
345,3.98E-05
346,0.000743531
347,0.000446886
348,0.00256601
349,0.00543536
350,0.00969798
351,0.0173999
352,0.0368852
353,0.0749653
354,0.16622
355,0.400762
356,1.00953
357,2.6831
358,7.44713
359,19.913
360,43.008
361,66.7723
362,78.4184
363,81.1596
364,81.4022
365,82.7563
366,83.1769
367,82.2087
368,82.4505
369,83.8346
370,82.8421
371,76.1325
372,43.3982
373,10.3496
374,1.71427
375,0.349166
376,0.0933101
377,0.0288973
378,0.0130671
379,0.00667426
380,0.00344992
381,0.0018665
382,0.00148086
383,0.00116306
384,0.000708464
385,0.000523273
386,0.000252792
387,0.000637014
388,0.000611845
389,0.000471077
390,0.000285708
391,0.000192581
392,0.000272389
393,0.000361579
394,0.000174112
395,0.000217036
396,0.000357365
397,4.15E-05
398,3.53E-05
399,1.4E-05
400,5.79E-05
401,-3.11E-05
402,0.000189838
403,-2.65E-06
404,3.93E-05
405,8.42E-05
406,-2.2E-05
407,-0.000184741
408,-0.000166298
409,-0.000138719
410,7.63E-05
411,7.39E-05
412,0.000110807
413,-5.17E-05
414,0.000255954
415,2.35E-06
416,-1.5E-05
417,-5.59E-06
418,5.29E-05
419,0.000211413
