Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP565-585"
Comment,""
Public,1
wavedataset
300,4.7E-05
301,0.000165
302,0.000332
303,0.000157
304,-0.000154
305,-3.5E-05
306,7.7E-05
307,-0.000218
308,-0.000392
309,-0.000151
310,0.000292
311,-0.000128
312,-3E-05
313,0.000138
314,-4.3E-05
315,2.9E-05
316,0.000216
317,0.00048
318,0.000492
319,-0.000166
320,6E-06
321,3.2E-05
322,-0.000166
323,-0.000312
324,0.00084
325,0.000565
326,9.8E-05
327,-7.6E-05
328,1E-06
329,-0.000174
330,7.1E-05
331,-5.2E-05
332,-0.000298
333,0.000319
334,0.000236
335,-3.5E-05
336,1.9E-05
337,-4.6E-05
338,-0.000677
339,-0.000804
340,0.000515
341,0.000418
342,4.4E-05
343,-0.001065
344,0.000186
345,0.000833
346,-0.00034
347,0.000255
348,-0.000794
349,-0.000843
350,-0.000489
351,-0.000131
352,0.000557
353,3.1E-05
354,0.000291
355,-0.000743
356,0.000332
357,5E-05
358,-0.000468
359,-0.000221
360,0.000322
361,2.3E-05
362,-4.8E-05
363,-0.000351
364,7E-05
365,-0.000505
366,4.8E-05
367,-0.000278
368,0.000433
369,-0.000213
370,0.000361
371,-0.000183
372,0.000312
373,0.000386
374,0.000454
375,3E-06
376,9.4E-05
377,-0.000151
378,-0.000136
379,-6.2E-05
380,1.5E-05
381,0.000137
382,1.9E-05
383,-0.000275
384,0.00047
385,0.000108
386,7.2E-05
387,-5.4E-05
388,-2.1E-05
389,1.9E-05
390,-1.5E-05
391,-0.000136
392,8.8E-05
393,-4.3E-05
394,0.000231
395,0.000282
396,-5.9E-05
397,8.3E-05
398,0.00015
399,-1E-06
400,0.000128
401,0.000372
402,0.000248
403,0.000534
404,0.000192
405,0.00034
406,0.000308
407,0.000333
408,7.7E-05
409,0.000104
410,-0.00012
411,0.000151
412,0.000131
413,0.000134
414,-0.000352
415,-4.9E-05
416,-0.000124
417,5.1E-05
418,6.9E-05
419,2.1E-05
420,-0.000168
421,1.1E-05
422,-0.000137
423,0.00028
424,-0.000101
425,0.000106
426,-2.6E-05
427,1E-06
428,-3E-05
429,0.00012
430,5.3E-05
431,-4.5E-05
432,-5.2E-05
433,5.3E-05
434,-9.6E-05
435,6.5E-05
436,0.000218
437,-3.6E-05
438,0.000112
439,-3.7E-05
440,6.3E-05
441,-7.8E-05
442,-8.3E-05
443,1.6E-05
444,7.9E-05
445,0.000102
446,2.3E-05
447,3E-05
448,0.000104
449,0.000124
450,8.9E-05
451,6.1E-05
452,2.7E-05
453,0.000135
454,-5.9E-05
455,8.4E-05
456,5E-05
457,2.8E-05
458,1.5E-05
459,8.9E-05
460,3.7E-05
461,-6.5E-05
462,-5E-05
463,2.1E-05
464,0.000175
465,-7.3E-05
466,0.000111
467,-0.000166
468,-3.8E-05
469,-1.7E-05
470,0.000135
471,0.000167
472,-2.2E-05
473,-8.5E-05
474,5.4E-05
475,-8.6E-05
476,0.000103
477,-1.7E-05
478,5E-05
479,-1.7E-05
480,4.4E-05
481,2.5E-05
482,4.3E-05
483,-1.5E-05
484,-1.4E-05
485,2.2E-05
486,-2.6E-05
487,-7.5E-05
488,0.000125
489,8.7E-05
490,1.8E-05
491,5.8E-05
492,-7E-06
493,2.1E-05
494,5E-05
495,1.7E-05
496,8.7E-05
497,5.4E-05
498,-4E-06
499,3E-05
500,4.2E-05
501,5.9E-05
502,-1.6E-05
503,3.7E-05
504,-2.9E-05
505,-2.2E-05
506,-0.000138
507,2.1E-05
508,4.2E-05
509,4.8E-05
510,2.3E-05
511,-5.7E-05
512,7.5E-05
513,8.8E-05
514,7.6E-05
515,9E-05
516,6.8E-05
517,0.000119
518,-5E-05
519,-3.4E-05
520,-5E-06
521,9E-05
522,5.5E-05
523,1E-05
524,-1.7E-05
525,0.000124
526,0.000102
527,0.000122
528,6.9E-05
529,5E-05
530,1.6E-05
531,-3.8E-05
532,0.000107
533,-2.2E-05
534,0.000131
535,-3.8E-05
536,3.7E-05
537,0.000303
538,0.000175
539,0.00032
540,0.00045
541,0.000548
542,0.000731
543,0.001086
544,0.001395
545,0.001905
546,0.003157
547,0.00501
548,0.007699
549,0.012093
550,0.018782
551,0.030368
552,0.05091
553,0.084832
554,0.147342
555,0.26118
556,0.480525
557,0.900289
558,1.78148
559,3.61476
560,7.57123
561,15.945
562,31.6081
563,54.6296
564,76.1028
565,88.0681
566,91.6391
567,92.9154
568,92.921
569,93.0577
570,92.8423
571,92.0446
572,91.4625
573,90.9505
574,90.7593
575,91.2784
576,91.8088
577,91.5409
578,92.3088
579,92.2928
580,91.5125
581,90.0544
582,84.5526
583,42.5161
584,7.68381
585,1.02988
586,0.186929
587,0.04404
588,0.012466
589,0.004296
590,0.001671
591,0.000771
592,0.000428
593,0.000223
594,0.000124
595,-1.5E-05
596,2.9E-05
597,-1.5E-05
598,-3.8E-05
599,-5.7E-05
600,2.9E-05
601,-1.3E-05
602,-4.5E-05
603,-3.1E-05
604,8E-06
605,1.3E-05
606,-2.4E-05
607,2.6E-05
608,4.1E-05
609,4E-06
610,-5E-06
611,4.6E-05
612,3.1E-05
613,6.4E-05
614,1.2E-05
615,-6E-06
616,2.5E-05
617,7E-06
618,1.6E-05
619,-2E-05
620,-3.8E-05
621,-2E-06
622,-2.1E-05
623,3.2E-05
624,8E-06
625,-1E-06
626,-1.9E-05
627,2.8E-05
628,3.8E-05
629,7.2E-05
630,-7E-06
631,1E-05
632,-6E-05
633,-1E-06
634,-1E-05
635,-9E-06
636,2.3E-05
637,-1E-05
638,-1.6E-05
639,-2.1E-05
640,4.5E-05
641,-2.8E-05
642,1.7E-05
643,-2E-06
644,-6.2E-05
645,-3.3E-05
646,1.4E-05
647,1E-05
648,1E-05
649,-3.9E-05
650,1.8E-05
651,2.8E-05
652,-1E-05
653,2.6E-05
654,4E-05
655,-2.4E-05
656,-3.9E-05
657,-2E-05
658,3.7E-05
659,-2.9E-05
660,-8E-06
661,3.2E-05
662,3.9E-05
663,-1.1E-05
664,-7E-06
665,2E-05
666,5.1E-05
667,7E-06
668,-1.6E-05
669,-6E-06
670,-4.3E-05
671,2.6E-05
672,-2E-06
673,6.4E-05
674,5E-05
675,3.5E-05
676,-3.7E-05
677,6E-06
678,3.9E-05
679,7.9E-05
680,2E-06
681,-1.3E-05
682,-3.1E-05
683,-3.9E-05
684,2.1E-05
685,5.1E-05
686,6.1E-05
687,3.7E-05
688,5.5E-05
689,-4.2E-05
690,4.4E-05
691,-9.9E-05
692,0.000103
693,5.5E-05
694,-4.9E-05
695,-0.000123
696,-2.2E-05
697,-1.3E-05
698,-9E-06
699,-4.5E-05
700,-5.6E-05
701,4.4E-05
702,2.8E-05
703,8.6E-05
704,-1.7E-05
705,-0.000143
706,-0.000104
707,9.2E-05
708,1E-05
709,5E-06
710,1.3E-05
711,0.000104
712,0.000113
713,-9.6E-05
714,-0.000137
715,8E-05
716,4.5E-05
717,6.5E-05
718,0.000138
719,-0.000224
720,-5.5E-05
721,8.1E-05
722,9E-05
723,-1.7E-05
724,-2.9E-05
725,6.5E-05
726,8.6E-05
727,7.6E-05
728,-5E-05
729,-0.000149
730,8E-06
731,1.5E-05
732,6.3E-05
733,-0.000107
734,2.8E-05
735,-0.000224
736,-0.00028
737,0.000156
738,-0.000178
739,-5E-06
740,8E-06
741,-3.5E-05
742,-0.000101
743,0.000134
744,0.000281
745,-4E-05
746,0.00025
747,0.000301
748,1.4E-05
749,-2.7E-05
750,0.0001
751,-0.000178
752,-6.9E-05
753,-0.000116
754,0.000118
755,-0.000129
756,0.00027
757,8.8E-05
758,0.000244
759,-0.000105
760,0.000189
761,-0.000208
762,2E-06
763,-8.4E-05
764,0.000104
765,-0.000472
766,8.6E-05
767,0.000146
768,0.000133
769,0.000233
770,-0.000296
771,-6.8E-05
772,-4.5E-05
773,0.000345
774,0.000481
775,4.4E-05
776,-0.000474
777,7.2E-05
778,0.000256
779,0.000214
780,-3.3E-05
781,2E-05
782,-3.6E-05
783,-0.000631
784,-0.00035
785,-4.5E-05
786,0.000836
787,0.000215
788,-0.000426
789,8.1E-05
790,-0.000282
791,0.000149
792,0.000612
793,-0.00053
794,0.000177
795,-0.000172
796,0.000302
797,-0.000861
798,-0.000242
799,7.3E-05
800,0.000158
801,0.000243
802,-0.000121
803,0.00106
804,0.000339
805,4.9E-05
806,-4E-06
807,0.00017
808,0.000224
809,0.000736
810,0.000139
811,0.000181
812,0.000479
813,-9.2E-05
814,-0.000461
815,-0.000813
816,-0.000298
817,0.000264
818,-4.6E-05
819,-9.7E-05
820,-0.000407
821,-0.000988
822,7.4E-05
823,-0.000192
824,-0.000258
825,-0.00071
826,0.000283
827,-0.000678
828,-0.000517
829,0.001114
830,-0.00095
831,-0.000968
832,-0.000537
833,0.000667
834,-0.000203
835,-0.001188
836,-0.00084
837,0.000274
838,0.00052
839,-0.000182
840,0.000276
841,9.8E-05
842,0.000175
843,0.000336
844,-0.000904
845,0.000517
846,-0.001288
847,6.4E-05
848,0.001246
849,0.000652
850,-0.017232
851,-0.014258
852,0.003025
853,-0.005573
854,-0.009633
855,0.00574
856,0.001671
857,0.002113
858,0.013175
859,-0.009586
860,-0.000357
861,0.004298
862,-0.000365
863,0.011217
864,0.001881
865,-0.008687
866,0.006858
867,0.008678
868,-0.016728
869,-0.006741
870,0.010991
871,0.011259
872,0.002315
873,0.007254
874,-0.011144
875,-0.007832
876,0.01443
877,0.005155
878,0.002751
879,0.007876
880,-0.006989
881,-0.007065
882,-0.00568
883,-1.4E-05
884,-0.000733
885,0.00294
886,-0.003926
887,-0.003625
888,-0.003715
889,-0.009483
890,0.000505
891,-0.001538
892,-0.004254
893,0.000667
894,0.002189
895,-0.000566
896,0.001395
897,-0.002739
898,-0.001113
899,6.1E-05
900,-0.001668
901,0.002353
902,0.004437
903,-0.000193
904,0.000928
905,0.002192
906,-0.000211
907,0.003312
908,-0.00045
909,-0.00186
910,0.000302
911,-0.003688
912,-0.001388
913,-0.003471
914,-0.003385
915,-0.005251
916,-0.003127
917,-0.001716
918,-0.000314
919,0.001198
920,0.002992
921,7.1E-05
922,-0.00079
923,-0.000501
924,0.002201
925,-0.000999
926,0.000224
927,-0.002952
928,0.002346
929,-3.6E-05
930,-0.001042
931,0.002487
932,0.00021
933,0.002649
934,0.001251
935,0.0009
936,0.00197
937,-0.000389
938,7.9E-05
939,0.000228
940,-9.8E-05
941,0.000943
942,0.000321
943,-3.2E-05
944,0.000572
945,-0.000111
946,0.001004
947,-0.000865
948,0.001126
949,0.000213
950,0.000832
951,0.000662
952,-0.001245
953,0.000123
954,-0.001144
955,-0.000271
956,2.9E-05
957,0.000705
958,0.00077
959,-0.000851
960,0.000937
961,-0.000391
962,0.001552
963,-0.001106
964,0.000182
965,-0.001286
966,0.00057
967,0.000287
968,-0.000869
969,0.001436
970,-0.000356
971,9.7E-05
972,-0.001405
973,-0.00124
974,0.000395
975,0.001096
976,0.000698
977,2.7E-05
978,0.000541
979,-0.000899
980,-0.000973
981,0.000684
982,0.000153
983,-1.6E-05
984,-0.001051
985,-0.000336
986,3.2E-05
987,0.000276
988,-0.000153
989,0.001007
990,-0.000154
991,-0.001008
992,-0.000922
993,0.000696
994,0.001958
995,0.000502
996,0.000612
997,-5.8E-05
998,-0.000205
999,-9E-06
1000,-0.000351
1001,0.001119
1002,-0.000158
1003,1E-06
1004,0.000693
1005,0.000649
1006,-0.00014
1007,-1.9E-05
1008,0.000528
1009,0.000286
1010,0.000722
1011,-0.000747
1012,-0.000165
1013,-0.000229
1014,-0.000222
1015,0.001102
1016,0.000981
1017,-0.000883
1018,-0.000701
1019,0.00035
1020,0.000565
1021,-0.000348
1022,0.000374
1023,-0.000992
1024,-0.00026
1025,-0.00012
1026,-0.00048
1027,-0.000715
1028,-0.000896
1029,-4E-06
1030,-9.5E-05
1031,-0.00022
1032,0.000825
1033,-0.00073
1034,-0.000246
1035,-0.000178
1036,-0.000698
1037,0.000275
1038,0.00083
1039,-0.000594
1040,0.000868
1041,4.3E-05
1042,0.000631
1043,-0.000627
1044,-0.00039
1045,0.000891
1046,0.000189
1047,0.000621
1048,0.000341
1049,-0.000198
1050,-0.000803
1051,-3.8E-05
1052,-0.00069
1053,-0.00038
1054,0.000875
1055,0.000756
1056,0.000972
1057,0.000249
1058,0.000368
1059,-0.00022
1060,-0.000151
1061,-0.000306
1062,1.9E-05
1063,-0.000785
1064,-0.00072
1065,0.000363
1066,0.000423
1067,-6.6E-05
1068,-0.00027
1069,0.000541
1070,-0.00014
1071,0.00093
1072,-0.000161
1073,0.000138
1074,6.2E-05
1075,-0.000124
1076,-3.4E-05
1077,0.000822
1078,0.000848
1079,-1.4E-05
1080,0.000153
1081,0.00078
1082,0.000505
1083,-0.000104
1084,0.000543
1085,-1.8E-05
1086,-0.000614
1087,0.000941
1088,-0.000233
1089,-0.000183
1090,0.000128
1091,0.000703
1092,0.000329
1093,0.001113
1094,0.00029
1095,-0.000669
1096,0.000676
1097,0.000396
1098,-0.000467
1099,0.000558
1100,-0.000278
1101,0.000579
1102,0.000184
1103,-0.000204
1104,-0.00019
1105,0.000198
1106,-0.000246
1107,0.000193
1108,-0.000229
1109,0.000326
1110,0.000532
1111,0.00044
1112,0.000916
1113,0.000555
1114,0.000882
1115,0.000705
