Type,Exciter
Maker,"Chroma"
ProductName,"D530/20x"
Comment,""
Public,1
wavedataset
299,1E-08
300,1E-08
301,0.000261
302,0.0002537
303,0.0004199
304,0.0002386
305,1E-08
306,4.204E-05
307,0.001121
308,9.996E-05
309,1E-08
310,0.0004234
311,1E-08
312,0.0002237
313,1E-08
314,0.0007224
315,1E-08
316,1E-08
317,1E-08
318,1E-08
319,1E-08
320,0.000144
321,1E-08
322,1E-08
323,1E-08
324,1E-08
325,1E-08
326,1E-08
327,0.0005234
328,1E-08
329,1E-08
330,0.0001195
331,1E-08
332,1E-08
333,1E-08
334,1E-08
335,1E-08
336,1E-08
337,0.0003773
338,0.000403
339,1E-08
340,1E-08
341,1E-08
342,1E-08
343,9.553E-05
344,9.819E-05
345,1E-08
346,1E-08
347,1E-08
348,1E-08
349,1E-08
350,1E-08
351,1E-08
352,1E-08
353,0.000545
354,0.002024
355,0.0001438
356,1E-08
357,1E-08
358,0.0001439
359,0.0007575
360,1E-08
361,1E-08
362,1E-08
363,1E-08
364,1E-08
365,1E-08
366,0.0001378
367,1E-08
368,1E-08
369,1E-08
370,1E-08
371,1E-08
372,1E-08
373,0.0009764
374,0.00076
375,1E-08
376,0.0009826
377,0.0005644
378,1E-08
379,0.0003592
380,1E-08
381,1E-08
382,1E-08
383,0.001398
384,1E-08
385,1E-08
386,1E-08
387,1E-08
388,0.001197
389,0.0001513
390,0.0009872
391,1E-08
392,1E-08
393,0.0009903
394,1E-08
395,1E-08
396,0.0003595
397,0.001634
398,1E-08
399,1E-08
400,1E-08
401,1E-08
402,0.002292
403,0.002085
404,0.001436
405,0.002981
406,0.002552
407,1E-08
408,1E-08
409,0.0003493
410,1E-08
411,1E-08
412,1E-08
413,1E-08
414,1E-08
415,1E-08
416,1E-08
417,0.000581
418,1E-08
419,0.000376
420,0.0007985
421,0.001022
422,0.003834
423,1E-08
424,1E-08
425,1E-08
426,1E-08
427,0.0005957
428,0.00168
429,0.0008064
430,0.0001679
431,1E-08
432,1E-08
433,1E-08
434,0.000831
435,1E-08
436,0.001245
437,0.0001494
438,0.0008101
439,1E-08
440,0.0008147
441,0.001464
442,1E-08
443,0.001248
444,1E-08
445,1E-08
446,1E-08
447,0.0006116
448,0.0006132
449,0.001249
450,1E-08
451,1E-08
452,1E-08
453,1E-08
454,1E-08
455,0.00167
456,1E-08
457,0.0008369
458,0.001667
459,1E-08
460,1E-08
461,1E-08
462,1E-08
463,1E-08
464,0.001254
465,1E-08
466,1E-08
467,0.0008192
468,1E-08
469,0.000606
470,1E-08
471,0.0008257
472,1E-08
473,1E-08
474,1E-08
475,1E-08
476,1E-08
477,1E-08
478,1E-08
479,0.001256
480,1E-08
481,1E-08
482,0.001703
483,1E-08
484,1E-08
485,0.0003764
486,0.001697
487,0.0003819
488,1E-08
489,1E-08
490,0.0003907
491,0.001044
492,0.000829
493,1E-08
494,0.0008313
495,1E-08
496,0.0008337
497,1E-08
498,1E-08
499,0.000201
500,0.001474
501,1E-08
502,1E-08
503,1E-08
504,0.0002127
505,0.0002144
506,1E-08
507,1E-08
508,1E-08
509,1E-08
510,1E-08
511,0.001266
512,0.004998
513,0.01121
514,0.03192
515,0.1023
516,0.3869
517,1.723
518,9.29
519,38.15
520,72.97
521,81.5
522,81.85
523,81.07
524,79.83
525,79.22
526,79
527,79.22
528,79.5
529,79.5
530,79.54
531,80.07
532,80.79
533,80.81
534,79.91
535,79.13
536,79.86
537,74.51
538,44.78
539,15.02
540,3.976
541,1.104
542,0.3441
543,0.1184
544,0.04603
545,0.01844
546,0.007667
547,0.002368
548,0.002367
549,1E-08
550,0.001489
551,1E-08
552,0.0008414
553,0.001701
554,0.0008437
555,0.0004178
556,1E-08
557,1E-08
558,0.000639
559,0.0008526
560,0.001692
561,1E-08
562,1E-08
563,0.001689
564,2.667E-05
565,1E-08
566,1E-08
567,1E-08
568,1E-08
569,1E-08
570,1E-08
571,1E-08
572,1E-08
573,1E-08
574,1E-08
575,0.001283
576,1E-08
577,1E-08
578,0.001516
579,1E-08
580,1E-08
581,1E-08
582,1E-08
583,1E-08
584,0.0003351
585,1E-08
586,1E-08
587,1E-08
588,1E-08
589,1E-08
590,1E-08
591,0.001074
592,1E-08
593,1E-08
594,0.0004679
595,0.0002762
596,0.002925
597,0.002516
598,8.147E-05
599,1E-08
600,1E-08
601,0.0001326
602,1E-08
603,1E-08
604,0.0001074
605,1E-08
606,0.0003032
607,1E-08
608,0.001505
609,1E-08
610,0.001938
611,1E-08
612,0.0008671
613,0.0004316
614,1E-08
615,1E-08
616,1E-08
617,0.0001418
618,1E-08
619,1E-08
620,1E-08
621,1E-08
622,1E-08
623,1E-08
624,1E-08
625,1E-08
626,0.0006016
627,1E-08
628,1E-08
629,1E-08
630,0.003282
631,1E-08
632,1E-08
633,0.002157
634,1E-08
635,0.001731
636,1E-08
637,1E-08
638,1E-08
639,1E-08
640,1E-08
641,0.001316
642,1E-08
643,0.0009024
644,1E-08
645,0.0001168
646,1E-08
647,1E-08
648,0.0003168
649,0.001713
650,1E-08
651,0.0001056
652,1E-08
653,1E-08
654,0.001122
655,1E-08
656,0.002328
657,0.0001124
658,1E-08
659,1E-08
660,1E-08
661,1E-08
662,0.0001271
663,1E-08
664,0.001518
665,1E-08
666,1E-08
667,0.001115
668,1E-08
669,0.0001309
670,0.000504
671,1E-08
672,0.0003281
673,0.0003025
674,1E-08
675,1E-08
676,1E-08
677,1E-08
678,1E-08
679,1E-08
680,1E-08
681,0.001518
682,1E-08
683,1E-08
684,1E-08
685,1E-08
686,0.001517
687,1E-08
688,0.0009036
689,0.001723
690,0.0009199
691,1E-08
692,0.001319
693,0.001115
694,1E-08
695,1E-08
696,1E-08
697,1E-08
698,1E-08
699,0.002123
700,1E-08
701,0.0009064
702,1E-08
703,0.0003282
704,0.0003125
705,1E-08
706,1E-08
707,0.0009153
708,1E-08
709,0.001933
710,0.001118
711,0.001535
712,0.0007124
713,1E-08
714,1E-08
715,8.957E-05
716,0.0002809
717,1E-08
718,1E-08
719,0.002346
720,1E-08
721,0.001121
722,1E-08
723,1E-08
724,1E-08
725,0.001327
726,1E-08
727,0.0004845
728,0.002578
729,0.001131
730,0.00113
731,0.0005034
732,0.002393
733,0.0003058
734,0.002347
735,0.0005193
736,9.386E-05
