Type,Exciter
Maker,"Chroma"
ProductName,"ET620/60x"
Comment,""
Public,1
wavedataset
200,0.0001844
201,3.841E-05
202,4.907E-05
203,1E-06
204,2.494E-05
205,7.393E-06
206,6.339E-07
207,1.676E-06
208,6.788E-06
209,1E-06
210,1E-06
211,7.484E-06
212,8.746E-06
213,6.058E-08
214,1E-06
215,1E-06
216,1E-06
217,1E-06
218,1E-06
219,1E-06
220,1E-06
221,5.542E-06
222,9.149E-06
223,1.844E-05
224,1.521E-05
225,4.205E-05
226,1E-06
227,1E-06
228,2.487E-05
229,2.115E-05
230,3.056E-05
231,1E-06
232,1.668E-06
233,3.051E-05
234,1E-06
235,9.66E-06
236,2.684E-05
237,1.376E-05
238,1.201E-05
239,2.866E-05
240,2.695E-05
241,9.064E-06
242,1.147E-05
243,9.506E-07
244,1E-06
245,5.169E-07
246,4.208E-05
247,9.168E-06
248,2.976E-05
249,1.548E-05
250,1.132E-05
251,3.072E-05
252,1.141E-05
253,1E-06
254,5.327E-06
255,3.947E-05
256,1.246E-05
257,2.274E-05
258,1.239E-05
259,1E-06
260,2.893E-05
261,1.438E-05
262,1.298E-05
263,2.549E-06
264,2.815E-05
265,1.204E-05
266,1.562E-06
267,1E-06
268,1E-06
269,1E-06
270,2.667E-06
271,3.578E-05
272,8.974E-06
273,1.199E-05
274,4.163E-06
275,2.14E-06
276,3.047E-05
277,5.594E-07
278,1E-06
279,1E-06
280,1.561E-05
281,2.444E-05
282,6.184E-08
283,4.228E-05
284,1E-06
285,1E-06
286,3.098E-05
287,9.074E-06
288,5.474E-05
289,3.116E-05
290,4.029E-05
291,4.034E-05
292,1E-06
293,6.916E-05
294,2.543E-05
295,1E-06
296,1E-06
297,1E-06
298,1E-06
299,5.031E-05
300,1E-06
301,4.115E-06
302,4.741E-05
303,4.747E-06
304,1.64E-06
305,1E-06
306,1E-06
307,5.768E-05
308,1.888E-06
309,3.683E-05
310,8.305E-06
311,3.91E-05
312,2.418E-05
313,1E-06
314,6.427E-05
315,3.137E-05
316,1E-06
317,1E-06
318,5.104E-05
319,1E-06
320,1E-06
321,1E-06
322,9.163E-05
323,5.587E-05
324,7.244E-06
325,0.0001025
326,1E-06
327,2.194E-05
328,1E-06
329,1E-06
330,1E-06
331,5.159E-05
332,5.238E-05
333,2.589E-06
334,1E-06
335,1E-06
336,3.797E-05
337,3.084E-05
338,1E-06
339,8.334E-05
340,9.119E-06
341,6.859E-06
342,2.091E-07
343,2.765E-05
344,1E-06
345,2.196E-05
346,1.797E-05
347,1.525E-05
348,9.263E-06
349,4.93E-05
350,1.022E-05
351,1.227E-05
352,3.831E-05
353,4.503E-05
354,2.243E-05
355,1E-06
356,1E-06
357,2.177E-05
358,2.734E-05
359,4.655E-05
360,1E-06
361,5.067E-05
362,1E-06
363,6.031E-05
364,1E-06
365,5.694E-05
366,2.211E-05
367,1.254E-07
368,1E-06
369,7.235E-06
370,6.787E-06
371,5.786E-05
372,1E-06
373,1.331E-05
374,1E-06
375,3.541E-05
376,1E-06
377,1.42E-05
378,2.578E-05
379,1E-06
380,1.56E-05
381,3.115E-05
382,1E-06
383,9.378E-06
384,1.188E-05
385,9.229E-06
386,1E-06
387,4.251E-05
388,2.176E-05
389,1E-06
390,1.403E-05
391,1E-06
392,2.147E-05
393,1.39E-05
394,2.976E-05
395,3.471E-07
396,1.524E-05
397,1.221E-05
398,1E-06
399,1E-06
400,1.362E-05
401,2.284E-05
402,2.222E-05
403,7.24E-06
404,1.025E-05
405,1.048E-05
406,3.713E-06
407,1E-06
408,1.207E-05
409,1.691E-05
410,1.361E-05
411,7.962E-06
412,1.736E-05
413,2.027E-05
414,1E-06
415,1.186E-05
416,1E-06
417,1E-06
418,1E-06
419,1E-06
420,2.462E-06
421,1.429E-05
422,1.285E-05
423,1.967E-05
424,1.458E-06
425,5.156E-06
426,7.102E-06
427,1E-06
428,1.061E-05
429,2.181E-05
430,7.501E-06
431,1E-06
432,2.637E-06
433,1.649E-05
434,7.549E-06
435,2.25E-05
436,2.104E-05
437,1.402E-05
438,8.894E-06
439,4.323E-07
440,1.314E-05
441,1.236E-05
442,1.465E-05
443,8.96E-06
444,5.263E-06
445,9.57E-06
446,1.23E-05
447,6.186E-06
448,8.639E-06
449,5.264E-06
450,8.086E-06
451,9.302E-06
452,1.604E-05
453,1.3E-05
454,1.465E-05
455,6.368E-06
456,1.705E-05
457,1.727E-05
458,8.787E-06
459,9.474E-07
460,8.048E-06
461,3.634E-07
462,1.615E-05
463,2.112E-05
464,1E-06
465,8.476E-06
466,1.732E-05
467,1.725E-05
468,1.147E-05
469,5.683E-06
470,1.485E-05
471,7.458E-06
472,6.723E-06
473,1.016E-05
474,2.112E-05
475,9.785E-06
476,8.334E-06
477,9.698E-06
478,2.114E-05
479,1.59E-05
480,1.067E-05
481,1.758E-05
482,1.555E-05
483,6.435E-06
484,9.567E-07
485,1.035E-05
486,2.938E-06
487,3.854E-06
488,2.136E-06
489,1.464E-05
490,2.354E-06
491,1.319E-05
492,9.854E-06
493,3.586E-06
494,3.251E-06
495,6.046E-06
496,1.276E-05
497,1.153E-05
498,6.621E-06
499,1.649E-05
500,1.861E-05
501,6.78E-06
502,8.604E-06
503,1.459E-05
504,6.606E-06
505,1.856E-05
506,1.372E-05
507,9.763E-06
508,6.449E-06
509,7.565E-06
510,2.664E-05
511,1.189E-05
512,1.722E-05
513,1.192E-05
514,6.093E-06
515,9.622E-06
516,6.198E-06
517,3.144E-06
518,1.666E-05
519,1E-06
520,4.789E-06
521,1.113E-05
522,1.936E-06
523,8.685E-06
524,1.285E-05
525,5.087E-06
526,1.165E-05
527,1.824E-05
528,9.176E-06
529,2.187E-05
530,1.72E-05
531,1.25E-05
532,2.16E-05
533,1.931E-05
534,5.895E-06
535,1.773E-05
536,3.695E-06
537,8.437E-06
538,6.747E-06
539,1.684E-05
540,2.144E-05
541,2.288E-05
542,1.242E-05
543,1.332E-05
544,8.041E-06
545,4.244E-06
546,9.153E-06
547,1.326E-05
548,1.538E-05
549,1E-06
550,8.735E-06
551,6.87E-06
552,1E-06
553,2.548E-05
554,7.4E-06
555,1.462E-05
556,1E-06
557,1.148E-05
558,1.287E-05
559,1.608E-05
560,9.621E-06
561,1.898E-05
562,1.828E-05
563,2.301E-05
564,2.07E-05
565,1.132E-05
566,1.21E-05
567,1.451E-05
568,2.589E-05
569,1.45E-05
570,2.389E-05
571,3.068E-05
572,2.133E-05
573,2.238E-05
574,1.907E-05
575,1.429E-05
576,3.997E-05
577,1.091E-05
578,1.908E-05
579,4.011E-05
580,3.804E-05
581,4.636E-05
582,6.259E-05
583,0.0001223
584,0.0003462
585,0.001402
586,0.006047
587,0.03251
588,0.2302
589,2.195
590,21.09
591,73.47
592,94.03
593,94.96
594,94.54
595,93.13
596,91.54
597,91.6
598,93.71
599,96.19
600,97.7
601,97.31
602,95.67
603,93.93
604,93.16
605,93.66
606,95.13
607,96.84
608,97.95
609,98.26
610,97.85
611,97.03
612,96.24
613,95.46
614,94.72
615,94.14
616,93.94
617,94.33
618,95.23
619,96.35
620,97.29
621,97.69
622,97.51
623,96.95
624,96.37
625,96.14
626,96.23
627,96.62
628,97.13
629,97.71
630,98.07
631,98.18
632,98.01
633,97.83
634,97.58
635,97.35
636,97.25
637,97.35
638,97.65
639,98.02
640,98.15
641,98.12
642,97.9
643,97.77
644,97.79
645,97.79
646,97.15
647,94.6
648,89.52
649,82.44
650,58.56
651,19.16
652,3.127
653,0.5185
654,0.1085
655,0.02712
656,0.007695
657,0.002606
658,0.0008781
659,0.0003629
660,0.0001449
661,6.678E-05
662,5.812E-05
663,3.575E-05
664,2.151E-05
665,1.512E-05
666,2.475E-05
667,1.131E-05
668,2.188E-05
669,1.591E-05
670,2.693E-05
671,1.584E-05
672,1.434E-05
673,1.067E-05
674,1.807E-05
675,4.253E-06
676,2.099E-05
677,2.143E-05
678,1.007E-05
679,4.925E-06
680,2.704E-05
681,1.232E-05
682,4.635E-06
683,1.359E-05
684,2.22E-05
685,1.806E-05
686,1.168E-05
687,2.061E-05
688,6.783E-06
689,1.121E-05
690,2.208E-05
691,2.945E-05
692,1.443E-05
693,2.24E-05
694,3.599E-05
695,2.411E-05
696,2.834E-05
697,1.352E-05
698,1.336E-05
699,2.179E-05
700,5.104E-06
701,1E-06
702,2.074E-05
703,2.413E-05
704,2.066E-05
705,3.335E-06
706,3.54E-05
707,2.905E-05
708,1E-06
709,4.488E-06
710,5.532E-05
711,7.457E-06
712,2.459E-05
713,1.474E-05
714,1.106E-05
715,1.63E-05
716,1.71E-05
717,3.309E-05
718,7.078E-06
719,2.293E-05
720,6.641E-06
721,1E-06
722,2.489E-05
723,1.133E-05
724,5.455E-05
725,2.737E-05
726,5.66E-05
727,1.869E-05
728,4.335E-05
729,4.128E-05
730,1E-06
731,3.826E-05
732,2.748E-05
733,2.988E-05
734,1.337E-05
735,2.199E-05
736,1E-06
737,3.143E-05
738,1.161E-05
739,1.678E-05
740,1E-06
741,1.718E-05
742,3.378E-05
743,4.162E-05
744,9.621E-06
745,3.362E-05
746,1.11E-05
747,7.867E-05
748,1.126E-05
749,3.384E-05
750,1.08E-05
751,2.864E-05
752,1E-06
753,2.928E-05
754,2.095E-05
755,4.372E-06
756,2.59E-05
757,5.618E-05
758,4.655E-05
759,1.083E-05
760,4.097E-05
761,1E-06
762,2.044E-05
763,1.51E-06
764,3.923E-05
765,7.863E-05
766,1.34E-05
767,3.235E-05
768,1E-06
769,0.0001152
770,8.94E-05
771,1E-06
772,7.574E-05
773,2.13E-05
774,1E-06
775,9.231E-05
776,4.738E-05
777,0.0001006
778,2.42E-05
779,1E-06
780,8.993E-05
781,2.393E-05
782,1.937E-05
783,0.0001201
784,3.539E-05
785,1.132E-05
786,1E-06
787,3.604E-05
788,2.331E-05
789,2.778E-05
790,1E-06
791,1E-06
792,8.667E-05
793,0.0001118
794,0.00012
795,4.672E-05
796,0.0001737
797,1.293E-05
798,6.665E-05
799,1E-06
800,1E-06
801,1E-06
802,1E-06
803,1E-06
804,1E-06
805,1E-06
806,1E-06
807,1E-06
808,1E-06
809,1E-06
810,1E-06
811,1E-06
812,1E-06
813,1E-06
814,1E-06
815,1E-06
816,1E-06
817,1E-06
818,1E-06
819,1E-06
820,1E-06
821,1E-06
822,1E-06
823,1E-06
824,1E-06
825,1E-06
826,1E-06
827,1E-06
828,1E-06
829,1E-06
830,1E-06
831,1E-06
832,1E-06
833,1E-06
834,1E-06
835,1E-06
836,1E-06
837,1E-06
838,1E-06
839,1E-06
840,1E-06
841,1E-06
842,1E-06
843,1E-06
844,1E-06
845,1E-06
846,1E-06
847,1E-06
848,1E-06
849,1E-06
850,1E-06
851,1E-06
852,1E-06
853,1E-06
854,1E-06
855,1E-06
856,1E-06
857,1E-06
858,1E-06
859,1E-06
860,1E-06
861,1E-06
862,1E-06
863,1E-06
864,1E-06
865,1E-06
866,1E-06
867,1E-06
868,1E-06
869,1E-06
870,1E-06
871,1E-06
872,1E-06
873,1E-06
874,1E-06
875,1E-06
876,1E-06
877,1E-06
878,1E-06
879,1E-06
880,1E-06
881,1E-06
882,1E-06
883,1E-06
884,1E-06
885,1E-06
886,1E-06
887,1E-06
888,1E-06
889,1E-06
890,1E-06
891,1E-06
892,1E-06
893,1E-06
894,1E-06
895,1E-06
896,1E-06
897,1E-06
898,1E-06
899,1E-06
900,1E-06
901,1E-06
902,1E-06
903,1E-06
904,1E-06
905,1E-06
906,1E-06
907,1E-06
908,1E-06
909,1E-06
910,1E-06
911,1E-06
912,1E-06
913,1E-06
914,1E-06
915,1E-06
916,1E-06
917,1E-06
918,1E-06
919,1E-06
920,1E-06
921,1E-06
922,1E-06
923,1E-06
924,1E-06
925,1E-06
926,1E-06
927,1E-06
928,1E-06
929,1E-06
930,1E-06
931,1E-06
932,1E-06
933,1E-06
934,1E-06
935,1E-06
936,1E-06
937,1E-06
938,1E-06
939,1E-06
940,1E-06
941,1E-06
942,1E-06
943,1E-06
944,1E-06
945,1E-06
946,1E-06
947,1E-06
948,1E-06
949,1E-06
950,1E-06
951,1E-06
952,1E-06
953,1E-06
954,1E-06
955,1E-06
956,1E-06
957,1E-06
958,1E-06
959,1E-06
960,1E-06
961,1E-06
