Type,Exciter
Maker,"Semrock"
ProductName,"FF01-387/478/555-25"
Comment,""
Public,1
wavedataset
295,0.00026709
295.2,0.0002715
295.4,0.00027599
295.6,0.00028055
295.8,0.00027738
296,0.00027234
296.2,0.00026739
296.4,0.00026254
296.6,0.00025777
296.8,0.00025309
297,0.00024849
297.2,0.00024398
297.4,0.00023955
297.6,0.00023519
297.8,0.00023092
298,0.00022673
298.2,0.00022261
298.4,0.00021857
298.6,0.0002146
298.8,0.0002107
299,0.00020687
299.2,0.00020311
299.4,0.00019943
299.6,0.0001958
299.8,0.00019225
300,0.00018875
300.2,0.00018533
300.4,0.00016353
300.6,0.00012883
300.8,0.0001015
301,7.996E-05
301.2,6.2993E-05
301.4,4.9627E-05
301.6,3.9097E-05
301.8,3.0801E-05
302,2.4265E-05
302.2,1.9117E-05
302.4,1.506E-05
302.6,1.3215E-05
302.8,1.4741E-05
303,1.6443E-05
303.2,1.8342E-05
303.4,2.046E-05
303.6,2.2822E-05
303.8,2.5457E-05
304,2.8397E-05
304.2,3.1676E-05
304.4,3.5333E-05
304.6,3.9413E-05
304.8,4.3964E-05
305,4.9041E-05
305.2,5.4703E-05
305.4,5.152E-05
305.6,4.5505E-05
305.8,4.0192E-05
306,3.55E-05
306.2,3.1355E-05
306.4,2.7695E-05
306.6,2.4461E-05
306.8,2.1606E-05
307,1.9083E-05
307.2,1.6855E-05
307.4,1.4887E-05
307.6,1.3149E-05
307.8,1.1614E-05
308,1.0861E-05
308.2,1.4419E-05
308.4,1.9143E-05
308.6,2.5415E-05
308.8,3.3742E-05
309,4.4797E-05
309.2,5.9474E-05
309.4,7.896E-05
309.6,0.00010483
309.8,0.00013918
310,0.00018477
310.2,0.00024531
310.4,0.00032569
310.6,0.00043239
310.8,0.00057406
311,0.00076214
311.2,0.0010118
311.4,0.0013434
311.6,0.0017835
311.8,0.0018525
312,0.0018862
312.2,0.0019205
312.4,0.0019555
312.6,0.0019911
312.8,0.0020274
313,0.0020643
313.2,0.0021019
313.4,0.0021401
313.6,0.0021791
313.8,0.0022188
314,0.0022592
314.2,0.0023003
314.4,0.0023422
314.6,0.0023848
314.8,0.0024283
315,0.0024725
315.2,0.0025175
315.4,0.0023387
315.6,0.0020927
315.8,0.0018726
316,0.0016757
316.2,0.0014995
316.4,0.0013418
316.6,0.0012006
316.8,0.0010744
317,0.00096138
317.2,0.00086027
317.4,0.00076979
317.6,0.00068883
317.8,0.00061639
318,0.00056616
318.2,0.00061477
318.4,0.00066755
318.6,0.00072487
318.8,0.0007871
319,0.00085468
319.2,0.00092806
319.4,0.0010077
319.6,0.0010943
319.8,0.0011882
320,0.0012902
320.2,0.001401
320.4,0.0015213
320.6,0.0016519
320.8,0.0017938
321,0.0019478
321.2,0.002115
321.4,0.0022966
321.6,0.0024938
321.8,0.0024692
322,0.0024279
322.2,0.0023873
322.4,0.0023474
322.6,0.0023081
322.8,0.0022695
323,0.0022316
323.2,0.0021942
323.4,0.0021575
323.6,0.0021215
323.8,0.002086
324,0.0020511
324.2,0.0020168
324.4,0.0019831
324.6,0.0019499
324.8,0.0019173
325,0.0018853
325.2,0.0018537
325.4,0.0016661
325.6,0.0014473
325.8,0.0012573
326,0.0010922
326.2,0.00094876
326.4,0.00082418
326.6,0.00071595
326.8,0.00062194
327,0.00054027
327.2,0.00046932
327.4,0.0004077
327.6,0.00035416
327.8,0.00030765
328,0.00026404
328.2,0.00021212
328.4,0.00017041
328.6,0.0001369
328.8,0.00010998
329,8.8358E-05
329.2,7.0985E-05
329.4,5.7027E-05
329.6,4.5814E-05
329.8,3.6806E-05
330,2.9569E-05
330.2,2.3755E-05
330.4,1.9084E-05
330.6,1.5331E-05
330.8,1.2317E-05
331,9.895E-06
331.2,7.9494E-06
331.4,6.3863E-06
331.6,5.1306E-06
331.8,5.8786E-06
332,6.9039E-06
332.2,8.1081E-06
332.4,9.5223E-06
332.6,1.1183E-05
332.8,1.3134E-05
333,1.5424E-05
333.2,1.8115E-05
333.4,2.1274E-05
333.6,2.4985E-05
333.8,2.9343E-05
334,3.4461E-05
334.2,4.0471E-05
334.4,4.753E-05
334.6,5.582E-05
334.8,6.5557E-05
335,7.6991E-05
335.2,9.042E-05
335.4,8.006E-05
335.6,6.334E-05
335.8,5.0112E-05
336,3.9646E-05
336.2,3.1366E-05
336.4,2.4815E-05
336.6,1.9633E-05
336.8,1.5532E-05
337,1.2289E-05
337.2,9.7221E-06
337.4,7.6916E-06
337.6,6.0853E-06
337.8,4.8144E-06
338,3.9489E-06
338.2,3.9151E-06
338.4,3.8816E-06
338.6,3.8483E-06
338.8,3.8154E-06
339,3.7827E-06
339.2,3.7503E-06
339.4,3.7182E-06
339.6,3.6863E-06
339.8,3.6547E-06
340,3.6234E-06
340.2,3.5924E-06
340.4,3.5616E-06
340.6,3.5311E-06
340.8,3.5009E-06
341,3.4709E-06
341.2,3.4412E-06
341.4,3.4117E-06
341.6,3.3825E-06
341.8,3.6484E-06
342,3.9622E-06
342.2,4.303E-06
342.4,4.6731E-06
342.6,5.0751E-06
342.8,5.5116E-06
343,5.9857E-06
343.2,6.5006E-06
343.4,7.0598E-06
343.6,7.667E-06
343.8,8.3265E-06
344,9.0427E-06
344.2,9.8205E-06
344.4,1.0665E-05
344.6,1.1583E-05
344.8,1.2579E-05
345,1.3661E-05
345.2,1.4836E-05
345.4,1.5048E-05
345.6,1.4803E-05
345.8,1.4561E-05
346,1.4323E-05
346.2,1.4089E-05
346.4,1.3859E-05
346.6,1.3633E-05
346.8,1.341E-05
347,1.3191E-05
347.2,1.2976E-05
347.4,1.2764E-05
347.6,1.2555E-05
347.8,1.235E-05
348,1.2167E-05
348.2,1.2097E-05
348.4,1.2027E-05
348.6,1.1958E-05
348.8,1.1889E-05
349,1.1821E-05
349.2,1.1752E-05
349.4,1.1685E-05
349.6,1.1617E-05
349.8,1.1551E-05
350,1.1484E-05
350.2,1.1418E-05
350.4,1.1352E-05
350.6,1.1287E-05
350.8,1.1222E-05
351,1.1157E-05
351.2,1.1093E-05
351.4,1.1029E-05
351.6,1.0965E-05
351.8,1.128E-05
352,1.1637E-05
352.2,1.2004E-05
352.4,1.2383E-05
352.6,1.2775E-05
352.8,1.3178E-05
353,1.3594E-05
353.2,1.4024E-05
353.4,1.4467E-05
353.6,1.4924E-05
353.8,1.5395E-05
354,1.5881E-05
354.2,1.6383E-05
354.4,1.69E-05
354.6,1.7434E-05
354.8,1.7985E-05
355,1.8553E-05
355.2,1.9139E-05
355.4,1.7603E-05
355.6,1.5466E-05
355.8,1.3588E-05
356,1.1939E-05
356.2,1.0489E-05
356.4,9.2159E-06
356.6,8.0971E-06
356.8,7.1141E-06
357,6.2504E-06
357.2,5.4916E-06
357.4,4.825E-06
357.6,4.2392E-06
357.8,3.7246E-06
358,3.4151E-06
358.2,3.8566E-06
