Type,Exciter
Maker,"Semrock"
ProductName,"FF01-740/13-25"
Comment,""
Public,1
wavedataset
300,2.168E-05
300.2,2.1458E-05
300.4,2.1238E-05
300.6,2.1021E-05
300.8,2.0806E-05
301,2.0593E-05
301.2,2.0382E-05
301.4,2.0174E-05
301.6,1.9967E-05
301.8,1.9763E-05
302,1.9467E-05
302.2,1.9174E-05
302.4,1.8886E-05
302.6,1.8602E-05
302.8,1.8323E-05
303,1.8047E-05
303.2,1.7776E-05
303.4,1.7509E-05
303.6,1.7246E-05
303.8,1.6987E-05
304,2.0318E-05
304.2,2.563E-05
304.4,3.2331E-05
304.6,4.0784E-05
304.8,5.1447E-05
305,6.4898E-05
305.2,8.1865E-05
305.4,0.00010327
305.6,0.00013027
305.8,0.00016433
306,0.00017373
306.2,0.0001612
306.4,0.00014957
306.6,0.00013878
306.8,0.00012877
307,0.00011948
307.2,0.00011086
307.4,0.00010287
307.6,9.5447E-05
307.8,8.8563E-05
308,8.1172E-05
308.2,7.286E-05
308.4,6.5399E-05
308.6,5.8702E-05
308.8,5.269E-05
309,4.7295E-05
309.2,4.2452E-05
309.4,3.8104E-05
309.6,3.4202E-05
309.8,3.07E-05
310,2.8322E-05
310.2,3.5812E-05
310.4,4.5282E-05
310.6,5.7257E-05
310.8,7.2399E-05
311,9.1545E-05
311.2,0.00011575
311.4,0.00014637
311.6,0.00018507
311.8,0.00023401
312,0.00023126
312.2,0.0002271
312.4,0.00022301
312.6,0.000219
312.8,0.00021506
313,0.00021119
313.2,0.00020739
313.4,0.00020366
313.6,0.00019999
313.8,0.0001964
314,0.00017308
314.2,0.00014754
314.4,0.00012577
314.6,0.00010721
314.8,9.1388E-05
315,7.7903E-05
315.2,6.6408E-05
315.4,5.6608E-05
315.6,4.8255E-05
315.8,4.1135E-05
316,3.602E-05
316.2,3.2202E-05
316.4,2.8789E-05
316.6,2.5737E-05
316.8,2.3009E-05
317,2.057E-05
317.2,1.8389E-05
317.4,1.644E-05
317.6,1.4697E-05
317.8,1.3139E-05
318,1.2633E-05
318.2,1.3787E-05
318.4,1.5047E-05
318.6,1.6421E-05
318.8,1.7921E-05
319,1.9558E-05
