Type,Exciter
Maker,"Omega"
ProductName,"XF1020(546DF10)"
Comment,""
Public,1
wavedataset
495,0.00049
495.2,0.00014
495.4,0.00011
495.6,-3.2E-05
495.8,0.00018
496,0.00025
496.2,-6E-05
496.4,0.00027
496.6,0.00012
496.8,4.2E-05
497,-9.5E-05
497.2,5.9E-05
497.4,1.6E-05
497.6,0.00047
497.8,0.00024
498,9.3E-05
498.2,0.00023
498.4,0.0002
498.6,0.0002
498.8,5.8E-05
499,-5.7E-05
499.2,6E-06
499.4,-0.00027
499.6,-0.00023
499.8,-0.00016
500,9.7E-05
500.2,1.6E-05
500.4,-0.00012
500.6,-0.00013
500.8,7.7E-05
501,0.00015
501.2,0.00018
501.4,-4.9E-05
501.6,0.00014
501.8,0.00019
502,5.2E-05
502.2,0.00011
502.4,0.00022
502.6,0.00024
502.8,7.9E-05
503,0.00049
503.2,0.00016
503.4,0.00012
503.6,-0.00018
503.8,4.6E-05
504,-3.8E-05
504.2,6.8E-05
504.4,-8.3E-05
504.6,-0.00012
504.8,0.00036
505,-7.2E-05
505.2,0.0004
505.4,7.5E-05
505.6,3.1E-05
505.8,0.00017
506,0.00025
506.2,0.00012
506.4,0.00048
506.6,-0.00017
506.8,0.00019
507,0.00025
507.2,-0.00023
507.4,6E-05
507.6,-0.00034
507.8,0.00016
508,-3E-05
508.2,0.00014
508.4,5.5E-05
508.6,3.9E-05
508.8,-3.3E-05
509,3E-05
509.2,0.00018
509.4,0.00032
509.6,0.00017
509.8,0.00011
510,0.00021
510.2,-0.00019
510.4,-6.1E-05
510.6,0.00045
510.8,0.00048
511,7.1E-05
511.2,0.00022
511.4,0.00012
511.6,0.00024
511.8,8.5E-05
512,0.00014
512.2,9E-06
512.4,1E-05
512.6,-0.00026
512.8,-0.00014
513,-0.00015
513.2,0.00036
513.4,0.00011
513.6,0.00025
513.8,-0.0002
514,-1.6E-05
514.2,-5.7E-05
514.4,-0.00012
514.6,-3.1E-05
514.8,-6.3E-05
515,0.00019
515.2,0.00015
515.4,0.00032
515.6,0.00027
515.8,0.00024
516,-0.00021
516.2,0.00033
516.4,0.00063
516.6,-7.6E-05
516.8,0.00011
517,0.00012
517.2,-8.8E-05
517.4,4.7E-05
517.6,1E-06
517.8,3.6E-05
518,6.2E-05
518.2,8.8E-05
518.4,8.5E-05
518.6,8.2E-05
518.8,0.00036
519,0.00039
519.2,0.00021
519.4,0.00016
519.6,0.0004
519.8,0.00013
520,0.00023
520.2,-7.3E-05
520.4,0.00015
520.6,0.00048
520.8,6.7E-05
521,-0.0003
521.2,5.3E-05
521.4,0.00036
521.6,0.00045
521.8,-2.7E-05
522,-0.00021
522.2,0.00039
522.4,0.00026
522.6,3.6E-05
522.8,0.00026
523,8.5E-05
523.2,-0.00014
523.4,-0.00015
523.6,8.9E-05
523.8,4.2E-05
524,-8.4E-05
524.2,7E-05
524.4,-0.00024
524.6,-2.2E-05
524.8,-7.9E-05
525,-4E-05
525.2,-6E-05
525.4,1.8E-05
525.6,-1.2E-05
525.8,-0.00022
526,2E-06
526.2,0.00024
526.4,6.8E-05
526.6,0.00012
526.8,9E-06
527,0.00042
527.2,0.00049
527.4,0.00037
527.6,0.00055
527.8,0.00037
528,0.00059
528.2,0.00042
528.4,0.00059
528.6,-0.00011
528.8,0.00015
529,0.00073
529.2,0.00059
529.4,0.00061
529.6,0.00052
529.8,0.00071
530,0.00059
530.2,0.00071
530.4,0.00085
530.6,0.00065
530.8,0.0012
531,0.00059
531.2,0.0011
531.4,0.0011
531.6,0.0011
531.8,0.00095
532,0.0014
532.2,0.0012
532.4,0.0014
532.6,0.0014
532.8,0.0018
533,0.0026
533.2,0.0017
533.4,0.0024
533.6,0.0027
533.8,0.0031
534,0.0034
534.2,0.0039
534.4,0.0044
534.6,0.0048
534.8,0.0057
535,0.0062
535.2,0.007
535.4,0.0075
535.6,0.0088
535.8,0.01
536,0.012
536.2,0.014
536.4,0.016
536.6,0.018
536.8,0.021
537,0.024
537.2,0.028
537.4,0.033
537.6,0.038
537.8,0.045
538,0.053
538.2,0.063
538.4,0.076
538.6,0.091
538.8,0.11
539,0.13
539.2,0.16
539.4,0.2
539.6,0.24
539.8,0.29
540,0.37
540.2,0.46
540.4,0.58
540.6,0.73
540.8,0.93
541,1.19
541.2,1.55
541.4,2.04
541.6,2.7
541.8,3.58
542,4.73
542.2,6.31
542.4,8.38
542.6,11.2
542.8,14.9
543,19.8
543.2,25.4
543.4,32
543.6,39.4
543.8,46.9
544,54.4
544.2,61.1
544.4,66.7
544.6,70.8
544.8,73.7
545,75.6
545.2,76.6
545.4,77
545.6,77.1
545.8,76.9
546,76.7
546.2,76.5
546.4,76.3
546.6,76.1
546.8,75.9
547,75.8
547.2,75.6
547.4,75.4
547.6,75.2
547.8,74.9
548,74.6
548.2,74.4
548.4,74.1
548.6,73.8
548.8,73.5
549,73.2
549.2,73
549.4,72.8
549.6,72.7
549.8,72.6
550,72.7
550.2,72.9
550.4,73.2
550.6,73.6
550.8,74
551,74.2
551.2,73.9
551.4,73
551.6,71.1
551.8,67.9
552,63.5
552.2,57.4
552.4,50.6
552.6,43.2
552.8,36.1
553,29.3
553.2,23.2
553.4,18
553.6,13.7
553.8,10.3
554,7.82
554.2,5.93
554.4,4.49
554.6,3.44
554.8,2.63
555,2.03
555.2,1.59
555.4,1.26
555.6,1
555.8,0.81
556,0.65
556.2,0.53
556.4,0.43
556.6,0.35
556.8,0.29
557,0.24
557.2,0.2
557.4,0.17
557.6,0.14
557.8,0.12
558,0.1
558.2,0.087
558.4,0.075
558.6,0.065
558.8,0.056
559,0.048
559.2,0.042
559.4,0.036
559.6,0.032
559.8,0.028
560,0.024
560.2,0.022
560.4,0.019
560.6,0.017
560.8,0.015
561,0.013
561.2,0.012
561.4,0.01
561.6,0.0096
561.8,0.0088
562,0.0076
562.2,0.0066
562.4,0.006
562.6,0.0057
562.8,0.0048
563,0.0046
563.2,0.0039
563.4,0.0038
563.6,0.0035
563.8,0.0032
564,0.0029
564.2,0.0023
564.4,0.0024
564.6,0.002
564.8,0.0022
565,0.0021
565.2,0.0017
565.4,0.0015
565.6,0.0012
565.8,0.0015
566,0.0015
566.2,0.00092
566.4,0.00087
566.6,0.0012
566.8,0.00057
567,0.00059
567.2,0.0012
567.4,0.00095
567.6,0.00063
567.8,0.00091
568,0.00087
568.2,0.00074
568.4,0.00074
568.6,0.00048
568.8,0.00087
569,0.00035
569.2,0.00059
569.4,0.00051
569.6,0.00032
569.8,0.00052
570,0.00039
570.2,0.0006
570.4,0.00019
570.6,9E-06
570.8,0.00041
571,0.0006
571.2,0.00016
571.4,3.2E-05
571.6,0.00024
571.8,0.00023
572,8.4E-05
572.2,-5.6E-05
572.4,8E-06
572.6,6.8E-05
572.8,0.00031
573,-0.00028
573.2,-2.6E-05
573.4,0.00025
573.6,0.00014
573.8,-2.5E-05
574,7E-05
574.2,-0.00012
574.4,0.00032
574.6,0.00052
574.8,0.00015
575,0.00034
575.2,0.00031
575.4,-0.00015
575.6,0.00066
575.8,0.00013
576,0.00043
576.2,0.00019
576.4,0.00014
576.6,0.00055
576.8,-9.7E-05
577,6.3E-05
577.2,0.00023
577.4,0.00045
577.6,9.3E-05
577.8,0.00018
578,0.00065
578.2,0.00038
578.4,9.2E-05
578.6,0.00016
578.8,-7.8E-05
579,0.00027
579.2,7.5E-05
579.4,0.00018
579.6,-1E-05
579.8,0.00013
580,0.00013
580.2,-3.7E-05
580.4,-4.1E-05
580.6,9E-05
580.8,3.9E-05
581,0.00013
581.2,-0.00012
581.4,2.6E-05
581.6,0.00032
581.8,4E-06
582,-0.00033
582.2,0.00035
582.4,6E-06
582.6,0.00029
582.8,0.00019
583,0.00025
583.2,0.00041
583.4,0.00019
583.6,0.00033
583.8,-6E-05
584,0.0002
584.2,0.00062
584.4,-0.00012
584.6,-6.9E-05
584.8,0.00018
585,8.4E-05
585.2,0.00022
585.4,0.00036
585.6,0.00024
585.8,0.00022
586,-0.0002
586.2,0.00021
586.4,0.00014
586.6,2.1E-05
586.8,0.00033
587,0.00045
587.2,7.4E-05
587.4,-1E-06
587.6,-3.8E-05
587.8,0.00037
588,-0.00016
588.2,-0.00011
588.4,0.00023
588.6,-7.8E-05
588.8,-3.3E-05
589,0.00032
589.2,-5E-06
589.4,0.00011
589.6,0.00011
589.8,0.00041
590,0.00022
590.2,0.00023
590.4,3.5E-05
590.6,2.6E-05
590.8,0.0003
591,0.00011
591.2,0.0002
591.4,0.00025
591.6,3.7E-05
591.8,0.0002
592,8.2E-05
592.2,-8.6E-05
592.4,0.00022
592.6,0.00047
592.8,0.00034
593,0.0001
593.2,0.00055
593.4,8.1E-05
593.6,0.00016
593.8,-9E-06
594,0.00012
594.2,0.00026
594.4,0.0004
594.6,0.00023
594.8,4.7E-05
595,-0.0015
