Type,Exciter
Maker,"Omega"
ProductName,"XF1202(485AF20)"
Comment,""
Public,1
wavedataset
1099.961426,-1.423214317
1099.024658,-1.014491177
1097.969971,4.811813069
1097.031738,-1.84268086
1095.975342,-8.672269249
1095.035645,-5.367011023
1093.977783,-2.627933979
1093.036621,-0.248934853
1091.977051,-2.259719777
1091.034546,-5.644141198
1089.973389,-0.155088569
1089.029297,0.77328347
1087.966553,3.762771034
1087.021118,-0.899014318
1085.956787,0.115506785
1085.01001,0.72205224
1083.94397,-1.644844723
1082.995728,-3.986956739
1082.046875,-0.305861265
1080.978516,-1.487457943
1080.028198,1.311493051
1078.958252,-1.972793984
1078.00647,0.89961313
1077.054077,-1.109254861
1075.981812,-0.69289282
1075.027954,-2.199416661
1073.954102,-1.085770929
1072.998901,0.097089244
1072.042969,0.305947402
1070.966797,0.605771625
1070.009521,0
1069.051636,2.766436982
1067.973145,-5.105854177
1067.013794,-3.859762907
1066.053711,-0.25465363
1064.9729,-0.553832352
1064.011475,1.713627171
1063.049438,0.615624988
1061.966309,-0.754080009
1061.00293,0.921619308
1060.038818,-0.172937056
1058.953369,1.224076915
1057.987793,-1.530206919
1057.021729,-1.663208795
1056.054932,1.181518865
1054.966431,1.500588083
1053.998291,-0.39918341
1053.029419,-2.71010592
1052.059937,-1.589327765
1050.968506,-1.164923358
1049.997559,-0.928938234
1049.026123,-1.585224866
1048.053955,0.692093569
1046.959473,-2.480702139
1045.985962,-0.196886912
1045.011719,0.706343937
1044.036987,-0.359073472
1042.939453,-0.036400877
1041.963257,0.513713735
1040.98645,-1.100353622
1040.009033,1.120683694
1039.030884,-1.125445735
1038.052124,-3.307724238
1036.950317,0.147901103
1035.970093,-0.808592272
1034.98938,-0.301503584
1034.007935,-0.016452783
1033.026001,-3.270182657
1032.043335,-0.840002286
1031.059937,0.268139794
1029.953003,0.97161628
1028.968384,-0.068857144
1027.983032,0.317667505
1026.997192,-0.56770767
1026.01062,-0.489354575
1025.023438,0.059057275
1024.035522,-0.111038756
1023.047119,-0.570234013
1022.058044,-0.474952543
1020.94458,-0.446064824
1019.954163,-0.458912915
1018.963074,-0.555983061
1017.971436,0.27063933
1016.979126,-0.684531021
1015.986206,0.581135464
1014.992615,-0.530355638
1013.998413,-0.048057044
1013.003601,-0.047600816
1012.008179,0.2172019
1011.012146,-0.436525595
1010.015442,-0.545307291
1009.018127,-0.111133885
1008.020203,-0.07054983
1007.021667,0.1437787
1006.022461,-0.464881843
1005.022705,0.156617142
1004.022278,-0.486117518
1003.02124,0.022490392
1002.019592,0.524432605
1001.017334,-0.539169842
1000.014465,-0.091965598
999.0109253,-0.182284588
998.0068359,-0.166645941
997.0020752,0.232976836
995.9967651,-0.284264746
994.9907837,-0.129137656
993.9841919,0.115506952
992.9770508,-0.093332389
991.9692383,-0.270384109
990.9608154,-0.418475825
989.9517822,-0.271634451
988.9421387,0.129405019
988.0582275,-0.091550577
987.0474243,-0.090935837
986.0360718,-0.769029117
985.0240479,-0.502414411
984.0114746,-0.745708907
982.998291,-0.425341636
981.984436,-0.287830854
980.9700317,0.046918
979.9550171,-0.152178289
978.9393921,0.132005931
978.0502319,-0.119295736
977.0334473,-0.22636537
976.0161133,0.096937247
974.9981079,-0.063415342
973.9795532,-0.606858057
972.9603882,-0.182970059
971.9406128,-0.486430025
971.0478516,-0.035981691
970.0269775,0.008710996
969.0054932,-0.125173457
967.9833984,0.143630728
966.9606934,0.054358324
965.937439,-0.294511977
965.0415649,-0.491651607
964.0172119,0.509521174
962.9921875,-0.288466215
961.9666138,0.123108333
960.9404297,-0.305458114
960.0420532,-0.182363945
959.0147705,-0.518717104
957.9868774,-0.331341091
956.9584351,-0.189983591
956.0580444,-0.181026903
955.0284424,-0.11146304
953.998291,0.036544087
952.9675293,0.003673941
951.9362183,-0.380114132
951.0333252,-0.327466607
950.0008545,-0.080098921
948.9678345,0.331220844
948.0634766,-0.27570132
947.0293579,-0.069417205
945.9946899,0.088134746
944.9593506,-0.068584159
944.0530396,0.207597208
943.0166626,-0.498702294
941.9796753,0.124483876
940.9421387,-0.035581372
940.0338135,0.071523406
938.9951782,0.283804393
937.9559937,-0.051506066
937.0462036,-0.085610834
936.0059204,0.438079035
934.9650269,-0.364571303
934.053772,-0.383235073
933.0118408,-0.072227261
931.9692993,-0.228162536
931.0566406,0.032578107
930.0130615,-0.179306382
928.9688721,-0.098914835
928.0547485,0.194091538
927.0095215,-0.341940174
925.9636841,-0.12631925
925.0480957,0.2480416
924.0012207,-0.034528098
922.9537964,-0.222877744
922.0368042,0.160816848
920.9882202,-0.034817813
919.9391479,-0.005339216
919.020752,0.009411544
917.9705811,-0.130257905
917.0512085,0.029486403
916,0.077656202
914.9482422,0.159011222
914.0274658,-0.078371438
912.9746094,-0.17409133
912.0529175,-0.185011891
910.9990234,-0.153249387
909.9445801,-0.443532097
909.0214233,0.009778152
907.9659424,0.057458404
907.0419312,-0.12216156
905.9853516,0.100589554
905.0604248,0.077739779
904.0028076,-0.161943877
902.9446411,-0.198862153
902.0183105,-0.271370614
900.9591064,-0.239388427
900.0317993,-0.204638884
898.9715576,0.040951974
898.043396,-0.106596628
896.9821167,-0.004396837
896.0530396,-0.012990811
894.9907227,-0.26884644
894.06073,-0.059082043
892.9973755,0.131310666
891.9334717,0.012784908
891.0021362,-0.049158064
889.9371948,-0.174377896
889.0048828,-0.091228202
887.9389648,0.004979681
887.0057983,-0.21202271
885.9387817,-0.047264668
885.0046997,0.229742408
883.9367065,-0.059109268
883.00177,-0.010427021
882.0663452,0.011922014
880.9968262,0.021194582
880.0606079,-0.035411282
878.9900513,-0.165065245
878.0529175,0.051227088
876.9813232,-0.211466372
876.0432739,0.153195147
874.9707642,0.180852896
874.0317993,0.029627754
872.958252,0.101094635
872.0184326,-0.201143351
870.9438477,-0.052909928
870.0031738,-0.130218716
869.0620728,-0.052334778
867.9859619,-0.261980191
867.0440063,-0.079976594
865.9669189,-0.26031585
865.0241089,0.252888986
863.9460449,-0.097163658
863.0022583,-0.163445705
862.0581665,-0.023705511
860.9786377,-0.273804769
860.0336304,0.042160866
858.953064,-0.095664093
858.0072021,0.019747757
857.0609131,-0.143802106
855.9789429,0.078747495
855.0317993,0.597778493
853.9488525,-0.497185779
853.0007935,-0.211256963
852.0523682,-0.196978703
850.9679565,-0.292212775
850.0186768,-0.477715665
848.9332886,-0.296281836
847.9831543,0.035804474
847.0325928,-0.18975572
845.9458008,-0.131575368
844.9943848,0.218280739
844.0426025,-0.184137225
842.9543457,0.352110487
842.0016479,-0.474282301
841.048584,-0.258218318
839.9589233,-0.129906939
839.0050049,-0.076291601
838.0507202,-0.151714525
836.9595947,-0.182385996
836.0044556,-0.164642839
835.0489502,-0.25190655
833.9564209,0.093338095
833,0.25804112
832.0432739,0.171700567
830.9492798,0.010937543
829.9916992,-0.036149142
