Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"4,6-diamidino-2-phenyl-indole HCI(DAPI)"
Comment,"DAPI/DNA"
Public,1
Excitation
250,55.70766174
251,54.50651358
252,53.61890042
253,53.17288585
254,53.55266063
255,53.66306028
256,54.55950541
257,55.22631928
258,56.07418856
259,57.07220137
260,57.67277545
261,58.93133142
262,59.56723338
263,60.58732612
264,61.46610731
265,62.24332082
266,62.26540075
267,61.77522632
268,60.66681387
269,58.01280636
270,54.73172886
271,50.92073305
272,46.79620225
273,43.01170236
274,39.58489733
275,36.68359461
276,34.21461691
277,32.20534334
278,30.52329433
279,29.26473835
280,27.7191433
281,26.47383528
282,25.2815191
283,24.42481784
284,23.63435637
285,23.25899757
286,23.2192537
287,23.42680503
288,23.64318834
289,23.83307573
290,24.29675425
291,24.39390594
292,24.4998896
293,24.57496136
294,24.70302495
295,24.67211305
296,24.77368072
297,24.74276882
298,24.83992051
299,24.89732833
300,25.06955178
301,25.36983882
302,25.73636564
303,26.17354824
304,26.72996246
305,27.41002429
306,28.17840583
307,29.03952307
308,30.10333407
309,31.22102009
310,32.52329433
311,34.07816295
312,35.75182159
313,37.58445573
314,39.62905719
315,41.76197836
316,43.90328991
317,46.1249724
318,48.57142857
319,50.91190108
320,53.33186134
321,55.65025392
322,58.02605432
323,60.3444469
324,62.69816737
325,64.97681607
326,67.13623316
327,69.27798631
328,71.33141974
329,73.79553985
330,75.58843012
331,77.27533672
332,79.04173107
333,80.68447781
334,82.00927357
335,83.50629278
336,84.61470523
337,85.92625304
338,87.01700155
339,88.23139766
340,89.13225878
341,90.0640318
342,91.17686023
343,91.9673217
344,92.85493486
345,93.71605211
346,94.47560168
347,95.10708766
348,95.85780526
349,96.48929123
350,97.0942813
351,97.54029587
352,97.98631044
353,98.48531685
354,98.7811879
355,99.17862663
356,99.48774564
357,99.74828881
358,99.92934423
359,100
360,99.82336057
361,99.56723338
362,99.27577832
363,98.74144403
364,98.02163833
365,97.16935306
366,96.14926032
367,94.85537646
368,93.72046809
369,92.13512917
370,90.73084566
371,89.12784279
372,87.35261647
373,85.45374255
374,83.77125193
375,81.75756238
376,79.82336057
377,77.6551115
378,75.55751822
379,73.23029366
380,71.1547803
381,68.71274012
382,66.16030029
383,63.55928461
384,60.54316626
385,57.01479355
386,53.98984323
387,50.95164495
388,47.77655112
389,44.65003312
390,41.5009936
391,38.39258114
392,35.22190329
393,32.2499448
394,29.33097814
395,26.51799514
396,23.9699713
397,21.55442703
398,19.26253036
399,17.1251932
400,15.23515125
401,13.42901303
402,11.88341797
403,10.35990285
404,9.043939059
405,7.904614705
406,6.888937955
407,5.935085008
408,5.065135792
409,4.44689777
410,3.850739678
411,3.241333628
412,2.879222786
413,2.495032016
414,2.132921175
415,1.810554206
416,1.558843012
417,1.338043718
418,1.103996467
419,0.918525061
420,0.759549569
421,0.675645838
422,0.587326121
423,0.529918304
424,0.48134246
425,0.35327887
426,0.33119894
427,0.251711195
428,0.216383308
429,0.154559505
430,0.132479576
431,0.105983661
432,0.035327887
433,0.004415986
434,-0.030470302
435,-0.013247958
436,-0.017663943
437,-0.079487746
438,-0.013247958
439,-0.114815633
440,-0.097151689
441,-0.119231618
442,-0.079487746
443,-0.030470302
444,-0.145727534
445,-0.132479576
446,-0.123647604
447,-0.132479576
448,-0.15014352
449,-0.198719364
450,-0.189887392
Emission
375,0.3099814
376,0.3761108
377,0.4387959
378,0.4436179
379,0.4436179
380,0.4753048
381,0.6085968
382,0.6726596
383,0.7604877
384,0.8872357
385,1.077358
386,1.26748
387,1.489288
388,1.711097
389,2.154715
390,2.534959
391,3.010264
392,3.612317
393,4.214369
394,5.196666
395,5.955087
396,6.989391
397,8.211752
398,9.330441
399,10.29138
400,11.81029
401,13.05848
402,14.49921
403,16.12385
404,18.02439
405,19.83295
406,21.67218
407,23.9712
408,25.7629
409,27.85424
410,29.88496
411,31.34325
412,33.74044
413,35.68919
414,37.63519
415,39.88427
416,41.86127
417,44.49955
418,46.20789
419,48.60853
420,50.91616
421,53.22725
422,55.47978
423,57.34656
424,58.7587
425,61.18689
426,62.79879
427,64.87566
428,67.10064
429,69.64938
430,71.31638
431,73.77557
432,75.06372
433,77.14404
434,79.04526
435,80.80182
436,82.08997
437,83.72942
438,84.78336
439,85.69263
440,86.97734
441,89.6604
442,91.28952
443,91.32052
444,92.74299
445,94.37211
446,94.37211
447,95.08163
448,95.85313
449,96.62121
450,96.325
451,97.00696
452,97.48226
453,97.80602
454,99.27327
455,98.82552
456,99.30427
457,99.57291
458,98.79452
459,99.32493
460,99.41104
461,100
462,99.13206
463,99.88978
464,99.81401
465,98.8324
466,99.10449
467,97.98512
468,98.16422
469,97.15851
470,96.98285
471,96.13213
472,95.28139
473,94.26534
474,93.05641
475,92.40201
476,91.38596
477,90.76599
478,91.12765
479,90.10126
480,89.37453
481,87.25632
482,86.56403
483,84.15651
484,83.4711
485,82.38961
486,81.63532
487,80.26108
488,79.11758
489,78.23586
490,78.06709
491,77.07516
492,75.09128
493,73.96501
494,73.07295
495,71.98112
496,70.69298
497,69.10519
498,68.62299
499,67.58627
500,66.75277
501,64.81367
502,64.67245
503,63.25343
504,61.80341
505,60.99401
506,61.0009
507,59.296
508,58.06985
509,57.51877
510,55.79665
511,55.03892
512,53.83344
513,53.08604
514,51.90122
515,51.06771
516,50.23765
517,48.79796
518,48.07123
519,47.25494
520,45.87036
521,45.38472
522,44.34456
523,42.91176
524,42.12992
525,41.40663
526,40.81766
527,39.7224
528,39.13687
529,38.17937
530,37.25977
531,36.78791
532,35.56175
533,34.76269
534,33.82552
535,33.1873
536,32.35517
537,31.67321
538,31.27299
539,30.24075
540,29.93456
541,29.04732
542,28.68396
543,27.5942
544,27.09237
545,26.54268
546,25.82489
547,24.99311
548,24.81091
549,23.77213
550,23.49349
551,23.00992
552,22.51567
553,22.02797
554,21.31294
555,20.82111
556,20.33478
557,19.96246
558,19.2123
559,18.95089
560,18.36261
561,18.00475
562,17.58111
563,17.08342
564,16.82717
565,16.31708
566,15.84349
567,15.75325
568,15.14569
569,14.87222
570,14.39106
571,13.93125
572,13.40222
573,13.18179
574,12.92933
575,12.44059
576,12.4027
577,11.99972
578,11.6863
579,11.27988
580,10.96404
581,10.82042
582,10.32031
583,9.911139
584,9.592892
585,9.619757
586,9.161673
587,9.024247
588,8.657781
589,8.353654
590,8.215196
591,8.076737
592,7.753668
593,7.569057
594,7.061376
595,7.253564
596,6.881587
597,6.742095
598,6.509609
599,6.323621
