Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Alexa Fluor 430"
Comment,"Alexa Fluor 430 goat anti mouse IgG antibody/pH 7.2"
Public,1
Excitation
250,221.6772
251,209.3986
252,200.602
253,194.2892
254,189.7471
255,186.4995
256,184.5506
257,183.9491
258,184.7563
259,186.5044
260,188.0316
261,189.9041
262,192.3511
263,196.3036
264,201.1975
265,207.6554
266,213.8816
267,219.9606
268,226.333
269,232.7692
270,239.2548
271,243.9056
272,248.9235
273,254.0123
274,258.798
275,262.3709
276,264.5911
277,265.2678
278,265.0561
279,263.2859
280,260.0653
281,257.2231
282,255.1871
283,252.627
284,249.7085
285,242.5143
286,229.2504
287,211.1748
288,193.9535
289,180.3653
290,171.8881
291,165.9163
292,157.9751
293,144.9661
294,127.583
295,110.4862
296,94.90632
297,81.88113
298,70.65327
299,61.06031
300,52.20362
301,44.4513
302,37.6193
303,31.7401
304,27.328
305,23.66297
306,20.60373
307,18.79558
308,17.60999
309,16.50561
310,15.84569
311,15.57447
312,15.3092
313,14.93079
314,14.62167
315,14.35153
316,13.96175
317,13.88
318,13.79934
319,13.9834
320,13.81558
321,13.81558
322,14.18371
323,14.44897
324,14.31363
325,14.25354
326,14.69746
327,14.28602
328,14.65469
329,14.84363
330,14.97355
331,15.17927
332,15.38012
333,15.51005
334,15.4938
335,15.84569
336,16.09418
337,16.34374
338,16.75518
339,17.23699
340,17.83736
341,18.29211
342,18.70354
343,19.40732
344,19.78681
345,20.31139
346,20.77155
347,21.21601
348,21.78931
349,22.39022
350,22.82873
351,23.46754
352,23.85786
353,24.27471
354,24.75598
355,25.48195
356,25.99624
357,26.60203
358,27.27332
359,27.79898
360,28.39448
361,28.98998
362,29.50373
363,29.95361
364,30.43488
365,30.76565
366,31.22527
367,31.5176
368,31.70167
369,31.994
370,32.24844
371,32.28093
372,32.27605
373,32.5895
374,32.50343
375,32.74108
376,32.97441
377,33.46164
378,33.79133
379,34.39765
380,34.95039
381,36.00063
382,36.96967
383,37.62418
384,38.16608
385,40.28227
386,41.66274
387,42.84345
388,44.27806
389,45.66937
390,47.25502
391,48.56512
392,50.15672
393,51.60758
394,53.27552
395,54.80758
396,56.51287
397,58.10447
398,59.74426
399,61.43927
400,63.10071
401,64.62735
