Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Cy5"
Comment,"Cy5 dye labeled IgG antibody/pH 7.2"
Public,1
Excitation
400,0.668526686
401,0.620347213
402,0.699186351
403,0.575087709
404,0.608667341
405,0.582387629
406,0.500628523
407,0.529828204
408,0.544428044
409,0.526908236
410,0.529828204
411,0.464128922
412,0.522528284
413,0.519608315
414,0.494788587
415,0.429089306
416,0.465588906
417,0.462668938
418,0.413029481
419,0.35463012
420,0.44514913
421,0.392589705
422,0.436389226
423,0.446609114
424,0.439309194
425,0.417409434
426,0.392589705
427,0.383829801
428,0.434929242
429,0.411569497
430,0.386749769
431,0.364850009
432,0.429089306
433,0.413029481
434,0.43784921
435,0.45974897
436,0.43784921
437,0.426169338
438,0.516688347
439,0.490408635
440,0.481648731
441,0.468508875
442,0.427629322
443,0.548807996
444,0.52836822
445,0.5210683
446,0.494788587
447,0.506468459
448,0.561947852
449,0.592607517
450,0.618887229
451,0.630567102
452,0.63348707
453,0.643706958
454,0.710866223
455,0.637867022
456,0.618887229
457,0.659766782
458,0.728386031
459,0.763425648
460,0.788245377
461,0.815985073
462,0.922563907
463,0.910884035
464,0.967823412
465,1.013082917
466,1.112361831
467,1.245220377
468,1.252520297
469,1.182441064
470,1.201420856
471,1.134261591
472,1.116741783
473,1.1517814
474,1.185361032
475,1.052502486
476,1.043742581
477,1.020382837
478,1.043742581
479,1.086082118
480,1.105061911
481,1.17368116
482,1.25690025
483,1.265660154
484,1.176601128
485,1.131341623
486,1.132801607
487,1.148861431
488,1.055422454
489,1.148861431
490,1.179521096
491,1.214560713
492,1.306539706
493,1.332819419
494,1.284639946
495,1.145941463
496,1.290479882
497,1.296319818
498,1.356179163
499,1.281719978
500,1.340119339
501,1.394138748
502,1.487577726
503,1.506557518
504,1.588316624
505,1.635036113
506,1.710955282
507,1.808774212
508,1.805854244
509,1.92411295
510,1.864253605
511,2.011711992
512,2.084711193
513,2.284729005
514,2.262829245
515,2.385467903
516,2.348968302
517,2.391307839
518,2.439487312
519,2.621985315
520,2.724184197
521,2.950481722
522,3.020560955
523,3.057060556
524,3.189919102
525,3.29795792
526,3.30525784
527,3.512575572
528,3.754932921
529,3.747633001
530,4.036709838
531,4.092189231
532,4.362286277
533,4.449885318
534,4.460105206
535,4.785681645
536,4.922920143
537,4.940439952
538,5.254336518
539,5.552173259
540,5.657292109
541,5.99454842
542,6.356624459
543,6.747900178
544,6.965437798
545,7.311454013
546,7.559651297
547,7.726089477
548,7.980126697
549,8.095465436
550,8.584560085
551,8.990435645
552,9.231333009
553,9.489750182
554,9.870806013
555,9.81532662
556,10.21536224
557,10.24164196
558,10.55261855
559,11.00667359
560,11.04755314
561,11.56876744
