Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"ECFP"
Comment,"CFP/pH 7.4"
Public,1
Excitation
300,21.21942672
301,19.58125939
302,17.77040587
303,16.00672271
304,14.48845121
305,13.29535188
306,12.08854564
307,11.01915582
308,10.14886109
309,9.546321425
310,8.946770001
311,8.425517745
312,7.97956004
313,7.526450277
314,7.231562043
315,7.064983982
316,6.799813437
317,6.676778633
318,6.434658952
319,6.246700017
320,6.101841863
321,5.949834599
322,5.944740719
323,5.723982606
324,5.776818153
325,5.840034675
326,5.697018856
327,5.741721732
328,5.651681408
329,5.688421639
330,5.636700859
331,5.62341263
332,5.592043945
333,5.662589259
334,5.720444797
335,5.739175074
336,5.844832499
337,5.709974319
338,5.723733294
339,5.786763182
340,5.889029658
341,5.976427115
342,5.962732529
343,5.910836602
344,6.13265209
345,6.11223147
346,6.097164831
347,6.167032961
348,6.41586565
349,6.491280386
350,6.536512733
351,6.666453983
352,6.772445716
353,6.977616843
354,7.068624898
355,7.221699075
356,7.368923739
357,7.462895136
358,7.626896852
359,7.830161638
360,7.995534786
361,8.196344337
362,8.464526467
363,8.513262212
364,8.876640237
365,9.151964068
366,9.467874278
367,9.83579325
368,10.22175871
369,10.72640965
370,10.98653979
371,11.48936811
372,11.99757962
373,12.49606263
374,13.1527695
375,13.71989985
376,14.30951538
377,14.95182787
378,15.70418289
379,16.47259751
380,17.23971195
381,17.77190389
382,18.67964978
383,19.54369029
384,20.5458335
385,21.54865813
386,22.44416641
387,23.5006016
388,24.79865056
389,25.68214461
390,27.39103511
391,28.78527935
392,30.65694634
393,32.30045643
394,33.96301816
395,35.76459766
396,37.53691366
397,39.42199788
398,41.39511582
399,43.33082287
400,45.38296146
401,46.99286175
402,49.1222074
403,51.09544864
404,53.03929723
405,55.00558563
406,56.77892174
407,58.82059047
408,60.22134455
409,62.05601921
410,63.5133006
411,65.27276171
412,66.52873858
413,68.31160512
414,70.03245713
415,71.456082
416,73.1159
417,74.71254783
418,76.98144406
419,78.92019429
420,80.94207619
421,83.04419831
422,85.11489714
423,87.3308536
424,89.1904906
425,90.89432427
426,92.96788914
427,94.43578506
428,95.87485322
429,97.30820583
430,98.26411414
431,98.88740655
432,99.63185105
433,100
434,99.98552265
435,99.59500838
436,99.15089347
437,99.36152829
438,98.89837736
439,98.11807167
440,97.27718127
441,96.83876242
442,96.52289512
443,96.03384455
444,95.84452761
445,95.45465797
446,95.37351022
447,95.80181688
448,96.21650534
449,96.35469094
450,96.90017253
451,97.47504653
452,97.88333944
453,98.21163626
454,97.73569415
455,96.99527222
456,96.13163645
457,94.74526295
458,93.30136633
459,90.67669036
460,87.43257189
461,84.02856235
462,80.34228737
463,75.50147143
464,70.30249033
465,64.92918794
466,59.91422682
467,54.59362586
468,49.65153627
469,44.50898783
470,39.69430504
471,34.6031418
472,30.43700893
473,26.78103692
474,22.85345408
475,19.70900928
476,16.95554157
477,14.27813666
478,12.10648689
479,10.34664547
480,8.879947834
481,7.632841376
482,6.683586956
483,5.781095795
484,5.05048316
485,4.319863417
486,3.674981723
487,3.205714082
488,2.857596283
489,2.521883976
490,2.35483372
Emission
440,1.272114548
441,1.269147067
442,1.38573504
443,1.574089511
444,1.805907782
445,2.072446458
446,2.406219018
447,2.894920496
448,3.654069005
449,4.466552587
450,5.453747503
451,6.651556517
452,8.056494957
453,9.718420954
454,11.71700203
455,13.96194426
456,16.80433084
457,19.98782495
458,24.03877192
459,28.63157676
460,33.42974864
461,38.51323705
462,44.01195626
463,49.87703724
464,55.82040529
465,62.00170373
466,68.32168236
467,74.00197316
468,79.51068329
469,84.29756464
470,88.50108243
471,92.2000393
472,95.14283623
473,97.46817953
474,99.1446089
475,100
476,99.92202261
477,99.50192961
478,98.73897587
479,98.00502069
480,97.01795439
481,95.41416915
482,94.01989704
483,92.86589711
484,91.52820495
485,90.23905311
486,89.17061706
487,88.20183298
488,87.67754854
489,87.05098235
490,86.687342
491,86.44371931
492,86.59148559
493,87.67090427
494,88.80118513
495,90.06426893
496,91.06196167
497,91.94676569
498,93.25093657
499,94.50199455
500,95.19038515
501,95.41185762
502,95.71364177
503,95.9524403
504,95.79439094
505,95.98154912
506,95.21632628
507,94.37684986
508,93.28113816
509,91.95708606
510,90.65009167
511,89.39896026
512,87.58952641
513,85.41607671
514,83.92266806
515,81.94646776
516,80.25712062
517,78.54514581
518,76.95851991
519,75.55859366
520,74.20972968
521,72.63312007
522,70.51794724
523,68.89701851
524,67.89268029
525,66.27292356
526,65.53787777
527,64.55731064
528,62.88676354
529,61.74686106
530,60.43396578
531,59.04267433
532,58.20194791
533,57.14087591
534,56.82812422
535,55.68001467
536,54.86032404
537,53.75305365
538,52.93540496
539,52.16486463
540,51.08393427
541,50.00821745
542,49.10847781
543,48.20547524
544,47.27905022
545,46.10990443
546,44.25969291
547,43.03601784
548,41.66442364
549,40.41548132
550,39.21976013
551,38.00325859
