Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"Kaede-Green"
Comment,"CoralHue  Series"
Public,1
Excitation
300,7.7399232
300.5,7.8454894
301,7.768714
301.5,7.5047985
302,7.3128599
302.5,7.096929
303,6.7610365
303.5,6.4059501
304,6.1276392
304.5,5.8541267
305,5.6669866
305.5,5.4702495
306,5.2543186
306.5,5.0527831
307,4.7984645
307.5,4.5825336
308,4.3550864
308.5,4.1866603
309,4.0954894
309.5,3.9721689
310,3.8430902
310.5,3.696737
311,3.5609405
311.5,3.4534549
312,3.3378119
312.5,3.2341651
313,3.1765835
313.5,3.0863724
314,2.9534549
314.5,2.8618042
315,2.7773512
315.5,2.7236084
316,2.7087332
316.5,2.6952975
317,2.6444338
317.5,2.5484645
318,2.4664107
318.5,2.396833
319,2.3464491
319.5,2.3272553
320,2.3027831
320.5,2.2226488
321,2.146833
321.5,2.0801344
322,2.0331094
322.5,1.9880038
323,1.9496161
323.5,1.8982726
324,1.8459693
324.5,1.7869482
325,1.7643954
325.5,1.7408829
326,1.7044146
326.5,1.6621881
327,1.621881
327.5,1.5604607
328,1.5182342
328.5,1.4678503
329,1.4160269
329.5,1.4016315
330,1.3829175
330.5,1.3680422
331,1.3747601
331.5,1.3598848
332,1.3464491
332.5,1.328215
333,1.2778311
333.5,1.2533589
334,1.2600768
334.5,1.2428023
335,1.225048
335.5,1.2048944
336,1.1952975
336.5,1.2053743
337,1.196737
337.5,1.1761036
338,1.1453935
338.5,1.1617083
339,1.2034549
339.5,1.2523992
340,1.262476
340.5,1.2816699
341,1.2979846
341.5,1.2739923
342,1.28119
342.5,1.2888676
343,1.2864683
343.5,1.2720729
344,1.2528791
344.5,1.2835893
345,1.3075816
345.5,1.3013436
346,1.3296545
346.5,1.3445298
347,1.3502879
347.5,1.359405
348,1.378119
348.5,1.3785988
349,1.3685221
349.5,1.378119
350,1.3646833
350.5,1.3709213
351,1.3795585
351.5,1.3997121
352,1.4073896
352.5,1.4241843
353,1.4659309
353.5,1.5086372
354,1.5417466
354.5,1.5441459
355,1.5590211
355.5,1.5700576
356,1.5724568
356.5,1.6036468
357,1.6261996
357.5,1.6501919
358,1.6746641
358.5,1.6909789
359,1.7264875
359.5,1.7538388
360,1.7735125
360.5,1.7816699
361,1.8056622
361.5,1.8478887
362,1.865643
362.5,1.8723608
363,1.8977927
363.5,1.9261036
364,1.9572937
364.5,2.0215931
365,2.0863724
365.5,2.1199616
366,2.1266795
366.5,2.1247601
367,2.1497121
367.5,2.1602687
368,2.1765835
368.5,2.2068138
369,2.2164107
369.5,2.2380038
370,2.2595969
370.5,2.3042226
371,2.3267754
371.5,2.3690019
372,2.4237044
372.5,2.446737
373,2.4448177
373.5,2.4357006
374,2.4433781
374.5,2.4361804
375,2.4692898
375.5,2.506238
376,2.5446257
376.5,2.543666
377,2.4966411
377.5,2.4817658
378,2.4520154
378.5,2.4553743
379,2.5153551
379.5,2.547025
380,2.5556622
380.5,2.5388676
381,2.5359885
381.5,2.5398273
382,2.5407869
382.5,2.5503839
383,2.5446257
383.5,2.5148752
384,2.5215931
384.5,2.5523033
385,2.5638196
385.5,2.5508637
386,2.5211132
386.5,2.4942418
387,2.5153551
387.5,2.5302303
388,2.5427063
388.5,2.5446257
389,2.5283109
389.5,2.5081574
390,2.5172745
390.5,2.5196737
391,2.4716891
391.5,2.4702495
392,2.462572
392.5,2.4736084
393,2.452975
393.5,2.4131478
394,2.4150672
394.5,2.4304223
395,2.4304223
395.5,2.4150672
396,2.3761996
396.5,2.3502879
397,2.3603647
397.5,2.3522073
398,2.3315739
398.5,2.315739
399,2.3190979
399.5,2.3056622
400,2.2783109
400.5,2.2831094
401,2.2735125
401.5,2.2543186
402,2.2048944
402.5,2.1756238
403,2.1636276
403.5,2.1535509
404,2.1329175
404.5,2.1319578
405,2.146833
405.5,2.1621881
406,2.1698656
406.5,2.1573896
407,2.1199616
407.5,2.078215
408,2.0566219
408.5,2.0547025
409,2.049904
409.5,2.0786948
410,2.0585413
410.5,2.0451056
411,2.0518234
411.5,2.0700576
412,2.0767754
412.5,2.0398273
413,2.0081574
413.5,1.9947217
414,1.9827255
414.5,1.9745681
415,1.9774472
415.5,1.9616123
416,1.943858
416.5,1.9731286
417,2.0153551
417.5,2.0177543
418,2.0052783
418.5,2.0119962
419,2.0345489
419.5,2.0355086
420,2.0115163
420.5,2.0019194
421,1.9908829
421.5,1.9976008
422,2.0283109
422.5,2.0633397
423,2.090691
423.5,2.1290787
424,2.134357
424.5,2.1444338
425,2.1722649
425.5,2.1972169
426,2.2111324
426.5,2.2495202
427,2.3075816
427.5,2.3680422
428,2.4395393
428.5,2.4640115
429,2.4947217
429.5,2.5585413
430,2.6415547
430.5,2.7178503
431,2.7965451
431.5,2.884357
432,2.9380998
432.5,2.9851248
433,3.0729367
433.5,3.1540307
434,3.2552783
434.5,3.353167
435,3.4616123
435.5,3.5772553
436,3.7356046
436.5,3.8833973
437,4.0263916
437.5,4.1549904
438,4.2691939
438.5,4.3560461
439,4.4769674
439.5,4.6041267
440,4.7240883
440.5,4.865643
441,5.0239923
441.5,5.2591171
442,5.4942418
442.5,5.6861804
443,5.9165067
443.5,6.1948177
444,6.415547
444.5,6.621881
445,6.8330134
445.5,7.0777351
446,7.2600768
446.5,7.4520154
447,7.6631478
447.5,7.8934741
448,8.1573896
448.5,8.3541267
449,8.6420345
449.5,8.8195777
450,9.059501
450.5,9.2274472
451,9.4097889
451.5,9.6353167
452,9.8608445
452.5,9.9904031
453,10.1871401
453.5,10.4078695
454,10.6429942
454.5,10.7869482
455,11.1084453
455.5,11.3771593
456,11.7274472
456.5,12.1785029
457,12.4856046
457.5,12.7831094
458,13.0662188
458.5,13.3589251
459,13.6660269
459.5,14.1074856
460,14.5393474
460.5,14.8416507
461,15.3262956
461.5,15.7773512
462,16.1180422
462.5,16.5690979
463,17.0729367
463.5,17.56238
464,18.0038388
464.5,18.5172745
465,19.0019194
465.5,19.5393474
466,20.0143954
466.5,20.5134357
467,21.084453
467.5,21.5403071
468,22.0297505
468.5,22.4616123
469,23.0134357
469.5,23.6084453
470,24.1362764
470.5,24.6785029
471,25.2303263
471.5,25.8397313
472,26.5259117
472.5,27.0633397
473,27.7975048
473.5,28.3973129
474,29.0834933
474.5,29.6113244
475,30.1535509
475.5,30.7485605
476,31.28119
476.5,31.8234165
477,32.4856046
477.5,33.047025
478,33.5892514
478.5,34.0115163
479,34.524952
479.5,34.8608445
480,35.1631478
480.5,35.4318618
481,35.681382
481.5,35.8493282
482,35.8637236
482.5,36.1228407
483,36.1756238
483.5,36.0940499
484,36.2236084
484.5,36.3147793
485,36.425144
485.5,36.5642994
486,36.7802303
486.5,37.1401152
487,37.5767754
487.5,38.0038388
488,38.6180422
488.5,39.193858
489,39.9856046
489.5,40.806142
490,41.6314779
490.5,42.4856046
491,43.3925144
491.5,44.1746641
492,45.0527831
492.5,46.0076775
493,47.0297505
493.5,47.9846449
494,48.8963532
494.5,49.7600768
495,50.7197697
495.5,51.8714012
496,53.2629559
496.5,54.5585413
497,56.0940499
497.5,57.8214971
498,59.6928983
498.5,61.5163148
499,63.5316699
499.5,65.547025
500,67.706334
500.5,70.1055662
501,72.6007678
501.5,74.8080614
502,77.303263
502.5,79.6065259
503,82.2456814
503.5,84.452975
504,86.8042226
504.5,88.8675624
505,91.074856
505.5,93.0422265
506,94.4337812
506.5,95.8733205
507,97.4568138
507.5,98.5604607
508,99.4721689
508.5,99.9520154
509,100
509.5,100
510,99.2322457
510.5,98.512476
511,97.2168906
511.5,95.6333973
512,93.6660269
512.5,91.0268714
513,88.0518234
513.5,84.9808061
514,81.8618042
514.5,78.2629559
515,74.184261
515.5,70.1535509
516,66.1708253
516.5,62.1401152
517,57.7735125
