Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Qdot 525"
Comment,"Qdot 525 streptavidin/pH 7.2"
Public,1
Excitation
300,100
301,97.57382929
302,95.19955527
303,92.97398527
304,90.63863378
305,88.43302404
306,86.17651561
307,83.81222174
308,81.32716823
309,78.82215445
310,76.0666393
311,73.40294138
312,70.78814613
313,68.20329128
314,65.59747814
315,63.12340278
316,60.51858766
317,58.1033951
318,55.84788469
319,53.66223522
320,51.51650628
321,49.54043964
322,47.74401542
323,46.01745214
324,44.61025317
325,43.01343164
326,41.62619293
327,38.97147714
328,38.61219229
329,38.13314583
330,37.2848344
331,36.52634417
332,35.92753609
333,35.179026
334,34.67003914
335,34.06125093
336,33.60216474
337,32.9833964
338,32.50434994
339,32.07520415
340,31.52629675
341,30.97738935
342,30.60812437
343,30.19893885
344,29.79973347
345,29.44044863
346,28.96140217
347,28.53225638
348,28.05320992
349,27.85360723
350,27.31467997
351,26.74630904
352,26.38860476
353,26.03415193
354,25.69500799
355,25.36037995
356,25.05194412
357,24.74531464
358,24.44997491
359,24.16502175
360,23.88774561
361,23.62943625
362,23.37699755
363,23.12501044
364,22.88611944
365,22.65896977
366,22.42911056
367,22.21370223
368,21.99829389
369,21.78694987
370,21.56928358
371,21.36290705
372,21.13124148
373,20.92034904
374,20.68913507
375,20.44934088
376,20.20367603
377,19.94085077
378,19.68073504
379,19.39849142
380,19.12753754
381,18.80916673
382,18.52556834
383,18.20087527
384,18.04507679
385,17.76463953
386,17.47607364
387,17.18028232
388,16.90526414
389,16.61534349
390,16.35613094
391,16.08653183
392,15.83273836
393,15.58075126
394,15.35405318
395,15.13141941
396,14.92323651
397,14.73176243
398,14.55293287
399,14.37816762
400,14.21378893
401,14.0602484
402,13.91619126
403,13.78206909
404,13.63936671
405,13.51743746
406,13.38421847
407,13.26951466
408,13.130425
409,13.00985053
410,12.86850292
411,12.73528393
412,12.59122678
413,12.44762123
414,12.2850489
415,12.11886385
416,11.95087245
417,11.77294607
418,11.58598789
419,11.38819156
420,11.19175
421,10.97995438
422,10.76861035
423,10.57126561
424,10.35450251
425,10.13186874
426,9.915557223
427,9.703761608
428,9.498288249
429,9.296879198
430,9.104953534
431,8.922962845
432,8.760842107
433,8.609559524
434,8.469566686
435,8.34808903
436,8.23564317
437,8.154357006
438,8.084360587
439,8.030169811
440,7.991333089
441,7.961979752
442,7.94301298
443,7.933981184
444,7.928110517
445,7.915014412
446,7.906885796
447,7.889273794
448,7.861726816
449,7.817019426
450,7.759215932
451,7.680639307
452,7.579934781
453,7.467940511
454,7.321173826
455,7.166730115
456,6.982933067
457,6.784233555
458,6.572437939
459,6.343030321
460,6.100075009
461,5.858926056
462,5.613712795
463,5.362177277
464,5.114254477
465,4.868138037
466,4.63647247
467,4.409729231
