Type,Dichroic
Maker,"Chroma"
ProductName,"420DCLP"
Comment,""
Public,1
wavedataset
300,62.5052
301,58.2117
302,53.4713
303,48.3634
304,43.285
305,38.6946
306,34.9172
307,32.1273
308,30.4385
309,30.0307
310,31.334
311,35.3001
312,43.842
313,55.8096
314,52.8207
315,37.6901
316,30.1475
317,28.81
318,30.8157
319,34.9103
320,39.9172
321,43.3639
322,42.5899
323,36.7216
324,28.4245
325,20.7763
326,14.9662
327,10.8838
328,8.07435
329,6.13019
330,4.76262
331,3.80564
332,3.0961
333,2.56061
334,2.14977
335,1.82977
336,1.5771
337,1.37512
338,1.21188
339,1.07864
340,0.96894
341,0.877919
342,0.802263
343,0.739036
344,0.685972
345,0.641305
346,0.603653
347,0.571918
348,0.545229
349,0.52289
350,0.504342
351,0.488724
352,0.475913
353,0.465635
354,0.457673
355,0.451851
356,0.448035
357,0.446125
358,0.446048
359,0.447759
360,0.45124
361,0.454976
362,0.460351
363,0.46739
364,0.476138
365,0.486658
366,0.499035
367,0.513373
368,0.529797
369,0.548459
370,0.569537
371,0.593221
372,0.619763
373,0.649439
374,0.682564
375,0.719502
376,0.760695
377,0.806576
378,0.857688
379,0.914659
380,0.978209
381,1.04312
382,1.11523
383,1.19541
384,1.28468
385,1.38416
386,1.4952
387,1.61929
388,1.75819
389,1.91387
390,2.08866
391,2.26906
392,2.47062
393,2.69614
394,2.94877
395,3.23215
396,3.55039
397,3.90817
398,4.31081
399,4.76429
400,5.27537
401,5.90034
402,6.61122
403,7.41949
404,8.33763
405,9.37892
406,10.557
407,11.8855
408,13.3768
409,15.0414
410,16.8861
411,18.9128
412,21.1162
413,23.4828
414,25.9893
415,28.6033
416,31.284
417,33.9855
418,36.6612
419,39.2693
420,41.7779
421,44.1704
422,46.4479
423,48.6303
424,50.7551
425,52.8735
426,54.9738
427,57.1782
428,59.5363
429,62.0822
430,64.8255
431,67.7427
432,70.7726
433,73.8191
434,76.7626
435,79.4798
436,81.8658
437,83.8524
438,85.4158
439,86.5741
440,87.3762
441,87.8882
442,88.1806
443,88.3197
444,88.3622
445,88.3537
446,88.3283
447,88.3104
448,88.3162
449,88.355
450,88.4315
451,88.5442
452,88.691
453,88.8684
454,89.0716
455,89.2949
456,89.5327
457,89.779
458,90.028
459,90.2742
460,90.5129
461,90.7394
462,90.9502
463,91.1422
464,91.3132
465,91.4614
466,91.5862
467,91.6872
468,91.7649
469,91.8201
470,91.8541
471,91.8686
472,91.8656
473,91.8471
474,91.8154
475,91.7726
476,91.7155
477,91.6517
478,91.5833
479,91.5121
480,91.4397
481,91.3677
482,91.2971
483,91.2292
484,91.1646
485,91.1041
486,91.0481
487,90.9968
488,90.9504
489,90.9089
490,90.872
491,90.8396
492,90.8113
493,90.7867
494,90.7652
495,90.7464
496,90.7298
497,90.7147
498,90.7006
499,90.6871
500,90.6735
501,90.6603
502,90.6461
503,90.6308
504,90.6139
505,90.5952
506,90.5746
507,90.5519
508,90.527
509,90.4999
510,90.4706
511,90.4392
512,90.4059
513,90.3709
514,90.3342
515,90.2962
516,90.2572
517,90.2174
518,90.1772
519,90.1369
520,90.0967
521,90.0572
522,90.0185
523,89.981
524,89.9451
525,89.911
526,89.8795
527,89.8503
528,89.8237
529,89.7999
530,89.7791
531,89.7613
532,89.7469
533,89.7358
534,89.7281
535,89.7239
536,89.7232
537,89.726
538,89.7323
539,89.7419
540,89.7548
541,89.7709
542,89.7901
543,89.8121
544,89.8369
545,89.8641
546,89.8937
547,89.9254
548,89.9589
549,89.994
550,90.0304
551,90.0671
552,90.1045
553,90.1425
554,90.1808
555,90.2191
556,90.2573
557,90.2949
558,90.3319
559,90.368
560,90.4029
561,90.4364
562,90.4684
563,90.4987
564,90.527
565,90.5533
566,90.5774
567,90.5991
568,90.6184
569,90.6351
570,90.6492
571,90.6606
572,90.6693
573,90.6753
574,90.6785
575,90.679
576,90.6768
577,90.6719
578,90.6644
579,90.6544
580,90.6419
581,90.627
582,90.6099
583,90.5907
584,90.5694
585,90.5463
586,90.5215
587,90.4951
588,90.4672
589,90.4381
590,90.4079
591,90.3767
592,90.3448
593,90.3122
594,90.2791
595,90.2458
596,90.2123
597,90.1788
598,90.1454
599,90.1124
600,90.0798
601,90.048
602,90.0168
603,89.9864
604,89.9569
605,89.9285
606,89.9011
607,89.8749
608,89.85
609,89.8264
610,89.8043
611,89.7836
612,89.7644
613,89.7468
614,89.7308
615,89.7164
616,89.7036
617,89.6925
618,89.683
619,89.6752
620,89.669
621,89.6645
622,89.6615
623,89.6602
624,89.6604
625,89.662
626,89.6652
627,89.6697
628,89.6757
629,89.6829
630,89.6913
631,89.701
632,89.7117
633,89.7235
634,89.7362
635,89.7498
636,89.7643
637,89.7795
638,89.7953
639,89.8117
640,89.8286
641,89.8459
642,89.8635
643,89.8813
644,89.8994
645,89.9175
646,89.9356
647,89.9537
648,89.9716
