Type,Dichroic
Maker,"Chroma"
ProductName,"515dcxr"
Comment,""
Public,1
wavedataset
380,0.0954394
381,0.0824459
382,0.0720554
383,0.00696108
384,0.00095
385,0.00095
386,0.0393662
387,0.0193067
388,0.00361327
389,0.0590444
390,0.0944749
391,0.132535
392,0.188677
393,0.303203
394,0.352534
395,0.367237
396,0.36961
397,0.352802
398,0.332695
399,0.308391
400,0.295308
401,0.249423
402,0.216652
403,0.210841
404,0.200847
405,0.196857
406,0.211628
407,0.269537
408,0.342532
409,0.383464
410,0.36096
411,0.313885
412,0.258662
413,0.211716
414,0.191391
415,0.195209
416,0.190842
417,0.213423
418,0.233201
419,0.30153
420,0.382701
421,0.434192
422,0.45926
423,0.41342
424,0.344
425,0.285401
426,0.244222
427,0.22714
428,0.220519
429,0.230061
430,0.256401
431,0.318053
432,0.419737
433,0.555018
434,0.685116
435,0.743351
436,0.705567
437,0.585469
438,0.464171
439,0.382683
440,0.325765
441,0.305772
442,0.306932
443,0.330555
444,0.395171
445,0.52209
446,0.690272
447,0.939346
448,1.31491
449,1.66283
450,1.69031
451,1.37956
452,1.00945
453,0.748551
454,0.594269
455,0.523765
456,0.508223
457,0.556377
458,0.63903
459,0.731444
460,0.939446
461,1.49177
462,2.63533
463,3.84026
464,3.67984
465,2.29597
466,1.21245
467,0.702348
468,0.421911
469,0.289558
470,0.219051
471,0.174242
472,0.145861
473,0.12925
474,0.120729
475,0.116154
476,0.114858
477,0.114693
478,0.120354
479,0.132347
480,0.14435
481,0.161799
482,0.193246
483,0.231134
484,0.27625
485,0.329186
486,0.40462
487,0.502425
488,0.613671
489,0.726244
490,0.839475
491,0.934911
492,0.999931
493,1.03159
494,1.04629
495,1.05793
496,1.06777
497,1.09516
498,1.14221
499,1.22066
500,1.3299
501,1.48366
502,1.70067
503,2.01627
504,2.44021
505,2.95576
506,3.77254
507,4.97988
508,6.77491
509,9.20377
510,12.6825
511,17.384
512,23.7051
513,31.2886
514,39.3728
515,45.9094
516,50.6619
517,54.024
518,56.4405
519,59.5602
520,64.6596
521,72.2406
522,80.6119
523,87.3244
524,90.6556
525,91.1508
526,90.4421
527,89.6592
528,89.412
529,89.7442
530,90.6501
531,91.9032
532,93.2102
533,94.4841
534,95.5028
535,96.1573
536,96.4467
537,96.3749
538,95.9839
539,95.5703
540,95.1902
541,94.8755
542,94.819
543,94.9276
544,95.1236
545,95.5704
546,96.0252
547,96.5228
548,97.0207
549,97.517
550,97.7952
551,97.9838
552,98.1773
553,98.2521
554,98.2732
555,98.3483
556,98.3874
557,98.4407
558,98.4995
559,98.5916
560,98.6725
561,98.7132
562,98.7729
563,98.8123
564,98.847
565,98.8488
566,98.8902
567,98.921
568,98.8389
569,98.7412
570,98.6504
571,98.5383
572,98.4176
573,98.3499
574,98.3068
575,98.2292
576,98.0581
577,97.9016
578,97.7859
579,97.6449
580,97.5767
581,97.3975
582,97.2517
583,97.1539
584,97.0116
585,96.814
586,96.6503
587,96.5021
588,96.4514
589,96.4206
590,96.4225
591,96.4591
592,96.5366
593,96.5923
594,96.6473
595,96.7468
596,96.8503
597,97.0208
598,97.1326
599,97.2708
600,97.3155
601,97.3199
602,97.3238
603,97.3444
604,97.3039
605,97.2691
606,97.2192
607,97.1142
608,96.9972
609,96.9329
610,96.8716
611,96.8545
612,96.8244
613,96.8327
614,96.9358
615,96.9731
616,96.9972
617,97.0844
618,97.1818
619,97.2858
620,97.4534
621,97.5574
622,97.7139
623,97.9134
624,98.023
625,98.1279
626,98.1071
627,98.1263
628,98.1896
629,98.2444
630,98.2726
631,98.2856
632,98.3066
633,98.3358
634,98.3505
635,98.3431
636,98.3661
637,98.4015
638,98.3681
639,98.3746
640,98.3885
641,98.3926
642,98.4883
643,98.5343
644,98.5209
645,98.5593
646,98.5613
647,98.6357
648,98.6535
649,98.6184
650,98.6201
651,98.4884
652,98.3805
653,98.2484
654,98.0836
655,97.8881
656,97.6083
657,97.3736
658,97.0452
659,96.5482
660,96.1508
661,95.7174
662,95.1602
663,94.6798
664,94.2342
665,93.6453
666,93.0333
667,92.4632
668,91.932
669,91.4846
670,91.0397
671,90.5298
672,90.1314
673,89.8556
674,89.579
675,89.3591
676,89.1777
677,89.1216
678,89.1069
679,89.1759
680,89.3409
681,89.4993
682,89.8195
683,90.1503
684,90.4519
685,90.9548
686,91.5145
687,92.1121
688,92.7027
689,93.2062
690,93.7768
691,94.4438
692,95.1556
693,95.8449
694,96.442
695,96.9388
696,97.4788
697,98.0222
698,98.4108
699,98.6665
700,98.8374
701,98.9118
702,98.8706
703,98.8885
704,98.7226
705,98.5344
706,98.252
707,98.0461
708,97.7644
709,97.3795
710,97.0751
711,96.8363
712,96.5397
713,96.2851
714,95.9492
715,95.6268
716,95.5052
717,95.362
718,95.2932
719,95.1222
720,95.0226
721,95.041
722,95.1594
723,95.3003
724,95.3699
725,95.4775
726,95.6077
727,95.6462
728,95.8413
729,95.95
730,96.1083
731,96.1989
732,96.2915
733,96.3552
734,96.3525
735,96.2359
736,96.212
737,96.0714
738,95.9623
739,95.6978
740,95.4821
741,95.0218
742,94.7613
743,94.6205
744,94.203
745,93.6647
746,93.3758
747,92.9893
748,92.7078
749,92.2975
750,91.4347
