Type,Dichroic
Maker,"Chroma"
ProductName,"72100bs"
Comment,""
Public,1
wavedataset
300,0.003107
301,0.0003201
302,0.0003095
303,1E-06
304,1E-06
305,0.0006459
306,0.0006344
307,1E-06
308,0.002477
309,1E-06
310,1E-06
311,0.0009711
312,0.001386
313,0.004243
314,0.002101
315,1E-06
316,1E-06
317,0.003634
318,1E-06
319,1E-06
320,1E-06
321,1E-06
322,0.001389
323,0.0009328
324,0.001868
325,0.0005463
326,0.001868
327,1E-06
328,1E-06
329,1E-06
330,0.001386
331,0.002844
332,0.003292
333,1E-06
334,0.001418
335,1E-06
336,1E-06
337,0.0001609
338,1E-06
339,1E-06
340,0.004369
341,1E-06
342,0.0003997
343,1E-06
344,0.001408
345,1E-06
346,0.001412
347,1E-06
348,0.002943
349,0.002899
350,0.007012
351,0.007816
352,0.009055
353,0.005607
354,0.01398
355,0.01693
356,0.02514
357,0.03231
358,0.03946
359,0.04511
360,0.05252
361,0.05373
362,0.05475
363,0.05501
364,0.05574
365,0.05221
366,0.0453
367,0.04342
368,0.0429
369,0.03593
370,0.03851
371,0.03814
372,0.03507
373,0.03294
374,0.03272
375,0.0345
376,0.03545
377,0.03276
378,0.03609
379,0.03627
380,0.04179
381,0.04493
382,0.0464
383,0.0469
384,0.05158
385,0.05134
386,0.057
387,0.0622
388,0.06781
389,0.07551
390,0.08342
391,0.08774
392,0.08896
393,0.09522
394,0.1053
395,0.1092
396,0.1238
397,0.1254
398,0.1376
399,0.1479
400,0.1534
401,0.1575
402,0.165
403,0.1732
404,0.189
405,0.1995
406,0.2049
407,0.2108
408,0.216
409,0.2147
410,0.2061
411,0.2033
412,0.2055
413,0.211
414,0.2326
415,0.2603
416,0.2934
417,0.3282
418,0.3452
419,0.3431
420,0.3144
421,0.2919
422,0.2649
423,0.2429
424,0.2292
425,0.2364
426,0.2661
427,0.3102
428,0.3904
429,0.4999
430,0.5916
431,0.6295
432,0.6254
433,0.5636
434,0.4686
435,0.3831
436,0.3123
437,0.294
438,0.2998
439,0.3166
440,0.3774
441,0.4967
442,0.7224
443,1.026
444,1.279
445,1.354
446,1.279
447,1.084
448,0.8502
449,0.6308
450,0.4697
451,0.3902
452,0.3704
453,0.4212
454,0.6071
455,1.144
456,1.924
457,2.311
458,2.219
459,1.893
460,1.405
461,0.8833
462,0.4195
463,0.1784
464,0.09289
465,0.06605
466,0.04511
467,0.03924
468,0.02987
469,0.02823
470,0.02809
471,0.01941
472,0.02339
473,0.02329
474,0.02319
475,0.02577
476,0.02457
477,0.02816
478,0.03172
479,0.03892
480,0.04296
481,0.05054
482,0.0633
483,0.07382
484,0.09037
485,0.1063
486,0.1372
487,0.1559
488,0.1848
489,0.2066
490,0.2457
491,0.2718
492,0.3025
493,0.3235
494,0.356
495,0.3947
496,0.4278
497,0.4638
498,0.5148
499,0.5983
500,0.6906
501,0.8166
502,0.9833
503,1.235
504,1.584
505,2.08
506,2.813
507,3.913
508,5.603
509,8.006
510,11.49
511,16.09
512,21.67
