Type,Dichroic
Maker,"Chroma"
ProductName,"BS595"
Comment,""
Public,1
wavedataset
380,23.5323995352
381,29.3137997389
382,33.616399765
383,34.3463987112
384,32.9827010632
385,31.3593000174
386,31.7436993122
387,34.4794005156
388,39.5307987928
389,45.9594994783
390,51.1407971382
391,52.6539027691
392,51.7148017883
393,49.8423993587
394,49.2987990379
395,51.0073006153
396,53.8884997368
397,58.5557997227
398,62.9926979542
399,66.0030007362
400,66.5759027004
401,65.0699973106
402,63.0513012409
403,61.280798912
404,60.1435005665
405,59.3771994114
406,59.0433001518
407,58.8762998581
408,59.290099144
409,60.2081000805
410,62.2748970985
411,64.8370027542
412,68.0589020252
413,70.0968027115
414,70.4425990582
415,68.5487985611
416,65.1491999626
417,61.4039003849
418,58.4879994392
419,57.0388972759
420,56.9432020187
421,58.3594024181
422,61.5222990513
423,65.5732989311
424,69.8069989681
425,71.9609975815
426,71.6736972332
427,69.2256987095
428,65.6937003136
429,62.804299593
430,60.0462973118
431,58.2369983196
432,57.9115986824
433,58.818602562
434,60.8501970768
435,63.4060025215
436,65.8478021622
437,67.9605007172
438,68.6815977097
439,68.3724999428
440,67.0395970345
441,65.2953028679
442,63.7435019016
443,62.6716017723
444,61.8462026119
445,61.58670187
446,61.6753995419
447,62.1591985226
448,62.5060975552
449,62.8322005272
450,62.9137992859
451,63.0073010921
452,63.0766987801
453,63.2210016251
454,63.6934995651
455,64.5416975021
456,65.3259992599
457,65.8927977085
458,66.0225987434
459,65.5602991581
460,64.3335998058
461,62.6101016998
462,60.47539711
463,58.2872986794
464,56.6998004913
465,55.6674003601
466,55.4238021374
467,56.2327980995
468,58.1789970398
469,61.2217009068
470,64.7033989429
471,67.5822973251
472,68.8793003559
473,68.6040997505
474,66.6212975979
475,63.6575996876
476,60.0290000439
477,56.0725986958
478,52.1893978119
479,49.115100503
480,46.7857003212
481,45.6768989563
482,46.3707000017
483,49.1198003292
484,53.1324028969
485,60.0848019123
486,65.6350970268
487,67.1783983707
488,65.1430010796
489,62.991797924
490,60.8126997948
491,58.6359977722
492,55.4225981236
493,50.9106993675
494,45.8294987679
495,41.1673992872
496,37.6082003117
497,35.7362985611
498,35.9402000904
499,39.1102999449
500,46.3072985411
501,54.6045005322
502,56.3369989395
503,50.4472970963
504,45.0172990561
505,42.4291014671
506,44.1725999117
507,47.8082001209
508,50.0252008438
509,49.5243012905
510,45.0877010822
511,38.5369986296
512,32.3967993259
513,28.9813011885
514,31.0016006231
515,38.1608992815
516,35.6741994619
517,25.10420084
518,16.8661996722
519,14.0593007207
520,14.0908002853
521,15.7872006297
522,18.9266994596
523,24.9825000763
524,34.134298563
525,41.8327987194
526,38.482901454
527,26.8269002438
528,17.2530993819
529,9.96624976397
530,5.8688800782
531,3.68684008718
532,2.46363002807
533,1.7241999507
534,1.25682996586
535,0.944633036852
536,0.736662000418
537,0.586435990408
538,0.481544993818
539,0.391686009243
540,0.33322700765
541,0.292618991807
542,0.265142996795
543,0.242802989669
544,0.218144990504
545,0.195770990103
546,0.193045998458
547,0.166336004622
548,0.15719300136
549,0.151160999667
550,0.143641000614
551,0.141354999505
552,0.135935994331
553,0.136333995033
554,0.134626997169
555,0.134931004141
556,0.139150000177
557,0.140029995237
558,0.146736996248
559,0.151035003364
560,0.159094994888
561,0.169659999665
562,0.178974005394
563,0.19262599526
564,0.209069997072
565,0.22605699487
566,0.250871991739
567,0.274591008201
568,0.311178993434
569,0.347764999606
570,0.395254977047
571,0.449411990121
572,0.512468023226
573,0.60061798431
574,0.717402016744
575,0.841046962887
576,1.00266002119
577,1.19880000129
578,1.45594999194
579,1.78228002042
580,2.19024997205
581,2.69018001854
582,3.3723000437
583,4.47656996548
584,5.83674013615
585,7.42039009929
586,9.7763299942
587,12.809599936
588,16.7309999466
589,21.7016994953
590,27.9125988483
591,34.0654999018
592,40.0294005871
593,45.0998008251
594,49.2792993784
595,52.2376000881
596,55.6486010551
597,58.3607971668
598,62.2175991535
599,68.1294977665
600,73.6132979393
601,79.1577994823
602,84.0094983578
603,87.5338971615
604,89.6148979664
605,90.8598005772
606,91.3130998611
607,91.7801976204
608,92.1320021152
609,92.3202991486
610,92.6308989525
611,92.861199379
612,93.0981993675
613,93.1870996952
614,93.282097578
615,93.154001236
616,92.931997776
617,92.7848994732
618,92.6087021828
619,92.3460006714
620,92.265099287
621,92.0933008194
622,92.097902298
623,92.1338021755
624,92.2888994217
625,92.3485994339
626,92.6416993141
627,92.8677022457
628,93.1599020958
629,93.5599982738
630,93.6963021755
631,94.0744996071
632,94.2107975483
633,94.3445026875
634,94.4948971272
635,94.5987999439
636,94.591999054
637,94.4886028767
638,94.4157004356
639,94.3409979343
640,94.1334009171
641,93.9453005791
642,93.8243985176
643,93.5374975204
644,93.483299017
645,93.211299181
646,93.1142985821
647,92.9301977158
648,92.772102356
649,92.705398798
650,92.6503002644
651,92.6401019096
652,92.6280975342
653,92.5988018513
654,92.5472974777
655,92.6590025425
656,92.7672982216
657,92.9744005203
658,93.0607974529
659,93.2762980461
660,93.5055017471
661,93.5310006142
662,93.6610996723
663,93.7303006649
664,93.9360976219
665,93.9563989639
666,94.1865026951
667,94.3616986275
668,94.3221986294
669,94.4429993629
670,94.5168018341
671,94.5662975311
672,94.4746017456
673,94.3774998188
674,94.3477988243
