Type,Dichroic
Maker,"Semrock"
ProductName,"Di01-R635-25x36"
Comment,""
Public,1
wavedataset
270,2.588
270.2,2.811
270.4,3.054
270.6,3.317
270.8,3.603
271,3.914
271.2,4.252
271.4,4.619
271.6,5.018
271.8,5.451
272,5.922
272.2,6.433
272.4,6.988
272.6,7.591
272.8,8.197
273,7.674
273.2,7.185
273.4,6.726
273.6,6.297
273.8,5.895
274,5.519
274.2,5.167
274.4,4.837
274.6,4.529
274.8,4.24
275,3.969
275.2,3.555
275.4,3.184
275.6,2.852
275.8,2.554
276,2.288
276.2,2.049
276.4,1.835
276.6,1.644
276.8,1.472
277,1.319
277.2,1.181
277.4,1.058
277.6,0.947
277.8,0.849
278,0.76
278.2,0.681
278.4,0.61
278.6,0.546
278.8,0.489
279,0.438
279.2,0.431
279.4,0.436
279.6,0.44
279.8,0.444
280,0.449
280.2,0.453
280.4,0.457
280.6,0.462
280.8,0.467
281,0.471
281.2,0.476
281.4,0.48
281.6,0.485
281.8,0.49
282,0.495
282.2,0.5
282.4,0.505
282.6,0.51
282.8,0.515
283,0.52
283.2,0.525
283.4,0.53
283.6,0.535
283.8,0.54
284,0.546
284.2,0.551
284.4,0.556
284.6,0.562
284.8,0.567
285,0.573
285.2,0.578
285.4,0.584
285.6,0.59
285.8,0.596
286,0.602
286.2,0.607
286.4,0.613
286.6,0.619
286.8,0.625
287,0.632
287.2,0.638
287.4,0.651
287.6,0.665
287.8,0.679
288,0.693
288.2,0.707
288.4,0.722
288.6,0.737
288.8,0.753
289,0.768
289.2,0.784
289.4,0.801
289.6,0.817
289.8,0.834
290,0.852
290.2,0.869
290.4,0.887
290.6,0.906
290.8,0.925
291,0.944
291.2,0.964
291.4,0.99
291.6,1.021
291.8,1.052
292,1.085
292.2,1.118
292.4,1.153
292.6,1.188
292.8,1.225
293,1.262
293.2,1.301
293.4,1.341
293.6,1.383
293.8,1.425
294,1.469
294.2,1.514
294.4,1.561
294.6,1.609
294.8,1.659
295,1.71
295.2,1.918
295.4,2.012
295.6,2.096
295.8,2.172
296,2.296
296.2,2.364
296.4,2.413
296.6,2.435
296.8,2.463
297,2.514
297.2,2.584
297.4,2.609
297.6,2.617
297.8,2.569
298,2.486
298.2,2.361
298.4,2.208
298.6,2.06
298.8,1.902
299,1.697
299.2,1.461
299.4,1.22
299.6,1.044
299.8,0.992
300,0.929
300.2,0.903
300.4,0.909
300.6,0.888
300.8,0.904
301,0.877
301.2,0.862
301.4,0.844
301.6,0.834
301.8,0.834
302,0.84
302.2,0.831
302.4,0.837
302.6,0.858
302.8,0.837
303,0.877
303.2,0.923
303.4,0.995
303.6,1.138
303.8,1.399
304,1.881
304.2,2.797
304.4,4.109
304.6,5.799
304.8,7.739
305,10.163
305.2,12.645
305.4,14.704
305.6,16.577
305.8,18.33
306,19.844
306.2,21.145
306.4,21.822
306.6,22.029
306.8,22.017
307,21.902
307.2,21.798
307.4,21.835
307.6,21.916
307.8,21.75
308,21.594
308.2,21.259
308.4,20.778
308.6,20.554
308.8,20.652
309,20.685
309.2,20.82
309.4,20.598
309.6,20.054
309.8,19.623
310,19.399
310.2,19.364
310.4,19.644
310.6,19.813
310.8,19.825
311,19.556
311.2,19.128
311.4,18.676
311.6,18.421
311.8,18.363
312,18.591
312.2,18.852
312.4,19.038
312.6,18.964
312.8,18.608
313,18.1
313.2,17.627
313.4,17.351
313.6,17.262
313.8,17.581
314,18.095
314.2,18.56
314.4,18.713
314.6,18.493
314.8,18.133
315,17.659
315.2,17.261
315.4,17.225
315.6,17.553
315.8,18.258
316,19.107
316.2,19.692
316.4,19.892
316.6,19.694
316.8,19.083
317,18.602
317.2,18.522
317.4,18.82
317.6,19.392
317.8,20.099
318,20.529
318.2,20.412
318.4,19.827
318.6,18.911
318.8,17.921
319,17.497
319.2,17.954
319.4,19.023
319.6,20.234
319.8,21.357
320,21.928
320.2,21.586
320.4,20.784
320.6,19.631
320.8,18.876
321,18.998
321.2,19.927
321.4,21.212
321.6,22.347
321.8,22.832
322,22.523
322.2,21.213
322.4,19.567
322.6,18.212
322.8,17.656
323,18.398
323.2,19.981
323.4,21.774
323.6,23.275
323.8,23.798
324,23.259
324.2,21.731
324.4,19.719
324.6,18.069
324.8,17.676
325,18.74
325.2,20.662
325.4,22.696
325.6,24.028
325.8,24.453
326,23.479
326.2,21.388
326.4,18.884
326.6,16.864
326.8,16.176
327,17.116
327.2,19.013
327.4,21.048
327.6,22.549
327.8,22.853
328,22.111
328.2,19.934
328.4,17.003
328.6,14.373
328.8,12.949
329,12.931
329.2,14.152
329.4,16.005
329.6,17.771
329.8,18.672
330,18.631
330.2,17.272
330.4,15.013
330.6,12.357
330.8,10.141
331,8.86
331.2,8.591
331.4,9.393
331.6,10.921
331.8,12.429
332,13.257
332.2,13.264
332.4,12.545
332.6,11.092
332.8,9.324
333,7.459
333.2,6.008
333.4,5.477
333.6,5.889
333.8,6.636
334,7.122
334.2,7.204
334.4,6.936
334.6,6.414
334.8,5.506
335,4.245
335.2,2.939
335.4,1.928
335.6,1.384
335.8,1.094
336,0.969
336.2,0.912
336.4,0.877
336.6,0.855
336.8,0.838
337,0.844
337.2,0.85
337.4,0.858
337.6,0.894
337.8,0.921
338,0.954
338.2,0.995
338.4,1.042
338.6,1.104
338.8,1.169
339,1.258
339.2,1.389
339.4,1.547
339.6,1.818
339.8,2.293
340,3.046
340.2,4.111
340.4,5.492
340.6,6.915
340.8,8.316
341,9.549
341.2,10.567
341.4,11.305
341.6,11.929
341.8,12.586
342,13.356
342.2,14.178
342.4,14.882
342.6,15.323
342.8,15.357
343,14.887
343.2,14.127
343.4,13.214
343.6,12.403
343.8,12.026
344,12.193
344.2,12.843
344.4,13.687
344.6,14.467
344.8,14.855
345,14.81
345.2,14.238
345.4,13.38
345.6,12.301
345.8,11.362
346,10.847
346.2,10.878
346.4,11.373
346.6,12.211
346.8,13.069
347,13.753
347.2,14.075
347.4,13.959
347.6,13.378
347.8,12.476
348,11.52
348.2,10.746
348.4,10.358
348.6,10.466
348.8,11.049
349,11.9
