Type,Dichroic
Maker,"Semrock"
ProductName,"FF409-Di03-25x36"
Comment,""
Public,1
wavedataset
320,18.754
320.2,17.215
320.4,15.808
320.6,14.396
320.8,12.862
321,11.496
321.2,10.062
321.4,8.705
321.6,7.387
321.8,6.489
322,5.737
322.2,5.1
322.4,4.789
322.6,4.506
322.8,4.331
323,4.18
323.2,4.035
323.4,3.871
323.6,3.787
323.8,3.577
324,3.304
324.2,3.021
324.4,2.693
324.6,2.42
324.8,2.186
325,1.948
325.2,1.818
325.4,1.723
325.6,1.715
325.8,1.676
326,1.663
326.2,1.75
326.4,1.793
326.6,1.818
326.8,1.782
327,1.78
327.2,1.697
327.4,1.593
327.6,1.451
327.8,1.319
328,1.168
328.2,1.058
328.4,0.967
328.6,0.92
328.8,0.869
329,0.871
329.2,0.895
329.4,0.92
329.6,0.987
329.8,1.008
330,1.083
330.2,1.114
330.4,1.102
330.6,1.096
330.8,1.018
331,0.946
331.2,0.849
331.4,0.765
331.6,0.697
331.8,0.649
332,0.638
332.2,0.605
332.4,0.614
332.6,0.665
332.8,0.701
333,0.754
333.2,0.819
333.4,0.883
333.6,0.899
333.8,0.928
334,0.923
334.2,0.855
334.4,0.838
334.6,0.746
334.8,0.685
335,0.653
335.2,0.656
335.4,0.624
335.6,0.645
335.8,0.648
336,0.684
336.2,0.717
336.4,0.793
336.6,0.852
336.8,0.916
337,0.956
337.2,0.961
337.4,0.97
337.6,0.908
337.8,0.866
338,0.787
338.2,0.704
338.4,0.663
338.6,0.611
338.8,0.578
339,0.576
339.2,0.579
339.4,0.619
339.6,0.691
339.8,0.755
340,0.834
340.2,0.9
340.4,0.967
340.6,0.977
340.8,0.988
341,0.946
341.2,0.885
341.4,0.801
341.6,0.72
341.8,0.632
342,0.59
342.2,0.555
342.4,0.529
342.6,0.545
342.8,0.561
343,0.605
343.2,0.665
343.4,0.727
343.6,0.786
343.8,0.857
344,0.895
344.2,0.906
344.4,0.879
344.6,0.836
344.8,0.765
345,0.683
345.2,0.595
345.4,0.546
345.6,0.489
345.8,0.456
346,0.444
346.2,0.444
346.4,0.481
346.6,0.511
346.8,0.541
347,0.604
347.2,0.656
347.4,0.714
347.6,0.728
347.8,0.751
348,0.728
348.2,0.687
348.4,0.642
348.6,0.571
348.8,0.498
349,0.446
349.2,0.401
349.4,0.36
349.6,0.34
349.8,0.33
350,0.346
350.2,0.371
350.4,0.389
350.6,0.428
350.8,0.468
351,0.515
351.2,0.55
351.4,0.582
351.6,0.599
351.8,0.593
352,0.567
352.2,0.518
352.4,0.472
352.6,0.422
352.8,0.367
353,0.321
353.2,0.294
353.4,0.28
353.6,0.257
353.8,0.257
354,0.273
354.2,0.293
354.4,0.306
354.6,0.341
354.8,0.372
355,0.414
355.2,0.46
355.4,0.486
355.6,0.507
355.8,0.507
356,0.488
356.2,0.458
356.4,0.424
356.6,0.366
356.8,0.324
357,0.286
357.2,0.255
357.4,0.231
357.6,0.225
357.8,0.22
358,0.224
358.2,0.234
358.4,0.257
358.6,0.279
358.8,0.313
359,0.357
359.2,0.395
359.4,0.441
359.6,0.468
359.8,0.49
360,0.488
360.2,0.489
360.4,0.447
360.6,0.399
360.8,0.352
361,0.304
361.2,0.268
361.4,0.237
361.6,0.227
361.8,0.207
362,0.202
362.2,0.212
362.4,0.224
362.6,0.231
362.8,0.252
363,0.29
363.2,0.347
363.4,0.395
363.6,0.457
363.8,0.483
364,0.53
364.2,0.552
364.4,0.542
364.6,0.522
364.8,0.465
365,0.427
365.2,0.386
365.4,0.323
365.6,0.28
365.8,0.251
366,0.232
366.2,0.217
366.4,0.204
366.6,0.208
366.8,0.225
367,0.234
367.2,0.257
367.4,0.31
367.6,0.37
367.8,0.452
368,0.539
368.2,0.603
368.4,0.644
368.6,0.668
368.8,0.658
369,0.612
369.2,0.554
369.4,0.474
369.6,0.401
369.8,0.328
370,0.285
370.2,0.245
370.4,0.216
370.6,0.206
370.8,0.212
371,0.208
371.2,0.233
371.4,0.271
371.6,0.346
371.8,0.433
372,0.537
372.2,0.646
372.4,0.722
372.6,0.782
372.8,0.797
373,0.779
373.2,0.726
373.4,0.608
373.6,0.514
373.8,0.386
374,0.312
374.2,0.247
374.4,0.213
374.6,0.19
374.8,0.191
375,0.213
375.2,0.25
375.4,0.323
375.6,0.444
375.8,0.6
376,0.765
376.2,0.851
376.4,0.908
376.6,0.934
376.8,0.892
377,0.794
377.2,0.675
377.4,0.487
377.6,0.331
377.8,0.224
378,0.159
378.2,0.117
378.4,0.102
378.6,0.146
378.8,0.218
379,0.333
379.2,0.437
379.4,0.496
379.6,0.544
379.8,0.538
380,0.523
380.2,0.465
380.4,0.36
380.6,0.242
380.8,0.126
381,0.058372
381.2,0.029793
381.4,0.019538
381.6,0.018811
381.8,0.012583
382,0.013054
382.2,0.016906
382.4,0.0082189
382.6,0.0088076
382.8,0.0068536
383,0.011321
383.2,0.004916
383.4,0.013063
383.6,0.0060195
383.8,0.0077908
384,0.014633
384.2,0.014496
384.4,0.0086413
384.6,0.013621
384.8,0.0089096
385,0.012847
385.2,0.01083
385.4,0.013889
385.6,0.01368
385.8,0.0061265
386,0.016804
386.2,0.0091892
386.4,0.015287
386.6,0.0099916
386.8,0.0061506
387,0.014335
387.2,0.0099928
387.4,0.00569
387.6,0.0042684
387.8,0.0096224
388,0.0081089
388.2,0.005499
388.4,0.0054623
388.6,0.0042447
388.8,0.0039788
389,0.010766
389.2,0.0041943
389.4,0.0044553
389.6,0.004556
389.8,0.0040963
390,0.0077633
390.2,0.0038422
390.4,0.0049081
390.6,0.004388
390.8,0.0088142
391,0.0073831
391.2,0.0043133
391.4,0.0043559
391.6,0.0068571
391.8,0.0063819
392,0.0052922
392.2,0.0078085
392.4,0.0036174
392.6,0.0055673
392.8,0.005448
393,0.011669
393.2,0.0096962
393.4,0.0043757
393.6,0.0043829
