Type,Dichroic
Maker,"Chroma"
ProductName,"Q557LP"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.00107401
345,0.00235929
346,0.00398373
347,0.00673963
348,0.0116131
349,0.0183745
350,0.0278422
351,0.0402514
352,0.0562753
353,0.0757773
354,0.0985553
355,0.125209
356,0.157034
357,0.200369
358,0.25896
359,0.352512
360,0.492741
361,0.723696
362,1.00879
363,1.52431
364,2.23307
365,3.09363
366,3.99861
367,4.87951
368,5.68842
369,6.4147
370,6.98937
371,7.2592
372,7.06851
373,6.53067
374,5.95743
375,5.70485
376,6.06824
377,7.20408
378,9.17375
379,11.5959
380,13.7542
381,14.9608
382,15.4073
383,16.0432
384,17.574
385,19.7108
386,21.4811
387,21.973
388,21.189
389,19.8133
390,18.7388
391,18.0018
392,17.1381
393,15.6067
394,13.2633
395,10.4747
396,7.88015
397,5.83363
398,4.43706
399,3.51588
400,2.89409
401,2.47779
402,2.1953
403,2.03757
404,2.00553
405,2.11053
406,2.41708
407,3.06001
408,4.38268
409,7.12468
410,12.6626
411,22.1303
412,34.5853
413,45.7202
414,50.1367
415,47.1261
416,42.1136
417,41.3603
418,44.8717
419,48.6176
420,48.8351
421,44.1327
422,36.1578
423,28.2794
424,22.3392
425,18.4263
426,15.8245
427,13.7499
428,11.84
429,9.91707
430,8.04673
431,6.38338
432,5.04698
433,4.06311
434,3.40559
435,3.00755
436,2.81332
437,2.78802
438,2.91857
439,3.2234
440,3.72123
441,4.45668
442,5.45769
443,6.72628
444,8.21079
445,9.75021
446,11.2292
447,12.5297
448,13.7012
449,14.9787
450,16.7174
451,19.4013
452,23.5153
453,29.6069
454,37.9891
455,48.1841
456,58.4003
457,66.2878
458,69.3523
459,67.3553
460,62.1334
461,56.8007
462,53.6433
463,53.2375
464,54.9537
465,58.3135
466,62.66
467,67.2712
468,71.8448
469,75.9032
470,79.1489
471,81.1202
472,81.0563
473,78.4963
474,73.1031
475,65.2751
476,56.0911
477,46.8763
478,38.6187
479,31.9235
480,26.9732
481,23.5124
482,21.3619
483,20.3363
484,20.4267
485,21.8034
486,24.6988
487,29.5248
488,36.2422
489,44.1671
490,52.0078
491,57.7817
492,59.9639
493,58.1146
494,53.0553
495,46.658
496,40.8285
497,36.6507
498,34.552
499,34.8456
500,37.3637
501,41.961
502,47.9842
503,54.125
504,58.9636
505,61.1867
506,60.168
507,56.1291
508,50.2253
509,43.634
510,37.7022
511,33.0151
512,29.9075
513,28.5337
514,28.5881
515,29.5104
516,30.8034
517,32.0166
518,32.8546
519,32.9759
520,32.0513
521,29.9749
522,26.6031
523,21.977
524,16.7967
525,11.9716
526,8.21339
527,5.68002
528,4.05892
529,3.04451
530,2.39135
531,1.94992
532,1.65189
533,1.44406
534,1.29884
535,1.20224
536,1.1381
537,1.10252
538,1.09299
539,1.10625
540,1.14309
541,1.2065
542,1.29745
543,1.42382
544,1.59668
545,1.82803
