Type,Dichroic
Maker,"Chroma"
ProductName,"T510LPXRXT"
Comment,""
Public,1
wavedataset
380,2.39966
381,1.92006
382,1.31653
383,0.89538
384,0.625504
385,0.494396
386,0.445918
387,0.454443
388,0.395935
389,0.369551
390,0.444792
391,0.714982
392,1.38697
393,2.12926
394,1.78363
395,0.924591
396,0.577945
397,0.453263
398,0.428013
399,0.428841
400,0.543065
401,1.00002
402,1.61287
403,1.65049
404,0.939596
405,0.542609
406,0.368656
407,0.286753
408,0.270979
409,0.332618
410,0.39141
411,0.616845
412,1.08019
413,1.28816
414,0.962792
415,0.545839
416,0.367849
417,0.27642
418,0.244593
419,0.241268
420,0.253121
421,0.349355
422,0.553195
423,0.875852
424,1.06421
425,0.837998
426,0.490799
427,0.327168
428,0.248267
429,0.203741
430,0.195232
431,0.226501
432,0.262283
433,0.371793
434,0.601184
435,0.910019
436,1.16737
437,1.0042
438,0.620518
439,0.388686
440,0.275163
441,0.22582
442,0.196159
443,0.219508
444,0.251385
445,0.348652
446,0.492559
447,0.752484
448,1.25224
449,1.78654
450,1.49886
451,0.86304
452,0.460192
453,0.311461
454,0.241519
455,0.216787
456,0.261718
457,0.351476
458,0.356683
459,0.380592
460,0.704141
461,1.81856
462,3.17889
463,2.30609
464,0.785413
465,0.308958
466,0.163778
467,0.113805
468,0.0870413
469,0.0742335
470,0.0699147
471,0.065574
472,0.0626374
473,0.0538989
474,0.0557175
475,0.0535757
476,0.0512855
477,0.0517023
478,0.0508812
479,0.0514219
480,0.0541545
481,0.0611444
482,0.0607196
483,0.075357
484,0.0770619
485,0.0936472
486,0.10391
487,0.126232
488,0.146044
489,0.18159
490,0.233065
491,0.292967
492,0.380767
493,0.491586
494,0.643507
495,0.82919
496,1.07998
497,1.37191
498,1.73963
499,2.20818
500,2.74738
501,3.47458
502,4.36035
503,5.67539
504,7.41512
505,9.67144
506,12.8796
507,16.9303
508,22.4009
509,28.971
510,35.5551
511,42.157
512,48.2204
513,53.6267
514,60.3804
515,69.8792
516,80.5214
517,90.1334
518,95.1999
519,97.0279
520,97.2828
521,97.2486
522,97.4086
523,97.5953
524,97.7355
525,97.7779
526,97.7588
527,97.7172
528,97.6009
529,97.459
530,97.4662
531,97.5394
532,97.6909
533,97.7869
534,97.8403
535,97.8951
536,98.0461
537,97.9729
538,97.9113
539,97.834
540,97.7443
541,97.724
542,97.6704
543,97.6001
544,97.5823
545,97.6269
546,97.7018
547,97.6466
548,97.6607
549,97.6657
550,97.6778
551,97.5991
552,97.4318
553,97.3634
554,97.3108
555,97.278
556,97.2825
557,97.3083
558,97.3291
559,97.3687
560,97.4569
561,97.4675
562,97.4887
563,97.4898
564,97.4425
565,97.3613
566,97.3123
567,97.2594
568,97.2217
569,97.1424
570,97.0278
571,96.9741
572,96.9993
573,97.0665
574,97.094
575,97.1181
576,97.1109
577,97.087
578,97.3017
579,97.4118
580,97.4149
581,97.4082
582,97.4219
583,97.4228
584,97.3509
585,97.2869
586,97.225
587,97.1413
588,97.0215
589,97.0405
590,97.0895
591,97.1415
592,97.1557
593,97.2384
594,97.393
595,97.492
596,97.8499
597,97.812
598,97.4392
599,97.3527
600,97.1541
601,96.9889
602,97.0604
603,96.4955
604,96.3352
605,96.0823
606,95.815
607,95.5319
608,95.3851
609,95.3115
610,95.2337
611,95.2704
612,95.2836
613,95.2796
614,95.5104
615,95.7184
616,96.0989
617,96.456
618,96.3552
619,96.7871
620,96.9335
621,97.1003
622,97.3671
623,97.2726
624,97.4701
625,97.4109
626,97.3581
627,97.1159
628,96.8186
629,96.7429
630,96.4771
631,96.2196
632,95.9091
633,95.7494
634,95.6673
635,95.7377
636,95.71
637,95.756
638,95.7882
639,95.8909
640,96.0364
641,96.1924
642,96.459
643,96.7182
644,97.1068
645,97.25
646,97.4157
647,97.5338
648,97.727
649,97.861
650,98.1249
651,98.0559
652,98.0786
653,98.0997
654,98.0401
655,97.984
656,97.8652
657,97.8557
658,97.7562
659,97.7085
660,97.7055
661,97.5742
662,97.6246
663,97.5856
664,97.4762
665,97.4253
666,97.4813
667,97.4874
668,97.5392
669,97.659
670,97.7124
671,97.762
672,97.8293
673,97.9429
674,98.0655
675,98.0878
676,98.0794
677,98.1638
678,98.2375
679,98.2758
680,98.2672
681,98.2099
682,98.199
683,98.1481
684,98.0964
685,98.0541
686,98.0387
687,97.9913
688,97.9156
689,97.881
690,97.8477
691,97.8101
692,97.7631
693,97.6791
694,97.707
695,97.7025
696,97.7119
697,97.7333
698,97.7859
699,97.9117
700,97.9439
701,98.0259
702,98.0388
703,98.0183
704,97.992
705,98.0454
706,98.0796
707,98.0303
708,97.9871
709,97.9415
710,97.9252
711,97.8772
712,97.8406
713,97.7567
714,97.7061
715,97.6158
716,97.5927
717,97.5855
718,97.5965
719,97.5356
720,97.4338
721,97.3688
722,97.3235
723,97.2448
724,97.1364
725,97.0979
726,97.0425
727,96.9965
728,96.9262
729,96.8823
730,96.7484
731,96.6892
732,96.7284
733,96.762
734,96.9074
735,96.9212
736,96.9432
737,97.0439
738,97.1298
739,97.2092
740,97.3423
741,97.4119
742,97.4685
743,97.6244
744,97.6727
745,97.7608
746,97.783
747,97.8294
748,97.863
749,97.8084
750,97.8083
751,97.7875
752,97.7544
753,97.7073
754,97.6589
755,97.6612
756,97.6011
757,97.4456
758,97.3239
759,97.2537
760,97.1381
761,97.0528
762,97.0669
763,96.9724
764,96.9129
765,96.8016
766,96.7262
767,96.7492
768,96.7938
769,96.8562
770,96.8657
771,96.9194
772,96.8991
773,96.9744
774,97.0158
775,97.1178
776,97.2167
777,97.2958
778,97.3495
779,97.4472
780,97.5677
781,97.652
782,97.6872
783,97.6837
784,97.7121
785,97.7725
786,97.7359
787,97.6461
788,97.5853
789,97.5046
790,97.3466
791,97.1774
792,96.926
793,96.7446
794,96.4693
795,96.2273
796,96.1705
797,95.6465
798,95.4091
799,95.1383
800,94.8807
801,94.6058
802,94.3577
803,94.1404
804,94.0166
805,93.8298
806,93.6088
807,93.4954
808,93.4078
809,93.3868
810,93.366
811,93.3624
812,93.4027
813,93.4074
814,93.5219
815,93.6832
816,93.9195
817,94.1434
818,94.3313
819,94.4812
820,94.6806
821,94.9407
822,95.1957
823,95.4245
824,95.696
825,95.9077
826,96.104
827,96.3057
828,96.4372
829,96.561
830,96.6973
831,96.7427
832,96.7626
833,96.8201
834,96.6968
835,96.6608
836,96.6194
837,96.4072
838,96.2265
839,96.0323
840,95.7301
841,95.5912
842,95.4234
843,95.0827
844,94.9464
845,94.561
846,94.1791
847,93.8589
848,93.624
849,93.4092
850,93.1734
851,93.0415
852,92.8556
853,92.7013
854,92.5323
855,92.3931
856,92.3752
857,92.4068
858,92.408
859,92.4204
860,92.4562
861,92.5603
862,92.6995
863,92.8486
864,92.985
865,93.1715
866,93.3904
867,93.7076
868,94.0321
869,94.235
870,94.4617
871,94.7321
