Type,Dichroic
Maker,"Omega"
ProductName,"XF2011(585DRLP)"
Comment,""
Public,1
wavedataset
1099.983643,1.417877793
1099.047607,8.019730568
1097.993774,4.814787388
1097.056274,7.873189449
1096.000732,6.174893856
1094.944458,11.01521587
1094.004761,16.3087368
1092.946777,10.57569695
1092.005737,7.192930698
1090.946167,-12.29008961
1090.00354,9.66078949
1088.942383,-4.291666031
1087.998413,16.95854378
1087.053833,-2.337936878
1085.990356,11.01609707
1085.044189,-5.788043022
1083.979126,12.46171379
1083.031616,12.74738312
1081.964966,4.575315475
1081.015991,3.155477285
1079.947754,17.27178764
1078.997437,2.319664717
1078.046387,8.568169594
1076.975708,3.987887383
1076.023315,8.661512375
1074.95105,5.005822182
1073.997314,4.504824638
1073.042847,-2.17927742
1071.968262,13.87421894
1071.012451,4.091799736
1070.055908,1.023671865
1068.979004,4.802955151
1068.020996,3.142050266
1066.942627,2.257859468
1065.983276,5.620368481
1065.023193,0.672899604
1063.942505,8.570931435
1062.981079,2.757219315
1062.019043,5.083540916
1061.056396,4.3192873
1059.972534,14.37156487
1059.008423,4.712947369
1058.043701,3.778605461
1056.957642,5.844057083
1055.991455,10.09804916
1055.024658,2.404467583
1054.057251,5.307566166
1052.96814,2.616257668
1051.99939,5.088404179
1051.029907,3.293725491
1050.059814,6.091140747
1048.967651,4.19253397
1047.996216,6.701035976
1047.024048,5.331663609
1046.05127,6.506472588
1044.956177,5.110954762
1043.981934,4.360823154
1043.007202,2.561497211
1042.031738,2.241894484
1041.055664,5.384586334
1039.956909,5.753665447
1038.979492,4.727203369
1038.001343,4.941752911
1037.022705,3.506084442
1036.043335,5.745558739
1034.940796,3.909167767
1033.960083,5.149151802
1032.97876,3.00476408
1031.996704,3.928068161
1031.01416,4.080472946
1030.030884,3.174898863
1029.046997,2.46654892
1027.939331,5.832256317
1026.954102,2.459635973
1025.968262,6.539679527
1024.981689,5.506457329
1023.994568,4.423389435
1023.006775,4.027565002
1022.018372,4.039200306
1021.029358,4.941671371
1020.039734,5.060648441
1019.049438,5.381203175
1018.058533,4.927697182
1016.942993,4.273051262
1015.950745,5.857861042
1014.957886,4.798011303
1013.964355,5.649013519
1012.970215,5.960021973
1011.975464,5.630301476
1010.980103,5.231692314
1009.984131,6.215164661
1008.987488,4.615612507
1007.990234,5.200649261
1006.992371,5.338672161
1005.993896,7.243259907
1004.994812,5.38312912
1003.995056,5.847646236
1002.99469,6.829815388
1001.993774,6.129438877
1000.992188,5.929504871
999.9899902,5.176376343
998.9871826,5.970136642
997.9837036,6.966666698
996.9796753,6.875751019
995.9750366,7.281038761
994.9697266,6.181414604
993.9638672,6.627705574
992.9573364,7.174817562
991.9502563,6.938179016
990.9425049,7.426392078
990.0602417,6.788166046
989.0513916,7.271630287
988.0419312,7.865319252
987.0317993,7.214209557
986.0211182,7.386291027
985.0098267,8.859367371
983.9979248,8.028464317
982.9854126,9.218725204
981.97229,9.413776398
980.9585571,9.338019371
979.9442139,9.422880173
979.0561523,8.969244003
978.0407104,9.614220619
977.0245972,9.793699265
976.0079346,10.13716316
974.9906616,10.44395256
973.9727783,10.281394
972.9542847,11.41279221
972.0626221,11.525527
971.0430298,11.70500565
970.0228271,12.2049284
969.0020752,12.49506187
967.9806519,12.21058846
966.9586792,13.54253483
965.9360962,14.19424534
965.0408325,14.91972637
964.0170898,15.53763485
962.9927979,15.02911282
961.9678955,16.21681786
960.9424438,17.0217762
960.0446167,17.03709412
959.0180664,18.00998878
957.9908447,18.40869331
956.9630737,18.96572685
956.0632935,19.4671669
955.0344238,20.14404678
954.0049438,20.89222908
952.9748535,21.81388474
951.9442139,23.14934349
951.0419312,23.81787491
950.0101929,24.32227707
948.9778442,26.07762146
947.9448853,26.66450691
947.0406494,27.73530579
946.0065918,29.38350487
944.9719849,29.84768486
943.9368286,30.89308357
943.0305786,32.25566864
941.9943237,33.34025574
940.9574585,34.45317078
940.0497437,36.19861221
939.0117798,37.36751556
937.9732666,39.08848572
937.0640869,40.49051285
936.0244751,41.5330925
934.984314,43.37345505
933.9435425,44.57073975
933.0324097,46.83351898
931.9906006,48.42474365
930.9481812,50.16983795
930.0355835,51.65054703
928.9921265,53.65449905
927.9480591,55.39596558
927.0339966,56.50935364
925.9888916,58.5588913
924.9431763,59.28343964
924.02771,61.29066849
922.980957,63.08268356
922.0645752,64.19238281
921.0167236,65.29314423
919.9683228,66.42488098
919.0504761,68.66104126
918.0010376,70.44264984
916.9509888,71.44449615
916.0317383,72.63100433
914.9806519,73.69017792
914.0604858,74.44257355
913.0083618,76.52814484
911.9556274,78.78211975
911.0340576,79.35176849
909.9802856,80.06821442
909.0577393,81.5676651
908.0029297,82.69556427
906.9475708,83.7379837
906.0236206,84.39037323
904.9672241,85.14230347
904.0423584,85.70435333
902.9849243,85.83023834
902.0591431,85.80438232
901.0006714,85.69396973
899.9415894,85.55825806
899.0144653,85.22640228
897.9543457,84.99482727
897.0262451,84.58503723
895.9651489,83.95211792
895.0361938,83.46507263
893.973999,82.48972321
893.0441284,82.54682159
891.980896,80.93062592
891.0501099,80.32543945
889.9859009,79.69138336
889.0541992,78.37571716
887.9889526,77.47888947
887.0563965,77.22371674
885.9900513,75.65590668
885.0566406,75.54906464
883.9892578,74.94592285
883.0549316,74.44512939
881.9865723,73.58162689
881.0513306,73.37020874
879.9819946,72.51268768
879.0458374,72.16837311
877.9754639,73.02118683
877.0383911,72.57209778
875.967041,72.21408844
875.0291138,71.54610443
873.956665,72.28568268
873.0178833,72.08822632
871.944458,71.99463654
871.0047607,72.06321716
870.0646973,71.85503387
868.9898071,72.82136536
868.0488281,73.02615356
866.9729004,72.99187469
866.0310669,73.56536102
864.9541626,73.0941925
864.0114136,74.020401
862.9335327,74.78182983
861.9899292,74.77064514
861.0459595,74.97133636
859.9665527,76.59430695
859.0216675,76.73531342
857.9413452,77.79190063
856.9956055,78.10469055
856.0494385,77.3922348
854.9676514,79.79334259
854.0206299,80.84300995
852.9378052,81.49837494
851.9899292,82.45622253
851.041626,82.64735413
849.9573975,83.67967987
849.0083008,83.51689911
848.0587158,85.4322052
846.9730225,85.1780014
846.022644,87.07105255
844.9359741,87.31056976
843.9847412,88.55590057
843.0330811,88.50253296
841.9450073,88.81758118
840.9924927,88.92164612
840.0395508,89.6605072
838.9500732,90.48518372
837.9963379,90.89611053
837.0421753,90.51267242
835.9512329,91.28972626
834.9962158,91.49253082
834.0408325,91.63518524
832.9484863,91.72792053
831.9922485,91.10617065
831.0356445,91.3184433
829.9418945,90.97349548
828.984436,91.26795959
828.0265503,90.51161957
827.0682983,90.31402588
825.9727173,89.83189392
825.0136108,89.27878571
824.0541382,88.69722748
822.9571533,88.20443726
821.9968262,87.22939301
821.0361328,86.22708893
819.9377441,85.86656952
818.9761963,86.0895462
818.0142822,84.75493622
817.052002,84.10330963
815.9517822,83.78212738
814.9886475,83.07711792
814.0251465,82.92089844
813.0612183,82.39687347
811.9591675,81.32678223
810.9945068,81.02148438
810.0293579,80.63798523
809.0639038,80.44078064
807.960022,80.01263428
806.9937744,79.88347626
806.0270996,79.39481354
805.0599976,80.04759216
803.9543457,78.998909
802.9864502,78.91625214
802.0182495,78.833992
801.0496216,78.58311462
799.9421387,78.4319458
798.9727173,78.94020081
798.0028687,78.61667633
797.0327148,79.07271576
796.0621338,79.15649414
794.9524536,79.27329254
793.9810791,79.20007324
793.0093384,79.17630768
792.0372314,79.94087982
791.0646973,80.19002533
789.9528198,80.47880554
788.9795532,81.31608582
788.0058594,81.79235077
787.0318604,82.65518188
786.0574341,82.70110321
784.9433594,83.51268768
783.9681396,83.84431458
782.9925537,84.30239868
782.0166626,84.64724731
781.0403442,85.06583405
780.0636597,85.39299774
778.9469604,86.66093445
777.9695435,86.94612122
776.9916992,87.77928925
776.0134888,88.84471893
775.0349121,87.57035065
774.0559692,89.48828125
772.9367065,89.58666992
771.9570313,90.46853638
770.9769287,89.9249115
769.99646,90.65745544
769.015686,90.28181458
768.0344849,90.68323517
767.0529785,90.43978119
765.9307861,91.16942596
764.9484863,91.00626373
763.9657593,90.59750366
762.9827271,91.07219696
761.9993286,90.64072418
761.015625,90.66111755
760.0314941,90.46787262
759.0469971,89.98621368
758.0621948,89.90132141
756.9362183,89.56404877
755.9506226,89.55735779
754.9646606,89.04386139
753.9783936,88.45837402
752.9916992,88.41270447
752.0046997,88.1185379
751.017334,87.29679108
750.0296021,87.15383911
749.0415039,86.77827454
748.0531006,86.81401825
747.06427,86.02703094
745.9338379,85.59367371
744.9442749,85.57624817
743.9543457,85.93999481
742.9641113,85.86598206
741.9735107,85.28433228
740.9825439,85.03939819
739.991272,85.25450897
738.9996338,85.38871765
738.0076294,85.12729645
737.0152588,85.44674683
736.022583,84.92610168
735.029541,85.86602783
734.0361938,85.5933075
733.0424194,85.85412598
732.0483398,86.28826141
731.0539551,86.56996918
730.0591431,86.76603699
729.0640259,87.55595398
728.0686035,87.17230988
726.930481,87.81801605
725.9343262,87.97624207
724.9377441,88.95146179
723.940918,89.15311432
722.9436646,89.53842926
721.946106,89.89801025
720.9481812,90.12377167
719.9499512,91.41096497
718.951355,91.79663849
717.9524536,92.11398315
716.953186,92.49781799
715.9536133,92.99118805
714.9536743,93.30804443
713.9533691,93.29211426
712.9527588,94.20240021
711.9518433,94.47102356
710.9505615,94.86212921
709.9489136,94.97896576
708.9469604,95.14143372
707.9447021,95.58026886
706.9420776,95.47860718
705.9390869,95.8378067
704.935791,95.82968903
703.9321899,95.76231384
703.0716553,96.1026535
702.0674438,96.05562592
701.0628662,96.02477264
700.0579224,96.07919312
699.0527344,96.19038391
698.0471802,95.57935333
697.0412598,95.69232941
696.0350342,96.02812195
695.0285034,95.85774994
694.0216064,95.79167938
693.0144043,95.93878937
692.006897,95.54281616
690.9990234,95.61951447
689.9908447,95.37913513
688.9822998,95.18134308
687.9735107,95.27938843
686.9642944,95.01740265
685.954834,94.48240662
684.9450073,95.06246185
683.9348755,94.88323212
683.0687866,94.88949585
682.0581055,94.82148743
681.0469971,94.83089447
680.0356445,93.62723541
679.0239258,94.16796875
678.0119629,94.09238434
676.9996338,94.34387207
675.9869385,93.6030426
674.973999,93.58475494
673.9606934,93.29724121
672.9470825,93.2507782
671.9331665,92.90471649
671.0637817,93.11119843
670.0493164,92.6693573
669.0344849,92.436203
668.0192871,91.89627838
667.0038452,91.87360382
665.9880371,91.29119873
664.9719849,91.61852264
663.9555664,91.60726166
662.9388428,91.28134155
662.0671387,91.49206543
661.0498047,91.17169952
660.0322266,91.10978699
659.0142822,91.19941711
657.9960327,91.47305298
656.977478,91.63596344
655.9586182,91.4578476
654.9394531,92.10468292
654.0656738,92.31751251
653.0458984,92.54035187
652.0258789,92.86200714
651.0054932,93.37001038
649.9848633,93.80865479
648.9638672,94.09399414
647.9425659,94.28115845
647.0669556,94.6495285
646.045105,95.08836365
645.0229492,95.57861328
644.0005493,95.3718338
642.9777832,95.75197601
641.9547119,95.587883
640.9313354,95.8335495
640.0539551,95.37580872
639.0300293,95.20927429
638.0057983,94.97264862
636.9812622,94.23404694
635.9564209,93.40782928
634.9312744,93.41477966
634.0523682,92.72157288
633.0266724,91.90481567
632.0006714,90.83621216
630.9744263,90.10945892
629.9478149,88.68052673
629.067688,88.85884094
628.0405273,88.00894928
627.0131226,87.23222351
625.9854126,86.59377289
624.9573975,85.72416687
623.9290771,85.06552887
623.0474243,85.19984436
622.0185547,84.81210327
620.9893799,84.36625671
619.9599609,84.66394806
618.9302368,84.46442413
618.0473633,84.63790131
617.0170898,84.72454834
615.9865112,85.23299408
614.9556274,85.62026978
614.0717773,86.18926239
613.0404053,86.89325714
612.008728,87.63624573
610.9767456,88.52618408
609.944458,89.17864227
609.0594482,89.63370514
608.0266113,90.27113342
606.9935303,90.49300385
605.960144,90.57138062
604.9265137,90.23740387
604.0402832,90.13699341
603.0060425,89.6800766
601.9716187,88.77853394
600.9368286,87.64298248
600.0496826,86.57523346
599.0144043,85.20885468
597.9788208,83.57616425
596.9429321,82.07653809
596.0548706,80.49151611
595.0184937,78.70011902
593.9818115,76.95156097
592.9448853,74.62703705
592.0558472,72.26410675
591.0184326,69.80251312
589.9806519,67.14126587
588.942688,65.73733521
588.0527344,63.41094208
587.0141602,60.68103409
585.9754028,58.03970718
584.9362793,55.50481033
584.0454102,52.29261017
583.0058594,49.00376129
581.9659424,45.35801697
580.9258423,41.14553833
580.0340576,35.89068985
578.9934082,30.71073914
577.9524536,26.86526489
577.0600586,23.56801414
576.0186157,20.8098259
574.9769287,17.05500412
573.9349365,13.95077419
573.0415649,12.22997856
571.9990845,9.89020443
570.9563599,8.78450489
570.0623779,7.648980618
569.019104,6.325362682
567.9755859,5.138772964
566.9318237,4.459882259
566.0369263,3.78469491
564.9926147,3.231756687
563.9481201,2.897147179
563.0525513,2.589317083
562.0075073,2.272538185
560.9622192,1.971206307
560.06604,1.619531631
559.0202026,1.433203697
557.9741821,1.288564205
556.9278564,1.289259791
556.0307617,1.037384987
554.9839478,0.998535574
553.9368896,0.903602302
553.0391846,0.707368255
551.9916382,0.784918845
550.9437866,0.750987291
550.0454712,0.586699069
548.9971313,0.576134324
547.9486084,0.541841269
547.0496216,0.562621892
546.0005493,0.442094028
544.9512939,0.416140258
544.0516968,0.386734307
543.0018921,0.381165594
541.9518433,0.339151382
541.0516357,0.373592228
540.0010986,0.374555737
538.9503784,0.359615207
538.0494995,0.353618056
536.998291,0.400312841
535.9467773,0.298758507
535.0452881,0.284315825
533.9933472,0.246589094
532.9411621,0.300907195
532.0390625,0.309660018
530.9863892,0.352049172
529.9334717,0.350187123
529.0307617,0.411354363
527.977356,0.415074557
527.0742188,0.424506992
526.0203857,0.440113753
524.9663086,0.46354121
524.062561,0.557529748
523.0079956,0.492189497
521.953186,0.625180483
521.0488892,0.63032037
519.9936523,0.723848045
518.9381104,0.896339655
518.0332031,0.858417869
516.9772339,1.045010686
516.0718994,1.220402479
515.0155029,1.392083645
513.9588623,1.748468399
513.0529175,2.157423496
511.9958191,2.6665802
510.9384766,3.250267982
510.0319824,4.081112385
508.9741821,5.262339115
508.0673218,6.955058098
507.0090637,9.740882874
505.950592,14.08284187
505.0431213,17.95415878
503.9841919,24.6758976
502.9250183,34.96879196
502.0169983,43.36376953
500.9573669,49.48243332
500.0489502,50.27407837
498.9889221,47.37807083
497.9286499,43.76260757
497.0196533,41.26520157
495.9589233,42.22214127
495.0495605,45.76109695
493.9884033,49.73563766
492.9270325,53.08710861
492.0170898,53.30121613
490.9552612,50.4719429
490.0449524,47.01844025
488.9826965,45.27068329
488.0720215,45.92147827
487.0093689,48.33177185
485.9464722,52.85725021
485.0352173,56.86853027
483.9718933,61.44992828
483.0602722,65.84091187
481.996521,69.96827698
480.9325562,73.54307556
480.0203857,75.91864014
478.9559937,76.68898773
478.043457,74.95597839
476.9786377,71.08217621
476.0657654,64.80090332
475.0005188,58.04820251
