Type,Emitter
Maker,"Chroma"
ProductName,"61008m"
Comment,""
Public,1
wavedataset
300,0.0005278
301,1E-06
302,1E-06
303,1E-06
304,0.0006898
305,0.0008733
306,0.0004932
307,1E-06
308,0.0008928
309,0.001095
310,1.72E-05
311,0.0001761
312,1E-06
313,0.001074
314,1E-06
315,1E-06
316,0.001248
317,1E-06
318,0.0004469
319,0.001008
320,0.0004043
321,0.0001796
322,1E-06
323,0.0002043
324,1E-06
325,1E-06
326,0.000372
327,0.0003575
328,0.0003921
329,1E-06
330,0.0005834
331,1E-06
332,1E-06
333,1E-06
334,0.0001554
335,0.0008003
336,1E-06
337,0.001062
338,0.0004839
339,0.0001676
340,0.0005971
341,0.0005986
342,0.001033
343,1E-06
344,0.0001661
345,0.0006045
346,0.0003871
347,1E-06
348,1E-06
349,0.0003914
350,0.0006079
351,0.0003825
352,0.0008205
353,0.0001984
354,1E-06
355,0.0008358
356,0.001075
357,1E-06
358,0.0008372
359,0.002594
360,1E-06
361,0.0003872
362,1E-06
363,0.0002328
364,1E-06
365,0.001071
366,0.0008699
367,0.0008576
368,0.002191
369,0.001085
370,0.0004067
371,1E-06
372,0.0004145
373,0.0006619
374,1E-06
375,0.0008533
376,0.002639
377,0.003781
378,0.005191
379,0.005352
380,0.0004462
381,0.001097
382,0.0006344
383,0.001549
384,1E-06
385,0.0003982
386,0.002002
387,0.001097
388,0.0001652
389,1E-06
390,1E-06
391,0.0008617
392,1E-06
393,1E-06
394,0.002258
395,0.001347
396,0.0004311
397,0.0004183
398,0.0004086
399,1E-06
400,0.001353
401,1E-06
402,0.002974
403,1E-06
404,1E-06
405,1E-06
406,0.002299
407,0.0001595
408,1E-06
409,0.0002094
410,1E-06
411,0.0006644
412,1E-06
413,0.002317
414,0.0008838
415,1E-06
416,0.0006711
417,0.001611
418,0.0001703
419,0.0002148
420,0.0009055
421,0.001134
422,0.0009154
423,1E-06
424,1E-06
425,1E-06
426,1E-06
427,1E-06
428,0.0009582
429,0.0007046
430,0.002349
431,0.001164
432,1E-06
433,0.0009494
434,1E-06
435,1E-06
436,7.08E-05
437,0.002115
438,0.001159
439,0.001883
440,0.0009292
441,1E-06
442,1E-06
443,0.003541
444,1E-06
445,0.00377
446,0.09567
447,1.462
448,13.73
449,39.47
450,34.78
451,32.29
452,52.2
453,57.47
454,46.66
455,55.1
456,68.33
457,58.26
458,48.68
459,54.14
460,63.36
461,61.52
462,57.04
463,57.23
464,55.73
465,51.96
466,54.86
467,66.88
468,71.72
469,60.49
470,55.66
471,63.29
472,54.82
473,31.38
474,28.78
475,34.44
476,6.183
477,0.3713
478,0.05376
479,0.0102
480,0.004345
481,0.001439
482,0.0007197
483,0.0009651
484,0.0002549
485,0.001686
486,1E-06
487,0.002395
488,4.914E-05
489,0.003327
490,0.002159
491,0.002856
492,0.004237
493,0.002619
494,0.002845
495,1E-06
496,0.0002048
497,1E-06
498,0.0007066
499,0.0004673
500,1E-06
501,0.0007197
502,1E-06
503,1E-06
504,1E-06
505,0.002652
506,1E-06
507,0.001696
508,1E-06
509,0.002647
510,0.009272
511,0.04562
512,0.4441
513,11.02
514,37.56
515,32.35
516,48.66
517,48.13
518,39.24
519,47.03
520,68.53
521,80.3
522,73.83
523,70.9
524,77.51
525,84.89
526,82.8
527,75.52
528,71.68
529,73.67
530,78.54
531,82.3
532,83.19
533,83.1
534,83.87
535,84.81
536,83.85
537,81.14
538,79.53
539,80.96
540,83.36
541,80.47
542,70.78
543,60.8
544,56.98
545,58.17
546,55.3
547,45.72
548,46
549,47.92
550,13.53
551,1.375
552,0.2415
553,0.0597
554,0.02308
555,0.008259
556,0.004275
557,0.001225
558,0.002696
559,0.001452
560,0.0009593
561,1E-06
562,0.0004763
563,0.0009699
564,0.0002395
565,1E-06
566,0.002681
567,1E-06
568,0.00124
569,0.00147
570,0.00146
571,1E-06
572,1E-06
573,0.0009527
574,1E-06
575,0.001714
576,0.0002084
577,0.001711
578,1E-06
579,0.001201
580,0.0001812
581,0.002477
582,1E-06
583,0.003771
584,0.0009363
585,0.0006889
586,1E-06
587,0.003537
588,0.0006664
589,0.002226
590,0.003774
591,0.005848
592,0.02122
593,0.05221
594,0.1863
595,0.9469
596,9.835
597,48.35
598,39.62
599,32.16
600,49.44
601,70.48
602,64.7
603,50.61
604,46.89
605,52.94
606,66.5
607,80.9
608,86.05
609,81.51
610,75.85
611,73.86
612,76
613,80.39
614,84.48
615,85.99
616,84.56
617,81.76
618,78.78
619,76.56
620,75.12
621,74.33
622,73.87
623,73.34
624,72.64
625,71.55
626,70.34
627,69.3
628,69.07
629,70.11
630,72.79
631,77.01
632,81.83
633,85.61
634,86.79
635,84.57
636,80.38
637,76.14
638,73.73
639,73.78
640,76.29
641,80.23
642,83.66
643,83.91
644,79.86
645,73.2
646,66.45
647,61.59
648,59.51
649,60.38
650,64.21
651,69.96
652,74.86
653,73.94
654,63.05
655,45.37
656,28.13
657,15.84
658,8.423
659,4.381
660,2.315
661,1.247
662,0.6826
663,0.3852
664,0.2291
665,0.142
666,0.08779
667,0.05732
668,0.04096
669,0.02586
670,0.01928
671,0.01387
672,0.0103
673,0.0092
674,0.005652
675,0.004325
676,0.005253
677,0.003992
678,0.005934
679,0.001118
680,0.004191
681,0.00334
682,1E-06
683,0.002856
684,0.003542
685,0.0006756
686,0.0022
687,1E-06
688,0.0004263
689,0.001768
690,1E-06
691,1E-06
692,0.0004289
693,0.0004021
694,1E-06
695,1E-06
696,0.001326
697,1E-06
698,1E-06
699,0.001559
700,1E-06
701,0.001323
702,0.001539
703,0.001994
704,0.001343
705,0.003762
706,1E-06
707,1E-06
708,0.001329
709,0.0006903
710,0.001997
711,1E-06
712,0.002684
713,1E-06
714,0.000912
715,1E-06
716,0.0004319
717,0.0006366
718,1E-06
719,1E-06
720,0.001784
721,1E-06
722,0.0006481
723,0.0003993
724,0.004477
725,0.0009122
726,1E-06
727,1E-06
728,0.002925
729,0.001564
730,4.459E-05
731,1E-06
732,0.000441
733,0.002925
734,0.002015
735,0.0002102
736,0.0006924
737,0.0002265
738,0.0002025
739,0.001328
740,0.0004453
741,0.002021
742,0.0004575
743,1E-06
744,0.0004148
745,0.001323
746,1E-06
747,1E-06
748,0.0004464
749,0.00134
750,0.0004014
751,0.002254
752,1E-06
