Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA420"
Comment,""
Public,1
wavedataset
300,0.006344
301,0.006354
302,0.006352
303,0.006387
304,0.006458
305,0.006437
306,0.006391
307,0.006464
308,0.006509
309,0.006461
310,0.00645
311,0.006481
312,0.006468
313,0.006471
314,0.006488
315,0.006471
316,0.006487
317,0.006486
318,0.00641
319,0.00633
320,0.006339
321,0.00637
322,0.006367
323,0.006305
324,0.006344
325,0.006398
326,0.006394
327,0.006359
328,0.006341
329,0.006361
330,0.006353
331,0.006363
332,0.006414
333,0.00639
334,0.006334
335,0.006348
336,0.00632
337,0.006371
338,0.006402
339,0.006415
340,0.006404
341,0.006353
342,0.006346
343,0.006374
344,0.006377
345,0.006372
346,0.006328
347,0.006382
348,0.00636
349,0.006371
350,0.006312
351,0.006343
352,0.006345
353,0.006301
354,0.006243
355,0.006279
356,0.006241
357,0.006229
358,0.006191
359,0.006227
360,0.006216
361,0.006206
362,0.00612
363,0.006139
364,0.006159
365,0.006235
366,0.006236
367,0.00619
368,0.006179
369,0.006228
370,0.006209
371,0.00623
372,0.006158
373,0.006129
374,0.006184
375,0.006248
376,0.006172
377,0.00614
378,0.00621
379,0.006212
380,0.006239
381,0.006224
382,0.006249
383,0.006272
384,0.006272
385,0.006254
386,0.006311
387,0.006253
388,0.006255
389,0.006341
390,0.006385
391,0.00634
392,0.006358
393,0.006348
394,0.006348
395,0.00629
396,0.006324
397,0.00635
398,0.006347
399,0.006314
400,0.006351
401,0.006282
402,0.006348
403,0.006316
404,0.006317
405,0.006285
406,0.00648
407,0.007897
408,0.016068
409,0.052127
410,0.17558
411,0.519175
412,1.319142
413,2.865845
414,5.443705
415,9.19863
416,14.020293
417,19.764631
418,26.103085
419,32.688647
420,39.154116
421,45.319373
422,50.822106
423,56.052949
424,60.580731
425,64.475817
426,67.642228
427,70.876014
428,73.191214
429,75.312819
430,77.271532
431,78.658048
432,80.048674
433,81.196054
434,82.17177
435,82.850097
436,83.548077
437,84.405974
438,84.896168
439,85.344859
440,85.695034
441,86.067452
442,86.185732
443,86.677193
444,86.985495
445,87.145175
446,87.318752
447,87.451179
448,87.622507
449,87.718635
450,87.875713
451,88.057075
452,88.061486
453,88.264744
454,88.451735
455,88.37202
456,88.473238
457,88.649176
458,88.706398
459,88.79949
460,88.831159
461,88.948849
462,88.991952
463,89.069794
464,89.159359
465,89.121475
466,89.252813
467,89.24612
468,89.308909
469,89.296381
470,89.33262
471,89.372918
472,89.456609
473,89.591824
474,89.56062
475,89.548862
476,89.624339
477,89.657707
478,89.756329
479,89.698414
480,89.736608
481,89.77952
482,89.833298
483,89.839793
484,89.905134
485,89.883925
486,89.856562
487,89.918827
488,89.948938
489,90.049456
490,90.081442
491,90.143176
492,90.110141
493,89.984712
494,90.074511
495,90.096707
496,90.311538
497,90.194942
498,90.161883
499,90.138723
500,90.203519
501,90.349755
502,90.315998
503,90.32375
504,90.393682
505,90.374954
506,90.421912
507,90.464638
508,90.521376
509,90.60453
510,90.572327
511,90.521758
512,90.477019
513,90.446539
514,90.621626
515,90.678373
516,90.532464
517,90.633051
518,90.682255
519,90.642831
520,90.594382
521,90.62687
522,90.661061
523,90.613828
524,90.662769
525,90.699071
526,90.741392
527,90.73031
528,90.704318
529,90.706309
530,90.757098
531,90.734205
532,90.685319
533,90.777598
534,90.806299
535,90.791689
536,90.799073
537,90.830064
538,90.847112
539,90.824156
540,90.833904
541,90.848794
542,90.863957
543,90.858448
544,90.859411
545,90.882146
546,90.890045
547,90.891928
548,90.886557
549,90.868949
550,90.923095
551,90.950739
552,90.93344
553,90.907147
554,90.852736
555,90.868984
556,90.888644
557,90.895838
558,90.970788
559,90.92832
560,90.919559
561,90.947985
562,90.976124
563,90.985141
564,90.97737
565,91.006834
566,91.00523
567,90.951036
568,90.959853
569,90.99763
570,91.034626
571,90.955942
572,90.951623
573,91.007886
574,90.976373
575,90.943861
576,90.93995
577,91.02869
578,91.031437
579,90.985266
580,90.977176
581,91.034958
582,90.938136
583,90.955065
584,91.057453
585,90.982772
586,91.035715
587,91.053762
588,91.050062
589,90.950958
590,90.942963
591,90.921578
592,90.932921
593,90.967225
594,90.962447
595,90.948881
596,90.986781
597,91.085326
598,90.978699
599,91.028323
600,91.002719
601,91.001348
602,90.939238
603,90.969565
604,90.89384
605,90.903358
606,90.826234
607,90.951966
608,90.997016
609,90.932659
610,90.997595
611,90.986891
612,90.905199
613,90.9325
614,90.958532
615,91.005963
616,91.117652
617,90.989253
618,90.942024
619,90.950524
620,90.906263
621,90.91463
622,90.991672
623,90.918669
624,90.936502
625,90.975515
626,91.092894
627,91.035123
628,90.959108
629,91.048242
630,91.015487
631,90.984313
632,90.921898
633,91.028597
634,91.001147
635,90.989718
636,90.893392
637,91.029364
638,90.863963
639,91.041069
640,90.916243
641,90.982276
642,90.906431
643,90.774416
644,90.98166
645,91.006445
646,90.918326
647,90.876071
648,90.965365
649,90.926022
650,90.852906
651,91.00363
652,90.838483
653,91.085434
654,91.069802
655,90.9906
656,90.852469
657,90.81874
658,90.795637
659,91.047435
660,90.817341
661,90.693631
662,90.959156
663,90.774777
664,91.093824
665,91.022449
666,90.938289
667,90.949035
668,90.598196
669,90.783084
670,90.940807
671,91.105007
672,90.720869
673,90.581088
674,91.327651
675,91.145206
676,91.084521
677,90.768201
678,91.118536
679,91.18362
680,90.700803
681,90.566328
682,91.220206
683,90.705598
684,90.804247
685,90.854166
686,90.692868
687,91.185691
688,90.563798
689,91.039634
690,90.788848
691,91.055421
692,90.97828
693,91.190348
694,90.677914
695,90.762984
696,91.297829
