Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA510IF"
Comment,""
Public,1
wavedataset
300,0.001793063
301,0.001788813
302,0.005575
303,0.029279
304,0.033643
305,0.011039
306,0.005148
307,0.01486
308,0.131512
309,0.156251
310,0.049891
311,0.016274
312,0.027307
313,0.302869
314,0.963937
315,0.697494
316,0.129399
317,0.112859
318,0.270699
319,2.90785
320,3.036825
321,1.888228
322,1.421059
323,1.776254
324,5.679659
325,21.325601
326,27.253298
327,19.487862
328,17.207245
329,20.880229
330,22.19984
331,21.284324
332,23.94713
333,30.518524
334,31.24692
335,24.416865
336,19.907427
337,23.401079
338,36.173628
339,42.88533
340,32.351321
341,20.961104
342,18.181371
343,24.056943
344,40.583203
345,49.703146
346,37.525574
347,24.033863
348,19.967496
349,23.855826
350,37.991825
351,55.676206
352,53.369165
353,37.698334
354,27.614568
355,26.22922
356,32.962294
357,49.084227
358,65.014406
359,61.553904
360,46.6348
361,36.834786
362,36.187568
363,44.810855
364,62.997545
365,76.206698
366,66.522365
367,48.704112
368,38.084902
369,36.363155
370,42.366696
371,55.152596
372,69.191161
373,74.083748
374,68.943354
375,62.680425
376,60.083923
377,59.822931
378,61.445133
379,65.814643
380,72.832195
381,76.508734
382,69.911194
383,59.684045
384,56.662489
385,66.300149
386,79.407536
387,66.344817
388,43.68755
389,38.969102
390,55.66564
391,10.443914
392,4.612057
393,5.732485
394,4.411882
395,5.817815
396,1.067849
397,0.079566
398,0.010103
399,0.002504
400,0.000777
401,0.000364
402,0.000178
403,0.000118
404,8.8E-05
405,8.9E-05
406,6E-05
407,6E-05
408,7.3E-05
409,6.9E-05
410,4.1E-05
411,7E-05
412,4.3E-05
413,6.8E-05
414,2.1E-05
415,8.3E-05
416,9E-06
417,5.5E-05
418,8E-05
419,6.7E-05
420,4.6E-05
421,2.7E-05
422,6.7E-05
423,6.2E-05
424,2E-05
425,8.4E-05
426,5.9E-05
427,5.5E-05
428,9.7E-05
429,6E-05
430,0.000101
431,4.4E-05
432,3.4E-05
433,4.6E-05
434,5.4E-05
435,7.3E-05
436,4.1E-05
437,6E-05
438,7.5E-05
439,7.2E-05
440,5.6E-05
441,8.3E-05
442,9.3E-05
443,1.2E-05
444,4.6E-05
445,9.4E-05
446,6.1E-05
447,5.4E-05
448,3.7E-05
449,6.1E-05
450,3.8E-05
451,4.9E-05
452,7.3E-05
453,7.3E-05
454,4.9E-05
455,7.6E-05
456,5.5E-05
457,6E-05
458,4.4E-05
459,0.0001
460,7.5E-05
461,5.7E-05
462,4.2E-05
463,3.1E-05
464,6.8E-05
465,7.4E-05
466,7E-05
467,3.6E-05
468,4.2E-05
469,3.7E-05
470,4.9E-05
471,5.4E-05
472,5.4E-05
473,2.7E-05
474,3.8E-05
475,3.1E-05
476,4.8E-05
477,6E-05
478,3.6E-05
479,4.4E-05
480,6.2E-05
481,-1.2E-05
482,0
483,6.9E-05
484,7.2E-05
485,4.8E-05
486,5.5E-05
487,6.8E-05
488,8E-05
489,0.000101
490,0.000101
491,9.3E-05
492,0.000116
493,0.000186
494,0.000249
495,0.00042
496,0.000591
497,0.000992
498,0.001711
499,0.003092
500,0.005815
501,0.011226
502,0.022083
503,0.044755
504,0.094184
505,0.205453
506,0.467725
507,1.124736
508,2.858895
509,7.543586
510,19.448746
511,42.683993
512,71.514899
513,91.475562
514,98.32272
515,99.412819
516,99.326274
517,98.937699
518,98.472342
519,98.173856
520,97.968759
521,97.962163
522,98.128129
523,98.291967
524,98.467025
525,98.558316
526,98.310429
527,98.19137
528,98.278597
529,98.314691
530,98.444142
531,98.624177
532,98.740546
533,98.77185
534,98.714827
535,98.473095
536,98.236477
537,98.04867
538,97.838591
539,97.7198
540,97.818703
541,98.063902
542,98.295108
543,98.572735
544,98.840997
545,99.003472
546,99.079581
547,98.969307
548,98.754352
549,98.451928
550,98.172736
551,98.081064
552,97.76246
553,97.578532
554,97.66945
555,97.709356
556,97.89005
557,98.149297
558,98.400031
559,98.626349
560,98.782403
561,98.969989
562,99.149308
563,99.305144
564,99.330135
565,99.360593
566,99.453288
567,99.440007
568,99.496712
569,99.509177
570,99.488414
571,99.468174
572,99.395024
573,99.402111
574,99.349563
575,99.34451
576,99.10172
577,99.13456
578,99.153871
579,99.052935
580,99.078795
581,98.941665
582,98.899065
583,98.922293
584,99.00513
585,98.995609
586,99.09515
587,99.12069
588,99.258637
589,99.259331
590,99.296539
591,99.27914
592,99.327312
593,99.36719
594,99.327585
595,99.291812
596,99.303575
597,99.342719
598,99.320365
599,99.262805
600,99.345684
601,99.336606
602,99.471671
603,99.407547
604,99.414257
605,99.444891
606,99.448394
607,99.458662
608,99.51417
609,99.46441
610,99.554846
611,99.491891
612,99.50037
613,99.461695
614,99.404237
615,99.404482
616,99.345234
617,99.394442
618,99.348186
619,99.294566
620,99.304504
621,99.245329
622,99.167155
623,99.167644
624,99.264301
625,99.173084
626,99.372812
627,99.181674
628,99.118963
629,99.055806
630,99.185732
631,99.170506
632,99.155841
633,99.197568
634,99.136051
635,99.18597
636,99.092597
637,99.130464
638,99.066624
639,99.062475
640,99.044423
641,98.956898
642,98.937301
643,99.046565
644,99.001403
645,98.916276
646,98.776721
647,98.710615
648,98.690912
649,98.564443
650,98.765216
651,98.739197
652,98.756305
653,98.733767
654,98.77711
655,98.891215
656,98.759752
657,98.871471
658,98.954504
659,99.145351
660,99.065597
661,99.03081
662,99.047467
663,99.12884
664,99.130212
665,99.034396
666,98.955707
667,98.98881
668,99.179096
669,98.853482
670,98.749318
671,98.663522
672,98.74908
673,98.681088
674,98.826492
675,98.797658
676,98.764461
677,98.694686
678,98.34401
679,98.655924
680,98.536371
681,99.268217
682,98.578202
683,99.502687
684,99.193111
685,99.04091
686,99.11497
687,99.12023
688,99.285576
689,98.721917
690,99.244908
691,98.959661
692,99.494724
693,99.093645
694,99.300056
695,99.089741
696,98.838094
697,99.015631
698,98.688235
699,98.444465
700,98.55189
701,98.991161
702,98.940198
703,98.878931
704,98.963298
705,98.748924
706,98.926066
707,98.793022
708,98.899057
709,98.814295
710,98.811122
711,98.309551
712,98.193536
713,98.702434
714,98.158874
715,98.613851
716,98.626418
717,98.182447
718,98.304509
719,98.338303
720,97.924951
721,97.582591
722,98.233056
723,97.960612
724,98.041717
725,98.341552
726,98.176615
727,98.649685
728,98.675771
729,98.55108
730,98.322119
731,98.287486
732,98.295717
733,98.292763
734,97.861563
735,97.459425
736,96.953808
737,96.693563
738,95.875245
739,94.888208
740,93.961642
741,93.339267
742,92.31898
743,91.145302
744,90.155281
745,89.237984
746,88.101336
747,87.322143
748,86.316056
749,85.195664
750,84.512422
751,84.125852
752,83.695825
753,83.274374
754,82.984647
755,83.31397
756,83.571456
757,83.888665
758,84.42242
759,85.299586
760,86.310738
761,87.270909
762,88.555105
763,89.569467
764,90.738553
765,92.118981
766,93.192229
767,94.229786
768,95.106015
769,95.731484
770,95.919556
771,95.728531
772,95.059058
773,94.317782
774,93.184191
775,91.227939
776,88.855207
777,86.32859
778,83.694717
779,81.162493
780,78.494572
781,75.595936
782,72.737329
783,70.159882
784,67.640434
785,65.275809
786,63.267858
787,61.264274
788,59.551575
789,58.089799
790,56.764828
791,55.782482
792,54.974586
793,54.428306
794,54.217008
795,54.009798
796,54.085521
797,54.496167
798,55.195636
799,56.002371
800,57.077465
801,58.650855
802,60.20722
803,62.032291
804,64.314781
805,66.91039
806,69.487238
807,72.465999
808,75.669651
809,79.097674
810,82.421954
811,85.388986
812,87.904973
813,90.224115
814,92.017235
815,92.746321
816,92.409248
817,91.752972
818,89.836145
819,87.356491
820,83.905579
821,80.108429
822,76.324386
823,72.092905
824,67.850367
825,63.886022
826,60.101702
827,56.383656
828,52.975604
829,50.163852
830,47.489732
831,45.132012
832,42.988146
833,41.091836
834,39.491432
835,38.097127
836,36.830461
837,35.866338
838,35.180344
839,34.52629
840,34.047439
841,33.813186
842,33.721678
843,33.867715
844,34.081077
845,34.434102
846,34.835208
847,35.668707
848,36.591738
849,37.785559
850,39.042819
851,40.580152
852,42.425291
853,44.457633
854,46.873551
855,49.521389
856,52.504022
857,55.914509
858,59.398003
859,63.536058
860,67.559801
861,71.983888
862,76.544521
863,80.715266
864,84.059335
865,87.090699
866,90.022971
867,91.361277
868,91.353096
869,90.414974
870,88.198974
871,84.969243
872,81.670722
873,77.712817
874,72.815247
875,68.340088
876,63.835219
877,59.989336
878,55.834176
879,52.170234
880,48.957258
881,46.445315
882,43.871636
883,41.381842
884,39.176231
885,37.585633
886,36.245958
887,34.869265
888,33.353085
889,32.789182
890,31.253687
891,31.212903
892,30.462371
893,30.088473
894,29.34014
895,29.179654
896,29.313248
897,29.61254
898,30.201749
899,30.264349
