Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA515-560YFP"
Comment,""
Public,1
wavedataset
300,0.00576577
301,0.0246953
302,0.0462046
303,0.0912202
304,0.753926
305,3.18975
306,11.8316
307,20.9852
308,19.8582
309,24.4318
310,24.6485
311,25.6072
312,42.6056
313,32.0036
314,23.6061
315,43.121
316,39.0245
317,37.2232
318,54.9383
319,34.9334
320,32.2225
321,53.4899
322,50.1105
323,47.1459
324,43.2244
325,35.3104
326,51.5941
327,45.4159
328,23.0992
329,30.8448
330,51.7189
331,28.7959
332,19.3286
333,40.2362
334,48.2072
335,21.7039
336,20.2676
337,35.3373
338,31.5317
339,17.5033
340,17.7896
341,26.6276
342,29.8378
343,27.5846
344,37.5708
345,59.5119
346,57.648
347,44.0856
348,46.7009
349,57.3202
350,58.3024
351,54.0551
352,60.0626
353,74.7667
354,80.298
355,77.5413
356,81.987
357,81.1542
358,65.6484
359,57.5262
360,60.9639
361,57.5402
362,43.7475
363,42.3791
364,61.0286
365,63.8113
366,37.2415
367,28.53
368,42.8319
369,56.525
370,32.9818
371,21.0358
372,31.464
373,56.4282
374,33.781
375,14.8519
376,16.3057
377,46.3782
378,63.2875
379,24.1922
380,17.026
381,36.5983
382,60.9871
383,28.7955
384,17.6753
385,33.8613
386,65.5007
387,35.3392
388,19.2555
389,31.2668
390,51.4109
391,29.007
392,18.5729
393,39.4614
394,42.301
395,13.7399
396,23.5362
397,22.9755
398,5.13492
399,13.5707
400,3.05098
401,1.81859
402,0.040734
403,0.00108332
404,0.000211696
405,0.000128328
406,3.55E-05
407,-1.85E-05
408,2.82E-05
409,-0.000198527
410,-0.000111567
411,7.2E-05
412,-4.01E-05
413,-0.000139987
414,-0.000161782
415,-0.00013957
416,-0.000157617
417,5.31E-05
418,0.000102243
419,0.000124113
420,-0.000120132
421,-2.96E-05
422,0.000142482
423,2.57E-05
424,3.37E-06
425,-7.1E-05
426,-9.47E-05
427,7.98E-05
428,-2.27E-05
429,-6E-05
430,8.34E-05
431,1.11E-05
432,1.3E-05
433,6.83E-05
434,3.59E-05
435,-8.03E-05
436,-3.04E-05
437,1.16E-05
438,-4.35E-05
439,1.42E-05
440,-0.000129739
441,-0.000112156
442,0.000143007
443,-3.86E-05
444,8.57E-05
445,-4.14E-06
446,0.000176816
447,-6.28E-05
448,8.95E-05
449,6.78E-05
450,-4.37E-06
451,-8.89E-05
452,-2.28E-05
453,3.21E-05
454,0.000111884
455,-8.07E-05
456,7.55E-05
457,3.58E-05
458,4.68E-05
459,5.84E-05
460,-1.02E-05
461,-9.65E-06
462,-1.05E-05
463,-1.05E-05
464,-4.33E-05
465,-2.93E-05
466,1.38E-05
467,5.42E-05
468,-9.65E-06
469,-9.31E-07
470,-9.94E-06
471,8.73E-05
472,-1.25E-05
473,7.19E-05
474,-7.15E-05
475,4.36E-05
476,-5.15E-05
477,-0.000106821
478,-0.000113808
479,-6.73E-05
480,-3.81E-05
481,9.08E-05
482,1.08E-05
483,7.66E-05
484,-9.09E-05
485,2.49E-05
486,7.03E-06
487,4.56E-05
488,0.000105116
489,-5.89E-06
490,6.14E-05
491,5.07E-05
492,-7.23E-05
493,-5.52E-05
494,-1.7E-05
495,5.98E-05
496,-0.000120301
497,4.22E-05
498,4.2E-05
499,0.000142267
500,-3.28E-05
501,5.94E-05
502,5.27E-05
503,2.67E-05
504,-9.89E-06
505,-0.000145014
506,6.12E-05
507,-1.8E-05
508,-9.71E-05
509,0.000126129
510,0.000201637
511,0.000389844
512,0.000882421
513,0.00272873
514,0.0130909
515,0.0922287
516,1.05784
517,15.8153
518,73.2486
519,98.3281
520,99.2036
521,99.4257
522,99.0891
523,98.9672
524,98.9405
525,99.1509
526,99.0231
527,99.1243
528,99.7291
529,99.9021
530,99.7267
531,99.9066
532,99.6955
533,99.7531
534,99.9369
535,99.5372
536,99.2344
537,99.2111
538,99.179
539,99.6151
540,99.7978
541,99.9329
542,99.6204
543,99.2635
544,99.383
545,99.3107
546,99.6953
547,99.7027
548,99.8064
549,99.7623
550,99.6909
551,99.4564
552,99.16
553,98.6482
554,97.9646
555,97.0286
556,97.0401
557,98.5599
558,96.9838
559,81.3515
560,49.4047
561,22.7898
562,9.66271
563,4.28404
564,2.0646
565,1.08841
566,0.620008
567,0.371216
568,0.239424
569,0.163773
570,0.113002
571,0.0810689
572,0.0589993
573,0.0430614
574,0.0297989
575,0.0206502
576,0.0137603
577,0.00928523
578,0.00587571
579,0.00371309
580,0.00261136
581,0.0017821
582,0.0011659
583,0.000913074
584,0.000577228
585,0.000548462
586,0.000377696
587,0.000322057
588,0.000301329
589,7.18E-05
590,0.000191434
591,0.000149674
592,0.000146261
593,0.000228768
594,9.25E-05
595,0.000133614
596,0.000183284
597,0.000204676
598,0.000189012
599,0.000190113
600,0.000156641
601,7.33E-05
602,8.16E-05
603,7.46E-05
604,7.51E-05
605,2.39E-05
606,7.81E-05
607,2.86E-05
608,-8.69E-07
609,5.73E-05
610,-2.02E-05
611,2.29E-05
612,3.33E-05
613,3.3E-05
614,-8.05E-06
615,1.78E-05
616,-1.84E-05
617,6.06E-05
618,3.15E-05
619,-1.6E-05
620,-4.79E-05
621,-2.7E-05
622,3.92E-05
623,-2.65E-06
624,2.21E-05
625,2.04E-05
626,2.89E-05
627,5.06E-05
628,6.69E-05
629,2.14E-05
