Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA575-625(U-FGWA,U-FGNA)"
Comment,""
Public,1
wavedataset
300,0.295546
301,0.399708
302,0.538458
303,0.555303
304,0.100609
305,0.0120907
306,0.00792922
307,0.00371993
308,0.00219997
309,0.00261398
310,0.00342118
311,0.00263324
312,0.00166353
313,0.00216531
314,0.00347428
315,0.00147128
316,0.00150736
317,0.00212436
318,0.0028286
319,0.00148306
320,0.00163049
321,0.00456014
322,0.0120539
323,0.0065735
324,0.0281272
325,0.286243
326,1.22295
327,6.35366
328,10.787
329,11.2543
330,12.0679
331,20.9523
332,20.3799
333,14.6443
334,11.0049
335,13.3138
336,23.0883
337,22.78
338,14.5934
339,10.4734
340,13.1441
341,21.4537
342,22.8526
343,16.3929
344,13.6624
345,18.0466
346,28.4331
347,28.0867
348,18.8364
349,15.628
350,20.339
351,38.7489
352,52.175
353,33.2529
354,20.1834
355,19.3905
356,29.3009
357,58.0947
358,67.8567
359,37.9402
360,23.8252
361,24.0156
362,34.2669
363,51.8543
364,53.1604
365,36.3407
366,24.8455
367,22.6628
368,27.8225
369,38.2421
370,42.9405
371,36.2311
372,27.8147
373,24.2958
374,27.7518
375,46.4345
376,79.956
377,70.5818
378,38.4889
379,26.079
380,24.4312
381,29.4123
382,45.6497
383,75.0317
384,76.0907
385,44.5464
386,28.6384
387,26.8169
388,34.1871
389,50.9816
390,68.6802
391,69.7138
392,52.2683
393,35.1905
394,27.4803
395,28.8985
396,41.7005
397,62.9796
398,62.7179
399,43.4282
400,32.5756
401,30.2862
402,32.0705
403,36.2181
404,44.5229
405,56.9167
406,58.053
407,42.0481
408,28.2304
409,23.5249
410,26.4433
411,39.0355
412,60.0287
413,61.2167
414,40.2936
415,25.9966
416,20.5739
417,20.6072
418,26.8049
419,43.8923
420,59.5798
421,39.0339
422,18.0813
423,10.5164
424,8.62732
425,10.4668
426,21.6849
427,49.5891
428,31.7534
429,8.83331
430,4.11225
431,3.08707
432,3.79519
433,11.9977
434,37.7981
435,11.8722
436,1.69529
437,0.727768
438,0.560148
439,0.817562
440,7.28081
441,11.1576
442,0.664266
