Type,Emitter
Maker,"Semrock"
ProductName,"CFW-BP01-Clin-25"
Comment,""
Public,1
wavedataset
200,1E-05
200.2,1E-05
200.4,1E-05
200.6,0.00054433
200.8,1E-05
201,6.031E-05
201.2,0.00050388
201.4,0.0006657
201.6,4.749E-05
201.8,1E-05
202,0.00022635
202.2,1E-05
202.4,1E-05
202.6,0.00018058
202.8,1E-05
203,0.00022507
203.2,0.00022564
203.4,1E-05
203.6,1E-05
203.8,1E-05
204,1E-05
204.2,0.00028621
204.4,7.6948E-05
204.6,1E-05
204.8,0.00066849
205,0.00021979
205.2,1E-05
205.4,0.00056394
205.6,0.00067751
205.8,0.00083679
206,0.00019807
206.2,1E-05
206.4,4.156E-05
206.6,0.00031326
206.8,5.0968E-05
207,6.4164E-05
207.2,1E-05
207.4,0.00011298
207.6,1E-05
207.8,1E-05
208,0.00010632
208.2,9.8759E-05
208.4,0.00065133
208.6,1E-05
208.8,4.7174E-05
209,0.00042626
209.2,1E-05
209.4,7.8085E-05
209.6,0.0001605
209.8,1.8796E-05
210,7.9188E-05
210.2,0.00048385
210.4,0.00010423
210.6,3.9609E-05
210.8,0.00022525
211,0.00013903
211.2,2.7921E-05
211.4,0.00012767
211.6,8.4708E-06
211.8,1E-05
212,1E-05
212.2,8.6649E-05
212.4,1.5433E-05
212.6,0.00013472
212.8,1E-05
213,1E-05
213.2,1E-05
213.4,1E-05
213.6,1E-05
213.8,1E-05
214,3.0634E-05
214.2,5.0991E-05
214.4,5.7045E-05
214.6,1E-05
214.8,1E-05
215,0.00021092
215.2,0.00017686
215.4,1.8383E-05
215.6,0.00015588
215.8,0.00016836
216,2.3994E-05
216.2,0.00012747
216.4,1E-05
216.6,1E-05
216.8,1E-05
217,1E-05
217.2,1E-05
217.4,1E-05
217.6,4.1951E-05
217.8,1E-05
218,1E-05
218.2,4.1781E-05
218.4,5.1026E-05
218.6,1E-05
218.8,1E-05
219,1E-05
219.2,1E-05
219.4,0.00029695
219.6,0.00017752
219.8,4.5546E-06
220,1.1955E-05
220.2,1.1955E-05
220.4,1E-05
220.6,1E-05
220.8,1E-05
221,1E-05
221.2,1.9526E-05
