Type,Emitter
Maker,"Chroma"
ProductName,"D585/40m"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.001
350,0.001
351,0.001
352,0.001
353,0.001
354,0.001
355,0.001
356,0.001
357,0.001
358,0.001
359,0.001
360,0.001
361,0.001
362,0.001
363,0.001
364,0.001
365,0.001
366,0.001
367,0.001
368,0.001
369,0.001
370,0.001
371,0.001
372,0.001
373,0.001
374,0.001
375,0.001
376,0.001
377,0.001
378,0.001
379,0.001
380,0.001
381,0.001
382,0.001
383,0.001
384,0.001
385,0.001
386,0.001
387,0.001
388,0.001
389,0.001
390,0.001
391,0.001
392,0.001
393,0.001
394,0.001
395,0.001
396,0.001
397,0.001
398,0.001
399,0.001
400,0.001
401,0.001
402,0.001
403,0.001
404,0.001
405,0.001
406,0.001
407,0.001
408,0.001
409,0.001
410,0.001
411,0.001
412,0.001
413,0.001
414,0.001
415,0.001
416,0.001
417,0.001
418,0.001
419,0.001
420,0.001
421,0.001
422,0.001
423,0.001
424,0.001
425,0.001
426,0.001
427,0.001
428,0.001
429,0.001
430,0.001
431,0.001
432,0.001
433,0.001
434,0.001
435,0.001
436,0.001
437,0.001
438,0.001
439,0.001
440,0.001
441,0.001
442,0.001
443,0.001
444,0.001
445,0.001
446,0.001
447,0.001
448,0.001
449,0.001
450,0.001
451,0.001
452,0.001
453,0.001
454,0.001
455,0.001
456,0.001
457,0.001
458,0.001
459,0.001
460,0.001
461,0.001
462,0.001
463,0.001
464,0.001
465,0.001
466,0.001
467,0.001
468,0.001
469,0.001
470,0.001
471,0.001
472,0.001
473,0.001
474,0.001
475,0.001
476,0.001
477,0.001
478,0.001
479,0.001
480,0.001
481,0.001
482,0.001
