Type,Emitter
Maker,"Chroma"
ProductName,"E400LPv2"
Comment,""
Public,1
wavedataset
300,1E-06
301,0.0012
302,1E-06
303,1E-06
304,1E-06
305,1E-06
306,0.0003661
307,1E-06
308,0.0003365
309,5.623E-05
310,1E-06
311,1E-06
312,0.0009364
313,1E-06
314,0.0004942
315,0.001485
316,0.001222
317,1E-06
318,0.0009175
319,3.415E-05
320,1E-06
321,1E-06
322,1E-06
323,0.00159
324,1E-06
325,1E-06
326,1E-06
327,1E-06
328,0.0007103
329,0.0001621
330,1E-06
331,0.0004386
332,0.0001981
333,0.0002126
334,1E-06
335,1E-06
336,1E-06
337,0.0005647
338,0.0009778
339,1E-06
340,0.001125
341,0.001022
342,0.0008121
343,8.503E-05
344,0.0005528
345,1E-06
346,0.0001431
347,0.0005016
348,0.0002265
349,1E-06
350,0.0006338
351,0.0003559
352,0.0002265
353,1E-06
354,1E-06
355,1E-06
356,7.682E-05
357,0.0005996
358,1E-06
359,1E-06
360,1E-06
361,0.0004781
362,0.0003409
363,1E-06
364,1E-06
365,0.0001882
366,1E-06
367,6.515E-05
368,0.000474
369,0.0003938
370,0.000157
371,1E-06
372,1E-06
373,0.0002622
374,6.663E-05
375,1E-06
376,0.0002256
377,1E-06
378,0.0001581
379,1E-06
380,1E-06
381,0.0002249
382,0.0002314
383,0.0002375
384,0.0003604
385,0.001374
386,0.003572
387,0.01067
388,0.02892
389,0.07228
390,0.1703
391,0.3771
392,0.8141
393,1.758
394,3.432
395,6.241
396,10.39
397,15.57
398,21.1
399,26.42
400,31.3
401,35.46
402,39.35
403,43.15
404,46.63
405,49.85
406,53.09
407,55.92
408,58.49
409,60.69
410,62.72
411,64.49
412,66.05
413,67.37
414,68.85
415,70.21
416,71.46
417,72.62
418,73.85
419,75.19
420,76.25
421,77.36
422,78.41
423,79.41
424,80.29
425,81.03
426,81.67
427,82.13
428,82.58
429,82.77
430,83.11
431,83.23
432,83.31
433,83.28
434,83.45
435,83.38
436,83.5
437,83.5
438,83.63
439,83.88
440,83.85
441,84.17
442,84.41
443,84.61
444,85.12
445,85.35
446,85.71
447,86.19
448,86.5
449,86.88
450,87.07
451,87.4
452,87.82
453,88.01
454,88.49
455,88.58
456,88.83
457,89.02
458,89.1
459,89.16
460,89.25
461,89.23
462,89.24
463,89.25
464,89.38
465,89.38
466,89.33
467,89.44
468,89.46
469,89.45
470,89.5
471,89.54
472,89.52
473,89.7
474,89.74
475,89.82
476,89.94
477,90.09
478,90.25
479,90.4
480,90.46
481,90.59
482,90.79
483,91.03
484,90.92
485,91.16
486,91.3
487,91.35
488,91.49
489,91.49
490,91.55
491,91.71
492,91.78
493,91.79
494,91.8
495,91.8
496,91.76
497,91.75
498,91.66
499,91.68
500,91.54
501,91.64
502,91.51
503,91.63
504,91.6
505,91.56
506,91.62
507,91.4
508,91.46
509,91.48
510,91.56
511,91.39
512,91.41
513,91.34
514,91.5
515,91.43
516,91.42
517,91.45
518,91.6
519,91.71
520,91.71
521,91.81
522,91.98
523,92.01
524,92.01
525,91.93
526,92.01
527,92.11
528,92.11
529,92.16
530,92.14
531,92.2
532,92.31
533,92.22
534,92.23
535,92.29
536,92.33
537,92.37
538,92.19
539,92.15
540,92.13
541,92.07
542,92.08
543,91.97
544,92.05
545,91.83
546,91.8
547,91.78
548,91.64
549,91.52
550,91.51
551,91.41
552,91.3
553,91.36
554,91.12
555,91.16
556,91.06
557,90.95
558,90.96
559,90.82
560,90.96
561,90.84
562,90.76
563,90.77
564,90.77
565,90.63
566,90.58
567,90.7
568,90.65
569,90.56
570,90.68
571,90.62
572,90.62
573,90.65
574,90.72
575,90.63
576,90.71
577,90.77
578,90.65
579,90.74
580,90.67
581,90.77
582,90.95
583,90.93
584,90.92
585,90.91
586,90.93
587,90.99
588,90.98
589,91
590,91.13
591,91.04
592,91.12
593,91.11
594,91.3
595,91.25
596,91.24
597,91.26
598,91.3
599,91.33
600,91.42
601,91.41
602,91.41
603,91.38
604,91.28
605,91.38
606,91.36
607,91.33
608,91.39
609,91.2
610,91.13
611,91.2
612,90.99
613,90.95
614,90.88
615,90.86
616,90.84
617,90.65
618,90.61
619,90.5
620,90.34
621,90.35
622,90.23
623,90.15
624,89.96
625,89.91
626,89.78
627,89.71
628,89.56
629,89.59
630,89.38
631,89.37
632,89.26
633,89.14
634,89.09
635,88.9
636,88.78
637,88.81
638,88.67
639,88.71
640,88.58
641,88.52
642,88.47
643,88.4
644,88.43
645,88.38
646,88.32
647,88.35
648,88.35
649,88.35
650,88.29
651,88.35
652,88.26
653,88.37
654,88.46
655,88.49
656,88.52
657,88.55
658,88.6
659,88.71
660,88.76
661,88.74
662,88.89
663,89.02
664,89.01
665,89.14
666,89.18
667,89.25
668,89.38
669,89.51
670,89.65
671,89.68
672,89.76
673,89.91
674,90.03
675,90.13
676,90.22
677,90.27
678,90.48
679,90.47
680,90.72
681,90.85
682,90.9
683,90.99
684,91.1
685,91.13
686,91.41
687,91.34
688,91.58
689,91.51
690,91.57
691,91.77
692,91.65
693,91.81
694,91.93
695,91.81
696,91.94
697,91.92
698,91.97
699,92.06
700,92.04
701,92.24
702,92.06
703,92.16
704,92.19
705,92.15
706,92.19
707,92.01
708,92.14
709,92.22
710,92.16
711,92.21
712,92.09
713,92.19
714,92.13
715,92.2
716,92.11
717,92.07
718,92.07
719,92.16
720,92
721,92.03
722,92.07
723,91.97
724,92.01
725,91.98
726,91.82
727,92
728,91.8
729,91.81
730,92.01
731,91.94
732,91.8
733,91.84
734,91.72
735,91.76
736,91.85
737,91.64
738,91.68
739,91.81
740,91.73
741,91.75
742,91.89
743,91.69
744,91.75
745,91.7
746,91.65
747,91.86
748,91.72
749,91.68
750,91.8
751,91.76
752,91.7
753,91.7
754,91.62
755,91.78
756,91.77
757,91.71
758,91.7
759,91.71
760,91.77
761,91.87
762,91.64
763,91.76
764,91.79
765,91.71
766,91.7
767,91.85
768,91.83
769,91.79
770,91.91
771,91.9
772,91.74
773,91.9
774,91.91
775,91.92
776,91.94
777,91.85
778,91.82
779,91.74
780,91.99
781,91.93
782,91.67
783,91.83
784,91.77
785,91.84
786,92.02
787,91.86
788,91.83
789,91.98
790,91.9
791,91.89
792,91.7
793,91.89
794,91.92
795,91.88
796,91.81
797,91.75
798,91.79
799,91.67
800,91.76
801,91.91
802,91.65
803,91.84
804,91.82
805,91.57
806,91.71
807,91.67
808,91.63
809,91.73
810,91.6
811,91.58
812,91.66
813,91.45
814,91.53
815,91.38
816,91.47
817,91.42
818,91.57
819,91.4
820,91.24
821,91.31
822,91.24
823,91.17
824,91.18
825,91.23
826,91.32
827,91.19
828,91.21
829,91
830,90.88
831,90.89
832,91.14
833,90.99
834,91.22
835,91.04
836,91.19
837,91.25
838,90.72
839,91.04
840,90.8
841,91.08
842,91.06
843,90.9
844,90.9
845,90.76
846,90.54
847,90.32
848,91.01
849,90.85
850,90.41
851,90.79
852,90.63
853,90.9
854,90.56
855,90.7
856,90.82
857,90.7
858,90.56
859,90.57
860,90.59
861,90.64
862,90.69
863,90.66
864,90.63
865,90.62
866,90.6
867,90.59
868,90.57
869,90.62
870,90.67
871,90.67
872,90.68
873,90.69
874,90.71
875,90.75
876,90.79
877,90.78
878,90.77
879,90.8
880,90.84
881,90.89
882,90.94
883,90.95
884,90.97
885,91.05
886,91.13
887,91.11
888,91.1
889,91.12
890,91.15
891,91.18
892,91.22
893,91.26
894,91.3
895,91.33
896,91.35
897,91.42
898,91.48
899,91.5
900,91.53
901,91.57
902,91.6
903,91.63
904,91.67
905,91.73
906,91.79
907,91.81
908,91.83
909,91.84
910,91.86
911,91.95
912,92.04
913,92.04
914,92.03
915,92.07
916,92.11
917,92.18
918,92.24
919,92.27
920,92.3
921,92.31
922,92.32
923,92.34
924,92.35
925,92.4
926,92.44
927,92.5
928,92.56
929,92.59
930,92.62
931,92.63
932,92.65
933,92.7
934,92.75
935,92.74
936,92.73
937,92.78
938,92.83
939,92.85
940,92.87
941,92.9
942,92.93
943,92.92
944,92.92
945,92.96
946,93.01
947,92.98
948,92.95
949,92.95
950,92.95
951,92.98
952,93
953,92.98
954,92.96
955,92.96
956,92.95
957,92.99
958,93.03
959,92.99
960,92.94
961,92.9
962,92.87
963,92.88
964,92.89
965,92.91
966,92.93
967,92.9
968,92.88
969,92.83
970,92.78
971,92.79
972,92.8
973,92.75
974,92.71
975,92.72
976,92.73
977,92.71
978,92.7
979,92.67
980,92.64
981,92.65
982,92.65
983,92.55
984,92.44
985,92.45
986,92.47
987,92.36
988,92.26
989,92.28
990,92.31
991,92.28
992,92.25
993,92.22
994,92.19
995,92.16
996,92.13
997,92.03
998,91.94
999,91.93
1000,91.91
1001,91.91
1002,91.9
1003,91.79
1004,91.68
1005,91.67
1006,91.65
1007,91.59
1008,91.53
1009,91.47
1010,91.41
1011,91.42
1012,91.43
1013,91.36
1014,91.29
1015,91.25
1016,91.22
1017,91.16
1018,91.11
1019,91.06
1020,91.02
1021,90.96
1022,90.91
1023,90.86
1024,90.82
1025,90.79
1026,90.76
1027,90.7
1028,90.64
1029,90.59
1030,90.53
1031,90.53
1032,90.53
1033,90.47
1034,90.4
1035,90.39
1036,90.37
1037,90.34
1038,90.31
1039,90.24
1040,90.17
1041,90.16
1042,90.14
1043,90.13
1044,90.12
1045,90.06
1046,90.01
1047,89.96
1048,89.9
1049,89.87
1050,89.83
1051,89.82
1052,89.82
1053,89.77
1054,89.72
1055,89.71
1056,89.7
1057,89.67
1058,89.64
1059,89.62
1060,89.6
1061,89.58
1062,89.55
1063,89.53
1064,89.51
1065,89.48
1066,89.45
1067,89.45
1068,89.45
1069,89.41
1070,89.37
1071,89.35
1072,89.34
1073,89.34
1074,89.35
1075,89.38
1076,89.4
1077,89.35
1078,89.29
1079,89.3
1080,89.3
1081,89.33
1082,89.35
1083,89.36
1084,89.37
1085,89.35
1086,89.34
1087,89.28
1088,89.22
1089,89.26
1090,89.29
1091,89.27
1092,89.25
1093,89.32
1094,89.39
1095,89.36
1096,89.33
1097,89.35
1098,89.37
1099,89.35
1100,89.34
1101,89.36
1102,89.38
1103,89.41
1104,89.44
1105,89.46
1106,89.49
1107,89.52
1108,89.55
1109,89.56
1110,89.57
1111,89.57
