Type,Emitter
Maker,"Semrock"
ProductName,"FF01-357/44-25"
Comment,""
Public,1
wavedataset
200,0.00045164
200.2,0.00058442
200.4,1E-05
200.6,1E-05
200.8,0.00092788
201,0.0012633
201.2,1E-05
201.4,6.5451E-05
201.6,6.5451E-05
201.8,1E-05
202,1E-05
202.2,1E-05
202.4,0.0017818
202.6,0.00017619
202.8,0.00026361
203,1E-05
203.2,1E-05
203.4,0.00020026
203.6,1E-05
203.8,6.4865E-05
204,0.00047433
204.2,0.001533
204.4,0.0019437
204.6,0.0026298
204.8,0.0011984
205,0.00039471
205.2,1E-05
205.4,0.002067
205.6,0.00027502
205.8,1E-05
206,0.00028361
206.2,0.00032535
206.4,1E-05
206.6,0.00098112
206.8,1E-05
207,0.00032612
207.2,1E-05
207.4,2.5607E-05
207.6,0.00052577
207.8,1E-05
208,4.9664E-05
208.2,4.9664E-05
208.4,4.0947E-05
208.6,0.0026816
208.8,5.893E-05
209,1E-05
209.2,0.00048195
209.4,0.0011406
209.6,1E-05
209.8,0.0001327
210,1E-05
210.2,8.9055E-05
210.4,0.0014646
210.6,5.3518E-05
210.8,1E-05
211,1E-05
211.2,1E-05
211.4,1E-05
211.6,3.2377E-05
211.8,3.2377E-05
212,1E-05
212.2,1E-05
212.4,0.00014837
212.6,1E-05
212.8,1E-05
213,1E-05
213.2,0.00075482
213.4,0.0014711
213.6,0.00033862
213.8,1E-05
214,0.00021822
214.2,1E-05
214.4,0.00036235
214.6,0.00015126
214.8,7.2854E-06
215,1E-05
215.2,0.00065103
215.4,5.1572E-05
215.6,0.00038406
215.8,3.8328E-05
216,2.3585E-05
216.2,1E-05
216.4,0.001585
216.6,0.0014544
216.8,0.002231
217,3.7747E-05
217.2,0.00080048
217.4,1E-05
217.6,0.00026646
217.8,0.0003747
218,0.00045729
218.2,1E-05
218.4,0.00010449
218.6,0.001252
218.8,0.00012076
219,1.0514E-05
219.2,1E-05
219.4,1E-05
219.6,1E-05
219.8,0.0010451
220,3.8103E-05
220.2,0.00076399
220.4,1E-05
220.6,4.0628E-05
220.8,0.0010456
221,0.0018939
221.2,0.00015642
221.4,1E-05
221.6,1E-05
221.8,0.00090209
222,0.00026664
222.2,0.00075399
222.4,0.00017935
222.6,0.00019444
222.8,0.000243
223,1E-05
223.2,0.00022948
223.4,0.00064259
223.6,3.2415E-05
223.8,0.0002374
224,0.00016512
224.2,1E-05
224.4,0.00015462
224.6,4.7793E-05
224.8,1E-05
225,1E-05
225.2,1E-05
225.4,1E-05
225.6,1E-05
225.8,0.00041399
226,0.00025136
226.2,0.00018039
226.4,0.00029296
226.6,1E-05
226.8,9.585E-05
227,0.0004765
227.2,3.3802E-05
227.4,0.00035926
227.6,1E-05
227.8,2.6433E-05
228,0.00016299
228.2,1E-05
228.4,0.00058876
228.6,0.00013768
228.8,0.00036571
229,5.8883E-05
229.2,0.00010379
229.4,1E-05
229.6,0.00030616
229.8,0.00012638
230,0.0001759
230.2,1.0832E-05
230.4,1.0832E-05
230.6,1E-05
230.8,9.4306E-05
231,1E-05
231.2,1E-05
231.4,0.00012729
231.6,7.9264E-05
231.8,0.00031814
232,0.0002791
232.2,2.8792E-05
232.4,0.00021581
232.6,1E-05
232.8,1E-05
233,1E-05
233.2,0.00038928
233.4,0.00038687
233.6,0.00019578
233.8,0.00011968
234,0.00012742
234.2,1.7622E-05
234.4,2.6449E-05
234.6,1E-05
234.8,1E-05
235,0.00048506
235.2,3.469E-05
235.4,0.00019603
235.6,0.00020428
235.8,1.5349E-05
236,1E-05
236.2,0.00010011
236.4,1E-05
236.6,0.00065595
236.8,2.4369E-05
237,7.5444E-05
237.2,1E-05
237.4,1E-05
237.6,1E-05
237.8,9.8004E-06
238,1E-05
238.2,1E-05
238.4,1E-05
238.6,1E-05
238.8,1E-05
239,1E-05
239.2,2.9321E-05
239.4,0.00036991
239.6,6.9539E-05
239.8,1E-05
240,0.00014404
240.2,0.0008123
240.4,1E-05
240.6,1E-05
240.8,0.00012342
241,0.00010537
241.2,8.0415E-05
241.4,2.7412E-05
241.6,0.00012472
241.8,1.1365E-05
242,1E-05
242.2,2.2293E-05
242.4,0.00015798
242.6,2.3525E-05
242.8,0.00032341
243,1.7922E-05
243.2,1E-05
243.4,0.00029972
243.6,2.8051E-05
243.8,0.00036589
244,1E-05
244.2,0.00012739
244.4,0.00048112
244.6,0.00010509
244.8,1E-05
245,1E-05
245.2,0.00015272
245.4,4.0782E-05
245.6,0.00021564
245.8,1E-05
246,8.8667E-05
246.2,0.0006782
246.4,0.0001112
246.6,1E-05
246.8,1E-05
247,0.00018765
247.2,2.9368E-05
247.4,9.5962E-05
247.6,0.00014563
247.8,6.8203E-05
248,1E-05
248.2,0.00014989
248.4,1.961E-05
248.6,4.9935E-05
248.8,0.00045974
249,2.5855E-05
249.2,1E-05
249.4,0.000227
249.6,0.00022992
249.8,0.00011335
250,1E-05
250.2,1E-05
250.4,6.6446E-05
250.6,0.00022143
250.8,3.5649E-05
251,1E-05
251.2,5.4415E-05
251.4,0.00019635
251.6,2.9485E-05
251.8,0.0002406
252,0.00031722
252.2,1E-05
252.4,0.00036578
252.6,0.00036737
252.8,0.00053987
253,2.604E-05
