Type,Emitter
Maker,"Chroma"
ProductName,"HQ500LP"
Comment,""
Public,1
wavedataset
300,0.00095
301,0.00095
302,0.00095
303,0.00095
304,0.00095
305,0.00095
306,0.00095
307,0.00095
308,0.00095
309,0.00095
310,0.00095
311,0.00095
312,0.00095
313,0.00095
314,0.00095
315,0.00095
316,0.00095
317,0.00095
318,0.00095
319,0.00095
320,0.00095
321,0.00095
322,0.00095
323,0.00095
324,0.00095
325,0.00095
326,0.00095
327,0.00095
328,0.00095
329,0.00095
330,0.00095
331,0.00095
332,0.00095
333,0.00095
334,0.00095
335,0.00095
336,0.00095
337,0.00095
338,0.00095
339,0.00095
340,0.00095
341,0.00095
342,0.00095
343,0.00095
344,0.00095
345,0.00095
346,0.00095
347,0.00095
348,0.00095
349,0.00095
350,0.00095
351,0.00095
352,0.00095
353,0.00095
354,0.00095
355,0.00095
356,0.00095
357,0.00095
358,0.00095
359,0.00095
360,0.00095
361,0.00095
362,0.00095
363,0.00095
364,0.00095
365,0.00095
366,0.00095
367,0.00095
368,0.00095
369,0.00095
370,0.00095
371,0.00095
372,0.00095
373,0.00095
374,0.00095
375,0.00095
376,0.00095
377,0.00095
378,0.00095
379,0.00095
380,0.00095
381,0.00095
382,0.00095
383,0.00095
384,0.00095
385,0.00095
386,0.00095
387,0.00095
388,0.00095
389,0.00095
390,0.00095
391,0.00095
392,0.00095
393,0.00095
394,0.00095
395,0.00095
396,0.00095
397,0.00095
398,0.00095
399,0.00095
400,0.00095
401,0.00095
402,0.00095
403,0.00095
404,0.00095
405,0.00095
406,0.00095
407,0.00095
408,0.00095
409,0.00095
410,0.00095
411,0.00095
412,0.00095
413,0.00095
414,0.00095
415,0.00095
416,0.00095
417,0.00095
418,0.00095
419,0.00095
420,0.00095
421,0.00095
422,0.00095
423,0.00095
424,0.00095
425,0.00095
426,0.00095
427,0.00095
428,0.00095
429,0.00095
430,0.00095
431,0.00095
432,0.00095
433,0.00095
434,0.00095
435,0.00095
436,0.00095
437,0.00095
438,0.00095
439,0.00095
440,0.00095
441,0.00095
442,0.00095
443,0.00095
444,0.00095
445,0.00095
446,0.00095
447,0.00095
448,0.00095
449,0.00095
450,0.00095
451,0.00095
452,0.00095
453,0.00095
454,0.00095
455,0.00095
456,0.00095
457,0.00095
458,0.00095
459,0.00095
460,0.00095
461,0.00095
462,0.00095
463,0.00095
464,0.00095
465,0.00095
466,0.00095
467,0.00095
468,0.00095
469,0.00095
470,0.00095
471,0.00095
472,0.00095
473,0.00095
474,0.00095
475,0.00095
476,0.00095
477,0.00095
478,0.00095
479,0.00095
480,0.00095
481,0.00095
482,0.00095
483,0.00095
484,0.00095
485,0.00095
486,0.00095
487,0.00095
488,0.00095
489,0.00095
490,0.00095
491,0.00095
492,0.00095
493,0.00095
494,0.00095
495,0.00095
496,0.00247682
497,0.0145951
498,0.0889432
499,0.548596
500,3.86912
501,24.8052
502,67.8473
503,84.7062
504,85.4359
505,85.7687
506,86.4054
507,87.187
508,87.9912
509,88.6281
510,88.7573
511,88.7659
512,88.6693
513,88.6323
514,88.8462
515,89.0122
516,89.3142
517,89.5401
518,89.6101
519,89.7321
520,89.7851
521,89.7748
522,89.584
523,89.4831
524,89.4389
525,89.3453
526,89.3971
527,89.5091
528,89.6854
529,89.831
530,89.9085
531,89.9466
532,89.8222
533,89.7193
534,89.5376
535,89.5206
536,89.5028
537,89.6652
538,89.9198
539,90.109
540,90.331
541,90.5326
542,90.6227
543,90.6536
544,90.5689
545,90.4614
546,90.3241
547,90.1723
548,89.974
549,89.9194
550,89.9449
551,89.9473
552,89.9404
553,89.799
554,89.8705
555,89.804
556,89.7524
557,89.8624
558,89.9619
559,90.0115
560,90.2451
561,90.411
562,90.629
563,90.893
564,91.0089
565,91.0973
566,91.0587
567,90.949
568,90.8473
569,90.6612
570,90.6426
571,90.5531
572,90.5466
573,90.4513
574,90.4956
575,90.585
576,90.7024
577,90.8033
578,90.882
579,90.9568
580,91.0925
581,91.1151
582,91.0227
583,91.1256
584,91.0429
585,91.0479
586,90.9804
587,90.8722
588,90.8377
589,90.8192
590,90.6189
591,90.5062
592,90.261
593,90.0517
594,89.8877
595,89.6645
596,89.3843
597,89.1193
598,88.8888
599,88.7424
600,88.6549
601,88.6511
602,88.721
603,88.8214
604,89.1197
605,89.4335
606,89.8269
607,90.2438
608,90.6071
609,90.9574
610,91.1999
611,91.3258
612,91.4634
613,91.3662
614,91.3162
615,91.0987
616,90.7293
617,90.4506
618,90.1148
619,89.8429
620,89.4359
621,89.1984
622,88.9991
623,88.8562
624,88.7162
625,88.6497
626,88.5508
627,88.4849
628,88.4973
629,88.569
630,88.6075
631,88.671
632,88.8265
633,89.0107
634,89.1843
635,89.3693
636,89.6307
637,89.8241
638,90.0594
639,90.3044
640,90.6035
641,90.8112
642,90.9388
643,91.1099
644,91.177
645,91.197
646,91.1891
647,91.12
648,90.9226
649,90.6378
650,90.3164
651,89.9944
652,89.5896
653,89.1452
654,88.7784
655,88.4471
656,88.1203
657,87.7913
658,87.5155
659,87.3049
660,87.2762
661,87.2512
662,87.2808
663,87.4892
