Type,Emitter
Maker,"Chroma"
ProductName,"S630/40m"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.001
350,0.001
351,0.001
352,0.001
353,0.001
354,0.001
355,0.001
356,0.001
357,0.001
358,0.001
359,0.001
360,0.001
361,0.001
362,0.001
363,0.00117824
364,0.00264233
365,0.0055132
366,0.0110105
367,0.0204139
368,0.0356487
369,0.060594
370,0.097465
371,0.151804
372,0.228794
373,0.32528
374,0.430919
375,0.511335
376,0.496102
377,0.341316
378,0.171706
379,0.0898751
380,0.0751585
381,0.113726
382,0.328089
383,1.12771
384,2.67258
385,4.82018
386,7.59957
387,10.198
388,12.7552
389,14.613
390,15.7113
391,15.7152
392,13.2663
393,14.1915
394,15.7041
395,12.3762
396,14.2811
397,15.1571
398,10.2046
399,13.2266
400,16.5491
401,10.4493
402,13.1892
403,18.6065
404,11.785
405,14.7771
406,23.4232
407,15.784
408,20.2766
409,22.7921
410,12.6972
411,15.6476
412,5.89746
413,0.835323
414,0.241078
415,0.097594
416,0.0472461
417,0.0297579
418,0.0253565
419,0.0300065
420,0.049915
421,0.114847
422,0.373332
423,1.8152
424,14.3383
425,25.8159
426,17.2934
427,30.5831
428,34.6891
429,17.3504
430,17.1805
431,32.5834
432,35.4
433,22.4857
434,21.6348
435,33.6673
436,46.4354
437,32.0629
438,16.8381
439,14.5121
440,25.914
441,43.974
442,27.6889
443,17.4251
444,26.4952
445,32.4734
446,14.7312
447,7.9672
448,12.0272
449,36.2634
450,28.0093
451,8.04658
452,5.69054
453,11.5153
454,37.4484
455,28.253
456,9.14615
457,7.06883
458,13.4389
459,36.1213
460,30.4507
461,12.1262
462,9.84434
463,20.3862
464,30.4702
465,10.0037
466,2.65663
467,1.36368
468,1.10534
469,1.27059
470,1.97647
471,3.80299
472,7.15466
473,10.804
474,14.1232
475,18.3758
476,23.1724
477,29.2482
478,42.4028
479,59.5655
480,57.4207
481,48.27
482,55.175
483,70.0236
484,57.4621
485,37.5512
486,36.1408
487,55.4784
488,66.3163
489,40.1027
490,25.3951
491,30.6702
492,56.2849
493,52.8798
494,25.0418
495,18.1954
496,29.0973
497,49.3267
498,31.9327
499,18.2149
500,27.7143
501,29.9872
502,8.21971
503,2.71455
504,2.64571
505,11.3237
506,14.2898
507,2.07522
508,0.849359
509,2.39219
510,6.92048
511,1.41501
512,0.366294
513,1.97307
514,2.36469
515,0.639465
516,0.329056
517,0.00895735
518,0.001
519,0.001
520,0.001
521,0.001
522,0.001
523,0.001
524,0.001
525,0.001
526,0.001
527,0.001
528,0.001
529,0.001
530,0.001
531,0.00164338
532,0.00184431
533,0.001
534,0.001
535,0.001
536,0.001
537,0.001
538,0.001
539,0.001
540,0.001
541,0.001
542,0.001
543,0.001
544,0.001
545,0.001
546,0.001
547,0.001
548,0.001
549,0.001
550,0.001
551,0.001
552,0.001
553,0.001
554,0.001
555,0.001
556,0.001
557,0.001
558,0.001
559,0.001
560,0.001
561,0.001
562,0.001
563,0.001
564,0.001
565,0.001
566,0.001
567,0.001
568,0.001
569,0.001
570,0.001
571,0.001
572,0.001
573,0.001
574,0.001
575,0.001
576,0.001
577,0.001
578,0.001
579,0.001
580,0.001
581,0.001
582,0.001
583,0.001
584,0.001
585,0.001
586,0.001
587,0.001
588,0.001
589,0.001
590,0.001
591,0.001
592,0.001
593,0.001
594,0.001
595,0.001
596,0.001
597,0.001
598,0.001
599,0.001
600,0.001
601,0.001
602,0.001
603,0.001
604,0.00108827
605,0.0142586
606,0.365513
607,14.9127
608,47.6453
609,69.1046
610,76.7125
611,79.3836
612,81.4136
613,75.7269
614,78.6088
615,85.256
616,84.1438
617,79.8421
618,80.5046
619,84.9174
620,87.2661
621,85.5581
622,83.2485
623,83.2901
624,85.4107
625,87.4322
626,87.6849
627,86.2518
628,84.7718
629,84.4865
630,85.6473
631,87.3335
632,87.9767
633,86.9155
634,84.9519
635,83.6405
636,84.0018
637,85.644
638,87.2092
639,87.3746
640,85.9291
641,83.9566
642,82.5419
643,82.3636
644,83.4009
645,84.1136
646,79.7628
647,68.9688
648,63.3035
649,29.6104
650,2.93242
651,0.23836
652,0.0268067
653,0.00478189
654,0.00114438
655,0.001
656,0.001
657,0.001
658,0.001
659,0.001
660,0.001
661,0.001
662,0.001
663,0.001
664,0.001
665,0.001
666,0.001
667,0.001
668,0.001
669,0.001
670,0.001
671,0.001
672,0.001
673,0.001
674,0.001
675,0.001
676,0.001
677,0.001
678,0.001
679,0.001
680,0.001
681,0.001
682,0.001
683,0.001
684,0.001
685,0.001
686,0.001
687,0.001
688,0.001
689,0.001
690,0.001
691,0.001
692,0.001
693,0.001
694,0.001
695,0.001
696,0.001
697,0.001
698,0.001
699,0.001
700,0.001
701,0.001
702,0.001
703,0.001
704,0.001
705,0.001
706,0.001
707,0.001
708,0.001
709,0.001
710,0.001
711,0.001
712,0.001
713,0.001
714,0.001
715,0.001
716,0.001
717,0.001
718,0.001
719,0.001
720,0.001
721,0.001
722,0.001
723,0.001
724,0.001
725,0.001
726,0.001
727,0.001
728,0.001
729,0.001
730,0.001
731,0.001
732,0.001
733,0.001
734,0.001
735,0.001
736,0.001
737,0.001
738,0.001
739,0.001
740,0.001
741,0.001
742,0.001
743,0.001
744,0.001
745,0.001
746,0.001
747,0.001
748,0.001
749,0.001
750,0.001
751,0.001
752,0.001
753,0.001
754,0.001
755,0.001
756,0.001
757,0.001
758,0.001
759,0.001
760,0.001
761,0.001
762,0.001
763,0.001
764,0.001
765,0.001
766,0.001
767,0.001
768,0.001
769,0.001
770,0.001
771,0.001
772,0.001
773,0.001
774,0.001
775,0.001
776,0.001
777,0.001
778,0.001
779,0.001
780,0.001
781,0.001
782,0.001
783,0.001
784,0.001
785,0.001
786,0.001
787,0.001
788,0.001
789,0.001
790,0.001
791,0.001
792,0.001
793,0.00115411
794,0.00266406
795,0.00816266
796,0.0365464
797,0.630747
798,8.21828
799,3.99689
800,0.497821
801,0.355118
802,0.512374
803,1.20195
804,7.57596
805,29.241
806,9.9602
807,2.31152
808,1.32996
809,1.16671
810,1.32412
811,1.92766
812,3.93033
813,14.0697
814,48.9565
815,32.9264
816,8.72205
817,3.97018
818,2.67746
819,2.30599
820,2.33813
821,2.75091
822,3.87669
823,6.76399
824,16.0739
825,42.9932
826,49.8016
827,21.3816
828,9.1802
829,5.38828
830,3.89664
831,3.29785
832,3.1473
833,3.33872
834,3.96518
835,5.28457
836,8.23809
837,15.9066
838,37.7621
839,68.5933
840,50.4137
841,21.9666
842,11.0053
843,6.86969
844,5.00211
845,4.07519
846,3.61971
847,3.45068
848,3.51404
849,3.80868
850,4.39237
851,5.40879
852,7.17585
853,10.343
854,16.2272
855,28.6355
856,52.0247
857,77.0844
858,73.4765
859,50.136
860,31.7843
861,32.8457
862,33.9275
863,35.0255
864,36.1512
865,37.3405
866,38.5557
867,39.879
868,41.1907
869,42.6295
870,44.1206
871,45.6192
872,47.1728
873,48.7308
874,50.16
875,51.4303
876,52.7063
877,53.945
878,55.1424
879,56.363
880,57.5744
881,58.7394
882,59.8916
883,61.0915
884,62.2555
885,63.4509
886,64.6452
887,65.7711
888,66.9821
889,68.1425
890,69.2925
891,70.5486
892,71.7792
893,72.8208
894,73.771
895,74.6256
896,75.3119
897,75.8916
898,76.4216
899,76.8226
900,77.1928
901,77.4622
902,77.7036
903,77.9778
904,78.1194
905,78.2187
906,78.2725
907,78.1538
908,77.8085
909,77.3102
910,76.6318
911,75.841
912,75.0244
913,74.2622
914,73.6685
915,73.3487
916,73.208
917,73.4798
918,74.1273
919,75.0388
920,76.1798
921,77.5894
922,78.964
923,80.2664
924,81.3188
925,82.0105
926,82.2593
927,82.074
928,81.3938
929,80.3642
930,79.1516
931,77.6932
932,76.3749
933,75.2494
934,74.4054
935,73.9803
936,74.1303
937,74.7347
938,75.8076
939,77.263
940,78.9567
941,80.8299
942,82.664
943,84.2902
944,85.6929
945,86.7453
946,87.2953
947,87.5635
948,87.58
949,87.2461
950,86.8551
951,86.51
952,86.2073
953,86.0316
954,86.0083
955,86.0377
956,86.0504
957,85.8168
958,85.1549
959,84.0538
960,82.2276
961,79.4442
962,76.0516
963,72.1237
964,67.3889
965,62.6013
966,57.6282
967,52.6153
968,48.0908
969,44.0272
970,40.5613
971,37.6927
972,35.4815
973,33.7985
974,32.7524
975,32.3026
976,32.3674
977,33.0204
978,34.2757
979,36.1484
980,38.7698
981,41.9948
982,45.94
983,50.5438
984,55.4855
985,60.7902
986,66.216
987,70.7289
988,74.5231
989,77.3056
990,78.4113
991,78.0111
992,76.1278
993,73.0012
994,68.8853
995,64.3426
996,59.6608
997,55.1371
998,51.0166
999,47.414
1000,44.451
1001,42.2501
1002,40.4551
1003,39.2847
1004,38.649
1005,38.4173
1006,38.634
1007,39.3333
1008,40.4072
1009,41.9508
1010,43.9362
1011,46.3755
1012,49.2456
1013,52.4168
1014,55.8131
1015,59.38
1016,62.9576
1017,66.1342
1018,68.7539
1019,70.5587
1020,71.2166
1021,70.7003
1022,69.1227
1023,66.3663
1024,62.6946
1025,58.6635
1026,54.2565
1027,49.8877
1028,45.8012
1029,41.93
1030,38.5381
1031,35.7585
1032,33.4527
1033,31.6039
1034,30.2917
1035,29.341
1036,28.8327
1037,28.7672
1038,29.1228
1039,29.9433
1040,31.2809
1041,33.1527
1042,35.7568
1043,39.1396
1044,43.106
1045,47.9461
1046,53.3149
1047,58.7817
1048,64.1146
1049,68.7036
1050,71.4918
1051,72.3861
1052,71.0159
1053,67.7327
1054,62.7239
1055,56.388
1056,50.0217
1057,43.8093
1058,38.2961
1059,33.4472
1060,29.586
1061,26.4092
1062,23.9341
1063,22.1521
1064,20.821
1065,19.8914
1066,19.3725
1067,19.185
1068,19.369
1069,19.9237
1070,20.8502
1071,22.2902
1072,24.2523
1073,26.9615
1074,30.6418
1075,35.2122
1076,41.0188
1077,47.9605
1078,55.7425
1079,63.6178
1080,70.6682
1081,75.7239
1082,77.6909
1083,76.4935
1084,72.2954
1085,65.4383
1086,57.1632
1087,48.8164
1088,40.9777
1089,34.4703
1090,29.1944
1091,25.081
1092,21.8613
1093,19.3968
1094,17.6323
1095,16.3026
1096,15.3596
1097,14.6942
1098,14.3079
1099,14.1722
1100,14.2532
1101,14.5755
1102,15.1809
1103,16.0234
1104,17.2525
1105,18.9348
1106,21.1393
1107,24.0272
1108,27.7337
1109,32.5281
1110,38.548
1111,45.8799
1112,54.1181
1113,62.1949
1114,69.6345
1115,74.8263
1116,77.1622
1117,76.1263
1118,71.6815
1119,65.0722
1120,57.2854
1121,49.0021
1122,41.7431
1123,35.3041
1124,29.9641
1125,25.9832
1126,22.8721
1127,20.4829
1128,18.6334
1129,17.2513
1130,16.1646
1131,15.4038
1132,14.8963
1133,14.5717
1134,14.449
1135,14.4904
1136,14.7074
1137,15.1184
1138,15.693
1139,16.458
1140,17.4986
1141,18.731
1142,20.3181
1143,22.3024
1144,24.5794
1145,27.3649
1146,30.5578
1147,34.2998
1148,38.4487
1149,43.0875
1150,47.7676
1151,52.2648
1152,56.3711
1153,59.5904
1154,61.8138
1155,62.8119
1156,62.4121
1157,60.8394
1158,58.5005
1159,55.3766
1160,52.0148
1161,48.597
1162,45.2149
1163,42.2478
1164,39.5901
1165,37.2626
1166,35.3047
1167,33.6941
1168,32.2963
1169,31.2558
1170,30.4831
1171,29.8707
1172,29.4896
1173,29.299
1174,29.2525
1175,29.3858
1176,29.6576
1177,30.0855
1178,30.6413
1179,31.3334
1180,32.1339
1181,33.1157
1182,34.1592
1183,35.3202
1184,36.5944
1185,37.9844
1186,39.4347
1187,41.0305
1188,42.6479
1189,44.2691
1190,45.9658
1191,47.5783
1192,49.2385
1193,50.8464
1194,52.2729
1195,53.5643
1196,54.7085
1197,55.6139
1198,56.2254
1199,56.6066
1200,56.7403
