Type,Emitter
Maker,"Omega"
ProductName,"XF3019(605DF50)"
Comment,""
Public,1
wavedataset
300,-0.0014
300.5,-0.0015
301,-0.0015
301.5,-0.0014
302,-0.0014
302.5,-0.0014
303,-0.0014
303.5,-0.0015
304,-0.0015
304.5,-0.0015
305,-0.0014
305.5,-0.0014
306,-0.0014
306.5,-0.0014
307,-0.0014
307.5,-0.0014
308,-0.0014
308.5,-0.0014
309,-0.0015
309.5,-0.0016
310,-0.0016
310.5,-0.0015
311,-0.0014
311.5,-0.0014
312,-0.0013
312.5,-0.0013
313,-0.0014
313.5,-0.0014
314,-0.0014
314.5,-0.0014
315,-0.0014
315.5,-0.0015
316,-0.0015
316.5,-0.0016
317,-0.0016
317.5,-0.0015
318,-0.0014
318.5,-0.0013
319,-0.0013
319.5,-0.0013
320,-0.0013
320.5,-0.0014
321,-0.0014
321.5,-0.0014
322,-0.0014
322.5,-0.0014
323,-0.0013
323.5,-0.0012
324,-0.0011
324.5,-0.0011
325,-0.0011
325.5,-0.0012
326,-0.0013
326.5,-0.0014
327,-0.0015
327.5,-0.0015
328,-0.0014
328.5,-0.0013
329,-0.0012
329.5,-0.0012
330,-0.0012
330.5,-0.0013
331,-0.0013
331.5,-0.0014
332,-0.0014
332.5,-0.0012
333,-0.0011
333.5,-0.00098
334,-0.00099
334.5,-0.0012
335,-0.0013
335.5,-0.0015
336,-0.0017
336.5,-0.0017
337,-0.0018
337.5,-0.0019
338,-0.0018
338.5,-0.0018
339,-0.0017
339.5,-0.0016
340,-0.0014
340.5,-0.0014
341,-0.0014
341.5,-0.0014
342,-0.0016
342.5,-0.0017
343,-0.0018
343.5,-0.0017
344,-0.0016
344.5,-0.0015
345,-0.0013
345.5,-0.0013
346,-0.0013
346.5,-0.0012
347,-0.0014
347.5,-0.0015
348,-0.0022
348.5,-0.0029
349,-0.0034
349.5,-0.0038
350,-0.0031
350.5,-0.0025
351,-0.0019
351.5,-0.0015
352,-0.0015
352.5,-0.0015
353,-0.0015
353.5,-0.0015
354,-0.0014
354.5,-0.0014
355,-0.0014
355.5,-0.0014
356,-0.0014
356.5,-0.0014
357,-0.0014
357.5,-0.0014
358,-0.0014
358.5,-0.0014
359,-0.0014
359.5,-0.0014
360,-0.0014
360.5,-0.0014
361,-0.0013
361.5,-0.0014
362,-0.0014
362.5,-0.0014
363,-0.0015
363.5,-0.0014
364,-0.0014
364.5,-0.0014
365,-0.0014
365.5,-0.0014
366,-0.0015
366.5,-0.0015
367,-0.0015
367.5,-0.0015
368,-0.0015
368.5,-0.0015
369,-0.0014
369.5,-0.0014
370,-0.0013
370.5,-0.0013
371,-0.0013
371.5,-0.0012
372,-0.0012
372.5,-0.0013
373,-0.0013
373.5,-0.0013
374,-0.0013
374.5,-0.0013
375,-0.0013
375.5,-0.0014
376,-0.0013
376.5,-0.0013
377,-0.0013
377.5,-0.0013
378,-0.0013
378.5,-0.0013
379,-0.0013
379.5,-0.0013
380,-0.0013
380.5,-0.0013
381,-0.0013
381.5,-0.0013
382,-0.0013
382.5,-0.0014
383,-0.0014
383.5,-0.0015
384,-0.0015
384.5,-0.0015
385,-0.0015
385.5,-0.0014
386,-0.0014
386.5,-0.0014
387,-0.0013
387.5,-0.0013
388,-0.0013
388.5,-0.0013
389,-0.0014
389.5,-0.0014
390,-0.0014
390.5,-0.0014
391,-0.0014
391.5,-0.0014
392,-0.0014
392.5,-0.0014
393,-0.0014
393.5,-0.0015
394,-0.0016
394.5,-0.0015
395,-0.0015
395.5,-0.0014
396,-0.0014
396.5,-0.0013
397,-0.0013
397.5,-0.0014
398,-0.0014
398.5,-0.0015
399,-0.0015
399.5,-0.0014
400,-0.0014
400.5,-0.0014
401,-0.0014
401.5,-0.0015
402,-0.0015
402.5,-0.0015
403,-0.0015
403.5,-0.0014
404,-0.0014
404.5,-0.0013
405,-0.0013
405.5,-0.0013
406,-0.0014
406.5,-0.0014
407,-0.0014
407.5,-0.0014
408,-0.0013
408.5,-0.0013
409,-0.0013
409.5,-0.0013
410,-0.0014
410.5,-0.0014
411,-0.0014
411.5,-0.0014
412,-0.0013
412.5,-0.0013
413,-0.0013
413.5,-0.0014
414,-0.0014
414.5,-0.0014
415,-0.0014
415.5,-0.0014
416,-0.0014
416.5,-0.0014
417,-0.0014
417.5,-0.0013
418,-0.0013
418.5,-0.0013
419,-0.0013
419.5,-0.0014
420,-0.0014
420.5,-0.0014
421,-0.0014
421.5,-0.0014
422,-0.0014
422.5,-0.0014
423,-0.0013
423.5,-0.0014
424,-0.0014
424.5,-0.0014
425,-0.0015
425.5,-0.0015
426,-0.0014
426.5,-0.0014
427,-0.0013
427.5,-0.0013
428,-0.0013
428.5,-0.0013
429,-0.0013
429.5,-0.0013
430,-0.0013
430.5,-0.0013
431,-0.0014
431.5,-0.0014
432,-0.0014
432.5,-0.0014
433,-0.0013
433.5,-0.0013
434,-0.0014
434.5,-0.0014
435,-0.0014
435.5,-0.0014
436,-0.0014
436.5,-0.0014
437,-0.0013
437.5,-0.0013
438,-0.0012
438.5,-0.0012
439,-0.0012
439.5,-0.0013
440,-0.0013
440.5,-0.0014
441,-0.0014
441.5,-0.0013
442,-0.0013
442.5,-0.0013
443,-0.0013
443.5,-0.0013
444,-0.0013
444.5,-0.0013
445,-0.0013
445.5,-0.0013
446,-0.0013
446.5,-0.0014
447,-0.0014
447.5,-0.0014
448,-0.0015
448.5,-0.0015
449,-0.0015
449.5,-0.0015
450,-0.0015
450.5,-0.0015
451,-0.0015
451.5,-0.0015
452,-0.0015
452.5,-0.0015
453,-0.0015
453.5,-0.0014
454,-0.0014
454.5,-0.0014
455,-0.0014
455.5,-0.0014
456,-0.0014
456.5,-0.0014
457,-0.0013
457.5,-0.0013
458,-0.0013
458.5,-0.0013
459,-0.0012
459.5,-0.0012
460,-0.0012
460.5,-0.0013
461,-0.0013
461.5,-0.0013
462,-0.0013
462.5,-0.0013
463,-0.0014
463.5,-0.0014
464,-0.0015
464.5,-0.0014
465,-0.0014
465.5,-0.0013
466,-0.0012
466.5,-0.0012
467,-0.0012
467.5,-0.0013
468,-0.0013
468.5,-0.0014
469,-0.0014
469.5,-0.0013
470,-0.0013
470.5,-0.0013
471,-0.0013
471.5,-0.0013
472,-0.0013
472.5,-0.0013
473,-0.0013
473.5,-0.0013
474,-0.0013
474.5,-0.0013
475,-0.0013
475.5,-0.0012
476,-0.0012
476.5,-0.0012
477,-0.0012
477.5,-0.0012
478,-0.0013
478.5,-0.0013
479,-0.0013
479.5,-0.0012
480,-0.0012
480.5,-0.0012
481,-0.0012
481.5,-0.0012
482,-0.0012
482.5,-0.0012
483,-0.0012
483.5,-0.0012
484,-0.0012
484.5,-0.0012
485,-0.0012
485.5,-0.0012
486,-0.0012
486.5,-0.0012
487,-0.0012
487.5,-0.0012
488,-0.0012
488.5,-0.0012
489,-0.0012
489.5,-0.0012
490,-0.0011
490.5,-0.0011
491,-0.0011
491.5,-0.0011
492,-0.0012
492.5,-0.0012
493,-0.0012
493.5,-0.0012
494,-0.0012
494.5,-0.0011
495,-0.0011
495.5,-0.0011
496,-0.001
496.5,-0.001
497,-0.001
497.5,-0.001
498,-0.0011
498.5,-0.0011
499,-0.0011
499.5,-0.0011
500,-0.0011
500.5,-0.0011
501,-0.0011
501.5,-0.0011
502,-0.001
502.5,-0.0011
503,-0.0011
503.5,-0.0011
504,-0.0012
504.5,-0.0012
505,-0.0012
505.5,-0.0012
506,-0.0011
506.5,-0.0011
507,-0.0011
507.5,-0.0011
508,-0.0012
508.5,-0.0012
509,-0.0012
509.5,-0.0013
