Type,Emitter
Maker,"Omega"
ProductName,"XF3085(565ALP)"
Comment,""
Public,1
wavedataset
300,-0.00078
300.5,-0.00077
301,-0.00075
301.5,-0.00075
302,-0.00075
302.5,-0.00074
303,-0.00079
303.5,-0.00081
304,-0.00086
304.5,-0.00092
305,-0.00088
305.5,-0.00081
306,-0.00071
306.5,-0.00062
307,-0.00058
307.5,-0.0006
308,-0.00055
308.5,-0.00022
309,0.00014
309.5,0.00055
310,0.00091
310.5,0.00073
311,0.00056
311.5,9.1E-05
312,-0.0005
312.5,-0.0008
313,-0.0012
313.5,-0.0011
314,-0.00092
314.5,-0.00067
315,-0.00012
315.5,0.00065
316,0.0013
316.5,0.0019
317,0.0019
317.5,0.0011
318,0.00054
318.5,-0.00023
319,-0.00048
319.5,-0.00047
320,-0.00045
320.5,-0.00017
321,1.1E-05
321.5,0.00031
322,0.00032
322.5,0.00052
323,0.00056
323.5,0.00018
324,-8.5E-05
324.5,-0.001
325,-0.0015
325.5,-0.0017
326,-0.0019
326.5,-0.0013
327,-0.001
327.5,-0.00067
328,-0.00013
328.5,-4.3E-05
329,-0.00012
329.5,-0.00027
330,-0.00087
330.5,-0.0011
331,-0.0011
331.5,-0.0013
332,-0.001
332.5,-0.001
333,-0.0013
333.5,-0.0012
334,-0.0015
334.5,-0.0017
335,-0.0014
335.5,-0.0014
336,-0.0016
336.5,-0.0015
337,-0.0018
337.5,-0.0019
338,-0.0015
338.5,-0.0015
339,-0.0014
339.5,-0.0015
340,-0.0017
340.5,-0.0016
341,-0.0012
341.5,-0.00059
342,0.00055
342.5,0.0015
343,0.0018
343.5,0.0015
344,0.00064
344.5,-7.1E-05
345,-0.00039
345.5,0.00019
346,0.00064
346.5,0.00096
347,0.0011
347.5,0.00097
348,0.00063
348.5,0.0004
349,0.00014
349.5,-0.00045
350,-0.00063
350.5,-0.00087
351,-0.001
351.5,-0.00086
352,-0.00084
352.5,-0.00072
353,-0.00076
353.5,-0.00075
354,-0.00072
354.5,-0.00071
355,-0.00062
355.5,-0.00071
356,-0.00082
356.5,-0.0011
357,-0.0014
357.5,-0.0017
358,-0.0019
358.5,-0.002
359,-0.0019
359.5,-0.0017
360,-0.0016
360.5,-0.0013
361,-0.0011
361.5,-0.001
362,-0.00092
362.5,-0.00096
363,-0.0011
363.5,-0.0011
364,-0.0014
364.5,-0.0015
365,-0.0015
365.5,-0.0015
366,-0.0013
366.5,-0.0011
367,-0.00094
367.5,-0.00083
368,-0.00075
368.5,-0.00071
369,-0.00085
369.5,-0.00098
370,-0.0012
370.5,-0.0013
371,-0.0013
371.5,-0.0012
372,-0.0011
372.5,-0.0011
373,-0.0011
373.5,-0.0012
374,-0.0013
374.5,-0.0012
375,-0.0012
375.5,-0.0013
376,-0.0014
376.5,-0.0016
377,-0.0017
377.5,-0.0017
378,-0.0017
378.5,-0.0016
379,-0.0016
379.5,-0.0016
380,-0.0016
380.5,-0.0015
381,-0.0014
381.5,-0.0014
382,-0.0015
382.5,-0.0015
383,-0.0015
383.5,-0.0015
384,-0.0015
384.5,-0.0015
385,-0.0015
385.5,-0.0014
386,-0.0014
386.5,-0.0013
387,-0.0013
387.5,-0.0013
388,-0.0012
388.5,-0.0011
389,-0.0011
389.5,-0.001
390,-0.0011
390.5,-0.0011
391,-0.0011
391.5,-0.0012
392,-0.0013
392.5,-0.0013
393,-0.0013
393.5,-0.0013
394,-0.0013
394.5,-0.0013
395,-0.0013
395.5,-0.0013
396,-0.0013
396.5,-0.0013
397,-0.0012
397.5,-0.0012
398,-0.0011
398.5,-0.0011
399,-0.0011
399.5,-0.0011
400,-0.0011
400.5,-0.0011
401,-0.0011
401.5,-0.0012
402,-0.0012
402.5,-0.0013
403,-0.0015
403.5,-0.0015
404,-0.0016
404.5,-0.0016
405,-0.0015
405.5,-0.0014
406,-0.0014
406.5,-0.0013
407,-0.0012
407.5,-0.0012
408,-0.0013
408.5,-0.0014
409,-0.0015
409.5,-0.0015
410,-0.0015
410.5,-0.0015
411,-0.0014
411.5,-0.0014
412,-0.0014
412.5,-0.0013
413,-0.0014
413.5,-0.0014
414,-0.0014
414.5,-0.0013
415,-0.0013
415.5,-0.0013
416,-0.0013
416.5,-0.0013
417,-0.0013
417.5,-0.0013
418,-0.0013
418.5,-0.0013
419,-0.0013
419.5,-0.0013
420,-0.0013
420.5,-0.0013
421,-0.0012
421.5,-0.0012
422,-0.0012
422.5,-0.0012
423,-0.0012
423.5,-0.0012
424,-0.0012
424.5,-0.0012
425,-0.0013
425.5,-0.0013
426,-0.0013
426.5,-0.0013
427,-0.0013
427.5,-0.0013
428,-0.0013
428.5,-0.0013
429,-0.0012
429.5,-0.0012
430,-0.0012
430.5,-0.0011
431,-0.0011
431.5,-0.0011
432,-0.0011
432.5,-0.0012
433,-0.0011
433.5,-0.0011
434,-0.001
434.5,-0.001
435,-0.001
435.5,-0.0011
436,-0.0011
436.5,-0.0012
437,-0.0012
437.5,-0.0012
438,-0.0012
438.5,-0.0012
439,-0.0011
439.5,-0.0011
440,-0.0011
440.5,-0.0011
441,-0.0011
441.5,-0.0011
442,-0.0011
442.5,-0.001
443,-0.001
443.5,-0.001
444,-0.0011
444.5,-0.0011
445,-0.0011
445.5,-0.0011
446,-0.0011
446.5,-0.001
447,-0.001
447.5,-0.00095
448,-0.0009
448.5,-0.00087
449,-0.00087
449.5,-0.00087
450,-0.00094
450.5,-0.001
451,-0.0011
451.5,-0.0011
452,-0.0012
452.5,-0.0012
453,-0.0012
453.5,-0.0012
454,-0.0011
454.5,-0.0011
455,-0.001
455.5,-0.00094
456,-0.00094
456.5,-0.00095
457,-0.00099
457.5,-0.0011
458,-0.0011
458.5,-0.0011
459,-0.0011
459.5,-0.0011
460,-0.0011
460.5,-0.0011
461,-0.0011
461.5,-0.0011
462,-0.0012
462.5,-0.0012
463,-0.0012
463.5,-0.0012
464,-0.0011
464.5,-0.0011
465,-0.0011
465.5,-0.0011
466,-0.0011
466.5,-0.0011
467,-0.001
467.5,-0.001
468,-0.001
468.5,-0.001
469,-0.00098
469.5,-0.001
470,-0.0012
470.5,-0.0013
471,-0.0014
471.5,-0.0015
472,-0.0014
472.5,-0.0013
473,-0.0013
473.5,-0.0014
474,-0.0015
474.5,-0.0015
475,-0.0015
475.5,-0.0014
476,-0.0013
476.5,-0.0013
477,-0.0013
477.5,-0.0013
478,-0.0014
478.5,-0.0014
479,-0.0014
479.5,-0.0013
480,-0.0013
480.5,-0.0012
481,-0.0011
481.5,-0.0011
482,-0.0011
482.5,-0.0011
483,-0.0011
483.5,-0.0012
484,-0.0012
484.5,-0.0012
485,-0.0012
485.5,-0.0012
486,-0.0012
486.5,-0.0012
487,-0.0011
487.5,-0.0011
488,-0.0011
488.5,-0.0012
489,-0.0012
489.5,-0.0012
490,-0.0012
490.5,-0.0012
491,-0.0012
491.5,-0.0012
492,-0.0012
492.5,-0.0011
493,-0.001
493.5,-0.00093
494,-0.00087
494.5,-0.0009
495,-0.00097
495.5,-0.0011
496,-0.0011
496.5,-0.0012
497,-0.0011
497.5,-0.0011
498,-0.0011
498.5,-0.0011
499,-0.0011
499.5,-0.0012
500,-0.0013
500.5,-0.0013
501,-0.0012
501.5,-0.0012
502,-0.0011
502.5,-0.0011
503,-0.0011
503.5,-0.0011
504,-0.0011
504.5,-0.0011
505,-0.0011
505.5,-0.0011
506,-0.0011
506.5,-0.0012
507,-0.0012
507.5,-0.0012
508,-0.0012
508.5,-0.0012
509,-0.0012
509.5,-0.0012
510,-0.0012
510.5,-0.0012
511,-0.0013
511.5,-0.0013
512,-0.0014
512.5,-0.0014
513,-0.0013
513.5,-0.0013
514,-0.0013
514.5,-0.0013
515,-0.0013
515.5,-0.0013
516,-0.0012
516.5,-0.0012
517,-0.0012
517.5,-0.0012
518,-0.0012
518.5,-0.0013
519,-0.0013
519.5,-0.0013
520,-0.0013
520.5,-0.0012
521,-0.0012
521.5,-0.0012
522,-0.0012
522.5,-0.0012
523,-0.0012
523.5,-0.0012
524,-0.0012
524.5,-0.0012
525,-0.0012
525.5,-0.0013
526,-0.0012
526.5,-0.0012
527,-0.0012
527.5,-0.0011
528,-0.0011
528.5,-0.0011
529,-0.001
529.5,-0.00099
530,-0.001
530.5,-0.0011
531,-0.0011
531.5,-0.0011
532,-0.0011
532.5,-0.0011
533,-0.0011
533.5,-0.0011
534,-0.0011
534.5,-0.0012
535,-0.0012
535.5,-0.0012
536,-0.0012
536.5,-0.0011
537,-0.001
537.5,-0.00095
538,-0.00087
538.5,-0.00079
539,-0.00075
539.5,-0.00072
540,-0.00072
540.5,-0.00075
541,-0.00079
541.5,-0.00083
542,-0.00085
542.5,-0.00086
543,-0.00085
543.5,-0.00085
544,-0.00087
544.5,-0.00091
545,-0.00092
545.5,-0.0009
546,-0.00088
546.5,-0.00082
547,-0.00077
547.5,-0.00075
548,-0.00071
548.5,-0.0007
549,-0.00068
549.5,-0.00068
550,-0.00067
550.5,-0.00065
551,-0.00062
551.5,-0.00056
552,-0.00046
552.5,-0.00033
553,-0.00017
553.5,5.4E-05
554,0.00034
554.5,0.00071
555,0.0012
555.5,0.0019
556,0.0027
556.5,0.0037
557,0.005
557.5,0.0065
558,0.0085
558.5,0.011
559,0.014
559.5,0.018
560,0.023
560.5,0.028
561,0.035
561.5,0.044
562,0.056
562.5,0.072
563,0.096
563.5,0.14
564,0.24
564.5,0.51
565,1.26
565.5,3.14
566,6.95
566.5,13.5
567,23
567.5,34.7
568,47.5
568.5,59.7
569,70.1
569.5,78.2
570,83.9
570.5,87.4
571,89.4
571.5,90.3
572,90.4
572.5,90.3
573,90.3
573.5,90.4
574,90.7
574.5,91
575,91.3
575.5,91.4
576,91.4
576.5,91.3
577,91.2
577.5,91.1
578,91.1
578.5,91.2
579,91.3
579.5,91.4
580,91.4
580.5,91.4
581,91.4
581.5,91.3
582,91.2
582.5,91.1
583,91
583.5,91
584,91
584.5,91.1
585,91.3
585.5,91.5
586,91.7
586.5,92
587,92.2
587.5,92.4
588,92.5
588.5,92.5
589,92.5
589.5,92.3
590,92.2
590.5,92
591,91.8
591.5,91.6
592,91.5
592.5,91.4
593,91.3
593.5,91.4
594,91.5
594.5,91.7
595,91.9
595.5,92.1
596,92.4
596.5,92.6
597,92.8
597.5,93
598,93.1
598.5,93.1
599,93.1
599.5,92.9
600,92.8
600.5,92.6
601,92.3
601.5,92.1
602,91.8
602.5,91.6
603,91.5
603.5,91.4
604,91.3
604.5,91.3
605,91.4
605.5,91.5
606,91.7
606.5,91.9
607,92.1
607.5,92.3
608,92.5
608.5,92.7
609,92.9
609.5,93
610,93.1
610.5,93.1
611,93
611.5,92.9
612,92.7
612.5,92.6
613,92.4
613.5,92.2
614,92
614.5,91.8
615,91.7
615.5,91.6
616,91.5
616.5,91.4
617,91.4
617.5,91.5
618,91.5
618.5,91.6
619,91.8
619.5,91.9
620,92
620.5,92.1
621,92.2
621.5,92.3
622,92.3
622.5,92.3
623,92.3
623.5,92.3
624,92.1
624.5,92
625,91.8
625.5,91.6
626,91.5
626.5,91.3
627,91.1
627.5,91
628,90.8
628.5,90.7
629,90.6
629.5,90.5
630,90.5
630.5,90.5
631,90.5
631.5,90.6
632,90.7
632.5,90.8
633,90.9
633.5,91
634,91.1
634.5,91.2
635,91.3
635.5,91.3
636,91.4
636.5,91.4
637,91.4
637.5,91.4
638,91.3
638.5,91.3
639,91.2
639.5,91.1
640,91.1
640.5,91
641,90.9
641.5,90.8
642,90.7
642.5,90.6
643,90.6
643.5,90.5
644,90.5
644.5,90.5
645,90.5
645.5,90.5
646,90.5
646.5,90.6
647,90.7
647.5,90.8
648,90.9
648.5,91
649,91
649.5,91.1
650,91.2
650.5,91.3
651,91.3
651.5,91.4
652,91.4
652.5,91.4
653,91.3
653.5,91.3
654,91.2
654.5,91.2
655,91.1
655.5,91.1
656,91
656.5,90.9
657,90.9
657.5,90.8
658,90.7
658.5,90.7
659,90.6
659.5,90.6
660,90.5
660.5,90.5
661,90.5
661.5,90.4
662,90.4
662.5,90.3
663,90.3
663.5,90.2
664,90.2
664.5,90.1
665,90.1
665.5,90
666,89.9
666.5,89.8
667,89.7
667.5,89.6
668,89.5
668.5,89.4
669,89.3
669.5,89.2
670,89.1
670.5,89
671,88.9
671.5,88.8
672,88.7
672.5,88.6
673,88.6
673.5,88.5
674,88.4
674.5,88.4
675,88.3
675.5,88.3
676,88.3
676.5,88.3
677,88.3
677.5,88.3
678,88.3
678.5,88.3
679,88.4
679.5,88.4
680,88.5
680.5,88.5
681,88.6
681.5,88.6
682,88.7
682.5,88.7
683,88.8
683.5,88.8
684,88.9
684.5,88.9
685,88.9
685.5,88.9
686,88.9
686.5,88.9
687,88.8
687.5,88.8
688,88.8
688.5,88.7
689,88.7
689.5,88.6
690,88.5
690.5,88.5
691,88.4
691.5,88.4
692,88.4
692.5,88.4
693,88.4
693.5,88.4
694,88.4
694.5,88.4
695,88.4
695.5,88.4
696,88.4
696.5,88.5
697,88.5
697.5,88.6
698,88.6
698.5,88.7
699,88.8
699.5,88.9
700,88.9
700.5,89
701,89
701.5,89.1
702,89.1
702.5,89.2
703,89.2
703.5,89.2
704,89.3
704.5,89.3
705,89.3
705.5,89.3
706,89.3
706.5,89.3
707,89.3
707.5,89.2
708,89.2
708.5,89.1
