Type,Emitter
Maker,"Omega"
ProductName,"XF3120(610AF50)"
Comment,""
Public,1
wavedataset
350,0.32
350.5,-0.022
351,0.32
351.5,0.32
352,0.015
352.5,-0.082
353,-0.21
353.5,0.11
354,0.16
354.5,0.0085
355,0.016
355.5,0.096
356,0.047
356.5,0.036
357,-0.038
357.5,-0.061
358,0.013
358.5,-0.0016
359,0.011
359.5,0.059
360,0.047
360.5,-0.036
361,0.012
361.5,0.046
362,0.085
362.5,-0.01
363,-0.029
363.5,0.013
364,-0.076
364.5,0.12
365,-0.011
365.5,0.046
366,0.069
366.5,0.037
367,0.079
367.5,-0.021
368,0.041
368.5,-0.037
369,0.0074
369.5,0.0036
370,-0.0055
370.5,-0.00065
371,-0.0019
371.5,0.0053
372,0.0099
372.5,0.0059
373,-0.0033
373.5,0.0027
374,0.0072
374.5,-0.0048
375,-0.0034
375.5,0.0044
376,0.0035
376.5,0.00083
377,0.0041
377.5,0.0036
378,0.0036
378.5,0.0016
379,-0.0087
379.5,0.0027
380,0.0017
380.5,-0.0047
381,-0.0032
381.5,-0.0025
382,0.0046
382.5,0.0005
383,-0.0049
383.5,-0.0026
384,-0.0046
384.5,0.0017
385,0.0011
385.5,0.0065
386,0.0009
386.5,-0.0055
387,-0.00042
387.5,-0.0042
388,-0.00056
388.5,-0.006
389,-0.0014
389.5,0.0018
390,-0.0036
390.5,-0.0033
391,-0.0028
391.5,0.00057
392,-0.00019
392.5,0.0019
393,0.0048
393.5,-0.00087
394,-0.00046
394.5,-0.0019
395,-0.0029
395.5,-0.0027
396,0
396.5,0.0025
397,-0.0017
397.5,-0.0021
398,-0.0019
398.5,-0.0014
399,-0.0028
399.5,-0.0003
400,-0.0025
400.5,-0.0018
401,-0.0045
401.5,-0.0047
402,0.00042
402.5,-0.0011
403,-0.0029
403.5,-0.0011
404,-0.0013
404.5,-0.0015
405,-0.00038
405.5,-0.0016
406,-0.00028
406.5,0.00022
407,-0.004
407.5,-0.0031
408,-0.0021
408.5,-0.0039
409,-0.0014
409.5,-0.0018
410,-0.0024
410.5,-0.0019
411,-0.0013
411.5,-0.0021
412,-0.0025
