Type,Emitter
Maker,"Omega"
ProductName,"XF3302(565WB20)"
Comment,""
Public,1
wavedataset
1000,9.312916155
999.5,9.359500676
999,9.491213528
998.5,9.614769696
998,9.750420104
997.5,9.697393015
997,9.615007227
996.5,9.498263313
996,9.284118072
995.5,9.017590779
995,8.652230226
994.5,8.044935843
994,7.635829984
993.5,7.410575683
993,6.890265774
992.5,6.513169013
992,6.163231943
991.5,5.726908772
991,5.3883057
990.5,5.007816191
990,4.692149251
989.5,4.493123055
989,4.254417329
988.5,4.001437197
988,3.777326783
987.5,3.513569844
987,3.249120647
986.5,3.106995927
986,2.985258228
985.5,2.836356499
985,2.666384346
984.5,2.486939888
984,2.315871104
983.5,2.147192166
983,1.994132557
982.5,1.844646402
982,1.691242638
981.5,1.541260279
981,1.393089289
980.5,1.249322501
980,1.115911399
979.5,0.995535816
979,0.884135156
978.5,0.774981838
978,0.668061532
977.5,0.570723635
977,0.485183133
976.5,0.412514233
976,0.347847581
975.5,0.29737618
975,0.250602905
974.5,0.214922709
974,0.186533962
973.5,0.164918155
973,0.147217181
972.5,0.133626441
972,0.122528413
971.5,0.113149657
971,0.104109278
970.5,0.0971238
970,0.092162716
969.5,0.087333036
969,0.083003421
968.5,0.07839572
968,0.074367461
967.5,0.071758854
967,0.069143368
966.5,0.067119652
966,0.06333595
965.5,0.059878418
965,0.057566869
964.5,0.056066135
964,0.054228478
963.5,0.051815609
963,0.050501779
962.5,0.048526038
962,0.046229494
961.5,0.043241712
961,0.040957779
960.5,0.039969321
960,0.038242181
959.5,0.036284448
959,0.034354344
958.5,0.033096682
958,0.031099678
957.5,0.029517636
957,0.027612386
956.5,0.026109732
956,0.024489446
955.5,0.023058035
955,0.021784335
954.5,0.020113517
954,0.018380803
953.5,0.017067573
953,0.016436662
952.5,0.015107108
952,0.013475318
951.5,0.012405413
951,0.011497493
950.5,0.010479382
950,0.010060554
949.5,0.008655983
949,0.008281408
948.5,0.006104898
948,0.005688537
947.5,0.005483833
947,0.004822835
946.5,0.004602243
946,0.004047988
945.5,0.002894138
945,0.002969514
944.5,0.002859174
944,0.002330555
943.5,0.002088707
943,0.001952323
942.5,0.001788322
942,0.001433115
941.5,0.001918833
941,0.001543813
940.5,0.001375388
940,0.00086653
939.5,0.001096763
