Type,Emitter
Maker,"Omega"
ProductName,"XF3406(545QM75)"
Comment,""
Public,1
wavedataset
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0.00117
368,6E-05
369,7E-05
370,0.00022
371,0.00019
372,0.00017
373,0.0002
374,0.00033
375,0.00679
376,0.00028
377,0.00117
378,0.0001
379,0.00083
380,1E-05
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1E-05
498,4E-05
499,0.00022
500,0.00136
501,0.00895
502,0.07153
503,0.83584
504,16.82853
505,90.99738
506,93.86983
507,94.34416
508,94.25773
509,94.16478
510,94.83119
511,94.86323
512,94.28024
513,94.23935
514,94.64887
515,94.87703
516,95.01162
517,95.03996
518,94.83908
519,94.60287
520,94.77596
521,95.2689
522,95.64803
523,95.51446
524,95.0627
525,94.7477
526,94.76837
527,95.01699
528,95.33053
529,95.60585
530,95.72326
531,95.54847
532,95.10902
533,94.67965
534,94.58857
535,94.91686
536,95.50583
537,95.89808
538,95.94529
539,95.80564
540,95.72855
541,95.7042
542,95.71885
543,95.64803
544,95.52311
545,95.50745
546,95.71576
547,96.07734
548,96.3699
549,96.39454
550,96.13253
551,95.74674
552,95.44571
553,95.35545
554,95.48034
555,95.74177
556,96.12736
557,96.43645
558,96.59057
559,96.57228
560,96.45248
561,96.26971
562,96.2273
563,96.31522
564,96.39961
565,96.33274
566,96.10496
567,95.89255
568,95.93126
569,96.30934
570,96.85046
571,97.20595
572,97.13043
573,96.70039
574,96.25566
575,96.09571
576,96.22296
577,96.3774
578,96.34968
579,96.25035
580,96.34377
581,96.44909
582,95.44447
583,91.63935
584,84.03835
585,72.68325
586,57.59357
587,39.68039
588,23.45004
589,12.68494
590,6.83479
591,3.85842
592,2.32334
593,1.48855
594,1.00027
595,0.6897
596,0.47625
597,0.32328
598,0.21474
599,0.14105
600,0.09324
601,0.06307
602,0.0441
603,0.03204
604,0.02416
605,0.01883
606,0.01502
607,0.01211
608,0.00973
609,0.0077
610,0.00596
611,0.00455
612,0.00344
613,0.00262
614,0.00202
615,0.0016
616,0.0013
617,0.00108
618,0.00093
619,0.0008
620,0.00071
621,0.00062
622,0.00054
623,0.00046
624,0.00039
625,0.00032
626,0.00027
627,0.00022
628,0.00019
629,0.00016
630,0.00014
631,0.00012
632,0.00011
633,0.0001
634,9E-05
635,9E-05
636,8E-05
637,7E-05
638,7E-05
639,6E-05
