Type,Exciter
Maker,"Chroma"
ProductName,"61009x"
Comment,""
Public,1
wavedataset
300,0.000279
301,0.000946
302,1E-06
303,1E-06
304,1E-06
305,0.0004486
306,0.0004769
307,0.001129
308,1E-06
309,0.001808
310,1E-06
311,0.001126
312,0.001132
313,0.0001428
314,0.0006329
315,1E-06
316,1E-06
317,1E-06
318,0.0005906
319,1E-06
320,1E-06
321,0.001782
322,1E-06
323,1E-06
324,1E-06
325,1E-06
326,1E-06
327,1E-06
328,1E-06
329,0.0005524
330,1E-06
331,1E-06
332,1E-06
333,1E-06
334,0.000332
335,0.0001584
336,0.001396
337,1E-06
338,1E-06
339,1E-06
340,1E-06
341,0.0007591
342,1E-06
343,1E-06
344,1E-06
345,1E-06
346,1E-06
347,1E-06
348,1E-06
349,1E-06
350,1E-06
351,0.0008022
352,0.0001598
353,1E-06
354,1E-06
355,1E-06
356,1E-06
357,1E-06
358,1E-06
359,1E-06
360,0.0003575
361,1E-06
362,1E-06
363,1E-06
364,1E-06
365,1E-06
366,1E-06
367,0.0003677
368,0.0001798
369,1E-06
370,0.0003593
371,1E-06
372,1E-06
373,1E-06
374,1E-06
375,1E-06
376,1E-06
377,1E-06
378,1E-06
379,0.000412
380,1E-06
381,1E-06
382,0.0001838
383,1E-06
384,0.001047
385,0.0015
386,0.02396
387,0.1348
388,0.4494
389,1.009
390,1.26
391,1.203
392,1.578
393,1.873
394,1.016
395,0.8539
396,0.4172
397,0.03928
398,0.004914
399,0.0001717
400,0.00131
401,0.0003852
402,1E-06
403,1E-06
404,1E-06
405,1E-06
406,1E-06
407,0.0008655
408,0.001095
409,0.0006314
410,1E-06
411,1E-06
412,0.001099
413,0.0006237
414,1E-06
415,0.0001877
416,0.001348
417,0.008664
418,0.02063
419,0.1028
420,0.9221
421,10.4
422,19.66
423,21.66
424,42.1
425,48.22
426,39.01
427,38.53
428,41.38
429,49.89
430,56.88
431,46.83
432,43.11
433,41.86
434,35.38
435,17.24
436,1.116
437,0.07649
438,0.01004
439,0.001871
440,1E-06
441,1E-06
442,0.0009209
443,0.0002135
444,0.0002201
445,0.0009335
446,1E-06
447,1E-06
448,1E-06
449,1E-06
450,1E-06
451,2.732E-05
452,0.0009586
453,1E-06
454,0.0002752
455,1E-06
456,1E-06
457,1E-06
458,0.0009277
459,1E-06
460,1E-06
461,1E-06
462,1E-06
463,1E-06
464,1E-06
465,0.001197
466,8.459E-06
467,1E-06
468,1E-06
469,1E-06
470,0.001448
471,1E-06
472,0.0004345
473,0.001438
474,0.001193
475,1E-06
476,0.0004622
477,1E-06
478,0.00072
479,0.0002408
480,1E-06
481,0.003378
482,1E-06
483,1E-06
484,4.19E-05
485,1E-06
486,1E-06
487,1E-06
488,0.002713
489,1E-06
490,1E-06
491,1E-06
492,0.0004719
493,1E-06
494,1E-06
495,0.0002444
496,5.979E-06
497,0.0005002
498,1E-06
499,1E-06
500,0.01136
501,0.1624
502,8.212
503,51.44
504,67.87
505,75.61
506,79.78
507,80.82
508,78.84
509,75.37
510,74.93
511,79.74
512,78.95
513,78.35
514,80.49
515,77.03
516,73.06
517,57.18
518,31
519,1.522
520,0.04626
521,0.004208
522,0.001001
523,1E-06
524,1E-06
525,1E-06
526,2.766E-05
527,1E-06
528,0.002971
529,1E-06
530,0.0005237
531,1E-06
532,0.0005267
533,1E-06
534,1E-06
535,1E-06
536,1E-06
537,3.752E-05
538,1E-06
539,1E-06
540,1E-06
541,1E-06
542,0.001259
543,0.0002591
544,1E-06
545,0.0007393
546,1E-06
547,1E-06
548,0.0002439
549,0.0005031
550,0.0002611
551,0.001014
552,1E-06
553,0.0005296
554,1E-06
555,1E-06
556,1E-06
557,0.0004607
558,0.0007259
559,0.0007316
560,0.0002251
561,0.0007413
562,1E-06
563,1E-06
564,1E-06
565,0.001257
566,1E-06
567,1E-06
568,0.002
569,0.0004411
570,0.001769
571,0.0009791
572,0.0001685
573,0.0007288
574,1E-06
575,1E-06
576,1E-06
577,1E-06
578,1E-06
579,1E-06
580,0.001495
581,1E-06
582,1E-06
583,1E-06
584,1E-06
585,1E-06
586,1E-06
587,1E-06
588,1E-06
589,0.0001381
590,1E-06
591,1E-06
592,1E-06
593,1.173E-05
594,1E-06
595,1E-06
596,1E-06
597,1E-06
598,1E-06
599,1E-06
600,1E-06
601,0.0005891
602,0.003587
603,0.006451
604,0.01632
605,0.03471
606,0.08385
607,0.2072
608,0.5557
609,1.743
610,6.764
611,28.2
612,56.36
613,45.25
614,34.13
615,34.3
616,42.36
617,56.9
618,70.62
619,71.32
620,60.1
621,48.74
622,42.2
623,40.43
624,43.19
625,50.78
626,63.45
627,77.1
628,80.15
629,67.01
630,49.47
631,36.67
632,29.69
633,27.34
634,29.43
635,37.89
636,56.51
637,72.8
638,54.95
639,27.39
640,14.42
641,9.739
642,9.087
643,14.86
644,38.77
645,24.62
646,2.789
647,0.5495
648,0.1717
649,0.06961
650,0.03023
651,0.0152
652,0.008202
653,0.002436
654,0.003365
655,0.000879
656,0.0008848
657,7.438E-06
658,2.036E-05
659,1E-06
660,1E-06
661,1E-06
662,1E-06
663,1E-06
664,1E-06
665,1E-06
666,0.0008957
667,1E-06
668,1E-06
669,0.001782
670,1E-06
671,1E-06
672,0.001114
673,1E-06
674,1E-06
675,1E-06
676,1E-06
677,0.0006211
678,1E-06
679,1E-06
680,1E-06
681,0.0006533
682,1E-06
683,0.0004216
684,1E-06
685,1E-06
686,0.0004493
687,0.0006508
688,1E-06
689,0.0008461
690,1E-06
691,1E-06
692,1E-06
693,1E-06
694,1E-06
695,1E-06
696,0.001337
697,0.001798
698,1E-06
699,1E-06
700,1E-06
701,0.001105
702,1E-06
703,1E-06
704,0.0006327
705,1E-06
706,1E-06
707,1E-06
708,1E-06
709,0.0008695
710,1E-06
711,1E-06
712,0.0003945
713,0.001808
714,0.001808
715,0.0008954
716,0.002272
717,0.002514
718,0.0003816
719,1E-06
720,0.0001611
721,0.0002001
722,0.001815
723,1E-06
724,0.000855
725,1E-06
726,0.001816
727,1E-06
728,0.0006423
729,1E-06
730,1E-06
731,1E-06
732,1E-06
733,0.0004223
734,0.001113
735,0.0006245
736,0.0008515
737,1E-06
738,1E-06
739,1E-06
740,0.0006353
741,0.0003795
742,0.002314
743,1E-06
744,1E-06
745,0.0006482
746,1E-06
747,0.002793
748,0.0001723
749,1E-06
750,1E-06
751,1E-06
752,1E-06
753,0.001588
754,0.001834
755,0.001367
756,0.0004161
757,0.001596
758,1E-06
759,0.003737
760,0.001835
761,0.0006537
762,1E-06
763,0.0008666
764,1E-06
765,0.0009148
766,1E-06
767,1E-06
768,0.001119
769,0.001353
770,0.002081
771,0.001143
772,1E-06
773,1E-06
774,1E-06
775,0.0001808
776,0.00138
777,0.0006667
778,0.0004112
779,1E-06
780,1E-06
781,0.002091
782,1E-06
783,1E-06
784,0.0003965
785,1E-06
786,0.0001726
787,0.001149
788,1E-06
789,0.0001635
790,0.001362
791,1E-06
792,1E-06
793,1E-06
794,0.001613
795,1E-06
796,1E-06
797,9.535E-05
798,1E-06
799,0.0001438
800,0.0003741
801,0.0003619
802,0.001128
803,0.0006814
804,0.0004349
805,1E-06
806,1E-06
807,1E-06
808,1E-06
809,0.0001749
810,0.0002167
811,1E-06
812,1E-06
813,0.001603
814,1E-06
815,1E-06
816,1E-06
817,1E-06
818,1E-06
819,0.001603
820,0.0006824
821,0.0004238
822,1E-06
823,0.001123
824,0.0004412
825,0.0008768
826,0.0004265
827,0.0008938
828,0.0002265
829,1E-06
830,1E-06
831,1E-06
832,1E-06
833,0.0006589
834,1E-06
835,1E-06
836,1E-06
837,0.0002189
838,1E-06
839,0.0008603
840,1E-06
841,0.0006671
842,0.001077
843,1E-06
844,0.0004232
845,5.791E-05
846,0.0004483
847,1E-06
848,1E-06
849,1E-06
850,1E-06
