Type,Exciter
Maker,"Chroma"
ProductName,"89083tbx"
Comment,""
Public,1
wavedataset
300,0.000181634004548
301,0.000122765004562
302,6.37063010345E-05
303,6.07115993034E-06
304,5.67291010611E-05
305,5.25721020495E-05
306,6.13665989135E-06
307,3.84902989481E-05
308,7.03015984982E-05
309,1.30733994297E-05
310,3.96585988938E-05
311,0.000158402997386
312,6.20745026936E-05
313,9.24746984765E-05
314,6.23278026524E-05
315,2.01379002363E-06
316,0.0001146829959
317,1.84713002227E-05
318,6.70895019539E-05
319,5.13120994583E-05
320,9.10107019081E-05
321,7.80933987699E-05
322,4.61967999854E-05
323,9.99999993923E-07
324,8.49599985031E-05
325,3.73820995492E-05
326,7.34782986456E-05
327,0.00010535900401
328,9.87046973933E-05
329,7.10190022346E-05
330,0.000127724001686
331,1.08999998361E-05
332,5.29024987372E-05
333,2.25313996793E-05
334,2.48897009669E-05
335,3.65235983679E-06
336,6.35967978724E-05
337,5.66347011954E-05
338,0.000109302004603
339,2.07008994835E-05
340,0.000106199001948
341,1.14064000911E-05
342,9.99999993923E-07
343,5.73051977426E-05
344,8.68382016961E-05
345,0.000109986001462
346,7.2929600492E-05
347,0.000115768000342
348,0.000120319998587
349,8.84965004389E-05
350,8.43140014695E-05
351,6.26725011443E-05
352,6.03947000855E-05
353,5.0063499657E-05
354,5.44428985449E-05
355,4.85023008423E-05
356,0.000110949997634
357,0.000144175999139
358,7.27551991986E-05
359,3.23778010625E-05
360,7.40920995668E-05
361,2.50562010251E-05
362,7.47496017084E-05
363,3.94369010337E-05
364,6.30394026757E-05
365,1.94885998894E-05
366,5.91417972373E-05
367,5.78671006224E-05
368,5.36672018825E-05
369,3.65083991483E-05
370,5.20924004377E-05
371,8.54810991768E-05
372,8.70788994689E-05
373,7.92936020844E-05
374,7.90665978911E-05
375,8.78404023297E-05
376,0.000226762995226
377,0.00073258302109
378,0.000308509993374
379,0.000378562003789
380,0.000755706014388
381,0.000189599995792
382,0.000156959004016
383,0.000176343996827
384,0.000247502998718
385,0.000650136007607
386,0.0019751400032
387,0.00500612004544
388,0.0107581996417
389,0.0310945004458
390,0.130823999643
391,1.10678998753
392,22.2451001406
393,34.6540987492
394,23.9860996604
395,54.4432997704
396,82.7500998974
397,80.7458996773
398,83.6477994919
399,89.812797308
400,93.3975994587
401,91.5458977222
402,90.2652978897
403,91.4115011692
404,91.3092970848
405,90.2281999588
406,88.0807995796
407,88.0863010883
408,89.4792020321
409,83.2503020763
410,53.9417028427
411,15.2523994446
412,7.28712975979
413,4.30033989251
414,3.24783995748
415,1.82741004974
416,0.330324005336
417,0.0519500987139
418,0.00911589013413
419,0.00135829995997
420,0.000261784998656
421,0.000112171994715
422,4.97848986925E-05
423,4.58419009419E-05
424,4.80595986119E-05
425,3.76824999648E-05
426,3.03258985923E-05
427,5.44654994883E-05
428,4.91033972594E-05
429,6.77499997437E-05
430,8.15150997369E-05
431,6.69279017984E-05
432,8.77435013535E-05
433,7.31562977307E-05
434,6.96801976119E-05
435,6.46683020022E-05
436,5.12328995228E-05
437,5.02990985751E-05
438,3.30402002646E-05
439,3.36379997634E-05
440,5.28605028194E-05
441,5.37999994776E-05
442,6.04826027484E-05
443,5.5344600014E-05
444,4.61348008685E-05
445,3.99886999958E-05
446,3.34123996026E-05
447,5.66901974253E-05
448,4.87610009259E-05
449,4.30700993093E-05
450,2.14213002891E-05
451,1.95528997438E-05
452,2.76851011449E-05
453,3.82533009713E-06
454,2.95088995017E-05
455,1.24893006159E-05
456,3.3408099398E-05
457,2.43589994398E-05
458,3.52839009565E-05
459,2.59943988112E-05
460,2.111739974E-05
461,2.3926401127E-05
462,1.18849001751E-05
463,2.69681009968E-05
464,1.38914998615E-05
465,2.39714012196E-05
466,1.67305998389E-05
467,2.51652011229E-05
468,1.88458997741E-05
469,2.57591011632E-05
470,2.15705000528E-05
471,3.43828986615E-05
472,4.62568010562E-05
473,5.51725975129E-05
474,9.74123963715E-05
475,0.000258214004134
476,0.000625561006018
477,0.00196642995434
478,0.00740627001505
479,0.0342662999174
480,0.244919001125
481,3.71275991201
482,45.0782001019
483,92.0023977757
484,96.2158024311
485,96.8738019466
486,97.1561014652
487,97.2945988178
488,97.0089972019
489,97.2998976707
490,97.9387998581
491,97.8775978088
492,97.8532016277
493,98.0491995811
494,96.8771994114
495,96.4296996593
496,97.2073972225
497,96.2634980679
498,91.6791021824
499,47.6563990116
500,3.5852599889
501,1.00320000201
502,0.100331997965
503,0.0167530000908
504,0.0039206501242
505,0.00112553998406
506,0.000357876001544
507,0.000157500005571
508,6.74120997246E-05
509,3.34877000796E-05
510,4.05794992275E-05
511,2.70556000714E-05
512,1.84287003435E-05
513,2.23732996574E-05
514,1.38440995556E-05
515,2.34883998473E-05
516,1.33108997602E-05
517,1.65203999813E-05
518,1.29243005631E-05
519,1.43340997738E-05
520,1.41911002061E-05
521,1.97160005655E-05
522,1.69830002505E-05
523,1.48121998222E-05
524,1.48503005448E-05
525,1.34586997547E-05
526,2.43650987386E-05
527,1.85747992987E-05
528,1.53871994257E-05
529,1.61597995429E-05
530,1.26776001252E-05
531,2.19696005388E-05
532,1.16038002318E-05
533,2.31249998706E-05
534,7.62710001823E-06
535,2.40280996877E-05
536,1.6125800073E-05
537,1.53566006134E-05
538,1.79561993718E-05
539,1.46995006389E-05
540,1.79457998684E-05
541,2.73822990948E-05
542,4.00701992476E-05
543,2.38330997604E-05
544,2.56084007333E-05
545,2.74500990827E-05
546,2.65301991931E-05
547,3.08620997203E-05
548,3.54645010248E-05
549,5.30603017523E-05
550,7.70308020037E-05
551,0.00011929799939
552,0.000229657007367
553,0.000506594005856
554,0.00136192002174
555,0.0038236801629
556,0.0127998995595
557,0.052780698752
558,0.281324004754
559,2.44003999978
560,26.4845013618
561,83.7072014809
562,92.4624025822
563,96.5232014656
564,93.8987970352
565,92.2706007957
566,95.7828998566
567,97.5126028061
568,94.9038028717
569,93.5212016106
570,95.6363976002
571,97.9009985924
572,97.9973018169
573,97.0735013485
574,97.6063013077
575,97.9333996773
576,98.2089996338
577,98.2227981091
578,98.1580018997
579,97.7145016193
580,96.4137017727
581,96.0893988609
582,96.8722999096
583,93.5859024525
584,89.5856976509
585,81.6286981106
586,7.44626969099
587,3.05458996445
588,0.423137983307
589,0.0889702001587
590,0.0241561996518
591,0.00792731007095
592,0.00291409996862
593,0.00122924002426
594,0.000550063987248
595,0.000262890989688
596,0.000125940005091
597,7.8388802649E-05
598,4.1711999188E-05
599,3.07392014065E-05
600,1.69076997736E-05
601,9.99999993923E-07
602,1.29661998471E-05
603,1.20834997119E-05
604,9.99999993923E-07
605,6.85571990289E-06
606,7.31310976221E-06
607,5.46297016513E-06
608,4.65486991175E-06
609,9.86492025845E-06
610,1.09635003298E-05
611,7.37736982614E-06
612,7.75107977802E-06
613,1.34493006954E-05
614,6.52543974411E-06
615,1.0180399812E-05
616,9.99594007567E-06
617,8.92845974931E-06
618,5.20247001035E-07
619,9.31244983349E-06
620,2.25535998766E-05
621,6.92271981961E-06
622,2.39967992144E-06
623,6.50447020689E-06
624,5.8429499461E-06
625,1.38307001407E-05
626,8.75628032304E-06
627,1.08321998482E-05
628,1.06492997531E-05
629,1.34383995487E-05
630,1.20736999065E-05
631,3.63539989223E-06
632,1.11090997734E-05
633,1.71430002638E-05
634,2.24564004725E-05
635,1.36273996532E-05
636,1.17855996962E-05
637,7.06308966869E-06
638,2.30982006855E-06
639,9.99999993923E-07
640,4.3656900317E-06
641,8.31250019928E-06
642,8.83919994976E-06
643,9.99999993923E-07
644,3.42207009396E-06
645,3.75917998952E-06
646,5.06081008211E-06
647,2.92563004933E-06
648,1.95430995831E-06
649,3.13415000619E-06
650,1.85392998731E-06
651,1.97041991612E-06
652,6.37610995113E-06
653,5.77428984627E-06
654,2.50241996014E-06
655,9.99999993923E-07
656,9.99999993923E-07
657,2.21187992366E-06
658,1.74162000377E-06
659,6.4758097551E-06
660,2.23115002029E-06
661,6.80396006203E-07
662,3.63042005347E-06
663,9.29287011786E-06
664,1.36481006052E-05
665,3.03055998074E-05
666,1.75558000137E-05
667,9.99999993923E-07
668,2.00593994748E-06
669,1.80669008643E-06
670,1.93518005176E-05
671,2.12797004906E-05
672,1.83495996176E-07
673,6.93227022452E-06
674,2.32356995866E-06
675,5.79139012302E-06
676,1.75739003794E-05
677,1.53113006718E-05
678,1.1233699837E-05
679,2.45904999474E-05
680,2.54089997043E-05
681,1.99826999392E-06
682,7.87064990959E-06
683,1.0090300151E-06
684,1.80734005539E-05
685,7.75108972562E-06
686,4.90825016186E-06
687,7.14691017478E-07
688,1.90082005247E-05
689,1.02820003178E-05
690,7.16866992434E-06
691,1.58651999982E-05
692,9.99999993923E-07
693,9.99999993923E-07
694,1.6412899484E-06
695,2.32144998336E-05
696,5.75777008294E-06
697,3.14194004147E-06
698,9.99999993923E-07
699,1.37745999496E-05
700,4.72825014697E-06
701,5.76944998443E-06
702,8.72693988185E-06
703,1.91249000636E-05
704,4.94281984231E-06
705,3.61326009113E-06
706,1.42202996045E-06
707,1.28278003331E-05
708,3.70839998709E-06
709,9.99999993923E-07
710,7.70876980027E-06
711,1.91301992913E-05
712,5.34336983549E-06
713,2.07719992318E-06
714,4.72474992463E-07
715,2.93899006465E-05
716,1.09067002541E-05
717,2.1358400204E-05
718,9.99999993923E-07
719,2.33037994235E-05
720,1.64908993128E-06
721,1.38236998737E-05
722,9.99999993923E-07
723,6.64831034669E-06
724,9.99999993923E-07
725,9.99999993923E-07
726,9.99999993923E-07
727,2.96185987736E-05
728,1.9044999533E-05
729,9.99999993923E-07
730,1.12247001027E-05
731,5.31976986906E-06
732,3.61710988273E-05
733,8.54414992091E-06
734,2.53362998137E-05
735,1.94625002337E-05
736,3.55374005778E-06
737,5.78164986109E-05
738,2.13898005086E-05
739,5.30907016127E-06
740,1.73515005031E-05
741,1.0951099938E-05
742,1.28139006961E-05
743,9.99999993923E-07
744,9.99999993923E-07
745,1.09482996891E-05
746,1.18423997719E-05
747,9.99999993923E-07
748,9.99999993923E-07
749,1.18351998424E-05
750,8.86443984882E-06
751,1.25295997577E-05
752,2.14544996879E-05
753,8.55686010937E-06
754,9.99999993923E-07
755,9.99999993923E-07
756,8.01438986286E-06
757,2.06313004014E-05
758,2.92891002118E-05
759,5.71778002723E-06
760,1.08484996986E-05
761,2.40244986571E-05
762,3.91745004436E-05
763,9.99999993923E-07
764,9.99999993923E-07
765,9.99999993923E-07
766,9.99999993923E-07
767,3.0261898587E-05
768,2.53787987958E-05
769,9.99999993923E-07
770,3.81668002092E-05
771,4.82466013807E-06
772,9.99999993923E-07
773,4.89937008297E-05
774,2.90832986138E-05
775,2.50512002253E-06
776,3.38812995437E-06
777,2.98622012451E-05
778,5.54298026145E-05
779,3.81775997482E-06
780,2.47495989925E-05
781,4.6662100317E-05
782,6.48838991424E-06
783,2.24279006034E-05
784,3.76910008981E-05
785,4.77517005493E-05
786,7.32394994429E-05
787,9.99999993923E-07
788,9.99999993923E-07
789,9.99999993923E-07
790,4.9835301752E-05
791,2.19125993794E-05
792,6.04796014159E-05
793,4.13380007558E-05
794,6.66111020564E-05
795,7.56748022468E-05
796,2.74357006447E-05
797,0.000100134002423
798,7.67125982293E-05
799,6.99783015534E-05
800,9.99999993923E-07
801,1.28888997253E-06
802,9.99999993923E-07
803,9.99999993923E-07
804,9.99999993923E-07
805,9.99999993923E-07
806,9.99999993923E-07
807,0.000109791994873
808,9.99999993923E-07
809,9.99999993923E-07
810,9.99999993923E-07
811,9.99999993923E-07
812,9.99999993923E-07
813,1.3784999453E-05
814,7.49512025777E-05
815,9.99999993923E-07
816,9.99999993923E-07
817,9.99999993923E-07
818,9.99999993923E-07
819,2.84142998908E-05
820,5.86798023505E-05
821,9.99999993923E-07
822,6.08590028151E-05
823,3.25108004517E-05
824,9.99999993923E-07
825,9.99999993923E-07
826,9.99999993923E-07
827,9.99999993923E-07
828,9.99999993923E-07
829,9.99999993923E-07
